,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
34700.0,12906.0,888.0,2072.0,15866.0,7905.0,507.0,1243.0,9655.0,5943.0,675.0,1498.0,8116.0,2245.0,197.0,398.0,2840.0,3404.0,439.0,861.0,4704.0,628.0,42.0,175.0,845.0,238.0,71.0,112.0,421.0,673.0,40.0,116.0,829.0,33942.0,2859.0,6475.0,43276.0,16115.0,1123.0,3084.0,20322.0,10274.0,636.0,1904.0,12814.0,7552.0,813.0,2151.0,10516.0,2841.0,233.0,592.0,3666.0,4091.0,503.0,1102.0,5696.0,866.0,54.0,255.0,1175.0,350.0,93.0,160.0,604.0,874.0,46.0,181.0,1100.0,42964.0,3501.0,9429.0,55894.0,15609.0,1234.0,3047.0,19891.0,9769.0,692.0,1892.0,12354.0,6808.0,796.0,2207.0,9811.0,2684.0,213.0,570.0,3466.0,3798.0,496.0,1080.0,5373.0,818.0,59.0,241.0,1118.0,353.0,89.0,155.0,597.0,879.0,45.0,145.0,1069.0,40718.0,3623.0,9337.0,53679.0
34731.0,14541.0,1117.0,2606.0,18264.0,9551.0,634.0,1611.0,11796.0,6198.0,722.0,1885.0,8805.0,2637.0,183.0,549.0,3369.0,3664.0,470.0,999.0,5133.0,703.0,63.0,199.0,965.0,326.0,50.0,139.0,515.0,829.0,36.0,109.0,974.0,38449.0,3275.0,8097.0,49821.0,14747.0,1212.0,2865.0,18823.0,9811.0,683.0,1797.0,12291.0,6488.0,797.0,2014.0,9299.0,2633.0,203.0,578.0,3414.0,3784.0,493.0,998.0,5276.0,850.0,73.0,234.0,1157.0,341.0,60.0,154.0,555.0,869.0,42.0,131.0,1042.0,39523.0,3563.0,8772.0,51858.0,15621.0,1237.0,3070.0,19927.0,9911.0,702.0,1909.0,12521.0,6779.0,788.0,2148.0,9715.0,2647.0,209.0,561.0,3417.0,3786.0,497.0,1068.0,5352.0,834.0,62.0,244.0,1140.0,352.0,93.0,156.0,601.0,898.0,46.0,147.0,1091.0,40829.0,3632.0,9304.0,53765.0
34759.0,17586.0,1596.0,3754.0,22936.0,11275.0,851.0,2243.0,14369.0,7879.0,918.0,2605.0,11402.0,2984.0,229.0,655.0,3868.0,3867.0,562.0,1191.0,5620.0,770.0,72.0,226.0,1068.0,432.0,123.0,194.0,749.0,1069.0,53.0,157.0,1279.0,45862.0,4404.0,11025.0,61291.0,15634.0,1320.0,3133.0,20087.0,10088.0,733.0,1976.0,12797.0,6781.0,778.0,2124.0,9683.0,2668.0,211.0,562.0,3441.0,3470.0,501.0,1035.0,5007.0,854.0,61.0,231.0,1146.0,354.0,128.0,153.0,635.0,962.0,48.0,141.0,1151.0,40811.0,3780.0,9355.0,53946.0,15613.0,1258.0,3089.0,19960.0,10082.0,728.0,1915.0,12725.0,6742.0,791.0,2102.0,9634.0,2597.0,207.0,549.0,3353.0,3778.0,503.0,1065.0,5346.0,850.0,64.0,250.0,1164.0,354.0,98.0,157.0,609.0,912.0,46.0,147.0,1105.0,40928.0,3694.0,9275.0,53898.0
34790.0,13339.0,1070.0,2571.0,16980.0,8140.0,649.0,1538.0,10327.0,5278.0,607.0,1647.0,7532.0,2073.0,173.0,434.0,2680.0,3022.0,400.0,889.0,4311.0,558.0,54.0,243.0,855.0,366.0,93.0,105.0,564.0,822.0,37.0,113.0,972.0,33598.0,3083.0,7540.0,44221.0,15506.0,1322.0,3042.0,19870.0,9946.0,756.0,1799.0,12501.0,6103.0,753.0,2003.0,8859.0,2427.0,201.0,477.0,3105.0,3687.0,497.0,1049.0,5233.0,825.0,62.0,272.0,1160.0,341.0,102.0,132.0,576.0,938.0,44.0,126.0,1108.0,39774.0,3739.0,8899.0,52412.0,15579.0,1290.0,3094.0,19963.0,10240.0,767.0,1911.0,12917.0,6722.0,804.0,2085.0,9611.0,2564.0,206.0,541.0,3311.0,3780.0,512.0,1067.0,5358.0,855.0,66.0,259.0,1180.0,359.0,101.0,159.0,619.0,921.0,45.0,144.0,1110.0,41020.0,3791.0,9258.0,54070.0
34820.0,18345.0,1398.0,3989.0,23732.0,11872.0,919.0,2731.0,15522.0,7742.0,912.0,2631.0,11285.0,3381.0,219.0,652.0,4252.0,4403.0,557.0,1329.0,6289.0,878.0,88.0,367.0,1333.0,533.0,113.0,195.0,841.0,1080.0,54.0,179.0,1313.0,48234.0,4260.0,12073.0,64567.0,17272.0,1261.0,3380.0,21912.0,11261.0,792.0,2216.0,14270.0,7537.0,833.0,2343.0,10713.0,3408.0,201.0,550.0,4159.0,4159.0,517.0,1205.0,5881.0,984.0,72.0,273.0,1329.0,418.0,98.0,196.0,712.0,932.0,48.0,149.0,1128.0,45969.0,3821.0,10313.0,60104.0,15497.0,1320.0,3074.0,19891.0,10328.0,808.0,1893.0,13029.0,6721.0,818.0,2083.0,9622.0,2568.0,206.0,538.0,3312.0,3773.0,523.0,1068.0,5364.0,845.0,67.0,269.0,1181.0,364.0,101.0,161.0,626.0,925.0,44.0,139.0,1108.0,41021.0,3886.0,9224.0,54132.0
34851.0,16869.0,1721.0,4595.0,23185.0,11433.0,1119.0,2801.0,15353.0,7856.0,1154.0,3274.0,12284.0,3050.0,277.0,860.0,4187.0,4196.0,758.0,1621.0,6575.0,830.0,80.0,423.0,1333.0,487.0,175.0,263.0,925.0,1092.0,53.0,196.0,1341.0,45813.0,5337.0,14033.0,65183.0,14000.0,1383.0,3051.0,18433.0,9776.0,907.0,1834.0,12517.0,6464.0,905.0,2024.0,9392.0,2534.0,210.0,559.0,3303.0,3653.0,543.0,1065.0,5261.0,837.0,69.0,300.0,1206.0,359.0,106.0,167.0,632.0,932.0,43.0,151.0,1126.0,38555.0,4165.0,9151.0,51871.0,15345.0,1334.0,3031.0,19710.0,10310.0,837.0,1853.0,13001.0,6731.0,823.0,2069.0,9623.0,2609.0,204.0,539.0,3351.0,3747.0,531.0,1063.0,5341.0,823.0,66.0,277.0,1166.0,365.0,99.0,162.0,626.0,926.0,43.0,132.0,1100.0,40857.0,3936.0,9125.0,53919.0
34881.0,13921.0,1241.0,2355.0,17517.0,9311.0,732.0,1309.0,11352.0,6127.0,666.0,1498.0,8291.0,2369.0,160.0,424.0,2953.0,3325.0,495.0,764.0,4584.0,607.0,56.0,162.0,825.0,310.0,61.0,119.0,490.0,840.0,53.0,128.0,1021.0,36810.0,3464.0,6759.0,47033.0,14729.0,1361.0,2649.0,18739.0,9965.0,843.0,1485.0,12293.0,6560.0,791.0,1913.0,9264.0,2520.0,202.0,528.0,3250.0,3677.0,560.0,954.0,5191.0,640.0,60.0,180.0,880.0,333.0,87.0,149.0,569.0,810.0,65.0,130.0,1005.0,39234.0,3969.0,7988.0,51191.0,15164.0,1333.0,2977.0,19474.0,10215.0,842.0,1804.0,12860.0,6752.0,819.0,2037.0,9608.0,2675.0,200.0,542.0,3418.0,3705.0,534.0,1054.0,5292.0,803.0,64.0,203.0,1070.0,363.0,96.0,162.0,621.0,926.0,40.0,124.0,1090.0,40603.0,3929.0,8901.0,53433.0
34912.0,16305.0,1319.0,3013.0,20637.0,11078.0,848.0,1916.0,13842.0,7501.0,880.0,1932.0,10313.0,3141.0,197.0,524.0,3862.0,3957.0,545.0,963.0,5465.0,893.0,72.0,212.0,1177.0,448.0,82.0,151.0,681.0,1049.0,39.0,100.0,1188.0,44372.0,3982.0,8811.0,57165.0,15459.0,1299.0,3058.0,19816.0,10511.0,815.0,1921.0,13247.0,6970.0,823.0,2026.0,9820.0,3158.0,200.0,570.0,3928.0,3703.0,534.0,1064.0,5301.0,779.0,63.0,204.0,1046.0,511.0,86.0,156.0,753.0,991.0,36.0,98.0,1125.0,42084.0,3855.0,9097.0,55036.0,15004.0,1324.0,2929.0,19257.0,10087.0,823.0,1765.0,12676.0,6776.0,812.0,2000.0,9589.0,2743.0,197.0,547.0,3487.0,3659.0,531.0,1045.0,5236.0,795.0,63.0,206.0,1065.0,361.0,94.0,160.0,615.0,927.0,38.0,115.0,1081.0,40355.0,3883.0,8768.0,53006.0
34943.0,14001.0,1174.0,2630.0,17805.0,9763.0,739.0,1616.0,12118.0,6424.0,750.0,1879.0,9053.0,2625.0,202.0,506.0,3333.0,3620.0,408.0,863.0,4891.0,963.0,47.0,207.0,1217.0,341.0,83.0,152.0,576.0,862.0,36.0,99.0,997.0,38599.0,3439.0,7952.0,49990.0,15011.0,1299.0,2844.0,19154.0,10063.0,816.0,1768.0,12648.0,6789.0,799.0,1997.0,9585.0,2639.0,209.0,558.0,3407.0,3638.0,501.0,1037.0,5176.0,840.0,59.0,225.0,1124.0,369.0,93.0,163.0,625.0,969.0,35.0,101.0,1105.0,40317.0,3812.0,8694.0,52823.0,14889.0,1316.0,2899.0,19104.0,9957.0,793.0,1755.0,12504.0,6787.0,812.0,1970.0,9568.0,2790.0,194.0,553.0,3537.0,3621.0,524.0,1044.0,5189.0,795.0,61.0,210.0,1067.0,361.0,93.0,158.0,612.0,927.0,36.0,108.0,1071.0,40128.0,3829.0,8697.0,52654.0
34973.0,14987.0,1332.0,2647.0,18966.0,9934.0,706.0,1705.0,12345.0,6412.0,759.0,1826.0,8997.0,2901.0,164.0,445.0,3510.0,3512.0,507.0,1010.0,5029.0,862.0,68.0,202.0,1132.0,335.0,115.0,148.0,598.0,875.0,37.0,91.0,1003.0,39818.0,3688.0,8074.0,51580.0,14838.0,1312.0,2907.0,19056.0,9582.0,753.0,1747.0,12082.0,6751.0,766.0,1984.0,9501.0,2822.0,166.0,524.0,3512.0,3360.0,527.0,1058.0,4946.0,877.0,63.0,218.0,1158.0,359.0,101.0,151.0,610.0,925.0,35.0,97.0,1057.0,39514.0,3723.0,8685.0,51922.0,14855.0,1313.0,2895.0,19063.0,9896.0,761.0,1776.0,12434.0,6811.0,822.0,1959.0,9593.0,2812.0,194.0,560.0,3566.0,3620.0,517.0,1055.0,5191.0,800.0,59.0,216.0,1076.0,362.0,94.0,156.0,613.0,921.0,36.0,103.0,1060.0,40077.0,3797.0,8721.0,52595.0
35004.0,15492.0,1513.0,3089.0,20094.0,10598.0,774.0,1804.0,13176.0,7019.0,897.0,1987.0,9903.0,3017.0,190.0,592.0,3799.0,3929.0,567.0,1187.0,5683.0,811.0,66.0,207.0,1084.0,342.0,114.0,207.0,663.0,929.0,68.0,127.0,1124.0,42137.0,4189.0,9200.0,55526.0,14564.0,1319.0,2969.0,18851.0,9722.0,690.0,1759.0,12171.0,6755.0,818.0,1935.0,9509.0,2742.0,178.0,560.0,3480.0,3766.0,493.0,1096.0,5355.0,797.0,59.0,193.0,1050.0,367.0,101.0,164.0,633.0,862.0,65.0,109.0,1036.0,39576.0,3725.0,8785.0,52085.0,14849.0,1316.0,2900.0,19066.0,9908.0,738.0,1815.0,12461.0,6838.0,845.0,1969.0,9652.0,2814.0,196.0,567.0,3577.0,3667.0,512.0,1075.0,5253.0,803.0,57.0,222.0,1082.0,365.0,94.0,156.0,614.0,905.0,36.0,101.0,1043.0,40148.0,3795.0,8805.0,52748.0
35034.0,14337.0,1196.0,2690.0,18223.0,10158.0,694.0,1679.0,12531.0,7204.0,921.0,1822.0,9947.0,2722.0,243.0,620.0,3585.0,3837.0,495.0,1085.0,5417.0,1313.0,70.0,233.0,1616.0,305.0,75.0,211.0,591.0,862.0,32.0,100.0,994.0,40738.0,3726.0,8440.0,52904.0,15262.0,1315.0,2934.0,19512.0,10042.0,712.0,1895.0,12649.0,7001.0,936.0,1948.0,9886.0,2854.0,225.0,602.0,3681.0,3830.0,520.0,1082.0,5433.0,760.0,82.0,244.0,1085.0,372.0,84.0,251.0,707.0,923.0,35.0,110.0,1068.0,41044.0,3910.0,9066.0,54021.0,14847.0,1326.0,2899.0,19073.0,9973.0,729.0,1862.0,12564.0,6868.0,874.0,1993.0,9734.0,2812.0,199.0,573.0,3584.0,3743.0,513.0,1094.0,5351.0,803.0,56.0,224.0,1083.0,365.0,91.0,157.0,613.0,882.0,37.0,102.0,1021.0,40294.0,3825.0,8904.0,53022.0
35065.0,12014.0,1119.0,1953.0,15086.0,7977.0,615.0,1312.0,9904.0,5625.0,781.0,1472.0,7878.0,2210.0,179.0,438.0,2827.0,3295.0,482.0,878.0,4655.0,577.0,42.0,165.0,784.0,259.0,70.0,102.0,431.0,666.0,36.0,73.0,775.0,32623.0,3324.0,6393.0,42340.0,14597.0,1323.0,2791.0,18712.0,10062.0,743.0,1931.0,12736.0,6874.0,916.0,2003.0,9794.0,2756.0,205.0,598.0,3558.0,3833.0,527.0,1073.0,5433.0,786.0,52.0,221.0,1059.0,354.0,90.0,148.0,592.0,817.0,40.0,109.0,965.0,40078.0,3897.0,8875.0,52849.0,14860.0,1337.0,2877.0,19074.0,10063.0,728.0,1895.0,12686.0,6886.0,896.0,2017.0,9800.0,2812.0,201.0,581.0,3594.0,3821.0,521.0,1105.0,5447.0,800.0,54.0,222.0,1076.0,364.0,86.0,158.0,607.0,856.0,39.0,101.0,996.0,40462.0,3862.0,8956.0,53279.0
35096.0,15311.0,1309.0,2727.0,19347.0,10864.0,764.0,1849.0,13477.0,7036.0,868.0,2061.0,9965.0,3021.0,197.0,582.0,3800.0,3743.0,527.0,1244.0,5514.0,682.0,49.0,203.0,934.0,359.0,70.0,160.0,589.0,854.0,38.0,77.0,969.0,41870.0,3822.0,8903.0,54595.0,14909.0,1376.0,2853.0,19138.0,10539.0,782.0,1955.0,13276.0,6986.0,922.0,2121.0,10029.0,2878.0,213.0,597.0,3689.0,3789.0,504.0,1184.0,5477.0,821.0,54.0,237.0,1112.0,376.0,83.0,160.0,619.0,860.0,41.0,84.0,986.0,41160.0,3975.0,9190.0,54326.0,14967.0,1339.0,2850.0,19156.0,10197.0,733.0,1913.0,12844.0,6925.0,906.0,2042.0,9872.0,2811.0,200.0,594.0,3605.0,3889.0,527.0,1108.0,5524.0,801.0,53.0,215.0,1068.0,363.0,81.0,158.0,601.0,831.0,40.0,99.0,970.0,40784.0,3879.0,8978.0,53640.0
35125.0,15772.0,1511.0,3259.0,20542.0,10505.0,816.0,1924.0,13245.0,7389.0,974.0,2353.0,10716.0,2938.0,202.0,587.0,3727.0,4204.0,538.0,1145.0,5887.0,698.0,56.0,199.0,953.0,405.0,70.0,199.0,674.0,809.0,38.0,97.0,944.0,42720.0,4205.0,9763.0,56688.0,15052.0,1361.0,2915.0,19327.0,10259.0,737.0,1836.0,12832.0,6803.0,881.0,2078.0,9762.0,2784.0,196.0,557.0,3537.0,3999.0,549.0,1066.0,5614.0,787.0,52.0,215.0,1054.0,348.0,74.0,169.0,591.0,783.0,39.0,96.0,918.0,40814.0,3889.0,8931.0,53634.0,15119.0,1333.0,2832.0,19284.0,10338.0,744.0,1915.0,12997.0,6973.0,903.0,2064.0,9940.0,2799.0,197.0,610.0,3606.0,3931.0,526.0,1107.0,5564.0,811.0,52.0,208.0,1071.0,363.0,77.0,159.0,599.0,815.0,40.0,97.0,952.0,41148.0,3873.0,8992.0,54013.0
35156.0,13942.0,1140.0,2541.0,17623.0,8843.0,653.0,1834.0,11330.0,6131.0,755.0,1822.0,8708.0,2617.0,149.0,572.0,3338.0,3528.0,448.0,983.0,4959.0,636.0,53.0,145.0,834.0,406.0,69.0,134.0,609.0,750.0,41.0,103.0,894.0,36853.0,3308.0,8134.0,48295.0,15153.0,1313.0,2768.0,19233.0,9964.0,720.0,1942.0,12625.0,6893.0,885.0,2050.0,9827.0,2818.0,162.0,604.0,3585.0,3992.0,525.0,1116.0,5634.0,824.0,57.0,160.0,1041.0,362.0,68.0,159.0,588.0,826.0,43.0,107.0,976.0,40832.0,3773.0,8905.0,53510.0,15256.0,1324.0,2823.0,19403.0,10438.0,757.0,1900.0,13096.0,7011.0,895.0,2081.0,9987.0,2770.0,194.0,625.0,3588.0,3946.0,521.0,1103.0,5571.0,827.0,53.0,205.0,1086.0,363.0,78.0,160.0,601.0,803.0,40.0,97.0,940.0,41415.0,3862.0,8995.0,54272.0
35186.0,16727.0,1468.0,3236.0,21431.0,11524.0,922.0,2371.0,14817.0,7568.0,1006.0,2328.0,10902.0,2773.0,239.0,783.0,3795.0,4284.0,640.0,1237.0,6161.0,813.0,67.0,285.0,1165.0,465.0,92.0,160.0,717.0,923.0,41.0,121.0,1085.0,45077.0,4475.0,10521.0,60073.0,15720.0,1313.0,2791.0,19824.0,10763.0,794.0,1998.0,13555.0,7253.0,907.0,2090.0,10251.0,2710.0,215.0,656.0,3580.0,3965.0,575.0,1090.0,5630.0,924.0,53.0,215.0,1192.0,354.0,82.0,155.0,591.0,798.0,38.0,97.0,933.0,42488.0,3977.0,9091.0,55557.0,15347.0,1318.0,2833.0,19498.0,10491.0,774.0,1883.0,13148.0,7033.0,893.0,2090.0,10016.0,2740.0,192.0,635.0,3567.0,3948.0,520.0,1098.0,5565.0,845.0,56.0,208.0,1109.0,362.0,81.0,163.0,606.0,796.0,41.0,99.0,936.0,41562.0,3874.0,9010.0,54446.0
35217.0,17405.0,1501.0,3924.0,22830.0,11350.0,844.0,2404.0,14598.0,8289.0,1054.0,3083.0,12426.0,2884.0,224.0,1074.0,4182.0,4130.0,584.0,1483.0,6197.0,721.0,57.0,294.0,1072.0,480.0,133.0,228.0,841.0,863.0,51.0,102.0,1016.0,46122.0,4448.0,12592.0,63162.0,15484.0,1302.0,2835.0,19621.0,10702.0,741.0,1713.0,13156.0,7162.0,880.0,2059.0,10101.0,2682.0,186.0,748.0,3616.0,3898.0,463.0,1069.0,5429.0,805.0,54.0,209.0,1068.0,388.0,90.0,163.0,641.0,761.0,44.0,92.0,896.0,41881.0,3759.0,8887.0,54528.0,15372.0,1325.0,2855.0,19553.0,10512.0,795.0,1875.0,13182.0,7028.0,905.0,2091.0,10024.0,2710.0,196.0,641.0,3547.0,3948.0,527.0,1094.0,5569.0,860.0,61.0,216.0,1137.0,359.0,86.0,167.0,611.0,793.0,42.0,105.0,940.0,41582.0,3938.0,9044.0,54563.0
35247.0,15485.0,1321.0,2794.0,19600.0,10752.0,854.0,1778.0,13384.0,6819.0,836.0,1787.0,9442.0,2581.0,190.0,513.0,3284.0,3883.0,461.0,959.0,5303.0,809.0,92.0,219.0,1120.0,340.0,79.0,149.0,568.0,855.0,30.0,112.0,997.0,41524.0,3863.0,8311.0,53698.0,15092.0,1324.0,2904.0,19320.0,10566.0,917.0,1821.0,13304.0,6865.0,909.0,2095.0,9869.0,2605.0,214.0,574.0,3393.0,3887.0,488.0,1100.0,5474.0,808.0,95.0,218.0,1122.0,338.0,96.0,177.0,611.0,783.0,31.0,111.0,925.0,40944.0,4074.0,9000.0,54019.0,15296.0,1351.0,2872.0,19519.0,10481.0,824.0,1881.0,13186.0,6987.0,930.0,2088.0,10004.0,2676.0,207.0,640.0,3523.0,3944.0,546.0,1088.0,5578.0,875.0,66.0,226.0,1166.0,352.0,92.0,170.0,614.0,790.0,44.0,111.0,946.0,41400.0,4059.0,9076.0,54536.0
35278.0,15271.0,1387.0,2765.0,19423.0,10395.0,817.0,1880.0,13092.0,7088.0,967.0,1989.0,10044.0,2738.0,210.0,530.0,3478.0,4105.0,552.0,967.0,5624.0,1137.0,81.0,277.0,1495.0,313.0,85.0,165.0,563.0,873.0,57.0,129.0,1059.0,41920.0,4156.0,8702.0,54778.0,15218.0,1419.0,2896.0,19533.0,10305.0,813.0,1986.0,13104.0,6877.0,963.0,2162.0,10002.0,2731.0,214.0,596.0,3541.0,3997.0,574.0,1106.0,5676.0,974.0,71.0,289.0,1334.0,351.0,94.0,170.0,615.0,860.0,61.0,122.0,1042.0,41312.0,4209.0,9328.0,54849.0,15127.0,1397.0,2871.0,19395.0,10393.0,859.0,1896.0,13147.0,6907.0,959.0,2082.0,9948.0,2636.0,223.0,630.0,3489.0,3939.0,570.0,1078.0,5588.0,891.0,70.0,232.0,1193.0,342.0,99.0,172.0,613.0,785.0,46.0,114.0,945.0,41019.0,4223.0,9075.0,54317.0
35309.0,14005.0,1323.0,2713.0,18041.0,9767.0,801.0,1811.0,12379.0,6474.0,924.0,1927.0,9325.0,2689.0,201.0,562.0,3452.0,3703.0,587.0,883.0,5173.0,1027.0,72.0,184.0,1283.0,287.0,90.0,165.0,542.0,665.0,47.0,125.0,837.0,38617.0,4045.0,8370.0,51032.0,15019.0,1459.0,2908.0,19386.0,10209.0,900.0,1951.0,13059.0,6900.0,1008.0,2063.0,9971.0,2735.0,226.0,625.0,3586.0,3938.0,686.0,1075.0,5699.0,908.0,87.0,214.0,1208.0,331.0,109.0,178.0,618.0,750.0,47.0,125.0,921.0,40790.0,4521.0,9139.0,54449.0,14953.0,1462.0,2852.0,19268.0,10294.0,900.0,1910.0,13104.0,6820.0,983.0,2076.0,9879.0,2603.0,241.0,614.0,3458.0,3949.0,598.0,1066.0,5613.0,905.0,73.0,232.0,1209.0,333.0,104.0,173.0,610.0,778.0,48.0,114.0,940.0,40636.0,4409.0,9037.0,54082.0
35339.0,15577.0,1585.0,2667.0,19829.0,11358.0,905.0,1890.0,14153.0,6727.0,1073.0,1905.0,9705.0,2559.0,272.0,564.0,3395.0,4378.0,634.0,1055.0,6067.0,825.0,72.0,211.0,1108.0,302.0,120.0,189.0,611.0,760.0,62.0,115.0,937.0,42486.0,4723.0,8596.0,55805.0,14915.0,1525.0,2852.0,19292.0,10312.0,923.0,1888.0,13124.0,6730.0,1021.0,2001.0,9752.0,2459.0,267.0,618.0,3344.0,4010.0,601.0,1040.0,5652.0,877.0,66.0,209.0,1152.0,314.0,103.0,183.0,599.0,758.0,53.0,118.0,928.0,40375.0,4560.0,8909.0,53844.0,14860.0,1536.0,2819.0,19215.0,10243.0,945.0,1919.0,13107.0,6760.0,999.0,2073.0,9832.0,2590.0,257.0,600.0,3447.0,3973.0,623.0,1057.0,5653.0,913.0,75.0,226.0,1214.0,327.0,108.0,174.0,608.0,776.0,50.0,110.0,937.0,40443.0,4592.0,8978.0,54013.0
35370.0,15185.0,1750.0,2800.0,19735.0,10757.0,1072.0,1895.0,13724.0,6594.0,1074.0,2065.0,9733.0,2795.0,319.0,614.0,3728.0,4103.0,665.0,1097.0,5865.0,671.0,77.0,235.0,983.0,322.0,125.0,196.0,643.0,802.0,45.0,110.0,957.0,41229.0,5127.0,9012.0,55368.0,14761.0,1610.0,2761.0,19132.0,10362.0,998.0,1929.0,13289.0,6695.0,1036.0,2062.0,9793.0,2569.0,293.0,617.0,3479.0,3929.0,666.0,1074.0,5669.0,627.0,73.0,228.0,928.0,336.0,108.0,167.0,611.0,799.0,48.0,98.0,945.0,40078.0,4831.0,8937.0,53845.0,14920.0,1606.0,2788.0,19314.0,10316.0,994.0,1923.0,13233.0,6755.0,1014.0,2076.0,9845.0,2612.0,270.0,595.0,3476.0,4002.0,641.0,1059.0,5701.0,915.0,76.0,218.0,1209.0,329.0,108.0,173.0,611.0,786.0,53.0,105.0,943.0,40633.0,4762.0,8937.0,54333.0
35400.0,14248.0,1575.0,2521.0,18344.0,10471.0,1063.0,1848.0,13382.0,7026.0,1005.0,2063.0,10094.0,2531.0,301.0,577.0,3409.0,4055.0,594.0,1016.0,5665.0,1697.0,65.0,192.0,1954.0,246.0,123.0,129.0,498.0,743.0,47.0,79.0,869.0,41017.0,4773.0,8425.0,54215.0,14482.0,1671.0,2617.0,18770.0,9947.0,1046.0,1939.0,12932.0,6713.0,996.0,2120.0,9830.0,2542.0,282.0,553.0,3377.0,4008.0,587.0,981.0,5576.0,952.0,73.0,200.0,1225.0,308.0,129.0,144.0,581.0,763.0,46.0,86.0,895.0,39714.0,4831.0,8641.0,53186.0,15135.0,1670.0,2777.0,19582.0,10522.0,1041.0,1916.0,13479.0,6804.0,1030.0,2085.0,9919.0,2661.0,279.0,597.0,3537.0,4024.0,652.0,1070.0,5745.0,907.0,77.0,213.0,1197.0,338.0,109.0,173.0,620.0,806.0,55.0,99.0,960.0,41196.0,4912.0,8931.0,55039.0
