"Annex N - Table 1B: Apprenticeship Starts by Age, Ethnicity and Region (2008/09 to 2012/13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West Total,,"16,360",44.8%,"12,670",34.7%,"7,500",20.5%,"36,530","20,840",44.1%,"18,150",38.4%,"8,290",17.5%,"47,280","23,800",30.3%,"23,960",30.5%,"30,890",39.3%,"78,660","21,560",24.1%,"26,690",29.9%,"41,070",46.0%,"89,310","18,040",21.4%,"26,090",31.0%,"40,040",47.6%,"84,180"
Yorkshire and the Humber,Female,"5,990",40.4%,"4,560",30.8%,"4,270",28.8%,"14,810","7,000",39.9%,"6,720",38.3%,"3,840",21.9%,"17,560","6,710",22.5%,"8,620",28.9%,"14,490",48.6%,"29,820","6,780",21.0%,"9,490",29.3%,"16,060",49.7%,"32,340","6,000",19.3%,"9,400",30.3%,"15,650",50.4%,"31,050"
,Male,"8,860",51.0%,"5,720",32.9%,"2,780",16.0%,"17,360","8,930",47.1%,"7,360",38.8%,"2,680",14.1%,"18,970","10,050",38.7%,"8,260",31.8%,"7,680",29.5%,"25,990","11,200",35.2%,"10,140",31.8%,"10,520",33.0%,"31,860","8,990",31.1%,"9,880",34.2%,"9,990",34.6%,"28,850"
Yorkshire and the Humber Total,,"14,850",46.2%,"10,270",31.9%,"7,040",21.9%,"32,170","15,930",43.6%,"14,080",38.5%,"6,520",17.8%,"36,530","16,760",30.0%,"16,880",30.2%,"22,170",39.7%,"55,800","17,990",28.0%,"19,630",30.6%,"26,580",41.4%,"64,200","14,980",25.0%,"19,280",32.2%,"25,640",42.8%,"59,900"
East Midlands,Female,"4,810",39.7%,"4,090",33.7%,"3,230",26.6%,"12,130","5,770",42.3%,"5,350",39.1%,"2,540",18.6%,"13,660","5,750",25.3%,"6,730",29.6%,"10,270",45.2%,"22,750","5,610",22.3%,"7,780",30.9%,"11,770",46.8%,"25,160","5,280",19.2%,"8,690",31.6%,"13,560",49.3%,"27,530"
,Male,"4,820",48.0%,"3,590",35.7%,"1,630",16.2%,"10,050","5,070",46.3%,"4,640",42.4%,"1,250",11.4%,"10,970","6,100",33.7%,"5,630",31.1%,"6,380",35.2%,"18,110","6,430",29.7%,"6,660",30.8%,"8,540",39.5%,"21,630","6,050",28.2%,"7,070",32.9%,"8,350",38.9%,"21,480"
East Midlands Total,,"9,640",43.5%,"7,680",34.6%,"4,860",21.9%,"22,180","10,850",44.0%,"9,990",40.6%,"3,790",15.4%,"24,620","11,840",29.0%,"12,360",30.2%,"16,660",40.8%,"40,860","12,040",25.7%,"14,450",30.9%,"20,310",43.4%,"46,790","11,330",23.1%,"15,760",32.2%,"21,920",44.7%,"49,010"
West Midlands,Female,"5,650",36.5%,"5,280",34.1%,"4,540",29.3%,"15,470","6,730",39.7%,"6,400",37.8%,"3,800",22.4%,"16,930","6,830",23.5%,"8,640",29.7%,"13,580",46.8%,"29,050","6,630",20.8%,"9,600",30.2%,"15,590",49.0%,"31,810","5,800",16.9%,"10,420",30.4%,"18,020",52.6%,"34,240"
,Male,"5,690",45.9%,"4,460",36.0%,"2,250",18.2%,"12,390","6,860",46.4%,"6,120",41.3%,"1,820",12.3%,"14,790","8,860",35.1%,"8,250",32.7%,"8,140",32.2%,"25,240","9,040",31.5%,"8,880",31.0%,"10,750",37.5%,"28,660","6,790",24.1%,"9,470",33.6%,"11,940",42.3%,"28,200"
West Midlands Total,,"11,340",40.7%,"9,730",34.9%,"6,790",24.4%,"27,860","13,590",42.8%,"12,520",39.5%,"5,610",17.7%,"31,720","15,690",28.9%,"16,890",31.1%,"21,720",40.0%,"54,290","15,660",25.9%,"18,470",30.6%,"26,340",43.6%,"60,470","12,590",20.2%,"19,890",31.9%,"29,950",48.0%,"62,430"
East of England,Female,"3,560",32.9%,"3,930",36.3%,"3,330",30.8%,"10,820","4,480",37.7%,"5,090",42.8%,"2,310",19.4%,"11,880","5,350",24.1%,"6,890",31.1%,"9,920",44.8%,"22,160","5,480",21.9%,"7,750",30.9%,"11,830",47.2%,"25,060","5,200",20.0%,"8,320",32.0%,"12,510",48.1%,"26,020"
,Male,"5,000",48.3%,"3,810",36.8%,"1,550",14.9%,"10,350","5,690",48.0%,"4,870",41.1%,"1,290",10.9%,"11,860","6,810",38.7%,"5,810",33.0%,"4,980",28.3%,"17,600","6,670",32.1%,"6,670",32.1%,"7,430",35.8%,"20,760","5,810",28.8%,"6,950",34.4%,"7,440",36.8%,"20,200"
East of England Total,,"8,560",40.4%,"7,730",36.5%,"4,880",23.0%,"21,170","10,170",42.9%,"9,960",42.0%,"3,600",15.2%,"23,730","12,160",30.6%,"12,710",32.0%,"14,890",37.5%,"39,760","12,150",26.5%,"14,420",31.5%,"19,260",42.0%,"45,820","11,010",23.8%,"15,270",33.0%,"19,940",43.1%,"46,220"
London,Female,"2,910",31.4%,"2,890",31.3%,"3,450",37.3%,"9,250","3,820",36.6%,"4,230",40.5%,"2,400",22.9%,"10,450","5,030",21.9%,"6,660",29.0%,"11,290",49.1%,"22,980","5,210",20.2%,"7,320",28.5%,"13,200",51.3%,"25,730","4,710",18.7%,"7,530",29.9%,"12,900",51.3%,"25,140"
,Male,"3,190",40.3%,"2,890",36.4%,"1,850",23.3%,"7,930","4,060",41.0%,"4,340",43.8%,"1,500",15.1%,"9,900","5,600",30.4%,"6,310",34.2%,"6,520",35.4%,"18,420","5,460",25.4%,"6,420",29.8%,"9,630",44.8%,"21,510","4,780",24.0%,"6,500",32.6%,"8,650",43.4%,"19,930"
London Total,,"6,100",35.5%,"5,780",33.6%,"5,300",30.8%,"17,180","7,880",38.7%,"8,570",42.1%,"3,900",19.1%,"20,350","10,620",25.7%,"12,970",31.3%,"17,810",43.0%,"41,400","10,670",22.6%,"13,740",29.1%,"22,820",48.3%,"47,230","9,490",21.0%,"14,030",31.1%,"21,560",47.8%,"45,070"
South East,Female,"5,190",33.2%,"5,730",36.7%,"4,710",30.2%,"15,640","6,240",36.9%,"7,460",44.1%,"3,200",18.9%,"16,900","6,900",22.3%,"9,890",32.1%,"14,070",45.6%,"30,860","7,400",21.1%,"11,200",31.8%,"16,570",47.1%,"35,170","6,970",19.1%,"11,780",32.2%,"17,810",48.7%,"36,560"
,Male,"7,580",39.1%,"8,340",43.0%,"3,490",18.0%,"19,410","8,290",37.3%,"10,710",48.2%,"3,220",14.5%,"22,220","8,830",32.1%,"10,700",39.0%,"7,950",28.9%,"27,480","8,830",27.9%,"11,570",36.5%,"11,280",35.6%,"31,680","8,380",25.9%,"12,510",38.6%,"11,510",35.5%,"32,400"
South East Total,,"12,770",36.4%,"14,080",40.2%,"8,200",23.4%,"35,040","14,530",37.1%,"18,170",46.4%,"6,420",16.4%,"39,120","15,720",26.9%,"20,600",35.3%,"22,020",37.7%,"58,340","16,240",24.3%,"22,770",34.1%,"27,850",41.7%,"66,850","15,350",22.3%,"24,300",35.2%,"29,320",42.5%,"68,960"
South West ,Female,"3,990",32.5%,"4,560",37.1%,"3,750",30.5%,"12,300","5,130",32.6%,"6,620",42.0%,"4,000",25.4%,"15,740","5,250",20.8%,"8,170",32.4%,"11,770",46.7%,"25,190","5,580",19.4%,"9,390",32.6%,"13,800",48.0%,"28,770","5,480",20.2%,"9,060",33.4%,"12,610",46.4%,"27,150"
,Male,"6,570",42.4%,"6,450",41.7%,"2,470",15.9%,"15,490","7,490",38.9%,"8,790",45.6%,"3,000",15.5%,"19,280","7,600",31.5%,"9,000",37.3%,"7,540",31.2%,"24,140","7,480",27.5%,"9,840",36.2%,"9,860",36.3%,"27,180","7,100",28.0%,"9,310",36.7%,"8,980",35.4%,"25,390"
South West Total,,"10,560",38.0%,"11,010",39.6%,"6,220",22.4%,"27,790","12,620",36.0%,"15,410",44.0%,"6,990",20.0%,"35,020","12,850",26.1%,"17,170",34.8%,"19,310",39.1%,"49,330","13,060",23.3%,"19,230",34.4%,"23,660",42.3%,"55,950","12,590",24.0%,"18,370",35.0%,"21,580",41.1%,"52,540"
Other,Female,430,35.9%,410,34.6%,350,29.5%,"1,200",440,37.6%,470,39.4%,270,23.0%,"1,180",390,20.2%,590,30.7%,950,49.1%,"1,930",400,16.1%,750,30.0%,"1,350",53.8%,"2,500",420,15.2%,870,31.5%,"1,470",53.3%,"2,770"
,Male,730,45.2%,610,37.9%,270,16.9%,"1,610",880,54.6%,530,33.3%,190,12.1%,"1,600",790,34.7%,740,32.4%,750,32.9%,"2,290",900,29.0%,960,31.0%,"1,240",39.9%,"3,100","1,080",32.9%,"1,070",32.5%,"1,130",34.5%,"3,270"
Other Total,,"1,160",41.2%,"1,020",36.5%,630,22.3%,"2,810","1,320",47.4%,"1,000",35.9%,470,16.7%,"2,790","1,180",28.1%,"1,330",31.6%,"1,700",40.3%,"4,220","1,300",23.3%,"1,710",30.6%,"2,590",46.1%,"5,600","1,500",24.8%,"1,940",32.1%,"2,600",43.1%,"6,040"
Grand Total,,"99,400",41.4%,"84,700",35.3%,"55,900",23.3%,"239,900","116,800",41.8%,"113,800",40.7%,"49,100",17.6%,"279,700","131,700",28.8%,"143,400",31.4%,"182,100",39.8%,"457,200","129,900",25.0%,"161,400",31.0%,"229,300",44.0%,"520,600","114,500",22.4%,"165,400",32.4%,"230,300",45.1%,"510,200"
Annex N - Table 3B.1: Apprenticeship Starts by Age and Learners with Learning Difficulties and/or Disabilities and Region (2008/09 to 2012/13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008/09,,,,,,,2009/10,,,,,,,2010/11,,,,,,,2011/12,,,,,,,2012/13,,,,,,
,,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All
Region,Learning Difficulties and/or Disabilities,Number,% of LLDD,Number,% of LLDD,Number,% of LLDD ,Number,Number,% of LLDD,Number,% of LLDD,Number,% of LLDD ,Number,Number,% of LLDD,Number,% of LLDD,Number,% of LLDD ,Number,Number,% of LLDD,Number,% of LLDD,Number,% of LLDD ,Number,Number,% of LLDD,Number,% of LLDD,Number,% of LLDD ,Number
North East,Learning Difficulty/Disability,710,55.9%,280,21.5%,290,22.6%,"1,280",820,60.6%,370,27.6%,160,11.9%,"1,350",810,37.2%,570,26.2%,800,36.6%,"2,190",640,28.4%,610,27.3%,990,44.2%,"2,240",510,22.2%,710,30.9%,"1,080",46.9%,"2,300"
,No Learning Difficulty/Disability,"7,290",45.9%,"4,450",28.0%,"4,150",26.1%,"15,890","8,180",48.2%,"5,500",32.4%,"3,290",19.4%,"16,970","10,190",31.8%,"7,920",24.7%,"13,970",43.5%,"32,080","8,500",23.8%,"9,590",26.8%,"17,670",49.4%,"35,760","7,070",21.3%,"9,670",29.1%,"16,500",49.6%,"33,250"
,Not Known,20,32.8%,20,37.5%,20,29.7%,60,50,24.5%,60,28.1%,90,47.4%,200,70,25.0%,70,24.6%,140,50.4%,280,100,27.9%,110,30.9%,140,41.2%,340,80,24.0%,90,28.0%,160,48.0%,330
North East Total,,"8,030",46.6%,"4,750",27.6%,"4,460",25.9%,"17,230","9,040",48.8%,"5,930",32.0%,"3,540",19.1%,"18,510","11,070",32.0%,"8,570",24.8%,"14,910",43.2%,"34,550","9,230",24.1%,"10,310",26.9%,"18,800",49.0%,"38,340","7,660",21.4%,"10,480",29.2%,"17,740",49.4%,"35,870"
North West,Learning Difficulty/Disability,"1,660",52.6%,990,31.2%,510,16.2%,"3,160","2,220",53.3%,"1,400",33.7%,540,13.0%,"4,160","2,120",37.8%,"1,680",29.9%,"1,810",32.3%,"5,610","1,800",29.4%,"1,820",29.6%,"2,520",41.0%,"6,140","1,800",27.2%,"2,080",31.5%,"2,720",41.2%,"6,590"
,No Learning Difficulty/Disability,"14,600",44.0%,"11,640",35.1%,"6,960",21.0%,"33,190","18,380",43.2%,"16,580",39.0%,"7,590",17.8%,"42,560","21,510",29.7%,"22,080",30.5%,"28,790",39.8%,"72,380","19,460",23.9%,"24,370",29.9%,"37,680",46.2%,"81,510","16,060",20.9%,"23,740",31.0%,"36,910",48.1%,"76,710"
,Not Known,100,55.1%,40,25.0%,40,19.9%,180,240,42.8%,160,28.8%,160,28.4%,560,180,26.5%,200,29.5%,300,44.0%,670,290,17.5%,510,30.2%,880,52.4%,"1,670",190,21.4%,270,30.6%,420,48.0%,880
North West Total,,"16,360",44.8%,"12,670",34.7%,"7,500",20.5%,"36,530","20,840",44.1%,"18,150",38.4%,"8,290",17.5%,"47,280","23,800",30.3%,"23,960",30.5%,"30,890",39.3%,"78,660","21,560",24.1%,"26,690",29.9%,"41,070",46.0%,"89,310","18,040",21.4%,"26,090",31.0%,"40,040",47.6%,"84,180"
Yorkshire and the Humber,Learning Difficulty/Disability,"1,690",53.2%,840,26.4%,650,20.4%,"3,180","1,950",49.4%,"1,320",33.5%,670,17.0%,"3,940","1,900",42.4%,"1,220",27.2%,"1,370",30.5%,"4,500","1,710",36.2%,"1,370",29.1%,"1,640",34.7%,"4,720","1,510",31.9%,"1,490",31.5%,"1,730",36.6%,"4,720"
,No Learning Difficulty/Disability,"13,080",45.4%,"9,380",32.6%,"6,350",22.0%,"28,820","13,900",43.0%,"12,650",39.1%,"5,790",17.9%,"32,350","14,740",29.0%,"15,560",30.6%,"20,620",40.5%,"50,920","16,140",27.4%,"18,060",30.7%,"24,650",41.9%,"58,840","13,370",24.5%,"17,610",32.2%,"23,630",43.3%,"54,600"
,Not Known,80,44.2%,50,31.4%,40,24.4%,170,90,34.5%,110,41.7%,60,23.8%,250,110,28.4%,100,25.1%,180,46.5%,390,140,22.2%,200,31.6%,300,46.3%,640,110,18.2%,190,32.7%,290,49.1%,580
Yorkshire and the Humber Total,,"14,850",46.2%,"10,270",31.9%,"7,040",21.9%,"32,170","15,930",43.6%,"14,080",38.5%,"6,520",17.8%,"36,530","16,760",30.0%,"16,880",30.2%,"22,170",39.7%,"55,800","17,990",28.0%,"19,630",30.6%,"26,580",41.4%,"64,200","14,980",25.0%,"19,280",32.2%,"25,640",42.8%,"59,900"
East Midlands,Learning Difficulty/Disability,"1,160",46.1%,700,27.7%,660,26.2%,"2,510","1,360",53.2%,880,34.3%,320,12.5%,"2,560","1,290",35.3%,"1,010",27.7%,"1,350",37.0%,"3,640","1,220",32.3%,"1,180",31.1%,"1,380",36.6%,"3,780","1,280",29.2%,"1,400",32.0%,"1,690",38.7%,"4,360"
,No Learning Difficulty/Disability,"8,410",43.0%,"6,950",35.6%,"4,180",21.4%,"19,540","9,390",43.0%,"9,050",41.5%,"3,400",15.6%,"21,830","10,500",28.4%,"11,280",30.5%,"15,210",41.1%,"36,980","10,750",25.2%,"13,150",30.8%,"18,730",43.9%,"42,620","9,970",22.5%,"14,240",32.2%,"20,050",45.3%,"44,250"
,Not Known,80,57.5%,40,26.1%,20,16.4%,130,100,42.9%,60,27.0%,70,30.0%,230,60,24.8%,70,30.4%,100,44.8%,230,70,17.6%,130,32.1%,200,50.4%,390,90,21.8%,130,32.7%,180,45.6%,400
East Midlands Total,,"9,640",43.5%,"7,680",34.6%,"4,860",21.9%,"22,180","10,850",44.0%,"9,990",40.6%,"3,790",15.4%,"24,620","11,840",29.0%,"12,360",30.2%,"16,660",40.8%,"40,860","12,040",25.7%,"14,450",30.9%,"20,310",43.4%,"46,790","11,330",23.1%,"15,760",32.2%,"21,920",44.7%,"49,010"
West Midlands,Learning Difficulty/Disability,"1,190",47.1%,680,27.2%,650,25.8%,"2,520","1,540",51.2%,"1,050",34.9%,420,13.9%,"3,010","1,490",33.6%,"1,380",31.3%,"1,550",35.1%,"4,420","1,420",29.9%,"1,430",30.1%,"1,900",40.0%,"4,740","1,250",23.5%,"1,690",31.8%,"2,370",44.6%,"5,310"
,No Learning Difficulty/Disability,"10,070",40.0%,"9,010",35.8%,"6,090",24.2%,"25,170","11,940",41.9%,"11,380",40.0%,"5,160",18.1%,"28,480","14,110",28.5%,"15,310",31.0%,"19,990",40.5%,"49,410","14,080",25.6%,"16,790",30.6%,"24,090",43.8%,"54,960","11,220",19.8%,"17,990",31.8%,"27,330",48.3%,"56,550"
,Not Known,80,48.2%,50,26.8%,40,25.0%,170,110,46.8%,90,37.3%,40,15.9%,230,90,20.3%,190,42.4%,170,37.3%,460,170,21.5%,250,33.2%,350,45.3%,770,120,21.2%,210,35.6%,250,43.2%,580
West Midlands Total,,"11,340",40.7%,"9,730",34.9%,"6,790",24.4%,"27,860","13,590",42.8%,"12,520",39.5%,"5,610",17.7%,"31,720","15,690",28.9%,"16,890",31.1%,"21,720",40.0%,"54,290","15,660",25.9%,"18,470",30.6%,"26,340",43.6%,"60,470","12,590",20.2%,"19,890",31.9%,"29,950",48.0%,"62,430"
East of England,Learning Difficulty/Disability,990,40.1%,770,30.9%,720,29.0%,"2,470","1,030",44.2%,900,38.6%,400,17.1%,"2,330","1,350",38.2%,"1,120",31.5%,"1,070",30.2%,"3,540","1,290",34.1%,"1,200",31.8%,"1,290",34.1%,"3,780","1,080",27.0%,"1,370",34.4%,"1,530",38.6%,"3,980"
,No Learning Difficulty/Disability,"7,480",40.4%,"6,920",37.4%,"4,100",22.2%,"18,500","9,060",42.7%,"8,980",42.3%,"3,170",14.9%,"21,210","10,690",29.7%,"11,530",32.1%,"13,730",38.2%,"35,950","10,690",25.8%,"13,060",31.5%,"17,760",42.8%,"41,510","9,820",23.5%,"13,740",32.9%,"18,210",43.6%,"41,770"
,Not Known,100,46.6%,50,26.0%,60,27.5%,200,80,40.6%,80,40.6%,40,18.8%,200,120,43.6%,60,22.9%,90,33.5%,280,160,30.8%,160,30.4%,210,38.8%,530,120,25.5%,160,33.7%,200,40.8%,480
East of England Total,,"8,560",40.4%,"7,730",36.5%,"4,880",23.0%,"21,170","10,170",42.9%,"9,960",42.0%,"3,600",15.2%,"23,730","12,160",30.6%,"12,710",32.0%,"14,890",37.5%,"39,760","12,150",26.5%,"14,420",31.5%,"19,260",42.0%,"45,820","11,010",23.8%,"15,270",33.0%,"19,940",43.1%,"46,220"
London,Learning Difficulty/Disability,580,31.6%,570,30.6%,700,37.8%,"1,850",700,38.5%,760,42.1%,350,19.4%,"1,810",850,30.5%,950,33.8%,"1,000",35.6%,"2,800",830,28.4%,"1,010",34.8%,"1,070",36.8%,"2,900",700,23.2%,"1,060",35.5%,"1,230",41.2%,"2,990"
,No Learning Difficulty/Disability,"5,430",35.9%,"5,160",34.0%,"4,560",30.1%,"15,140","7,060",38.7%,"7,700",42.2%,"3,480",19.1%,"18,240","9,630",25.2%,"11,920",31.2%,"16,700",43.7%,"38,240","9,720",22.3%,"12,520",28.7%,"21,350",49.0%,"43,590","8,620",20.9%,"12,690",30.8%,"19,950",48.4%,"41,260"
,Not Known,90,45.5%,60,31.2%,40,23.3%,190,130,41.9%,110,35.0%,70,23.1%,300,140,39.4%,100,27.8%,120,32.8%,360,120,16.5%,210,28.4%,410,55.1%,740,170,21.1%,280,33.6%,370,45.3%,820
London Total,,"6,100",35.5%,"5,780",33.6%,"5,300",30.8%,"17,180","7,880",38.7%,"8,570",42.1%,"3,900",19.1%,"20,350","10,620",25.7%,"12,970",31.3%,"17,810",43.0%,"41,400","10,670",22.6%,"13,740",29.1%,"22,820",48.3%,"47,230","9,490",21.0%,"14,030",31.1%,"21,560",47.8%,"45,070"
South East,Learning Difficulty/Disability,"1,520",40.6%,"1,290",34.5%,930,24.9%,"3,730","1,640",44.9%,"1,520",41.7%,490,13.4%,"3,650","1,870",36.3%,"1,770",34.4%,"1,510",29.3%,"5,140","1,930",32.5%,"2,050",34.4%,"1,970",33.2%,"5,950","1,850",28.4%,"2,340",35.9%,"2,340",35.8%,"6,530"
,No Learning Difficulty/Disability,"11,100",35.8%,"12,700",41.0%,"7,190",23.2%,"30,990","12,710",36.2%,"16,490",47.0%,"5,860",16.7%,"35,060","13,660",25.9%,"18,670",35.4%,"20,360",38.6%,"52,680","14,070",23.4%,"20,440",34.1%,"25,500",42.5%,"60,010","13,290",21.6%,"21,700",35.2%,"26,650",43.2%,"61,630"
,Not Known,150,47.2%,90,27.2%,80,25.6%,320,190,45.1%,150,37.4%,70,17.5%,410,200,37.6%,160,31.6%,160,30.8%,520,240,26.3%,280,31.6%,380,42.1%,890,210,26.3%,250,31.8%,340,41.9%,800
South East Total,,"12,770",36.4%,"14,080",40.2%,"8,200",23.4%,"35,040","14,530",37.1%,"18,170",46.4%,"6,420",16.4%,"39,120","15,720",26.9%,"20,600",35.3%,"22,020",37.7%,"58,340","16,240",24.3%,"22,770",34.1%,"27,850",41.7%,"66,850","15,350",22.3%,"24,300",35.2%,"29,320",42.5%,"68,960"
South West ,Learning Difficulty/Disability,"1,180",43.2%,950,34.7%,610,22.1%,"2,740","1,410",42.5%,"1,350",40.7%,560,16.8%,"3,320","1,480",32.7%,"1,530",33.7%,"1,520",33.6%,"4,530","1,500",27.4%,"1,840",33.6%,"2,130",39.0%,"5,470","1,620",28.9%,"1,930",34.4%,"2,060",36.7%,"5,600"
,No Learning Difficulty/Disability,"9,270",37.3%,"9,990",40.2%,"5,570",22.4%,"24,820","11,100",35.3%,"13,980",44.4%,"6,370",20.3%,"31,460","11,260",25.4%,"15,530",35.0%,"17,610",39.7%,"44,400","11,420",22.9%,"17,190",34.5%,"21,220",42.6%,"49,830","10,460",22.9%,"16,100",35.3%,"19,100",41.8%,"45,660"
,Not Known,110,48.9%,70,30.8%,50,20.3%,230,110,42.6%,80,33.3%,60,24.1%,250,120,29.0%,110,28.2%,170,42.8%,400,150,22.1%,210,31.5%,310,46.4%,660,510,39.6%,350,27.1%,430,33.3%,"1,280"
South West Total,,"10,560",38.0%,"11,010",39.6%,"6,220",22.4%,"27,790","12,620",36.0%,"15,410",44.0%,"6,990",20.0%,"35,020","12,850",26.1%,"17,170",34.8%,"19,310",39.1%,"49,330","13,060",23.3%,"19,230",34.4%,"23,660",42.3%,"55,950","12,590",24.0%,"18,370",35.0%,"21,580",41.1%,"52,540"
Other,Learning Difficulty/Disability,110,41.3%,90,34.9%,60,23.8%,270,160,56.2%,80,28.3%,40,15.6%,280,100,34.2%,90,30.6%,110,35.2%,300,100,22.8%,130,32.2%,190,45.0%,420,110,22.5%,160,32.8%,210,44.6%,480
,No Learning Difficulty/Disability,"1,040",41.2%,920,36.6%,560,22.2%,"2,520","1,160",46.4%,920,36.9%,420,16.7%,"2,500","1,070",27.8%,"1,220",31.6%,"1,570",40.6%,"3,860","1,190",23.4%,"1,550",30.3%,"2,350",46.2%,"5,090","1,380",25.1%,"1,750",32.0%,"2,350",42.9%,"5,480"
,Not Known,10,47.1%,10,41.2%,-,-,20,10,46.2%,-,-,10,46.2%,10,10,14.3%,20,37.5%,30,48.2%,60,20,16.0%,30,36.2%,50,47.9%,90,20,19.5%,30,32.9%,40,47.6%,80
Other Total,,"1,160",41.2%,"1,020",36.5%,630,22.3%,"2,810","1,320",47.4%,"1,000",35.9%,470,16.7%,"2,790","1,180",28.1%,"1,330",31.6%,"1,700",40.3%,"4,220","1,300",23.3%,"1,710",30.6%,"2,590",46.1%,"5,600","1,500",24.8%,"1,940",32.1%,"2,600",43.1%,"6,040"
Grand Total,,"99,400",41.4%,"84,700",35.3%,"55,900",23.3%,"239,900","116,800",41.8%,"113,800",40.7%,"49,100",17.6%,"279,700","131,700",28.8%,"143,400",31.4%,"182,100",39.8%,"457,200","129,900",25.0%,"161,400",31.0%,"229,300",44.0%,"520,600","114,500",22.4%,"165,400",32.4%,"230,300",45.1%,"510,200"
Annex N -  Table 3B.2: Apprenticeship Starts by Age and Learners with Disability and Region (2008/09 to 2012/13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Funded Learners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008/09,,,,,,,2009/10,,,,,,,2010/11,,,,,,,2011/12,,,,,,,2012/13,,,,,,
,,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All,Under 19,,19-24,,25+,,All
Region,Disability,Number,% of Disability,Number,% of Disability,Number,% of Disability,Number,Number,% of Disability,Number,% of Disability,Number,% of Disability  ,Number,Number,% of Disability,Number,% of Disability,Number,% of Disability  ,Number,Number,% of Disability,Number,% of Disability,Number,% of Disability  ,Number,Number,% of Disability,Number,% of Disability,Number,% of Disability  ,Number
North East,Visual Impairment,30,24.3%,20,18.9%,60,56.8%,110,20,46.2%,20,28.8%,10,25.0%,50,40,30.3%,30,20.5%,60,49.2%,120,40,26.1%,30,20.1%,70,53.7%,130,30,20.6%,30,24.3%,80,55.1%,140
,Hearing Impairment,20,44.7%,10,28.9%,10,26.3%,40,20,37.7%,20,30.2%,20,32.1%,50,30,22.8%,20,20.2%,70,57.0%,110,10,13.2%,10,13.2%,80,73.6%,110,10,11.4%,20,15.4%,90,73.2%,120
,Disability Affecting Mobility,-,-,10,40.0%,10,33.3%,20,10,19.2%,10,34.6%,10,46.2%,30,10,18.5%,10,24.1%,30,57.4%,50,10,9.1%,10,21.2%,50,69.7%,70,10,19.0%,10,17.5%,40,63.5%,60
,Other Physical Disability,10,48.0%,10,20.0%,10,32.0%,30,20,68.2%,-,-,-,-,20,10,12.9%,20,31.4%,40,55.7%,70,10,21.1%,10,14.0%,40,64.9%,60,10,12.9%,20,21.4%,50,65.7%,70
,"Other Medical Condition (For Example Epilepsy, Asthma, Diabetes)",210,58.5%,70,20.7%,70,20.7%,360,270,67.8%,100,24.8%,30,7.5%,400,240,38.1%,160,24.8%,240,37.1%,630,200,30.4%,180,27.2%,280,42.4%,650,160,22.8%,180,26.9%,340,50.3%,680
,Emotional/Behavioural Difficulties,20,87.5%,-,-,-,-,20,20,73.3%,10,23.3%,-,-,30,20,51.7%,10,24.1%,10,24.1%,30,10,34.8%,10,39.1%,10,26.1%,20,10,20.8%,10,41.7%,10,37.5%,20
,Mental Health Difficulty,10,50.0%,-,-,10,42.9%,10,10,50.0%,10,27.3%,10,22.7%,20,10,30.3%,10,24.2%,20,45.5%,30,-,-,10,23.4%,30,68.1%,50,10,15.2%,20,25.8%,40,59.1%,70
,Temporary Disability After Illness (For Example Post-Viral) or Accident,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,10,85.7%,10,-,-,-,-,-,-,10
,Profound Complex Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Aspergers Syndrome,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,44.4%,10,33.3%,20,10,42.1%,-,-,10,36.8%,20,-,-,10,53.3%,-,-,20
,Multiple Disabilities,10,25.0%,-,-,20,62.5%,20,10,40.0%,10,25.0%,10,35.0%,20,10,20.0%,-,-,20,66.7%,30,10,14.6%,10,12.5%,40,72.9%,50,-,-,20,34.0%,30,59.6%,50
,Other,90,75.0%,30,21.0%,10,4.0%,120,90,65.2%,30,24.4%,10,10.4%,140,100,41.0%,50,21.8%,90,37.2%,240,80,30.2%,60,23.0%,120,46.8%,270,60,23.9%,80,30.7%,120,45.5%,260
,No Disability,"7,600",46.3%,"4,570",27.9%,"4,240",25.8%,"16,410","8,520",48.6%,"5,680",32.4%,"3,340",19.1%,"17,540","10,530",32.0%,"8,160",24.8%,"14,180",43.1%,"32,870","8,500",23.8%,"9,580",26.8%,"17,650",49.4%,"35,730","7,040",21.3%,"9,560",29.0%,"16,420",49.7%,"33,020"
