Table 1A: FE and Skills Participation by Age and Ethnicity (2008/09 to 2013/14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian/ Asian British,"36,960",7.3%,"25,860",9.1%,"100,200",15.1%,"126,060",13.3%,"163,020",11.2%,"37,830",7.3%,"24,380",8.5%,"93,800",15.1%,"118,180",13.0%,"156,010",10.9%,"38,360",7.5%,"24,460",8.2%,"95,470",14.4%,"119,920",12.5%,"158,280",10.8%,"36,090",7.9%,"24,200",7.6%,"93,760",12.3%,"117,960",10.9%,"154,040",10.0%,"32,820",7.9%,"21,920",7.1%,"88,490",11.9%,"110,420",10.5%,"143,240",9.8%,"31,690",7.9%,"21,100",7.2%,"78,020",11.8%,"99,120",10.4%,"130,810",9.7%,7.8%,8.0%
Black/ African/ Caribbean/ Black British,"26,690",5.3%,"18,170",6.4%,"66,030",10.0%,"84,190",8.9%,"110,880",7.6%,"26,800",5.1%,"18,600",6.5%,"64,570",10.4%,"83,160",9.1%,"109,960",7.7%,"27,430",5.4%,"19,020",6.4%,"69,000",10.4%,"88,030",9.2%,"115,450",7.8%,"25,350",5.6%,"19,500",6.1%,"73,940",9.7%,"93,430",8.6%,"118,780",7.7%,"23,150",5.6%,"17,370",5.6%,"67,160",9.1%,"84,530",8.1%,"107,680",7.4%,"22,510",5.6%,"16,750",5.7%,"61,360",9.3%,"78,110",8.2%,"100,620",7.4%,3.3%,3.2%
Mixed/ Multiple Ethnic Group,"15,050",3.0%,"7,170",2.5%,"13,360",2.0%,"20,530",2.2%,"35,570",2.5%,"16,140",3.1%,"7,640",2.7%,"13,000",2.1%,"20,640",2.3%,"36,780",2.6%,"16,320",3.2%,"8,310",2.8%,"14,160",2.1%,"22,470",2.3%,"38,790",2.6%,"15,400",3.4%,"9,280",2.9%,"17,440",2.3%,"26,720",2.5%,"42,120",2.7%,"14,420",3.5%,"8,890",2.9%,"16,870",2.3%,"25,760",2.5%,"40,170",2.7%,"14,580",3.6%,"8,870",3.0%,"16,360",2.5%,"25,230",2.7%,"39,810",2.9%,1.0%,1.2%
Other Ethnic Group,"6,900",1.4%,"7,320",2.6%,"29,860",4.5%,"37,190",3.9%,"44,080",3.0%,"8,130",1.6%,"7,770",2.7%,"29,880",4.8%,"37,650",4.1%,"45,780",3.2%,"7,130",1.4%,"6,350",2.1%,"28,650",4.3%,"35,000",3.6%,"42,140",2.9%,"6,720",1.5%,"6,140",1.9%,"27,830",3.6%,"33,970",3.1%,"40,690",2.6%,"6,530",1.6%,"5,960",1.9%,"27,210",3.7%,"33,170",3.2%,"39,700",2.7%,"6,760",1.7%,"5,400",1.8%,"25,720",3.9%,"31,120",3.3%,"37,880",2.8%,2.0%,2.0%
Total BAME,"85,590",17.0%,"58,520",20.6%,"209,450",31.7%,"267,970",28.4%,"353,560",24.4%,"88,890",17.0%,"58,380",20.4%,"201,250",32.3%,"259,630",28.6%,"348,530",24.4%,"89,240",17.5%,"58,140",19.5%,"207,280",31.2%,"265,420",27.6%,"354,660",24.1%,"83,550",18.4%,"59,110",18.6%,"212,960",27.8%,"272,080",25.1%,"355,620",23.1%,"76,910",18.6%,"54,140",17.6%,"199,740",26.9%,"253,870",24.2%,"330,780",22.6%,"75,530",18.7%,"52,120",17.8%,"181,460",27.5%,"233,580",24.5%,"309,110",22.8%,14.2%,14.5%
White,"412,090",81.6%,"220,110",77.6%,"435,180",65.8%,"655,290",69.3%,"1,067,380",73.6%,"426,390",81.8%,"222,810",77.9%,"406,640",65.3%,"629,450",69.2%,"1,055,840",73.8%,"414,820",81.4%,"235,780",79.2%,"443,630",66.8%,"679,400",70.6%,"1,094,220",74.4%,"367,210",80.7%,"255,160",80.2%,"538,790",70.4%,"793,940",73.3%,"1,161,150",75.5%,"332,480",80.5%,"249,240",80.9%,"526,070",70.9%,"775,310",73.9%,"1,107,790",75.7%,"321,920",79.9%,"236,130",80.7%,"464,330",70.4%,"700,470",73.6%,"1,022,390",75.5%,85.7%,85.4%
Not Known/Not Provided,"7,040",1.4%,"5,050",1.8%,"16,770",2.5%,"21,820",2.3%,"28,860",2.0%,"6,200",1.2%,"4,910",1.7%,"15,150",2.4%,"20,060",2.2%,"26,260",1.8%,"5,440",1.1%,"3,810",1.3%,"13,220",2.0%,"17,030",1.8%,"22,460",1.5%,"4,530",1.0%,"3,990",1.3%,"13,030",1.7%,"17,030",1.6%,"21,560",1.4%,"3,820",0.9%,"4,690",1.5%,"15,720",2.1%,"20,410",1.9%,"24,230",1.7%,"5,640",1.4%,"4,480",1.5%,"13,320",2.0%,"17,800",1.9%,"23,440",1.7%,0.1%,0.1%
Grand Total,"504,700",100.0%,"283,700",100.0%,"661,400",100.0%,"945,100",100.0%,"1,449,800",100.0%,"521,500",100.0%,"286,100",100.0%,"623,000",100.0%,"909,100",100.0%,"1,430,600",100.0%,"509,500",100.0%,"297,700",100.0%,"664,100",100.0%,"961,800",100.0%,"1,471,300",100.0%,"455,300",100.0%,"318,300",100.0%,"764,800",100.0%,"1,083,000",100.0%,"1,538,300",100.0%,"413,200",100.0%,"308,100",100.0%,"741,500",100.0%,"1,049,600",100.0%,"1,462,800",100.0%,"403,100",100.0%,"292,700",100.0%,"659,100",100.0%,"951,800",100.0%,"1,354,900",100.0%,100.0%,100.0%
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Figures for 2011/12 onwards are not directly comparable to earlier years as a Single Individualised Learner Record (ILR) data collection system has been introduced. More information on the Single ILR is available at: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://webarchive.nationalarchives.gov.uk/20140107201041/http://www.thedataservice.org.uk/NR/rdonlyres/C05DCDD5-67EE-4AD0-88B9-BEBC8F7F3300/0/SILR_Effects_SFR_Learners_June12.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) 'Total BAME' is the sum of learners from a Black, Asian or Minority Ethnic group. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) English Population figures are gathered from the Office for National Statistics, Quarter 4 2012 Labour Force Survey (ages 19 to 64 only).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
