Table 4,,,,,,,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,,,,,,,
"by Region, Geographic Division, and State, 2006–2007",,,,,,,,,,,,,,,,,,,,,,,
Area,Year,Population1,Violent crime,,Murder and nonnegligent manslaughter,,Forcible rape,,Robbery,,Aggravated assault,,Property crime,,Burglary,,Larceny-theft,,Motor vehicle theft,,,,
,Percent change,,-3.2,-4.0,-6.8,-7.6,-3.1,-3.9,9.3,8.4,-6.3,-7.1,0.5,-0.4,0.1,-0.8,1.3,0.5,-6.1,-6.9,,,
Louisiana2,2006.0,4287768.0,29917.0,697.7,528.0,12.3,1562.0,36.4,5729.0,133.6,22098.0,515.4,171239.0,3993.7,44986.0,1049.2,110613.0,2579.7,15640.0,364.8,,,
,2007.0,4293204.0,31317.0,729.5,608.0,14.2,1393.0,32.4,6083.0,141.7,23233.0,541.2,174991.0,4076.0,44602.0,1038.9,115209.0,2683.5,15180.0,353.6,,,
,Percent change,,4.7,4.5,15.2,15.0,-10.8,-10.9,6.2,6.0,5.1,5.0,2.2,2.1,-0.9,-1.0,4.2,4.0,-2.9,-3.1,,,
Oklahoma,2006.0,3579212.0,17803.0,497.4,207.0,5.8,1488.0,41.6,3133.0,87.5,12975.0,362.5,129002.0,3604.2,34377.0,960.5,81267.0,2270.5,13358.0,373.2,,,
,2007.0,3617316.0,18072.0,499.6,222.0,6.1,1559.0,43.1,3373.0,93.2,12918.0,357.1,127562.0,3526.4,34121.0,943.3,79982.0,2211.1,13459.0,372.1,,,
,Percent change,,1.5,0.4,7.2,6.1,4.8,3.7,7.7,6.5,-0.4,-1.5,-1.1,-2.2,-0.7,-1.8,-1.6,-2.6,0.8,-0.3,,,
Texas,2006.0,23507783.0,121378.0,516.3,1384.0,5.9,8372.0,35.6,37254.0,158.5,74368.0,316.4,959460.0,4081.5,215647.0,917.3,648384.0,2758.2,95429.0,405.9,,,
,2007.0,23904380.0,122054.0,510.6,1420.0,5.9,8439.0,35.3,38769.0,162.2,73426.0,307.2,985142.0,4121.2,228313.0,955.1,662930.0,2773.3,93899.0,392.8,,,
,Percent change,,0.6,-1.1,2.6,0.9,0.8,-0.9,4.1,2.3,-1.3,-2.9,2.7,1.0,5.9,4.1,2.2,0.5,-1.6,-3.2,,,
West2,2006.0,69355643.0,328427.0,473.5,3904.0,5.6,22072.0,31.8,105785.0,152.5,196666.0,283.6,2451277.0,3534.4,504183.0,727.0,1508668.0,2175.3,438426.0,632.1,,,
,2007.0,70096950.0,325020.0,463.7,3684.0,5.3,21670.0,30.9,105397.0,150.4,194269.0,277.1,2342855.0,3342.3,483630.0,689.9,1468489.0,2094.9,390736.0,557.4,,,
,Percent change,,-1.0,-2.1,-5.6,-6.6,-1.8,-2.9,-0.4,-1.4,-1.2,-2.3,-4.4,-5.4,-4.1,-5.1,-2.7,-3.7,-10.9,-11.8,,,
Mountain,2006.0,20845987.0,93590.0,449.0,1087.0,5.2,8055.0,38.6,23975.0,115.0,60473.0,290.1,794295.0,3810.3,162688.0,780.4,506525.0,2429.8,125082.0,600.0,,,
,2007.0,21360990.0,93652.0,438.4,1112.0,5.2,7918.0,37.1,24252.0,113.5,60370.0,282.6,763997.0,3576.6,158301.0,741.1,495656.0,2320.4,110040.0,515.1,,,
,Percent change,,0.1,-2.3,2.3,-0.2,-1.7,-4.1,1.2,-1.3,-0.2,-2.6,-3.8,-6.1,-2.7,-5.0,-2.1,-4.5,-12.0,-14.1,,,
Arizona,2006.0,6166318.0,30916.0,501.4,465.0,7.5,1941.0,31.5,9226.0,149.6,19284.0,312.7,285370.0,4627.9,57055.0,925.3,173466.0,2813.1,54849.0,889.5,,,
,2007.0,6338755.0,30600.0,482.7,468.0,7.4,1856.0,29.3,9618.0,151.7,18658.0,294.3,279794.0,4414.0,57825.0,912.2,173580.0,2738.4,48389.0,763.4,,,
,Percent change,,-1.0,-3.7,0.6,-2.1,-4.4,-7.0,4.2,1.4,-3.2,-5.9,-2.0,-4.6,1.3,-1.4,0.1,-2.7,-11.8,-14.2,,,
Colorado,2006.0,4753377.0,18616.0,391.6,158.0,3.3,2076.0,43.7,3835.0,80.7,12547.0,264.0,164054.0,3451.3,32422.0,682.1,110837.0,2331.8,20795.0,437.5,,,
,2007.0,4861515.0,16906.0,347.8,153.0,3.1,1998.0,41.1,3453.0,71.0,11302.0,232.5,146141.0,3006.1,28751.0,591.4,100598.0,2069.3,16792.0,345.4,,,
,Percent change,,-9.2,-11.2,-3.2,-5.3,-3.8,-5.9,-10.0,-12.0,-9.9,-11.9,-10.9,-12.9,-11.3,-13.3,-9.2,-11.3,-19.2,-21.0,,,
Idaho,2006.0,1466465.0,3625.0,247.2,36.0,2.5,587.0,40.0,301.0,20.5,2701.0,184.2,35471.0,2418.8,7526.0,513.2,25516.0,1740.0,2429.0,165.6,,,
,2007.0,1499402.0,3589.0,239.4,49.0,3.3,578.0,38.5,233.0,15.5,2729.0,182.0,33685.0,2246.6,6977.0,465.3,24482.0,1632.8,2226.0,148.5,,,
,Percent change,,-1.0,-3.2,36.1,33.1,-1.5,-3.7,-22.6,-24.3,1.0,-1.2,-5.0,-7.1,-7.3,-9.3,-4.1,-6.2,-8.4,-10.4,,,
Montana,2006.0,944632.0,2397.0,253.7,17.0,1.8,269.0,28.5,164.0,17.4,1947.0,206.1,25387.0,2687.5,2935.0,310.7,20704.0,2191.8,1748.0,185.0,,,
,2007.0,957861.0,2754.0,287.5,14.0,1.5,290.0,30.3,191.0,19.9,2259.0,235.8,26489.0,2765.4,3027.0,316.0,21707.0,2266.2,1755.0,183.2,,,
,Percent change,,14.9,13.3,-17.6,-18.8,7.8,6.3,16.5,14.9,16.0,14.4,4.3,2.9,3.1,1.7,4.8,3.4,0.4,-1.0,,,
Nevada,2006.0,2495529.0,18508.0,741.6,224.0,9.0,1079.0,43.2,7027.0,281.6,10178.0,407.8,102036.0,4088.8,24820.0,994.6,50255.0,2013.8,26961.0,1080.4,,,
,2007.0,2565382.0,19257.0,750.6,192.0,7.5,1096.0,42.7,6932.0,270.2,11037.0,430.2,96916.0,3777.8,24840.0,968.3,49745.0,1939.1,22331.0,870.5,,,
,Percent change,,4.0,1.2,-14.3,-16.6,1.6,-1.2,-1.4,-4.0,8.4,5.5,-5.0,-7.6,0.1,-2.6,-1.0,-3.7,-17.2,-19.4,,,
New Mexico,2006.0,1954599.0,12572.0,643.2,132.0,6.8,1094.0,56.0,2105.0,107.7,9241.0,472.8,76956.0,3937.2,20909.0,1069.7,46822.0,2395.5,9225.0,472.0,,,
,2007.0,1969915.0,13085.0,664.2,162.0,8.2,1032.0,52.4,2321.0,117.8,9570.0,485.8,73394.0,3725.7,18992.0,964.1,45463.0,2307.9,8939.0,453.8,,,
,Percent change,,4.1,3.3,22.7,21.8,-5.7,-6.4,10.3,9.4,3.6,2.8,-4.6,-5.4,-9.2,-9.9,-2.9,-3.7,-3.1,-3.9,,,
Utah,2006.0,2550063.0,5722.0,224.4,46.0,1.8,869.0,34.1,1245.0,48.8,3562.0,139.7,89671.0,3516.4,14701.0,576.5,66671.0,2614.5,8299.0,325.4,,,
,2007.0,2645330.0,6210.0,234.8,58.0,2.2,908.0,34.3,1420.0,53.7,3824.0,144.6,92594.0,3500.3,15541.0,587.5,68241.0,2579.7,8812.0,333.1,,,
,Percent change,,8.5,4.6,26.1,21.5,4.5,0.7,14.1,9.9,7.4,3.5,3.3,-0.5,5.7,1.9,2.4,-1.3,6.2,2.4,,,
Wyoming,2006.0,515004.0,1234.0,239.6,9.0,1.7,140.0,27.2,72.0,14.0,1013.0,196.7,15350.0,2980.6,2320.0,450.5,12254.0,2379.4,776.0,150.7,,,
,2007.0,522830.0,1251.0,239.3,16.0,3.1,160.0,30.6,84.0,16.1,991.0,189.5,14984.0,2865.9,2348.0,449.1,11840.0,2264.6,796.0,152.2,,,
,Percent change,,1.4,-0.1,77.8,75.1,14.3,12.6,16.7,14.9,-2.2,-3.6,-2.4,-3.8,1.2,-0.3,-3.4,-4.8,2.6,1.0,,,
Pacific2,2006.0,48509656.0,234837.0,484.1,2817.0,5.8,14017.0,28.9,81810.0,168.6,136193.0,280.8,1656982.0,3415.8,341495.0,704.0,1002143.0,2065.9,313344.0,645.9,,,
,2007.0,48735960.0,231368.0,474.7,2572.0,5.3,13752.0,28.2,81145.0,166.5,133899.0,274.7,1578858.0,3239.6,325329.0,667.5,972833.0,1996.1,280696.0,576.0,,,
,Percent change,,-1.5,-1.9,-8.7,-9.1,-1.9,-2.3,-0.8,-1.3,-1.7,-2.1,-4.7,-5.2,-4.7,-5.2,-2.9,-3.4,-10.4,-10.8,,,
Alaska,2006.0,670053.0,4610.0,688.0,36.0,5.4,509.0,76.0,605.0,90.3,3460.0,516.4,24155.0,3604.9,4136.0,617.3,17490.0,2610.2,2529.0,377.4,,,
,2007.0,683478.0,4519.0,661.2,44.0,6.4,529.0,77.4,583.0,85.3,3363.0,492.0,23098.0,3379.5,3682.0,538.7,16998.0,2487.0,2418.0,353.8,,,
,Percent change,,-2.0,-3.9,22.2,19.8,3.9,1.9,-3.6,-5.5,-2.8,-4.7,-4.4,-6.3,-11.0,-12.7,-2.8,-4.7,-4.4,-6.3,,,
California2,2006.0,36457549.0,194119.0,532.5,2484.0,6.8,9212.0,25.3,70968.0,194.7,111455.0,305.7,1156017.0,3170.9,246464.0,676.0,666860.0,1829.1,242693.0,665.7,,,
,2007.0,36553215.0,191025.0,522.6,2260.0,6.2,9013.0,24.7,70542.0,193.0,109210.0,298.8,1108660.0,3033.0,237025.0,648.4,652243.0,1784.4,219392.0,600.2,,,
,Percent change,,-1.6,-1.9,-9.0,-9.3,-2.2,-2.4,-0.6,-0.9,-2.0,-2.3,-4.1,-4.3,-3.8,-4.1,-2.2,-2.4,-9.6,-9.8,,,
Hawaii,2006.0,1285498.0,3615.0,281.2,21.0,1.6,355.0,27.6,1143.0,88.9,2096.0,163.0,54382.0,4230.4,8709.0,677.5,37910.0,2949.1,7763.0,603.9,,,
,2007.0,1283388.0,3501.0,272.8,22.0,1.7,326.0,25.4,1105.0,86.1,2048.0,159.6,54228.0,4225.4,9097.0,708.8,38416.0,2993.3,6715.0,523.2,,,
,Percent change,,-3.2,-3.0,4.8,4.9,-8.2,-8.0,-3.3,-3.2,-2.3,-2.1,-0.3,-0.1,4.5,4.6,1.3,1.5,-13.5,-13.4,,,
Oregon,2006.0,3700758.0,10373.0,280.3,86.0,2.3,1195.0,32.3,2689.0,72.7,6403.0,173.0,135895.0,3672.1,23879.0,645.2,97556.0,2636.1,14460.0,390.7,,,
,2007.0,3747455.0,10777.0,287.6,73.0,1.9,1255.0,33.5,2862.0,76.4,6587.0,175.8,132143.0,3526.2,22821.0,609.0,94773.0,2529.0,14549.0,388.2,,,
,Percent change,,3.9,2.6,-15.1,-16.2,5.0,3.7,6.4,5.1,2.9,1.6,-2.8,-4.0,-4.4,-5.6,-2.9,-4.1,0.6,-0.6,,,
Washington,2006.0,6395798.0,22120.0,345.9,190.0,3.0,2746.0,42.9,6405.0,100.1,12779.0,199.8,286533.0,4480.0,58307.0,911.6,182327.0,2850.7,45899.0,717.6,,,
,2007.0,6468424.0,21546.0,333.1,173.0,2.7,2629.0,40.6,6053.0,93.6,12691.0,196.2,260729.0,4030.8,52704.0,814.8,170403.0,2634.4,37622.0,581.6,,,
,Percent change,,-2.6,-3.7,-8.9,-10.0,-4.3,-5.3,-5.5,-6.6,-0.7,-1.8,-9.0,-10.0,-9.6,-10.6,-6.5,-7.6,-18.0,-19.0,,,
Puerto Rico,2006.0,3927776.0,8929.0,227.3,739.0,18.8,118.0,3.0,5245.0,133.5,2827.0,72.0,53197.0,1354.4,16668.0,424.4,27936.0,711.2,8593.0,218.8,,,
,2007.0,3941459.0,8942.0,226.9,728.0,18.5,97.0,2.5,5134.0,130.3,2983.0,75.7,53937.0,1368.5,17160.0,435.4,28955.0,734.6,7822.0,198.5,,,
,Percent change,,0.1,-0.2,-1.5,-1.8,-17.8,-18.1,-2.1,-2.5,5.5,5.2,1.4,1.0,3.0,2.6,3.6,3.3,-9.0,-9.3,,,
"1 Populations are U.S. Census Bureau provisional estimates as of July 1, 2007, and July 1, 2006.",,,,,,,,,,,,,,,,,,,,,,,
2 The 2006 crime figures have been adjusted.,,,,,,,,,,,,,,,,,,,,,,,
3 Limited data for 2006 and 2007 were available for Illinois.,,,,,,,,,,,,,,,,,,,,,,,
"4 The data collection methodology for the offense of forcible rape used by the Illinois and the Minnesota state UCR Programs (with the exception of Rockford, Illinois, and Minneapolis and St. Paul, Minnesota) does not comply with national UCR guidelines.  Consequently, their state figures for forcible rape (with the exception of Rockford, Illinois, and Minneapolis and St. Paul, Minnesota) have been estimated for inclusion in this table.",,,,,,,,,,,,,,,,,,,,,,,
5 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.  Therefore, no arson data are published in this table.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
