Sponsoring USD (1=yes coop),CO No.,USD    USD No.,,,FTE Enroll exc4yr at risk 2007-09-20 00:00:00,FTE Enroll exc4yr at risk 2008-02-20 00:00:00,2a  2010-06-21 00:00:00 FTE Enroll exc4yr at risk 2007-09-20 00:00:00 2008-02-20 00:00:00,FTE Enroll exc4yr at risk 2008-09-20 00:00:00,FTE Enroll exc4yr at risk 2009-02-20 00:00:00,Virtual FTE 2008-09-20 00:00:00,2b   FTE Enroll exc4yr at risk 2008-09-20 00:00:00 2009-02-20 00:00:00 exc Virtual,FTE Enroll exc4yr at risk 2009-09-20 00:00:00  incl Virtual,2c   FTE Enroll exc4yr at risk 2009-09-20 00:00:00  exc Virtual,2d   Declining Enrollment Provision,2e   FTE Enroll exc4yr at risk 2010-02-20 00:00:00,2f   Adjusted Enrollment (incl 2/20)  exc Virtual,3a    4YR AR (incl 9/20) (incl 2/20),Virtual FTE 2009-09-20 00:00:00,FTE Enroll inc4yr at risk 2009-09-20 00:00:00  exc Virtual,FTE Enroll inc4yr at risk 2009-09-20 00:00:00  incl Virtual,2009-10 FTE Enroll (inc MILT)  incl Virtual,3b   Total Adj. Enrollment inc 2/20  exc Virtual,4   Low & High Weighted FTE,Low Enroll,High Enroll,5   Vocational Contact Hrs.,6   Vocational Weighted FTE,7   Bilingual Contact Hrs.,8   Bilingual Weighted FTE,9   At-Risk Students,10   At-Risk Weighted FTE,High At-Risk Weighted FTE,2008-09 Non-Proficient Headcount,Non-Proficient Weighted FTE,11   New Fac. FTE,12   New Fac. Weighted FTE,13   Over 2.5 Current Yr,13a   Trans. Weighted FTE,14   Ancillary Weighting FTE,Declining Weighting FTE,Cost of Living FTE,Virtual Weighted FTE,FHSU M&SA FTE,14a   Spec Ed St Aid FY10,14b   Spec Ed Weighting FTE,2009-10 Sub Total Wtd FTE exc spec ed,15a  2009-10 Sub Total Wtd FTE exc COL,15b  2009-10 Total Weighted FTE,AH=Aud Hrs 1=Chng A=Audit R=Republished  #,A,R,Computed General Fund (exc spec ed),16   Computed General Fund (inc spec ed),17   Adopted General Fund,18   2009-10 General Fund (before red.),18a   Budget Law Violation,2008-09 Trans Audit Adj,2008-09 At-Risk Bilingual Audit Adj,2008-09 Juv Det Audit Adj,2008-09 Total Reductions,18b   2009-10 Adjusted Legal General Fund,2009 SB84 LOB Base General Fund,19   2009-10 LOB Authorized Percent,20   Max Computed L O B Authorized,21   Adopted L O B,22   Legal L O B,96-97 INFO LOB expire 0 = no lob 1= 96-97 2=97-98 3=98-99 4=99-00
1,,250,Crawford,Pittsburg,2545.5,0,2545.5,2618.6,0,0,2618.6,2680.2,2680.2,2680.2,0,2680.2,20,0,2700.2,2700.2,2700.2,2700.2,94.6,0,94.6,535.4,44.6,600.1,39.5,1573,717.3,157.3,155,7.2,233.4,58.4,446,64.7,0,0,0,0,0,2124209,529.5,3883.8,4413.3,4413.3,5,A,,15581806,17706160,18088049,17706160,,,,,0,17706160,19482276,0.3,5844683,5250000,5250000,2
0,,251,Lyon,North Lyon Co.,545.1,0,545.1,513,0,0,513,506.6,506.6,521.6,0,521.6,0,0,506.6,506.6,506.6,521.6,213.3,213.3,0,146.6,12.2,0,0,163,74.3,0,42,2,0,0,306,78.8,0,0,0,0,0,421891,105.2,902.2,1007.4,1007.4,1,A,,3619626,4041689,4140811,4041689,,,,,0,4041689,4441539,0.2924,1298706,1285873,1285873,0
0,,252,Lyon,Southern Lyon Co.,545.7,0,545.7,507.8,0,0,507.8,493.3,493.3,515.6,0,515.6,5,0,498.3,498.3,498.3,520.6,213,213,0,182.4,15.2,0,0,125,57,0,24,1.1,0,0,236,59.2,0,0,0,0,0,403249,100.5,866.1,966.6,966.6,4,A,,3474793,3877999,4088929,3877999,,,,,0,3877999,4320804,0.2854,1233157,1240000,1233157,0
1,,253,Lyon,Emporia,4458.1,0,4458.1,4249.6,0,72.3,4177.3,4261.1,4180.8,4272.1,0,4272.1,67,80.3,4247.8,4328.1,4328.1,4339.1,152,0,152,823.1,68.6,5923.1,389.9,2445,1114.9,244.5,220,10.2,62.2,15.6,1561,221.2,0,0,0,89.1,0,2755356,686.8,6645.1,7331.9,7331.9,12,A,,26660141,29415583,30740784,29415583,,,,,0,29415583,32565520,0.2806,9137885,8769542,8769542,0
0,,254,Barber,Barber Co.,521.5,0,521.5,495,0,0,495,452.5,452.5,495,0,495,2,0,454.5,454.5,454.5,497,207.4,207.4,0,52.7,4.4,0,0,128,58.4,0,36,1.7,0,0,135,46.1,0,0,0,0,0,505474,126,815,941,941,12,A,,3269780,3775292,3940034,3775292,,-1339,,,-1339,3773953,4199585,0.3,1259876,1263599,1259876,0
0,,255,Barber,South Barber Co.,217.5,0,217.5,219.5,0,0,219.5,226,226,226,0,226,1.5,0,227.5,227.5,227.5,227.5,153.9,153.9,0,80.8,6.7,0,0,84,38.3,0,26,1.2,0,0,66,23.4,0,0,0,0,0,218247,54.4,451,505.4,505.4,12,A,,1809412,2027665,2089597,2027665,,,,,0,2027665,2253605,0.3,676082,664910,664910,0
0,,256,Allen,Marmaton Valley,327.5,0,327.5,313.5,0,0,313.5,334,334,334,0,334,4.5,0,338.5,338.5,338.5,338.5,159.5,159.5,0,140.4,11.7,0,0,165,75.2,9.9,20,0.9,0,0,151,39.4,0,0,0,0,0,391842,97.7,635.1,732.8,732.8,1,A,,2548021,2939994,3207004,2939994,,,,,0,2939994,3258086,0.2806,914219,373000,373000,0
0,,257,Allen,Iola,1425,0,1425,1379,0,0,1379,1286.9,1270.3,1379,0,1379,14,16.6,1284.3,1300.9,1300.9,1393,157.2,157.2,0,417.6,34.8,0,0,621,283.2,37.3,96,4.5,0,0,364,71.1,0,0,0,17.4,0,1560106,388.9,1998.5,2387.4,2387.4,8,A,,8017982,9578249,10079755,9578249,,,,,0,9578249,10607688,0.3,3182306,3202388,3182306,2
0,,258,Allen,Humboldt,503.5,0,503.5,489.5,0,0,489.5,523,523,523,0,523,5.5,0,528.5,528.5,528.5,528.5,214.9,214.9,0,172.2,14.4,0,0,203,92.6,0,31,1.4,0,0,94,23.9,0,0,0,0,0,515183,128.4,875.7,1004.1,1004.1,12,A,RP,3513308,4028449,4028449,4028449,,,,,0,4028449,4492702,0.3,1347811,937000,937000,0
0,,259,Sedgwick,Wichita,44280.8,0,44280.8,44646.7,0,217.5,44429.2,45269,44963.3,44963.3,0,44963.3,956,305.7,45919.3,46225,46225,45919.3,1609,0,1609,9113.6,759.5,26399.2,1737.9,30416,13869.7,3041.6,3918,182.2,705.5,176.4,15637,2031.2,0,0,0,321,2,36851612,9185.3,69649.8,78835.1,78835.1,12,A,RP,279434998,316286421,316286421,316286421,,,,,0,316286421,347890738,0.3,104367221,100371138,100371138,1
0,,260,Sedgwick,Derby,6142,42.5,6184.5,6191.2,49.1,0,6240.3,6185.1,6173.4,6240.3,46.8,6287.1,23,11.7,6196.4,6208.1,6254.9,6310.1,221.1,0,221.1,1113.3,92.8,1053.6,69.4,2051,935.3,0,569,26.5,0,0,1425,185.1,0,0,0,12.3,1,4470196,1114.2,7853.6,8967.8,8967.8,10,AM,,31508643,35978814,37018433,35978814,,,,,0,35978814,39902845,0.3,11970854,11862600,11862600,0
0,,261,Sedgwick,Haysville,4495.6,0,4495.6,4582.3,0,45.5,4536.8,4709.4,4668.5,4668.5,0,4668.5,73,40.9,4741.5,4782.4,4782.4,4741.5,166.1,0,166.1,724,60.3,342.5,22.5,1908,870,114.5,501,23.3,802.6,200.7,2173,282.3,0,0,0,42.9,0,3734592,930.9,6524.1,7455,7455,12,A,RP,26174689,29909460,30499625,29909460,,,,,0,29909460,33363062,0.3,10008919,9298220,9298220,1
0,,262,Sedgwick,Valley Center,2513.5,0,2513.5,2505.3,0,39.3,2466,2536.7,2476.1,2485.2,0,2485.2,17,60.6,2493.1,2553.7,2553.7,2502.2,87.7,0,87.7,449.9,37.5,108,7.1,581,264.9,0,175,8.1,30.1,7.5,1236,165.9,0,0,0,63.6,0,2025314,504.8,3144.5,3649.3,3649.3,8,A,,12615734,14640992,14897554,14640992,,-571,,,-571,14640421,16277372,0.3,4883212,4290496,4290496,1
0,,263,Sedgwick,Mulvane,1813,0,1813,1804.5,0,0,1804.5,1835,1835,1835,0,1835,15,0,1850,1850,1850,1850,64.8,0,64.8,425.9,35.5,6.6,0.4,400,182.4,0,221,10.3,0,0,484,79.3,0,0,0,0,0,1133846,282.6,2222.7,2505.3,2505.3,6,A,,8917472,10051264,10346332,10051264,,,,,0,10051264,11091450,0.3,3327435,3270515,3270515,0
0,,264,Sedgwick,Clearwater,1270,0,1270,1277.2,0,0,1277.2,1269.9,1269.9,1277.2,0,1277.2,3.5,0,1273.4,1273.4,1273.4,1280.7,193.4,193.4,0,219.8,18.3,0,0,232,105.8,0,85,4,0,0,586,102.6,0,0,0,0,0,962611,239.9,1704.8,1944.7,1944.7,3,A,,6839658,7802136,8181233,7802136,,,,,0,7802136,8657596,0.3,2597279,2490750,2490750,0
0,,265,Sedgwick,Goddard,4683.5,0,4683.5,4780.8,0,0,4780.8,4858,4858,4858,0,4858,29,0,4887,4887,4887,4887,171.2,0,171.2,185.1,15.4,264.9,17.4,764,348.4,0,286,13.3,67,16.8,3807,494.5,0,0,0,0,0,3452611,860.6,5964,6824.6,6824.6,11,A,,23927568,27380295,28874319,27380295,,,,,0,27380295,30352570,0.3,9105771,9017732,9017732,1
0,,266,Sedgwick,Maize,6189.2,0,6189.2,6319.9,0,1,6318.9,6361.4,6360.1,6360.1,0,6360.1,17.5,1.3,6377.6,6378.9,6378.9,6377.6,223.5,0,223.5,987,82.3,53,3.5,686,312.8,0,492,22.9,1746.9,436.7,4754.5,617.6,0,0,0,1.4,0,4639002,1156.3,8078.3,9234.6,9234.6,11,A,,32410140,37049215,38882368,37049215,,,,,0,37049215,41080749,0.3,12324225,12200000,12200000,1
0,,267,Sedgwick,Renwick,1960.8,0,1960.8,1927.8,0,0,1927.8,1945.7,1945.7,1945.7,0,1945.7,0,0,1945.7,1945.7,1945.7,1945.7,68.2,0,68.2,541.7,45.1,0,0,173,78.9,0,104,4.8,0,0,820,146.6,0,0,0,0,0,1424181,355,2289.3,2644.3,2644.3,12,A,,9184672,10608932,11083217,10608932,,,,,0,10608932,11817442,0.3,3545233,3526880,3526880,1
0,,268,Sedgwick,Cheney,770.9,0,770.9,770.8,0,0,770.8,773.8,773.8,773.8,0,773.8,9,0,782.8,782.8,782.8,782.8,250.6,250.6,0,192.2,16,0,0,140,63.8,0,41,1.9,0,0,230,48.3,0,0,0,0,0,565848,141,1163.4,1304.4,1304.4,11,A,,4667561,5233253,5395244,5233253,,,,,0,5233253,5797768,0.3,1739330,1721776,1721776,0
0,,269,Rooks,Palco,156,0,156,161.5,0,0,161.5,145.5,145.5,161.5,0,161.5,2,0,147.5,147.5,147.5,163.5,138.3,138.3,0,44.4,3.7,0,0,57,26,0,20,0.9,0,0,84,25.3,0,0,0,0,0,204513,51,357.7,408.7,408.7,11,A,,1435092,1639704,1696480,1639704,,,,,0,1639704,1804294,0.3,541288,533575,533575,1
0,,270,Rooks,Plainville,364,0,364,381.9,0,0,381.9,356.6,356.6,381.9,0,381.9,0,0,356.6,356.6,356.6,381.9,174.3,174.3,0,85.9,7.2,0,0,106,48.3,0,28,1.3,0,0,58.1,19.4,0,0,0,0,0,405213,101,632.4,733.4,733.4,9,A,,2537189,2942401,3064377,2942401,,,,,0,2942401,3247929,0.3,974379,900000,900000,1
0,,271,Rooks,Stockton,306,0,306,294.1,0,0,294.1,285.3,285.3,295.1,0,295.1,3,0,288.3,288.3,288.3,298.1,145.8,145.8,0,67.2,5.6,0,0,87,39.7,0,13,0.6,0,0,71,25.1,0,0,0,0,0,309402,77.1,514.9,592,592,6,A,,2065779,2375104,2535900,2375104,,,,,0,2375104,2654977,0.3,796493,801813,796493,0
0,,272,Mitchell,Waconda,371.9,0,371.9,349.9,0,0,349.9,349.8,349.8,357.2,0,357.2,7.5,0,357.3,357.3,357.3,364.7,168.6,168.6,0,125.6,10.5,0,0,139,63.4,0,2,0.1,0,0,183,52.2,0,0,0,0,0,318007,79.3,659.5,738.8,738.8,3,A,,2645914,2964066,3303538,2964066,,,,,0,2964066,3297044,0.2921,963067,740000,740000,1
1,,273,Mitchell,Beloit,764.8,0,762.8,751.7,0,0,751.7,737.4,737.4,751.7,0,751.7,9.5,0,746.9,746.9,746.9,761.2,249.3,249.3,0,123.1,10.3,0,0,178,81.2,0,68,3.2,0,0,126,41.7,0,0,0,0,0,765596,190.8,1146.9,1337.7,1337.7,12,A,RP,5287239,6052729,6052729,6052729,,,,,0,6052729,5909027,0.3,1772708,1731481,1731481,1
0,,274,Logan,Oakley,409.5,0,409.5,411.7,0,0,411.7,413.4,413.4,413.4,0,413.4,0,0,413.4,413.4,413.4,413.4,184.2,184.2,0,134.4,11.2,0,0,148,67.5,0,16,0.7,0,0,87.9,32,0,0,0,0,0,384927,95.9,709,804.9,804.9,4,A,R,2844508,3229259,3437670,3229259,,,,,0,3229259,3651171,0.3,1095351,640000,640000,1
0,,275,Logan,Triplains,87.9,0,87.9,86.5,0,0,86.5,82.5,82.5,86.5,0,86.5,0,0,82.5,82.5,82.5,86.5,87.7,87.7,0,0,0,0,0,30,13.7,1.8,3,0.1,0,0,32,14.5,0,0,0,0,0,82957,20.7,204.3,225,225,1,A,,819652,902700,981529,902700,,,,,0,902700,1027588,0.3,308276,320512,308276,1
0,,279,Jewell,Jewell,116,,116,,,0,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,281,Graham,Graham County,381.7,0,381.7,365.6,0,0,365.6,363.1,363.1,370.1,0,370.1,0,0,363.1,363.1,363.1,370.1,170.4,170.4,0,107.8,9,0,0,91,41.5,0,20,0.9,0,0,100,36.4,0,0,0,0,0,385836,96.2,628.3,724.5,724.5,7,A,,2520740,2906694,3039913,2906694,,,,,0,2906694,3238033,0.3,971410,970479,970479,0
1,,282,Elk,West Elk,352.3,0,352.3,351.7,0,0,351.7,332,332,351.7,0,351.7,4,0,336,336,336,355.7,165.5,165.5,0,143.4,12,0,0,153,69.8,9.2,14,0.7,0,0,228.5,65.8,0,0,0,0,0,534556,133.2,678.7,811.9,811.9,11,A,,2722944,3257343,3373135,3257343,,,,,0,3257343,3553011,0.3,1065903,1067233,1065903,0
0,,283,Elk,Elk Valley,175.5,0,175.5,180.5,0,0,180.5,186.6,186.6,186.6,0,186.6,4,0,190.6,190.6,190.6,190.6,147.6,147.6,0,70.4,5.9,0,0,127,57.9,12.7,29,1.3,0,0,67,19.3,0,0,0,0,0,273306,68.1,435.3,503.4,503.4,12,A,,1746424,2019641,2110687,2019641,,,,,0,2019641,2229597,0.2806,625625,110000,110000,0
0,,284,Chase,Chase County,438,0,438,417.5,0,0,417.5,405.1,405.1,420.2,0,420.2,0,0,405.1,405.1,405.1,420.2,186.3,186.3,0,106.3,8.9,0,0,100,45.6,0,32,1.5,0,0,220,69.1,0,0,0,0,0,450716,112.3,731.6,843.9,843.9,8,A,,2935179,3385727,3505158,3385727,,,,,0,3385727,3686240,0.2825,1041363,1055764,1041363,0
0,,285,Chautauqua,Cedar Vale,138,0,138,139.5,0,0,139.5,144,144,144,0,144,0,0,144,144,144,144,129.3,129.3,0,13.5,1.1,0,0,61,27.8,3.7,8,0.4,0,0,29.5,11.3,0,0,0,0,0,101403,25.3,317.6,342.9,342.9,12,A,R,1274211,1375715,1492374,1375715,,,,,0,1375715,1530107,0.3,459032,281000,281000,0
0,,286,Chautauqua,Chautauqua,376.5,0,376.5,358.5,0,0,358.5,361.5,361.5,365.5,0,365.5,6,0,367.5,367.5,367.5,371.5,170.9,170.9,0,78.9,6.6,0,0,162,73.9,9.7,36,1.7,0,0,149,43.6,0,0,0,0,0,376597,93.9,677.9,771.8,771.8,1,A,,2719735,3096462,3193448,3096462,,,,,0,3096462,3508371,0.2806,984449,623500,623500,0
0,,287,Franklin,West Franklin,730.1,0,730.1,699,0,0,699,700.5,700.5,709.9,0,709.9,0,0,700.5,700.5,700.5,709.9,244.9,244.9,0,250,20.8,0,0,295,134.5,17.7,72,3.3,0,0,500,101.1,0,0,0,0,0,803870,200.4,1232.2,1432.6,1432.6,1,A,,4943586,5747591,5995465,5747591,,,,,0,5747591,6390467,0.2806,1793165,1783711,1783711,2
0,,288,Franklin,Central Heights,577.5,0,577.5,538,0,0,538,527,527,547.5,0,547.5,4.5,0,531.5,531.5,531.5,552,220,220,0,197,16.4,0.8,0.1,214,97.6,0,31,1.4,0,0,425,80.4,0,0,0,0,0,501557,125,967.9,1092.9,1092.9,6,A,,3883215,4384715,4566829,4384715,,,,,0,4384715,4770347,0.2894,1380538,1176050,1176050,0
0,,289,Franklin,Wellsville,828,0,828,836,0,0,836,842.7,842.7,842.7,0,842.7,0,0,842.7,842.7,842.7,842.7,252.6,252.6,0,123.6,10.3,12,0.8,174,79.3,0,50,2.3,0,0,313,62,0,0,0,0,0,584445,145.7,1250,1395.7,1395.7,11,A,,5015000,5599548,6012337,5599548,,,,,0,5599548,6328872,0.3,1898662,1891480,1891480,3
0,,290,Franklin,Ottawa,2390.7,0,2390.7,2393.9,0,0,2393.9,2421.8,2421.8,2421.8,0,2421.8,18,0,2439.8,2439.8,2439.8,2439.8,85.5,0,85.5,431.8,36,8.6,0.6,1081,492.9,64.9,169,7.9,0,0,547,93.9,0,0,0,0,0,1471856,366.9,3221.5,3588.4,3588.4,10,A,,12924658,14396661,14901772,14396661,,-1441,,,-1441,14395220,16101725,0.3,4830518,4596480,4596480,3
0,,291,Gove,Grinnell,89.5,0,89.5,80.5,0,0,80.5,72.8,72.8,80.9,0,80.9,1,0,73.8,73.8,73.8,81.9,83.1,83.1,0,5.8,0.5,0,0,14,6.4,0,3,0.1,0,0,41,14.7,0,0,0,0,0,80967,20.2,186.7,206.9,206.9,1,A,,749040,830083,914884,830083,,,,,0,830083,912904,0.2912,265838,121000,121000,0
0,,292,Gove,Wheatland,132.5,0,132.5,111.5,0,0,111.5,102,102,115.3,0,115.3,0,0,102,102,102,115.3,112.3,112.3,0,20.5,1.7,0,0,26,11.9,0,12,0.6,0,0,66,23.7,0,0,0,0,0,153531,38.3,265.5,303.8,303.8,1,A,,1065186,1218846,1276789,1218846,,,,,0,1218846,1374427,0.2806,385664,295000,295000,2
0,,293,Gove,Quinter,290.5,0,290.5,258,0,0,258,263.5,263.5,270.7,0,270.7,3,0,266.5,266.5,266.5,273.7,151.6,151.6,0,86.7,7.2,4.1,0.3,63,28.7,0,34,1.6,0,0,71,24.5,0,0,0,0,0,305875,76.2,487.6,563.8,563.8,4,A,,1956251,2261966,2354000,2261966,,,,,0,2261966,2530176,0.3,759053,753866,753866,1
0,,294,Decatur,Oberlin,393.3,0,393.3,366.2,0,0,366.2,358,358,372.5,0,372.5,0,0,358,358,358,372.5,171.2,171.2,0,77.3,6.4,0,0,104,47.4,0,34,1.6,0,0,98,36.9,0,0,0,0,0,279925,69.8,636,705.8,705.8,5,A,,2551632,2831670,3119633,2831670,,,,,0,2831670,3155412,0.3,946624,957130,946624,0
0,,297,Cheyenne,St. Francis,307.5,0,307.5,297.5,0,0,297.5,286.3,286.3,297.5,0,297.5,0,0,286.3,286.3,286.3,297.5,146,146,0,22.4,1.9,0,0,82,37.4,0,8,0.4,0,0,86,31.8,0,0,0,0,0,186585,46.5,515,561.5,561.5,2,A,,2066180,2252738,2514772,2252738,,,,,0,2252738,2494017,0.3,748205,775000,748205,0
0,,298,Lincoln,Lincoln,332.5,0,332.5,330.5,0,0,330.5,334.5,334.5,334.5,0,334.5,5.5,0,340,340,340,340,160,160,0,49.2,4.1,1.7,0.1,144,65.7,8.6,21,1,0,0,113,36.4,0,0,0,0,0,317229,79.1,615.9,695,695,5,A,,2470991,2788340,2818468,2788340,,,,,0,2788340,3105762,0.3,931729,896885,896885,0
0,,299,Lincoln,Sylvan Grove,145,0,145,142.6,0,20.1,122.5,137.4,123.5,130.3,0,130.3,1,13.9,124.5,138.4,138.4,131.3,122.3,122.3,0,20.3,1.7,0,0,44,20.1,0,10,0.5,0,0,60,20.5,0,0,0,14.6,0,129388,32.3,311,343.3,343.3,7,A,,1247732,1377320,1504139,1377320,,,,,0,1377320,1531276,0.3,459383,375000,375000,1
0,,300,Comanche,Commanche County,319.7,0,319.7,307,0,0,307,317.1,317.1,317.1,0,317.1,0,0,317.1,317.1,317.1,317.1,151.7,151.7,0,29.9,2.5,0,0,79,36,0,23,1.1,0,0,192.5,63.7,0,0,0,0,0,310632,77.4,572.1,649.5,649.5,12,A,,2295265,2605794,2719766,2605794,,,,,0,2605794,2892148,0.3,867644,847031,847031,1
0,,303,Ness,Ness City,268.6,0,268.6,274.5,0,0,274.5,291,291,291,0,291,0,0,291,291,291,291,147.8,147.8,0,102.7,8.6,0,0,66,30.1,0,30,1.4,0,0,50,19.6,0,0,0,0,0,192413,48,498.5,546.5,546.5,1,A,,1999982,2192558,2274346,2192558,,,,,0,2192558,2439592,0.3,731878,575000,575000,1
1,,305,Saline,Salina,7007.5,0,7007.5,6929.3,0,0,6929.3,7006,7006,7006,0,7006,30,0,7036,7036,7036,7036,246.5,0,246.5,1356,113,934.2,61.5,3192,1455.6,191.5,475,22.1,31.1,7.8,844,125.9,0,0,0,0,0,6157577,1534.8,9259.9,10794.7,10794.7,12,A,,37150719,43308336,45233410,43308336,,,,,0,43308336,48018092,0.3,14405428,14277757,14277757,0
0,,306,Saline,Southeast of Saline,689.2,0,689.2,679.6,0,0,679.6,690.8,690.8,690.8,0,690.8,0,0,690.8,690.8,690.8,690.8,242.8,242.8,0,157.3,13.1,0,0,87,39.7,0,64,3,0,0,520,103.2,0,0,0,0,0,511570,127.5,1092.6,1220.1,1220.1,11,A,,4383511,4895041,5105467,4895041,,,,,0,4895041,5447279,0.3,1634184,1251500,1251500,0
0,,307,Saline,Ell-Saline,457,0,457,451,0,0,451,466,466,466,0,466,0,0,466,466,466,466,199.3,199.3,0,176.1,14.7,11.6,0.8,85,38.8,0,67,3.1,0,0,238,56.2,0,0,0,0,1,343107,85.5,779.9,865.4,865.4,11,A,,3128959,3471985,3665864,3471985,,-974,,,-974,3471011,3863020,0.3,1158906,1036000,1036000,0
0,,308,Reno,Hutchinson,4482.5,0,4482.5,4514.4,0,0,4514.4,4626.5,4626.5,4626.5,0,4626.5,27,0,4653.5,4653.5,4653.5,4653.5,163.1,0,163.1,1305.6,108.8,531.3,35,2435,1110.4,243.5,273,12.7,388.3,97.1,76,12.7,0,0,0,0,0,3414296,851,6436.8,7287.8,7287.8,12,A,,25824442,29238654,29731417,29238654,,,,,0,29238654,32312738,0.3,9693821,7896432,7896432,1
0,,309,Reno,Nickerson,1158.7,0,1158.7,1132.4,0,0,1132.4,1132.7,1132.7,1141.3,0,1141.3,8,0,1140.7,1140.7,1140.7,1149.3,224.8,224.8,0,242.7,20.2,153.4,10.1,533,243,32,43,2,0,0,497,96.5,0,0,0,0,0,1049474,261.6,1777.9,2039.5,2039.5,10,A,,7132935,8182474,8506862,8182474,,,,,0,8182474,9066588,0.2806,2544085,2543587,2543587,1
0,,310,Reno,Fairfield,323.5,0,323.5,297.2,6.5,0,303.7,304.6,304.6,310.6,0,310.6,0,0,304.6,304.6,304.6,310.6,149.3,149.3,0,68.6,5.7,14.8,1,143,65.2,8.6,14,0.7,0,0,248.6,67.1,0,0,0,0,0,301876,75.2,608.2,683.4,683.4,9,A,,2440098,2741801,3117524,2741801,,,,,0,2741801,3081163,0.2806,864574,881616,864574,1
0,,311,Reno,Pretty Prairie,285.3,0,285.3,269.4,0,0,269.4,258.4,258.4,271,0,271,0,0,258.4,258.4,258.4,271,152,152,0,106.4,8.9,0,0,62,28.3,0,16,0.7,0,0,96,27.1,0,0,0,0,0,222800,55.5,488,543.5,543.5,8,A,,1957856,2180522,2370516,2180522,,,,,0,2180522,2418662,0.3,725599,700000,700000,1
0,,312,Reno,Haven,998.6,0,998.6,988,0,0,988,990.9,971,988,0,988,7,19.9,978,997.9,997.9,995,246.8,246.8,0,219.6,18.3,0,0,285,130,0,50,2.3,0,0,442.5,96.1,0,0,0,20.9,1,852660,212.5,1510.4,1722.9,1722.9,12,A,,6059725,6912275,7109861,6912275,,-2690,,,-2690,6909585,7675461,0.3,2302638,2275641,2275641,1
0,,313,Reno,Buhler,2180,0,2180,2115.5,0,0,2115.5,2111.3,2111.3,2135.6,0,2135.6,29,0,2140.3,2140.3,2140.3,2164.6,75.8,0,75.8,440,36.7,75.4,5,561,255.8,0,144,6.7,58.8,14.7,1147,174.3,0,0,0,0,0,2108270,525.5,2733.6,3259.1,3259.1,12,A,,10967203,13075509,14000386,13075509,,,,,0,13075509,14545493,0.3,4363648,4507676,4363648,1
0,,314,Thomas,Brewster,97.5,0,97.5,91.5,0,0,91.5,98,98,98,0,98,0,0,98,98,98,98,99.4,99.4,0,0,0,0,0,27,12.3,0,10,0.5,0,0,26,11,0,0,0,0,0,106072,26.4,221.2,247.6,247.6,1,A,,887454,993371,1003040,993371,,,,,0,993371,1097709,0.3,329313,319073,319073,2
0,,315,Thomas,Colby,950.7,0,950.7,926.4,0,3,923.4,916.5,915.5,929.9,0,929.9,0,1,915.5,916.5,916.5,929.9,251.2,251.2,0,417.9,34.8,0,0,276,125.9,0,64,3,0,0,201.5,57.5,0,0,0,1.1,0,855756,213.3,1403.4,1616.7,1616.7,8,A,,5630441,6486200,6632805,6486200,,,,,0,6486200,7267534,0.3,2180260,2129990,2129990,0
0,,316,Thomas,Golden Plains,178,0,178,185.9,0,0,185.9,202,202,202,0,202,2.5,0,204.5,204.5,204.5,204.5,150.8,150.8,0,22.1,1.8,86.3,5.7,93,42.4,5.6,11,0.5,0,0,93.5,27.4,0,0,0,0,0,211676,52.8,438.7,491.5,491.5,10,A,R,1760064,1971898,2016832,1971898,,,,,0,1971898,2286618,0.2806,641625,300000,300000,1
1,,320,Pottawatomie,Wamego,1305.4,0,1305.4,1292,0,0,1292,1305.5,1305.5,1305.5,0,1305.5,0,0,1305.5,1305.5,1305.5,1305.5,186.1,186.1,0,403.9,33.7,0,0,245,111.7,0,74,3.4,0,0,364,76,0,0,0,0,0,1252471,312.2,1716.4,2028.6,2028.6,7,A,,6886197,8138743,8437265,8138743,,,,,0,8138743,8973693,0.3,2692108,2676016,2676016,0
0,,321,Pottawatomie,Kaw Valley,1092,0,1092,1112,0,0,1112,1110.1,1110.1,1112,0,1112,11.5,0,1121.6,1121.6,1121.6,1123.5,229.6,229.6,0,267.4,22.3,0,0,377,171.9,0,95,4.4,0,0,407.5,92,0,0,0,0,0,1106052,275.7,1643.7,1919.4,1919.4,12,A,,6594524,7700633,7792755,7700633,,-946,,,-946,7699687,8676416,0.3,2602925,2546271,2546271,1
0,,322,Pottawatomie,Onaga,348,0,348,317.5,0,0,317.5,320.5,320.5,328.7,0,328.7,0,0,320.5,320.5,320.5,328.7,155.9,155.9,0,101.2,8.4,0,0,90,41,0,30,1.4,0,0,186,47.6,0,0,0,0,0,239988,59.8,583,642.8,642.8,9,A,,2338996,2578914,2737482,2578914,,,,,0,2578914,2862983,0.2905,831697,730000,730000,1
0,,323,Pottawatomie,Westmoreland,818.8,0,818.8,813.7,0,0,813.7,845.1,845.1,845.1,0,845.1,0,0,845.1,845.1,845.1,845.1,252.7,252.7,0,157.8,13.2,0.6,0,159,72.5,0,25,1.2,0,0,506,102.6,0,0,0,0,0,816406,203.5,1287.3,1490.8,1490.8,10,A,,5164648,5981090,6170090,5981090,,,,,0,5981090,6596597,0.3,1978979,1205000,1205000,0
