col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57
2004-11-01 00:00:00,21350,6070,6725,0,34145,29529,15819,186,102,45635,3420,180,391,17478,0,5014,505,26987,106768,202,20757,10965,0,31924,0,0,849,75,924,7902,0,280,1007,15986,0,1501,26676,59523,21552,26827,17689,0,66069,29529,15819,1034,177,46559,11322,180,670,18485,15986,5014,2006,53663,166291
2004-12-01 00:00:00,20256,1704,13223,700,35884,7081,9790,675,1736,19283,6106,470,2420,1126,1430,21893,1239,34684,89850,0,6600,7476,0,14076,0,0,0,0,0,19142,0,0,12607,9968,0,25668,67385,81462,20256,8304,20700,700,49960,7081,9790,675,1736,19283,25248,470,2420,13733,11398,21893,26907,102069,171312
2005-01-01 00:00:00,47928,1503,8867,2324,60622,10174,3927,1176,769,16047,4032,0,180,2266,4597,3686,1724,16485,93155,0,25294,13562,2750,41606,2471,0,0,75,2546,12448,0,0,10358,4775,0,5181,32761,76913,47928,26798,22429,5074,102228,12645,3927,1176,844,18593,16480,0,180,12623,9372,3686,6905,49246,170068
2005-02-01 00:00:00,15366,1920,13966,70,31322,11935,8644,381,1080,22039,2137,0,288,110,0,5322,1636,9493,62854,0,0,272,0,272,0,0,0,0,0,98,0,0,0,4540,3456,208265,216359,216632,15366,1920,14238,70,31594,11935,8644,381,1080,22039,2236,0,288,110,4540,8778,209901,225853,279486
2005-03-01 00:00:00,13005,2920,16611,850,33387,5538,18652,273,550,25013,3217,1406,2258,965,2218,4118,1039,15222,73621,63,0,2123,0,2186,0,0,0,75,75,430,0,0,0,5982,0,1036,7448,9709,13068,2920,18735,850,35573,5538,18652,273,625,25088,3648,1406,2258,965,8200,4118,2075,22670,83330
2005-04-01 00:00:00,88672,1128,9256,0,99057,14382,13216,431,860,28890,7196,265,2950,1401,918,12143,1226,26099,154046,0,0,3725,0,3725,102,0,0,0,102,1037,0,0,620,1146,0,1627,4431,8257,88672,1128,12981,0,102781,14484,13216,431,860,28992,8233,265,2950,2021,2064,12143,2853,30530,162302
2005-05-01 00:00:00,22016,1195,12611,850,36672,7378,5070,307,723,13478,6860,1210,1590,715,3904,562,1332,16173,66323,0,0,11512,0,11512,8000,0,0,0,8000,33579,0,0,221,744,94,748,35385,54898,22016,1195,24123,850,48184,15378,5070,307,723,21478,40439,1210,1590,936,4647,656,2080,51559,121221
2005-06-01 00:00:00,26846,590,14490,0,41926,11505,13628,2957,3082,31171,4035,475,16279,0,169,833,157408,179200,252297,0,34930,2321,0,37251,0,0,0,138,138,4048,0,0,1926,1885,0,961,8820,46210,26846,35520,16811,0,79177,11505,13628,2957,3220,31309,8083,475,16279,1926,2054,833,158370,188020,298506
2005-07-01 00:00:00,23859,203,24865,599,49526,4935,15093,3571,12691,36290,2586,550,2420,1240,959,26464,1778,35996,121812,450,0,9024,0,9474,840,0,0,0,840,22097,0,792,1360,3648,1963,383,30243,40557,24309,203,33889,599,59000,5775,15093,3571,12691,37130,24684,550,3212,2600,4606,28427,2160,66239,162369
2005-08-01 00:00:00,22307,68,16576,731,39683,7814,10328,1082,7467,26690,12586,1161,0,3253,514,23376,1534,42423,108797,559,0,3186,0,3745,300,5337,0,983,6620,14828,0,550,4887,2587,5319,3698,31870,42234,22866,68,19762,731,43428,8114,15664,1082,8450,33310,27414,1161,550,8141,3100,28695,5232,74293,151031
2005-09-01 00:00:00,26131,0,14112,0,40243,4919,14348,209,625,20101,1996,155,11550,1350,4098,15510,784,35442,95786,2503,0,6535,0,9038,0,50,0,90,140,15249,0,13843,247,3117,0,2257,34713,43891,28634,0,20647,0,49281,4919,14398,209,715,20241,17245,155,25393,1597,7215,15510,3041,70155,139677
2005-10-01 00:00:00,18042,55,19790,0,37887,13704,22673,972,5007,42355,6268,1706,250,205,5529,7821,911,22690,102932,0,0,2235,0,2235,0,1061,0,0,1061,5547,0,0,17183,351,0,10078,33159,36455,18042,55,22025,0,40122,13704,23734,972,5007,43417,11815,1706,250,17388,5880,7821,10989,55849,139388
2005-11-01 00:00:00,39755,0,22701,220,62676,6664,18097,1639,1909,28309,14468,664,1045,370,4054,8145,37235,65981,156966,620,135,688,0,1443,495,0,0,0,495,825,0,0,12611,143,0,644,14224,16161,40375,135,23389,220,64119,7159,18097,1639,1909,28804,15293,664,1045,12981,4197,8145,37879,80205,173127
2005-12-01 00:00:00,25783,3740,8890,66,38480,17692,9620,333,5794,33439,19553,724,0,2467,0,952,1176,24872,96791,0,0,8936,0,8936,0,0,0,55,55,151729,0,7388,1972,6078,0,4271,171438,180429,25783,3740,17827,66,47416,17692,9620,333,5848,33494,171282,724,7388,4438,6078,952,5447,196310,277219
2006-01-01 00:00:00,72893,6843,14313,180,94230,4044,18608,2344,26423,51419,7695,0,590,0,1086,1776,1305,12453,158101,1425,0,1060,0,2485,0,0,0,0,0,899,0,0,7885,1679,0,218,10681,13166,74319,6843,15373,180,96715,4044,18608,2344,26423,51419,8595,0,590,7885,2765,1776,1523,23134,171267
2006-02-01 00:00:00,36117,1650,11410,250,49427,6774,14098,470,2666,24009,3420,5525,1880,50,315,26807,2928,40925,114360,0,0,5160,370,5530,0,317,0,200,517,3218,0,0,5136,203,0,84,8641,14689,36117,1650,16571,620,54957,6774,14416,470,2866,24526,6638,5525,1880,5186,518,26807,3011,49565,129049
2006-03-01 00:00:00,17487,0,35989,0,53476,30286,20632,6483,1413,58814,6327,100,12379,50,1312,13981,1270,35419,147709,0,0,2771,0,2771,0,421,0,0,421,17266,0,0,0,805,0,4514,22585,25777,17487,0,38760,0,56247,30286,21054,6483,1413,59235,23593,100,12379,50,2117,13981,5784,58004,173486
2006-04-01 00:00:00,84437,220,189612,0,274269,5295,7831,4378,41944,59448,9743,674,2008,912,22300,10537,1680,47854,381571,0,135,1588,0,1723,250,0,0,175,425,44851,0,306,485,128,4363,3592,53725,55874,84437,355,191200,0,275993,5545,7831,4378,42119,59873,54594,674,2315,1397,22428,14900,5272,101579,437445
2006-05-01 00:00:00,40713,300,16648,265,57926,12859,28140,1986,6831,49817,11422,6131,26090,2254,1320,13777,1500,62494,170237,0,0,8305,0,8305,0,3313,0,0,3313,22865,0,275,2692,2049,2759,4799,35440,47058,40713,300,24952,265,66230,12859,31453,1986,6831,53130,34288,6131,26365,4946,3369,16536,6300,97934,217295
2006-06-01 00:00:00,32475,3600,22883,450,59408,25031,23525,861,1474,50890,1709,2135,15591,4380,1625,8290,1320,35049,145347,363,473,775,0,1611,0,162,0,0,162,29347,0,0,0,2819,0,440,32606,34379,32838,4073,23658,450,61019,25031,23687,861,1474,51052,31055,2135,15591,4380,4444,8290,1760,67655,179726
2006-07-01 00:00:00,12538,240,9295,4105,26179,7903,29175,343,63026,100447,7331,0,0,80,636,9012,660,17719,144345,0,0,2844,0,2844,396,74,0,0,470,25224,0,0,0,167,0,3267,28657,31971,12538,240,12139,4105,29023,8299,29249,343,63026,100917,32555,0,0,80,802,9012,3927,46376,176316
2006-08-01 00:00:00,37207,580,17987,0,55775,11435,17069,1128,1779,31411,11680,102,14832,1830,1279,4008,1535,35266,122452,0,0,315,0,315,0,2000,1500,0,3500,15593,0,0,0,477,0,104,16174,19989,37207,580,18302,0,56090,11435,19069,2628,1779,34911,27273,102,14832,1830,1756,4008,1640,51440,142442
2006-09-01 00:00:00,30799,0,14968,1320,47088,13475,21024,211,2602,37312,712,0,6813,1210,1370,4133,1833,16070,100470,1863,2970,15703,0,20536,169,0,0,6229,6398,0,0,0,0,4853,0,440,5293,32227,32662,2970,30671,1320,67623,13644,21024,211,8831,43710,712,0,6813,1210,6223,4133,2273,21363,132697
2006-10-01 00:00:00,37524,1158,27983,155,66820,10898,11140,1565,8905,32508,10963,1400,14380,7675,1259,3448,539,39664,138992,0,110,822,0,932,810,0,0,0,810,45703,0,0,16932,1251,0,0,63886,65627,37524,1268,28805,155,67751,11708,11140,1565,8905,33318,56666,1400,14380,24607,2510,3448,539,103550,204619
2006-11-01 00:00:00,203390,0,19517,670,223578,9211,15479,2466,1506,28663,5726,16445,1310,820,1380,31647,7558,64886,317126,2928,55,8059,0,11042,0,0,0,0,0,7177,0,413,12717,25478,0,4211,49996,61038,206319,55,27576,670,234620,9211,15479,2466,1506,28663,12903,16445,1723,13537,26858,31647,11769,114882,378164
2006-12-01 00:00:00,83057,1709,19460,0,104227,8551,20387,4179,33511,66628,7627,1320,16773,4950,1443,20811,346,53270,224125,0,559,395,0,954,0,0,0,0,0,230,0,0,0,2123,0,4182,6535,7489,83057,2268,19856,0,105181,8551,20387,4179,33511,66628,7857,1320,16773,4950,3565,20811,4528,59805,231613
2007-01-01 00:00:00,9118,0,26473,541,36132,3701,14785,1485,65916,85888,24308,0,0,350,10939,3042,87,38725,160746,364,4711,31029,0,36104,0,130,560,50,740,91193,0,0,0,6069,0,20005,117267,154111,9482,4711,57502,541,72237,3701,14915,2045,65966,86628,115500,0,0,350,17008,3042,20092,155993,314857
2007-02-01 00:00:00,16802,1624,24763,385,43574,8451,179009,2955,384,190799,7914,100,0,3032,18243,7370,1644,38301,272675,0,843,3928,76,4847,135,0,0,450,585,97849,0,0,12099,4490,0,7669,122107,127540,16802,2467,28691,461,48422,8586,179009,2955,834,191384,105763,100,0,15131,22733,7370,9313,160409,400215
2007-03-01 00:00:00,42321,0,37015,7669,87005,20642,38672,3667,845,63826,1123,318,2500,410,3467,950,4984,13752,164583,250,77,2115,29917,32359,380,0,0,0,380,11584,0,0,7260,16770,320,1330,37264,70002,42571,77,39130,37587,119364,21022,38672,3667,845,64206,12707,318,2500,7670,20237,1270,6314,51015,234586
2007-04-01 00:00:00,25604,0,20880,1432,47915,24541,18218,369,11433,54561,100,1144,625,2655,13272,39790,1892,59478,161955,236,0,385,0,621,0,55,0,0,55,500,0,0,57476,62,0,354,58392,59068,25840,0,21265,1432,48536,24541,18273,369,11433,54616,600,1144,625,60131,13334,39790,2246,117870,221022
2007-05-01 00:00:00,37638,0,31692,403,69733,4832,32144,625,3288,40889,20823,1320,200,4217,7229,5413,652,39853,150476,0,4000,2236,0,6236,0,0,0,301,301,0,0,1100,0,369,0,650,2119,8655,37638,4000,33928,403,75969,4832,32144,625,3589,41190,20823,1320,1300,4217,7598,5413,1302,41972,159131
2007-06-01 00:00:00,19703,0,16918,636,37257,11470,27838,5684,22725,67717,5776,0,17380,300,2876,10534,4411,41276,146250,70,0,9009,0,9079,0,0,0,0,0,0,0,0,0,8897,2400,3410,14707,23786,19773,0,25927,636,46336,11470,27838,5684,22725,67717,5776,0,17380,300,11773,12934,7821,55984,170037
2007-07-01 00:00:00,68917,3500,79733,2767,154918,9102,42683,895,36124,88804,4633,0,50,10920,423,35478,4099,55602,299325,1065,505,13837,0,15407,0,0,0,0,0,48138,0,0,21768,335218,0,11411,416535,431943,69982,4005,93571,2767,170325,9102,42683,895,36124,88804,52770,0,50,32688,335641,35478,15510,472137,731267
2007-08-01 00:00:00,35973,180,7982,945,45079,6503,44581,704,2970,54757,13234,1700,19250,15961,165,11050,8394,69754,169591,0,10230,1002,0,11232,0,0,0,0,0,0,0,987,0,52279,0,1152,54417,65650,35973,10410,8984,945,56312,6503,44581,704,2970,54757,13234,1700,20237,15961,52444,11050,9546,124171,235241
2007-09-01 00:00:00,39240,950,35390,1780,77360,4200,40869,7309,7321,59698,3370,823,241,750,2133,71493,4106,82916,219974,0,69,150,0,219,172,0,0,92,264,65177,0,0,0,0,924,1957,68057,68541,39240,1019,35540,1780,77579,4372,40869,7309,7413,59962,68547,823,241,750,2133,72417,6063,150973,288515
2007-10-01 00:00:00,130721,430,81409,944,213505,17635,43017,2843,13622,77117,5264,3000,2420,929,3373,39414,10870,65270,355892,0,5297,21175,0,26471,0,0,0,0,0,26948,0,0,49902,94346,193,508,171896,198367,130721,5727,102584,944,239976,17635,43017,2843,13622,77117,32212,3000,2420,50831,97718,39606,11378,237166,554259
2007-11-01 00:00:00,54063,100,396981,1257,452400,21576,42795,1611,5791,71773,47131,2765,150,7632,3027,5137,1881,67724,591897,0,0,54453,0,54453,0,0,0,409,409,17482,0,0,7025,4296,0,31057,59860,114721,54063,100,451433,1257,506853,21576,42795,1611,6200,72182,64613,2765,150,14657,7323,5137,32938,127584,706618
2007-12-01 00:00:00,49930,0,37518,2773,90221,7311,47109,3556,95435,153411,2680,1285,2987,3803,12600,8826,1546,33728,277359,0,0,487,0,487,0,0,0,0,0,4404,0,220,0,1769,0,857,7250,7737,49930,0,38005,2773,90708,7311,47109,3556,95435,153411,7084,1285,3207,3803,14369,8826,2403,40977,285096
2008-01-01 00:00:00,131198,1708,140348,473,273727,11555,46278,1641,12064,71538,18463,1000,5121,3832,1372,62943,2455,95186,440451,0,0,277,0,277,0,0,0,0,0,71517,0,840,15995,89751,389,22425,200918,201196,131198,1708,140625,473,274004,11555,46278,1641,12064,71538,89980,1000,5961,19827,91123,63332,24880,296104,641647
2008-02-01 00:00:00,21992,150,74888,50,97080,29069,51429,262,30291,111051,1720,0,11353,5321,6005,6195,2204,32798,240929,220,0,307,0,527,300,0,0,2370,2670,87873,0,0,300,4304,0,130,92607,95804,22212,150,75195,50,97607,29369,51429,262,32661,113721,89593,0,11353,5621,10309,6195,2334,125406,336733
2008-03-01 00:00:00,20375,940,67275,550,89140,5937,55844,463,35521,97764,4456,0,25090,8756,4262,19368,2761,64693,251597,0,0,0,195,195,0,0,0,242,242,21721,0,154,110,5297,0,0,27282,27719,20375,940,67275,745,89335,5937,55844,463,35763,98006,26177,0,25244,8866,9560,19368,2761,91975,279316
2008-04-01 00:00:00,23493,2600,62830,0,88924,9632,44097,19279,34478,107486,14994,0,3700,288,3969,6514,1281,30746,227156,314,0,753,0,1067,0,90,0,160,250,0,0,0,465,1578,0,50,2093,3409,23807,2600,63583,0,89990,9632,44187,19279,34638,107736,14994,0,3700,753,5547,6514,1331,32839,230565
2008-05-01 00:00:00,39695,0,479181,754,519630,5688,60086,18242,15679,99696,13599,0,16500,10574,763,77090,1164,119691,739016,375,0,4841,0,5216,0,550,0,84,634,15872,0,0,125359,0,3569,13781,158581,164431,40070,0,484022,754,524846,5688,60636,18242,15764,100330,29471,0,16500,135933,763,80659,14945,278272,903447
2008-06-01 00:00:00,22590,1930,49563,803,74886,13687,76690,8245,50528,149149,17321,389,29260,2442,447,3292,2150,55300,279335,2800,0,1612,0,4412,1135,896,0,53,2084,1929,0,0,0,2785,11843,829,17387,23883,25390,1930,51175,803,79298,14822,77586,8245,50581,151233,19250,389,29260,2442,3232,15135,2979,72687,303218
2008-07-01 00:00:00,30479,47033,125529,923,203963,26789,65578,2196,17822,112385,28013,550,1181,811,52001,19014,13510,115080,431428,0,396,2464,0,2860,265,59,0,0,324,1111,0,200,0,63348,0,20535,85194,88377,30479,47429,127993,923,206823,27054,65637,2196,17822,112708,29124,550,1381,811,115349,19014,34045,200274,519805
2008-08-01 00:00:00,39163,3012,61892,240,104307,18255,49363,30426,4601,102644,5271,1100,10621,320,2133,11123,1225,31793,238745,875,0,231,50,1156,0,100,0,52,152,0,0,0,19798,0,0,752,20550,21858,40038,3012,62123,290,105463,18255,49463,30426,4653,102796,5271,1100,10621,20118,2133,11123,1977,52343,260603
2008-09-01 00:00:00,58046,6843,66744,817,132450,10280,44596,5227,27206,87309,23215,510,570,3280,2453,443,250,30721,250479,25000,28839,567,0,54406,65,0,0,96,161,6630,0,220,3000,88,135,26315,36388,90955,83046,35682,67312,817,186856,10344,44596,5227,27302,87469,29845,510,790,6280,2541,578,26565,67109,341434
2008-10-01 00:00:00,59063,3650,98501,4771,165984,3362,28989,3092,59282,94724,5481,2566,120,650,2931,25195,22443,59386,320094,0,0,5290,0,5290,0,1826,0,0,1826,20857,0,0,0,1830,0,916,23602,30719,59063,3650,103791,4771,171274,3362,30815,3092,59282,96550,26337,2566,120,650,4761,25195,23359,82988,350813
2008-11-01 00:00:00,20170,800,33203,250,54423,35438,32787,3006,14026,85257,2744,0,0,1617,7327,3662,1677,17027,156707,0,0,2924,0,2924,2027,0,36000,82,38109,4472,0,0,10000,0,0,1147,15619,56652,20170,800,36127,250,57347,37465,32787,39006,14107,123366,7216,0,0,11617,7327,3662,2825,32646,213359
2008-12-01 00:00:00,44970,870,23684,310,69834,22256,25203,867,47928,96255,5156,0,3410,525,1135,17654,200,28080,194168,0,493,10916,0,11408,0,0,0,0,0,10658,0,6200,0,516,0,0,17374,28783,44970,1363,34599,310,81242,22256,25203,867,47928,96255,15814,0,9610,525,1651,17654,200,45454,222951
2009-01-01 00:00:00,14258,0,8296,693,23247,32507,13607,1745,5716,53574,18914,820,0,1750,820,1220,3627,27151,103972,0,0,2895,0,2895,0,0,0,900,900,7295,0,0,1652,939,0,5346,15231,19026,14258,0,11191,693,26142,32507,13607,1745,6616,54474,26209,820,0,3402,1759,1220,8973,42382,122998
2009-02-01 00:00:00,32864,783,7344,70,41061,4295,13991,8519,1269,28074,10129,6650,3000,6600,1396,15009,3502,46286,115421,0,4829,1580,0,6409,0,0,0,0,0,403,0,0,1953,5619,0,1681,9656,16065,32864,5612,8924,70,47470,4295,13991,8519,1269,28074,10531,6650,3000,8553,7015,15009,5182,55941,131485
2009-03-01 00:00:00,13672,69,34974,1531,50246,6793,33881,777,7228,48680,8237,400,6945,775,100,1346,110,17913,116839,100,37161,0,0,37261,0,0,0,400,400,150,0,246,2995,5223,0,100,8713,46374,13772,37230,34974,1531,87507,6793,33881,777,7628,49080,8387,400,7191,3769,5323,1346,210,26626,163212
2009-04-01 00:00:00,13888,0,29512,1571,44970,3182,22945,26847,8419,61392,7598,430,200,811,851,1153,7391,18433,124795,197,0,4915,0,5111,0,693,0,0,693,7404,0,0,4100,11275,0,5547,28326,34130,14085,0,34426,1571,50081,3182,23638,26847,8419,62085,15002,430,200,4911,12126,1153,12938,46759,158926
2009-05-01 00:00:00,30836,0,25105,100,56041,3601,9548,652,2343,16144,6676,14777,10713,3200,2318,8155,1508,47348,119533,710,0,3622,0,4332,0,0,0,116,116,8678,0,440,2630,5656,0,1565,18968,23416,31546,0,28727,100,60373,3601,9548,652,2459,16260,15354,14777,11152,5830,7974,8155,3073,66315,142949
2009-06-01 00:00:00,18347,314,26899,920,46480,16555,29083,419,134735,180793,35878,804,0,532,1481,1449,4549,44693,271966,204,0,5316,195,5714,1320,292,0,0,1612,192,0,0,0,23643,721,1934,26490,33817,18551,314,32215,1115,52194,17875,29375,419,134735,182405,36070,804,0,532,25124,2170,6483,71183,305782
2009-07-01 00:00:00,17824,1365,46342,176,65707,16972,33289,710,40641,91612,13414,2751,842,3583,549,6257,1617,29012,186331,0,0,2647,0,2647,532,57,0,122,711,307621,0,0,13008,7117,550,510,328807,332165,17824,1365,48989,176,68355,17504,33346,710,40762,92322,321035,2751,842,16591,7666,6807,2127,357818,518496
2009-08-01 00:00:00,31520,724,27993,200,60438,9457,14374,792,70694,95318,45865,785,2800,131010,1066,2680,3571,187776,343532,850,0,5756,0,6606,70,60,0,0,130,220760,0,0,140000,12945,0,10648,384353,391090,32370,724,33750,200,67044,9527,14434,792,70694,95448,266625,785,2800,271010,14011,2680,14219,572130,734622
2009-09-01 00:00:00,30459,0,29693,2510,62663,9604,29116,4294,17388,60402,35115,2884,4631,1628,13804,3735,1584,63381,186445,0,2604,2246,0,4850,0,5552,0,0,5552,72772,0,674,1492694,7445,100,183,1573867,1584269,30459,2604,31940,2510,67513,9604,34668,4294,17388,65954,107886,2884,5305,1494322,21249,3835,1766,1637248,1770714
2009-10-01 00:00:00,41000,6070,103399,200,150669,2154,18406,2253,13292,36105,46694,3537,886,2597,2169,6970,2159,65011,251785,50,1337,6314,0,7700,500,0,0,0,500,306674,0,330,0,7601,0,2537,317142,325342,41050,7407,109713,200,158370,2654,18406,2253,13292,36605,353368,3537,1216,2597,9770,6970,4696,382153,577127
2009-11-01 00:00:00,65515,7575,25171,820,99081,5548,18203,479,8463,32694,33011,163,0,1886,4490,1381,385,41316,173091,0,1550,1498,0,3048,0,0,0,0,0,25049,0,330,2464,3360,0,50,31252,34300,65515,9125,26669,820,102129,5548,18203,479,8463,32694,58060,163,330,4350,7849,1381,435,72568,207391
2009-12-01 00:00:00,23574,1360,28360,1085,54379,5937,18230,711,16569,41447,74761,484,8550,1767,4742,17979,3690,111972,207799,1400,2240,2128,0,5768,0,0,0,0,0,7116,0,0,1486,2605,0,100,11307,17075,24974,3600,30489,1085,60148,5937,18230,711,16569,41447,81877,484,8550,3253,7347,17979,3790,123279,224874
2010-01-01 00:00:00,69655,6615,27723,7432,111424,2623,14099,861,325542,343125,30656,1479,16695,3545,2306,2762,1433,58875,513425,0,180,148,0,328,0,0,0,0,0,149548,0,0,2657,3608,0,23940,179753,180081,69655,6795,27871,7432,111752,2623,14099,861,325542,343125,180204,1479,16695,6201,5913,2762,25374,238628,693505
2010-02-01 00:00:00,24424,3500,24780,1443,54146,13421,51843,622,24916,90801,38581,2241,10650,2888,1130,885,1282,57658,202605,0,455,6775,0,7230,0,0,0,0,0,54067,0,0,0,8460,0,8217,70744,77974,24424,3955,31555,1443,61376,13421,51843,622,24916,90801,92648,2241,10650,2888,9590,885,9500,128402,280579
