Dimension,,Category,Under 19 Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,19 and over Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,All ages Total 2002/03 Number,% of Total,2003/04 Number,% of Total,2004/05 Number,% of Total,2005/06 Number,% of Total,2006/07 Number,% of Total,2007/08 Number,% of Total,2008/09 Number,% of Total,2009/10 Number,% of Total,2010/11 Number,% of Total,2011/12 Number,% of Total,2012/13 Number,% of Total,2013/14 Number,% of Total,2014/15 Number,% of Total,Full Level 2  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,20/13/14,2014/15,Full Level 3  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,English and maths  2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15
,,White And Black African,"2,120",*,"2,850",*,"3,220",*,"3,320",*,"3,530",*,"3,670",*,"3,750",*,"3,850",*,"4,160",*,"4,440",*,"4,340",*,"4,290",*,"4,510",*,400,570,650,740,780,790,840,900,"1,050","1,210","1,180","1,110","1,050",390,660,770,810,940,"1,080","1,200","1,340","1,530","1,640","1,810","2,040","2,200",920,"1,330","1,580","1,780","1,780","1,840","1,950","2,020","2,060","2,080","1,850","1,810","2,240","7,420",*,"10,070",*,"11,800",*,"12,230",*,"11,460",*,"11,600",*,"13,580",*,"13,200",*,"12,730",*,"14,160",*,"14,300",*,"12,590",*,"11,710",*,360,620,660,970,"1,500","2,340","2,920","2,860","3,300","3,980","3,920","3,350","2,870",210,390,450,860,970,"1,160","1,420","1,510","1,570","1,820","1,810","1,590","1,630","2,610","3,700","4,760","5,130","4,980","4,780","5,480","5,310","5,470","6,280","5,510","5,160","5,100","9,540",*,"12,920",*,"15,020",*,"15,550",*,"14,990",*,"15,270",*,"17,330",*,"17,050",*,"16,890",*,"18,600",*,"18,640",*,"16,870",*,"16,210",*,760,"1,190","1,310","1,710","2,280","3,130","3,760","3,760","4,350","5,190","5,090","4,460","3,920",600,"1,050","1,220","1,670","1,920","2,240","2,620","2,850","3,100","3,460","3,630","3,630","3,830","3,530","5,030","6,340","6,910","6,760","6,630","7,430","7,330","7,520","8,360","7,360","6,980","7,340"
,,White And Black Caribbean,"6,920",0.7%,"9,920",1.0%,"11,610",1.1%,"12,540",1.2%,"13,520",1.3%,"14,690",1.4%,"15,210",1.4%,"16,390",1.5%,"16,320",1.5%,"16,400",1.5%,"16,420",1.6%,"15,760",1.6%,"15,450",1.6%,"1,640","2,450","2,800","3,250","3,570","3,740","3,880","4,370","4,550","5,250","5,150","4,920","4,550","1,370","2,210","2,810","3,260","3,610","4,070","4,490","5,260","5,610","5,500","6,450","6,760","7,000","2,290","4,010","5,230","6,210","6,730","6,890","7,500","8,330","8,230","7,490","6,890","6,930","7,850","9,710",*,"12,960",*,"15,570",*,"15,460",*,"14,950",*,"17,300",0.5%,"20,630",0.5%,"21,610",0.6%,"21,260",0.7%,"24,080",0.8%,"28,100",0.9%,"26,790",0.9%,"24,850",1.0%,720,"1,310","1,490","2,010","2,580","3,810","4,960","5,400","6,240","7,630","8,770","8,510","7,790",490,830,"1,060","1,730","1,890","2,470","2,990","3,550","4,020","4,160","4,580","4,360","4,380","1,580","2,590","4,010","4,730","4,590","5,370","6,400","6,720","7,430","8,740","8,410","8,360","8,690","16,630",*,"22,880",*,"27,180",*,"28,000",0.6%,"28,470",0.7%,"31,990",0.7%,"35,840",0.7%,"38,000",0.8%,"37,580",0.9%,"40,470",1.0%,"44,520",1.0%,"42,550",1.1%,"40,290",1.1%,"2,360","3,760","4,290","5,260","6,140","7,550","8,840","9,760","10,790","12,880","13,920","13,430","12,340","1,860","3,030","3,860","4,990","5,500","6,530","7,480","8,810","9,630","9,660","11,030","11,120","11,370","3,870","6,600","9,230","10,930","11,320","12,270","13,900","15,050","15,670","16,220","15,300","15,290","16,530"
,,Any other Mixed / multiple ethnic background,"3,830",*,"5,420",0.5%,"6,250",0.6%,"6,280",0.6%,"6,510",0.6%,"6,730",0.6%,"6,970",0.7%,"7,200",0.7%,"7,760",0.7%,"7,940",0.7%,"8,030",0.8%,"8,220",0.8%,"8,450",0.9%,770,"1,210","1,320","1,340","1,430","1,450","1,470","1,630","1,850","2,090","2,140","2,080","2,060",940,"1,530","1,890","2,070","2,230","2,340","2,520","2,810","3,230","3,260","3,420","3,900","4,070","1,240","2,080","2,630","2,740","2,780","2,920","3,080","3,200","3,430","3,270","3,150","3,340","4,030","9,490",*,"12,650",*,"15,080",*,"14,070",*,"13,260",*,"14,640",*,"16,830",*,"16,380",*,"16,040",0.5%,"17,900",0.6%,"19,990",0.6%,"18,860",0.6%,"18,050",0.7%,530,830,980,"1,250","1,930","3,110","3,900","3,860","4,270","5,200","5,540","5,080","4,690",400,580,740,"1,060","1,270","1,630","2,010","2,260","2,450","2,700","2,910","2,840","2,920","2,030","2,850","4,220","4,560","4,290","4,450","5,110","4,930","5,570","6,800","6,910","6,910","7,120","13,320",*,"18,060",*,"21,330",*,"20,360",*,"19,760",*,"21,370",*,"23,790",*,"23,580",0.5%,"23,800",0.6%,"25,840",0.6%,"28,020",0.6%,"27,080",0.7%,"26,500",0.7%,"1,290","2,050","2,300","2,590","3,350","4,570","5,370","5,490","6,110","7,300","7,680","7,160","6,750","1,340","2,110","2,630","3,120","3,490","3,970","4,530","5,070","5,680","5,960","6,330","6,730","6,990","3,270","4,930","6,860","7,300","7,070","7,360","8,190","8,130","9,010","10,070","10,050","10,250","11,140"
,White,English / Welsh / Scottish / Northern Irish / British,"782,050",80.1%,"821,630",80.4%,"850,380",80.1%,"828,250",80.7%,"829,180",80.8%,"850,290",80.5%,"857,480",80.4%,"883,800",80.7%,"882,870",80.1%,"845,350",79.2%,"820,370",78.9%,"768,120",78.1%,"749,640",77.8%,"223,100","247,060","252,240","259,370","261,510","261,140","253,150","270,970","279,820","289,670","277,660","259,110","245,540","232,470","260,980","269,440","274,790","285,580","295,000","304,070","324,590","342,440","331,660","353,720","351,520","348,130","182,840","299,870","373,740","397,540","389,650","387,030","398,510","411,530","398,900","351,070","315,750","303,660","326,130","2,823,220",75.4%,"3,410,860",75.9%,"3,408,400",73.3%,"2,846,420",71.2%,"2,283,030",71.2%,"2,378,010",72.0%,"2,722,530",72.2%,"2,555,010",72.2%,"2,236,920",70.7%,"2,210,740",70.2%,"2,311,240",70.5%,"2,057,840",70.2%,"1,813,680",69.4%,"193,990","233,340","236,400","289,690","392,530","569,450","737,030","751,670","743,380","764,330","728,200","656,620","572,070","177,320","198,640","195,410","219,980","219,540","265,950","341,460","380,980","399,130","388,000","394,930","351,870","333,990","244,470","346,660","497,250","518,000","413,320","449,800","543,880","527,060","572,560","677,270","655,870","582,490","538,940","3,605,270",76.4%,"4,232,490",76.7%,"4,258,780",74.6%,"3,674,670",73.2%,"3,112,210",73.5%,"3,228,300",74.0%,"3,580,010",74.0%,"3,438,810",74.2%,"3,119,790",73.2%,"3,056,090",72.5%,"3,131,610",72.5%,"2,825,960",72.2%,"2,563,320",71.7%,"417,100","480,390","488,640","549,050","654,040","830,590","990,180","1,022,630","1,023,200","1,054,000","1,005,860","915,730","817,620","409,780","459,610","464,850","494,770","505,120","560,960","645,530","705,560","741,570","719,660","748,650","703,390","682,110","427,310","646,530","870,990","915,540","802,970","836,830","942,380","938,580","971,460","1,028,330","971,620","886,150","865,060"
,,Gypsy or Irish Traveller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,650,*,980,*,"1,070",*,"1,170",*,-,-,-,-,-,-,-,-,-,130,210,250,320,-,-,-,-,-,-,-,-,-,70,100,130,120,-,-,-,-,-,-,-,-,-,370,610,760,940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,070",*,"3,100",*,"3,430",*,"3,190",*,-,-,-,-,-,-,-,-,-,280,400,490,500,-,-,-,-,-,-,-,-,-,120,150,130,110,-,-,-,-,-,-,-,-,-,850,"1,300","1,510","1,380",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,710",*,"4,080",*,"4,500",*,"4,360",*,-,-,-,-,-,-,-,-,-,410,610,740,810,-,-,-,-,-,-,-,-,-,190,250,260,230,-,-,-,-,-,-,-,-,-,"1,220","1,910","2,260","2,320"
,,Irish,"2,780",*,"3,450",*,"3,660",*,"3,300",*,"3,130",*,"3,350",*,"3,270",*,"3,430",*,"3,390",*,"3,320",*,"2,740",*,"2,500",*,"2,400",*,660,790,820,830,760,830,760,840,910,"1,010",780,730,700,640,870,"1,020",980,"1,030","1,050","1,090","1,240","1,210","1,180","1,100","1,070","1,090",700,"1,200","1,370","1,430","1,340","1,350","1,410","1,540","1,510","1,370","1,050","1,000","1,100","27,490",0.7%,"35,110",0.8%,"36,850",0.8%,"30,660",0.8%,"25,230",0.8%,"25,750",0.8%,"28,000",0.7%,"25,360",0.7%,"22,560",0.7%,"21,400",0.7%,"19,220",0.6%,"16,950",0.6%,"14,520",0.6%,"1,230","1,810","1,600","2,190","3,400","5,310","6,320","5,630","5,870","5,920","4,780","4,150","3,360",660,"1,000","1,080","1,360","1,340","1,630","2,340","2,520","2,590","2,530","1,980","1,550","1,380","2,730","3,340","4,690","4,790","3,720","3,800","4,420","4,180","4,120","4,710","3,790","3,310","2,910","30,270",0.6%,"38,560",0.7%,"40,510",0.7%,"33,950",0.7%,"28,360",0.7%,"29,090",0.7%,"31,270",0.6%,"28,790",0.6%,"25,940",0.6%,"24,720",0.6%,"21,950",0.5%,"19,450",*,"16,920",*,"1,890","2,600","2,420","3,010","4,170","6,140","7,070","6,470","6,770","6,930","5,570","4,880","4,060","1,310","1,860","2,100","2,340","2,370","2,680","3,430","3,760","3,790","3,710","3,080","2,610","2,460","3,430","4,530","6,060","6,210","5,060","5,150","5,830","5,720","5,630","6,080","4,840","4,300","4,010"
,,Any Other White Background,"12,420",1.3%,"14,980",1.5%,"17,510",1.6%,"17,460",1.7%,"17,870",1.7%,"19,130",1.8%,"21,420",2.0%,"22,490",2.1%,"25,300",2.3%,"26,770",2.5%,"27,950",2.7%,"29,390",3.0%,"31,070",3.2%,"1,790","2,360","2,480","2,780","3,130","3,510","4,090","4,780","5,630","6,420","6,680","6,890","7,000","2,590","3,500","3,940","4,350","4,700","5,220","6,080","7,030","8,770","9,390","10,400","11,320","12,530","5,780","7,300","9,240","9,640","9,480","10,210","12,180","13,320","14,410","14,400","15,070","16,500","19,540","106,640",2.8%,"147,070",3.3%,"213,030",4.6%,"242,100",6.1%,"223,560",7.0%,"220,210",6.7%,"241,220",6.4%,"226,680",6.4%,"221,970",7.0%,"231,750",7.4%,"234,840",7.2%,"216,690",7.4%,"206,240",7.9%,"3,410","5,070","5,730","10,590","22,840","43,750","58,280","56,870","64,090","73,530","65,190","53,590","51,740","2,470","3,470","3,920","5,650","6,830","9,490","13,820","16,010","18,570","19,560","20,370","17,110","17,690","37,110","50,260","107,070","139,940","127,570","106,570","106,990","98,220","102,720","111,130","114,350","113,170","113,740","119,070",2.5%,"162,050",2.9%,"230,540",4.0%,"259,560",5.2%,"241,430",5.7%,"239,340",5.5%,"262,640",5.4%,"249,170",5.4%,"247,270",5.8%,"258,520",6.1%,"262,790",6.1%,"246,080",6.3%,"237,310",6.6%,"5,200","7,430","8,200","13,370","25,970","47,260","62,370","61,650","69,720","79,940","71,870","60,480","58,740","5,060","6,980","7,860","10,000","11,530","14,710","19,900","23,050","27,340","28,940","30,760","28,430","30,220","42,890","57,560","116,310","149,570","137,040","116,780","119,170","111,540","117,130","125,530","129,420","129,670","133,280"
,Other ethnic group,Arab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,960",*,"2,700",*,"3,100",*,"3,650",*,-,-,-,-,-,-,-,-,-,460,630,660,650,-,-,-,-,-,-,-,-,-,580,940,"1,250","1,600",-,-,-,-,-,-,-,-,-,"1,140","1,450","1,690","2,220",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,300",*,"14,560",*,"15,390",0.5%,"16,450",0.6%,-,-,-,-,-,-,-,-,-,"1,650","2,180","2,120","1,870",-,-,-,-,-,-,-,-,-,580,850,830,880,-,-,-,-,-,-,-,-,-,"6,480","7,810","8,270","9,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,260",*,"17,250",*,"18,480",*,"20,100",0.6%,-,-,-,-,-,-,-,-,-,"2,110","2,810","2,780","2,520",-,-,-,-,-,-,-,-,-,"1,160","1,790","2,080","2,480",-,-,-,-,-,-,-,-,-,"7,620","9,260","9,960","11,820"
,,Any other ethnic group,"14,120",1.4%,"13,220",1.3%,"13,610",1.3%,"11,900",1.2%,"11,580",1.1%,"12,170",1.2%,"11,570",1.1%,"12,800",1.2%,"12,120",1.1%,"10,220",1.0%,"9,860",0.9%,"9,280",0.9%,"9,510",1.0%,"2,310","2,000","1,980","1,970","2,060","2,140","2,160","2,200","2,550","2,390","2,340","2,060","2,190","2,530","2,580","2,720","2,610","2,810","3,070","2,870","3,290","3,910","3,470","3,520","3,710","3,880","6,630","7,330","7,860","7,050","6,640","7,000","6,900","8,130","7,130","5,580","5,080","5,060","5,920","76,290",2.0%,"85,900",1.9%,"94,150",2.0%,"83,750",2.1%,"73,210",2.3%,"69,840",2.1%,"78,070",2.1%,"77,210",2.2%,"69,170",2.2%,"54,750",1.7%,"53,030",1.6%,"46,830",1.6%,"42,370",1.6%,"2,730","2,950","3,070","4,260","6,860","10,860","13,150","13,220","13,650","12,650","11,020","9,140","7,520","1,890","2,090","2,110","2,900","3,090","4,160","5,470","5,550","5,660","5,060","4,470","3,530","3,600","39,510","42,550","51,160","45,040","38,730","35,220","37,190","37,650","35,000","27,500","25,360","22,850","21,360","90,410",1.9%,"99,110",1.8%,"107,760",1.9%,"95,650",1.9%,"84,790",2.0%,"82,010",1.9%,"89,640",1.9%,"90,010",1.9%,"81,280",1.9%,"64,970",1.5%,"62,890",1.5%,"56,100",1.4%,"51,870",1.5%,"5,040","4,950","5,060","6,230","8,920","13,000","15,300","15,420","16,200","15,040","13,370","11,210","9,710","4,420","4,680","4,830","5,510","5,900","7,230","8,340","8,830","9,570","8,530","7,990","7,250","7,480","46,130","49,880","59,020","52,100","45,360","42,220","44,080","45,780","42,140","33,070","30,440","27,910","27,280"
,Not Known/ Not Provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not Known/ Not Provided,Not Provided,"38,310",3.9%,"25,840",2.5%,"26,260",2.5%,"16,890",1.6%,"14,880",1.4%,"16,700",1.6%,"16,300",1.5%,"13,710",1.3%,"13,300",1.2%,"11,520",1.1%,"11,450",1.1%,"14,290",1.5%,"9,470",1.0%,"6,160","4,130","3,590","2,840","2,930","3,540","3,340","2,990","3,440","3,380","3,170","3,950","2,470","8,290","6,040","5,640","4,890","3,840","4,370","4,530","3,710","4,370","4,020","4,390","6,380","3,550","14,910","9,430","9,350","7,010","6,630","7,310","7,040","6,200","5,440","4,530","3,820","5,640","4,270","283,240",7.6%,"255,220",5.7%,"213,790",4.6%,"153,060",3.8%,"116,580",3.6%,"116,870",3.5%,"115,350",3.1%,"93,430",2.6%,"73,770",2.3%,"66,320",2.1%,"83,470",2.5%,"72,800",2.5%,"53,830",2.1%,"9,390","8,480","7,000","7,140","10,260","16,150","17,940","13,300","13,380","12,130","12,590","11,840","8,130","6,750","6,530","5,370","4,630","4,080","5,590","6,590","5,640","5,870","5,300","5,840","6,030","4,470","46,340","33,370","36,010","31,310","25,100","24,140","21,820","20,060","17,030","17,030","20,410","17,800","13,350","321,540",6.8%,"281,060",5.1%,"240,040",4.2%,"169,950",3.4%,"131,450",3.1%,"133,570",3.1%,"131,650",2.7%,"107,140",2.3%,"87,070",2.0%,"77,840",1.8%,"94,920",2.2%,"87,090",2.2%,"63,300",1.8%,"15,550","12,610","10,600","9,980","13,180","19,690","21,270","16,290","16,830","15,510","15,760","15,790","10,610","15,040","12,570","11,010","9,520","7,920","9,960","11,120","9,360","10,250","9,320","10,230","12,410","8,020","61,250","42,800","45,360","38,320","31,730","31,450","28,860","26,260","22,460","21,560","24,230","23,440","17,610"
