Organisation name,Organisation code,Effective date,Directorate / service where expenditure incurred,Service category label,Service category URI,Supplier (beneficiary) name,Local supplier(beneficiary) internal reference,Supplier registered company number,Supplier registered charity number,VCSE grant,Payment date,Transaction number,Net amount,Irrecoverable VAT,Purpose of spend,Procurement classification / merchant category:  Council's procurement category name,Procurement classification / merchant category: CPV label,Procurement classification / merchant category:  CPV code,Procurement classification / merchant category: Proclass label,Procurement classification / merchant category: Proclass code,Card transaction,Contract reference,CQC Location ID,Gross amount (where Net not available),P-Card merchant Category
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116581,"£5,268.00",£0.00,"NORWICH AND LODDON TO BRAMFIELD HOUSE SCHOOL, HALESWORTH, SUFFOLK ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44051,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116582,"£2,220.00",£0.00,GORLESTON AND GT YARMOUTH TO LESSINGHAM ALL SAINTS SCHOOL WITH PA ,PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44052,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116583,"£2,088.00",£0.00,NORWICH AND THORPE CATCHMENT PICK UPS TO THORPE ST ANDREW CATCHMENT SCHOOLS ,PASSENGER TRANSPORT.EDUCATION MAINSTREAM,,,,,NO,AMN44053,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116584,"£1,190.40",£0.00,"NEEDHAM, LODDON AND BRADWELL TO COPPERFIELDS SCHOOL, GREAT YARMOUTH ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44054,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116585,"£1,787.40",£0.00,"NORWICH TO COPPERFIELDS SCHOOL, GREAT YARMOUTH ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44055,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116586,"£1,850.00",£0.00,"NORWICH TO KNOSSINGTON GRANGE SCHOOL, OAKHAM, RUTLAND ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44058,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116587,"£1,908.00",£0.00,"HOPTON AND BRUNDALL TO HARFORD MANOR SCHOOL, NORWICH ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44049,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116588,"£1,020.00",£0.00,"EAST RUSTON TO COPPERFIELDS SCHOOL, GREAT YARMOUTH  ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44056,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116589,"£2,268.00",£0.00,"NORWICH TO ACORN PARK SCHOOL, BANHAM ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44057,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116590,"£2,220.00",£0.00,"BUS 26 - THE CLARE SCHOOL, NORWICH TO THE SQUIRRELS, AYLSHAM ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44048,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116591,"£2,460.00",£0.00,"GORLESTON, ACLE, FLEGGBURGH, THURNE AND SMALLBURGH TO SIDESTRAND HALL SCHOOL ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN46292,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116592,"£1,788.00",£0.00,BRADWELL TO SIDESTRAND HALL SPECIAL SCHOOL ,PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN44070,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116593,"£1,042.50",£0.00,"CARBROOKE TO BRAMFIELD HOUSE, HALESWORTH, SUFFOLK ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN47919,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116594,"£1,800.00",£0.00,"GORLESTON TO HOPTON AND  RAF COLTISHALL TO LINGWOOD, THE COMPASS CENTRE ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AQN49685,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116595,"£1,952.30",£0.00,"PULHAM MARKET TO CENTRE ACADEMY, BRETTENHAM ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN48865,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116596,"£2,364.00",£0.00,WOOD NORTON TO SHERINGHAM WOODFIELDS SPECIAL SCHOOL ,PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AQN49112,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116597,"£1,530.00",£0.00,"GORLESTON AND GREAT YARMOUTH TO EATON HALL SCHOOL, NORWICH ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN48983,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116598,"£1,188.00",£0.00,"REEDHAM TO CANTLEY PRIMARY AND LINGWOOD, THE COMPASS CENTRE ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN47861,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116599,"£3,222.00",£0.00,"DISS TO CLARE SCHOOL, NORWICH ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN48578,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116600,"£1,390.00",£0.00,"BRADWELL AND GREAT YARMOUTH TO NORWICH, MILE CROSS PRIMARY ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN49029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116601,"£1,716.00",£0.00,ROUGHTON TO BELTON COMPASS CENTRE ,PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN49093,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116602,£697.55,£0.00,GREAT YARMOUTH TO ATTLEBOROUGH ACADEMY SRB ,PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN49039,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116603,"£2,148.00",£0.00,NORWICH TO SIDESTRAND HALL SCHOOL ,PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN49192,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,ALBIES LTD,2185106,,,NO,1/3/17,7116604,"£1,884.00",£0.00,"THORPE ST ANDREW TO PARKSIDE SCHOOL, NORWICH  ",PASSENGER TRANSPORT.EDUCATION  SPECIAL NEEDS,,,,,NO,AMN49589,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,GREENSLEEVES HOMES TRUST - DE LUCY HOUSE,2176970,,,NO,1/3/17,SE1540.52070.20170103.UNKNOWN,"£14,807.05",£0.00,ADULT CARE-NURSING & RESIDENTIAL,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,,1-2089484545,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,PATHFINDERS SPECIALIST AND COMPLEX CARE,2174004,,,NO,1/3/17,SF1530.50200.20170103.UNKNOWN,"£6,000.00",£0.00,ADULT CARE-NURSING & RESIDENTIAL,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,,1-101690366,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,CAMBIAN CHILDCARE LTD,2170048,,,NO,1/3/17,7118087,"£10,628.12",£0.00,ROLLING SELECT LIST FOR WISBECH SCHOOL,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS.OOC 38 WEEK SCHOOLS,,,,,NO,BAN43806,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Children's Services,,,CAMBIAN CHILDCARE LTD,2170048,,,NO,1/3/17,7118088,"£10,900.52",£0.00,ROLLING SELECT LIST FOR WISBECH SCHOOL,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS.OOC 38 WEEK SCHOOLS,,,,,NO,BAN43806,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,NWC PLANNING LTD,2146077,,,NO,1/3/17,7118023,£800.00,£0.00,TEMPORARY PLANNING RESOURCE,FM-PROPERTY PROFESSIONAL SERVICES,,,,,NO,APN49328,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,TAMAR HEALTHCARE LTD,2132945,,,NO,1/3/17,SE1510.50210.20170103.BAN10499,£708.47,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10499,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,EMPANDA CARE & SUPPORT LTD CIC,2113943,,,NO,1/3/17,SL1175.50210.20170103.BAN10416,"£1,936.26",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10416,1-152482759,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,KRG CARE HOMES LTD,2108942,,,NO,1/3/17,SE1520.51550.20170103.UNKNOWN,£860.17,£0.00,ADULT CARE-NURSING & RESIDENTIAL,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,,1-2482649471,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,THE VINERIES LTD,2098947,,,NO,1/3/17,SE1520.52070.20170103.BAN10545,"£3,390.05",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10545,1-2223047908,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,THE VINERIES LTD,2098947,,,NO,1/3/17,SE1530.52070.20170103.BAN10545,"£1,135.60",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10545,1-2223047908,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,SUNNYCROFT CARE HOME LTD,2098945,,,NO,1/3/17,SE1510.52070.20170103.BAN10545,"-£1,415.01",£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10545,1-2222731051,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Adult Social Care,,,SUNNYCROFT CARE HOME LTD,2098945,,,NO,1/3/17,SE1530.52070.20170103.BAN10545,£99.35,£0.00,CARE HOME AND CARE HOMES WITH NURSING FOR ADULTS APRIL 2012,ADULT CARE-NURSING & RESIDENTIAL,,,,,NO,BAN10545,1-2222731051,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,SENECA ENVIRONMENTAL SOLUTIONS LTD,2068947,,,NO,1/3/17,7117113,"£4,399.44",£0.00,TREATMENT AND DISPOSAL OF RESIDUAL WASTE,WASTE-RESIDUAL WASTE DISPOSAL,,,,,NO,AON48836A,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,SENECA ENVIRONMENTAL SOLUTIONS LTD,2068947,,,NO,1/3/17,7117184,"£35,501.64",£0.00,TREATMENT AND DISPOSAL OF RESIDUAL WASTE,WASTE-RESIDUAL WASTE DISPOSAL,,,,,NO,AON48836A,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,SENECA ENVIRONMENTAL SOLUTIONS LTD,2068947,,,NO,1/3/17,7117188,"£6,883.42",£0.00,TREATMENT AND DISPOSAL OF RESIDUAL WASTE,WASTE-RESIDUAL WASTE DISPOSAL,,,,,NO,AON48836A,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/3/17,7117056,"£1,733.63",£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.EARLY CONTRACTOR INVOLVEMENT,,,,,NO,WON42029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/3/17,7117065,"£2,654.70",£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,NO,WON42029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/3/17,7117091,"£38,000.00",£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,NO,WON42029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/3/17,7117092,£780.74,£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,NO,WON42029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/3/17,7117093,"£48,000.00",£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,NO,WON42029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/3/17,7117932,"£2,822.07",£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.EARLY CONTRACTOR INVOLVEMENT,,,,,NO,WON42029,,,
Norfolk County Council,http://opendatacommunities.org/id/county-council/norfolk,4/5/17,Community and Environmental Services,,,TARMAC TRADING LTD,1937840,,,NO,1/3/17,7117933,£460.90,£0.00,HIGHWAYS AND RELATED SERVICES (CONTRACT A - WORKS),HIGHWAYS-WORKS.EARLY CONTRACTOR INVOLVEMENT,,,,,NO,WON42029,,,
