Quarter,Geographical region,Country of nationality,Total enforced removals,Total Refused entry at port and subsequently departed,Total voluntary departures,Total non-asylum enforced removals,Non-asylum cases: Refused entry at port and subsequently departed,Total non-asylum voluntary departures,Non-asylum cases: Assisted Voluntary Returns,Non-asylum cases: Notified voluntary departures,Non-asylum cases:    Other confirmed voluntary departures,Total asylum enforced removals,Total asylum voluntary departures,Asylum cases: Assisted Voluntary Returns,Asylum cases: Notified voluntary departures,Asylum cases:    Other confirmed voluntary departures
2011 Q2,Africa,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Chad,1,2,0,0,2,0,0,0,0,1,0,0,0,0
2011 Q2,Americas,Chile,10,27,1,8,27,1,0,0,1,2,0,0,0,0
2011 Q2,Asia,China,163,30,365,81,30,289,5,81,203,82,76,47,22,7
2011 Q2,Oceania,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Colombia,18,21,24,15,21,23,0,9,14,3,1,0,1,0
2011 Q2,Africa,Comoros,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Congo,4,9,2,3,9,2,0,1,1,1,0,0,0,0
2011 Q2,Africa,Congo (Democratic Republic),10,11,9,1,11,4,0,0,4,9,5,0,2,3
2011 Q2,Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Costa Rica,0,4,0,0,4,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Croatia,0,31,3,0,31,2,0,1,1,0,1,0,1,0
2011 Q2,Americas,Cuba,1,6,4,0,6,3,0,2,1,1,1,0,1,0
2011 Q2,Americas,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Cyprus (Northern part of),0,0,1,0,0,1,0,1,0,0,0,0,0,0
2011 Q2,Europe,Czech Republic,11,2,0,10,2,0,0,0,0,1,0,0,0,0
2011 Q2,Europe,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Dominica,2,6,3,2,6,3,0,2,1,0,0,0,0,0
2011 Q2,Americas,Dominican Republic,0,12,0,0,12,0,0,0,0,0,0,0,0,0
2011 Q2,Asia,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Ecuador,8,15,11,8,15,11,1,2,8,0,0,0,0,0
2011 Q2,Africa,Egypt,11,9,26,5,9,19,0,6,13,6,7,4,3,0
2011 Q2,Americas,El Salvador,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Equatorial Guinea,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Eritrea,30,47,4,0,47,2,0,1,1,30,2,0,0,2
2011 Q2,Europe,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Ethiopia,3,3,1,0,3,0,0,0,0,3,1,0,1,0
2011 Q2,Americas,Falkland Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Fiji,1,1,4,1,1,4,0,4,0,0,0,0,0,0
2011 Q2,Europe,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Former Yugoslavia,1,5,1,1,5,1,0,0,1,0,0,0,0,0
2011 Q2,Europe,France,11,29,1,11,29,0,0,0,0,0,1,0,1,0
2011 Q2,Americas,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Gabon,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,"Gambia, The",13,1,25,6,1,20,1,6,13,7,5,1,2,2
2011 Q2,Europe,Georgia,7,1,11,2,1,10,0,6,4,5,1,1,0,0
2011 Q2,Europe,Germany,6,7,0,6,7,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Ghana,57,44,98,34,44,97,1,41,55,23,1,1,0,0
2011 Q2,Europe,Gibraltar (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Greece,0,3,0,0,3,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Grenada,0,13,4,0,13,4,0,3,1,0,0,0,0,0
2011 Q2,Americas,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Guatemala,2,5,1,2,5,1,0,0,1,0,0,0,0,0
2011 Q2,Africa,Guinea,0,5,2,0,5,2,0,0,2,0,0,0,0,0
2011 Q2,Africa,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Guyana,2,7,2,2,7,2,0,2,0,0,0,0,0,0
2011 Q2,Americas,Haiti,0,3,0,0,3,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Honduras,1,4,1,0,4,1,0,1,0,1,0,0,0,0
2011 Q2,Asia,Hong Kong,4,28,21,4,28,21,4,8,9,0,0,0,0,0
2011 Q2,Europe,Hungary,6,3,0,6,3,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Asia,India,407,211,"1,072",304,211,"1,027",17,335,675,103,45,16,23,6
2011 Q2,Asia,Indonesia,2,4,4,2,4,4,0,0,4,0,0,0,0,0
2011 Q2,Middle East,Iran,41,38,82,3,38,43,0,16,27,38,39,21,12,6
2011 Q2,Middle East,Iraq,32,48,43,3,48,12,1,4,7,29,31,14,14,3
2011 Q2,Europe,Ireland,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q2,Middle East,Israel,4,39,2,4,39,2,0,0,2,0,0,0,0,0
2011 Q2,Europe,Italy,7,3,1,7,3,0,0,0,0,0,1,0,1,0
2011 Q2,Africa,Ivory Coast,4,5,10,1,5,6,0,1,5,3,4,0,3,1
2011 Q2,Americas,Jamaica,55,21,59,41,21,58,8,31,19,14,1,0,1,0
2011 Q2,Asia,Japan,2,51,14,2,51,14,0,6,8,0,0,0,0,0
2011 Q2,Middle East,Jordan,2,5,9,2,5,9,0,4,5,0,0,0,0,0
2011 Q2,Europe,Kazakhstan,0,1,5,0,1,5,1,1,3,0,0,0,0,0
2011 Q2,Africa,Kenya,22,9,30,13,9,26,0,11,15,9,4,1,2,1
2011 Q2,Oceania,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Asia,Korea (North),0,0,1,0,0,0,0,0,0,0,1,0,0,1
2011 Q2,Asia,Korea (South),4,42,39,3,42,39,0,12,27,1,0,0,0,0
2011 Q2,Europe,Kosovo,8,13,2,5,13,1,0,1,0,3,1,0,1,0
2011 Q2,Middle East,Kuwait,7,11,14,7,11,10,0,2,8,0,4,0,4,0
2011 Q2,Europe,Kyrgyzstan,4,1,2,3,1,2,0,1,1,1,0,0,0,0
2011 Q2,Asia,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Latvia,11,6,0,11,6,0,0,0,0,0,0,0,0,0
2011 Q2,Middle East,Lebanon,1,6,12,0,6,7,0,0,7,1,5,0,5,0
2011 Q2,Africa,Lesotho,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Liberia,0,1,2,0,1,1,0,0,1,0,1,0,1,0
2011 Q2,Africa,Libya,2,17,33,0,17,27,0,16,11,2,6,0,4,2
2011 Q2,Europe,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Lithuania,43,10,0,42,10,0,0,0,0,1,0,0,0,0
2011 Q2,Europe,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Asia,Macau,1,4,1,1,4,1,0,0,1,0,0,0,0,0
2011 Q2,Europe,Macedonia,0,7,5,0,7,5,0,0,5,0,0,0,0,0
2011 Q2,Africa,Madagascar,0,4,1,0,4,1,0,1,0,0,0,0,0,0
2011 Q2,Africa,Malawi,22,2,24,14,2,21,1,7,13,8,3,3,0,0
2011 Q2,Asia,Malaysia,48,73,102,39,73,101,3,37,61,9,1,0,0,1
2011 Q2,Asia,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Mali,2,3,1,0,3,0,0,0,0,2,1,1,0,0
2011 Q2,Europe,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Mauritania,0,1,1,0,1,0,0,0,0,0,1,0,0,1
2011 Q2,Africa,Mauritius,22,49,58,16,49,56,0,31,25,6,2,2,0,0
2011 Q2,Africa,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Mexico,7,63,9,7,63,9,0,3,6,0,0,0,0,0
2011 Q2,Oceania,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Moldova,8,17,19,5,17,13,2,2,9,3,6,1,4,1
2011 Q2,Europe,Monaco,0,1,1,0,1,1,0,0,1,0,0,0,0,0
2011 Q2,Asia,Mongolia,18,3,29,14,3,25,5,4,16,4,4,0,3,1
2011 Q2,Europe,Montenegro,0,4,0,0,4,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Montserrat (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Morocco,17,40,10,8,40,7,0,3,4,9,3,1,1,1
2011 Q2,Africa,Mozambique,1,4,1,1,4,1,0,1,0,0,0,0,0,0
2011 Q2,Africa,Namibia,3,8,3,3,8,3,1,0,2,0,0,0,0,0
2011 Q2,Oceania,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Asia,Nepal,27,5,38,19,5,34,0,11,23,8,4,3,1,0
2011 Q2,Europe,Netherlands,11,12,0,11,12,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Netherlands Antilles,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011 Q2,Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,New Zealand,2,31,10,1,31,10,0,4,6,1,0,0,0,0
2011 Q2,Americas,Nicaragua,1,8,0,1,8,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Niger,2,0,0,0,0,0,0,0,0,2,0,0,0,0
2011 Q2,Africa,Nigeria,270,152,283,188,152,255,9,127,119,82,28,19,7,2
2011 Q2,Oceania,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Norway,3,0,0,3,0,0,0,0,0,0,0,0,0,0
2011 Q2,Middle East,Occupied Palestinian Territories,4,15,9,1,15,1,0,1,0,3,8,0,3,5
2011 Q2,Middle East,Oman,0,1,3,0,1,3,0,1,2,0,0,0,0,0
2011 Q2,Other,Other and unknown,0,29,2,0,29,2,0,2,0,0,0,0,0,0
2011 Q2,Asia,Pakistan,334,124,510,198,124,413,9,141,263,136,97,46,43,8
2011 Q2,Oceania,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Panama,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Paraguay,0,8,3,0,8,3,2,1,0,0,0,0,0,0
2011 Q2,Americas,Peru,0,12,11,0,12,11,0,4,7,0,0,0,0,0
2011 Q2,Asia,Philippines,46,41,160,46,41,160,2,59,99,0,0,0,0,0
2011 Q2,Oceania,Pitcairn Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Poland,59,10,2,59,10,2,0,2,0,0,0,0,0,0
2011 Q2,Europe,Portugal,14,7,3,14,7,3,0,1,2,0,0,0,0,0
2011 Q2,Americas,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Middle East,Qatar,1,2,1,0,2,1,0,0,1,1,0,0,0,0
2011 Q2,Other,Refugee,2,61,1,2,61,1,0,1,0,0,0,0,0,0
2011 Q2,Africa,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Romania,53,24,7,53,24,7,0,5,2,0,0,0,0,0
2011 Q2,Europe,Russia,6,52,35,3,52,29,1,11,17,3,6,2,0,4
2011 Q2,Africa,Rwanda,3,1,5,0,1,3,0,1,2,3,2,0,1,1
2011 Q2,Oceania,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,San Marino,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Middle East,Saudi Arabia,2,17,28,1,17,28,0,10,18,1,0,0,0,0
2011 Q2,Africa,Senegal,1,8,1,0,8,0,0,0,0,1,1,1,0,0
2011 Q2,Europe,Serbia,0,16,6,0,16,4,0,1,3,0,2,0,2,0
2011 Q2,Europe,Serbia and Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011 Q2,Africa,Seychelles,0,4,2,0,4,2,0,2,0,0,0,0,0,0
2011 Q2,Africa,Sierra Leone,5,4,12,1,4,11,0,5,6,4,1,0,1,0
2011 Q2,Asia,Singapore,2,7,10,2,7,10,0,3,7,0,0,0,0,0
2011 Q2,Europe,Slovakia,13,3,0,12,3,0,0,0,0,1,0,0,0,0
2011 Q2,Europe,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Somalia,22,8,19,8,8,2,0,2,0,14,17,4,8,5
2011 Q2,Africa,South Africa,28,37,81,21,37,76,3,31,42,7,5,2,3,0
2011 Q2,Americas,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Spain,5,2,0,5,2,0,0,0,0,0,0,0,0,0
2011 Q2,Asia,Sri Lanka,97,33,114,19,33,75,8,19,48,78,39,25,9,5
2011 Q2,Africa,St. Helena (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,St. Kitts and Nevis,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,St. Lucia,3,16,4,3,16,4,0,1,3,0,0,0,0,0
2011 Q2,Americas,St. Maarten (Dutch Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,St. Martin (French Part),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,St. Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,St. Vincent and the Grenadines,4,9,7,3,9,7,0,3,4,1,0,0,0,0
2011 Q2,Other,Stateless,2,21,0,0,21,0,0,0,0,2,0,0,0,0
2011 Q2,Africa,Sudan,26,14,6,2,14,5,0,3,2,24,1,1,0,0
2011 Q2,Africa,Sudan (South),:,:,:,:,:,:,:,:,:,:,:,:,:,:
2011 Q2,Americas,Surinam,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Swaziland,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2011 Q2,Europe,Sweden,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Middle East,Syria,3,7,17,1,7,12,0,2,10,2,5,4,0,1
2011 Q2,Asia,Taiwan,2,18,13,2,18,13,0,6,7,0,0,0,0,0
2011 Q2,Europe,Tajikistan,0,2,1,0,2,1,0,0,1,0,0,0,0,0
2011 Q2,Africa,Tanzania,15,4,36,7,4,36,0,11,25,8,0,0,0,0
2011 Q2,Asia,Thailand,14,20,57,13,20,57,0,20,37,1,0,0,0,0
2011 Q2,Africa,Togo,0,4,1,0,4,0,0,0,0,0,1,0,1,0
2011 Q2,Oceania,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Tonga,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Trinidad and Tobago,6,26,15,6,26,14,0,10,4,0,1,0,1,0
2011 Q2,Africa,Tunisia,6,12,4,5,12,3,0,0,3,1,1,0,0,1
2011 Q2,Europe,Turkey,47,59,94,26,59,88,0,24,64,21,6,0,5,1
2011 Q2,Europe,Turkmenistan,0,1,4,0,1,4,0,1,3,0,0,0,0,0
2011 Q2,Americas,Turks and Caicos Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Uganda,21,6,35,10,6,29,4,7,18,11,6,5,1,0
2011 Q2,Europe,Ukraine,51,81,90,49,81,86,2,15,69,2,4,1,2,1
2011 Q2,Middle East,United Arab Emirates,0,0,5,0,0,5,0,1,4,0,0,0,0,0
2011 Q2,Americas,United States,26,531,107,16,531,107,0,55,52,10,0,0,0,0
2011 Q2,Americas,Uruguay,1,4,0,1,4,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Uzbekistan,13,0,23,9,0,23,3,3,17,4,0,0,0,0
2011 Q2,Oceania,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Europe,Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Venezuela,3,46,8,3,46,7,0,3,4,0,1,0,1,0
2011 Q2,Asia,Vietnam,165,66,42,137,66,40,2,8,30,28,2,1,0,1
2011 Q2,Americas,Virgin Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Americas,Virgin Islands (US),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Oceania,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Africa,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q2,Middle East,Yemen,1,1,8,0,1,6,0,2,4,1,2,0,0,2
2011 Q2,Africa,Zambia,3,4,17,2,4,17,0,10,7,1,0,0,0,0
2011 Q2,Africa,Zimbabwe,7,2,50,2,2,32,6,12,14,5,18,8,4,6
2011 Q3,Total,*Total,"3,664","4,209","6,583","2,319","4,209","5,526",317,"1,513","3,696","1,345","1,057",549,353,155
2011 Q3,Africa,*Total Africa,753,676,"1,327",431,676,"1,103",88,328,687,322,224,96,91,37
2011 Q3,Americas,*Total Americas,358,"1,436",639,310,"1,436",621,65,162,394,48,18,12,6,0
2011 Q3,Asia,*Total Asia,"1,782",915,"3,783",990,915,"3,146",158,864,"2,124",792,637,346,211,80
2011 Q3,Europe,*Total Europe,638,727,471,542,727,422,4,88,330,96,49,11,25,13
2011 Q3,Middle East,*Total Middle East,112,208,321,31,208,192,2,50,140,81,129,84,20,25
2011 Q3,Oceania,*Total Oceania,9,132,41,7,132,41,0,20,21,2,0,0,0,0
2011 Q3,Other,*Total Other,12,115,1,8,115,1,0,1,0,4,0,0,0,0
2011 Q3,Asia,Afghanistan,265,84,142,15,84,22,5,11,6,250,120,82,18,20
2011 Q3,Europe,Albania,120,241,55,83,241,44,0,7,37,37,11,6,2,3
2011 Q3,Africa,Algeria,52,39,72,22,39,50,3,15,32,30,22,7,8,7
2011 Q3,Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Andorra,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Angola,6,16,7,2,16,6,0,1,5,4,1,0,1,0
2011 Q3,Americas,Anguilla (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Antigua and Barbuda,1,4,1,1,4,1,0,0,1,0,0,0,0,0
2011 Q3,Americas,Argentina,1,21,4,1,21,4,0,3,1,0,0,0,0,0
2011 Q3,Europe,Armenia,3,3,1,2,3,0,0,0,0,1,1,0,0,1
2011 Q3,Americas,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Oceania,Australia,2,92,21,1,92,21,0,13,8,1,0,0,0,0
2011 Q3,Europe,Austria,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Azerbaijan,0,0,2,0,0,2,0,0,2,0,0,0,0,0
2011 Q3,Americas,"Bahamas, The",0,5,0,0,5,0,0,0,0,0,0,0,0,0
2011 Q3,Middle East,Bahrain,3,4,11,0,4,8,0,2,6,3,3,0,3,0
2011 Q3,Asia,Bangladesh,182,37,289,116,37,251,12,49,190,66,38,24,7,7
2011 Q3,Americas,Barbados,2,16,1,2,16,1,0,1,0,0,0,0,0,0
2011 Q3,Europe,Belarus,3,11,3,2,11,2,0,1,1,1,1,0,1,0
2011 Q3,Europe,Belgium,1,6,0,1,6,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Benin,2,0,3,2,0,3,0,0,3,0,0,0,0,0
2011 Q3,Americas,Bermuda (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Asia,Bhutan,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2011 Q3,Americas,Bolivia,37,17,27,29,17,27,8,1,18,8,0,0,0,0
2011 Q3,Americas,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Bosnia and Herzegovina,0,12,1,0,12,0,0,0,0,0,1,0,1,0
2011 Q3,Africa,Botswana,5,4,7,4,4,7,2,3,2,1,0,0,0,0
2011 Q3,Americas,Brazil,134,298,289,133,298,289,31,40,218,1,0,0,0,0
2011 Q3,Other,British overseas citizens,0,4,1,0,4,1,0,1,0,0,0,0,0,0
2011 Q3,Asia,Brunei,0,0,5,0,0,5,0,1,4,0,0,0,0,0
2011 Q3,Europe,Bulgaria,5,4,5,5,4,5,0,0,5,0,0,0,0,0
2011 Q3,Africa,Burkina,0,0,2,0,0,2,0,0,2,0,0,0,0,0
2011 Q3,Asia,Burma,1,1,7,0,1,4,0,1,3,1,3,2,1,0
2011 Q3,Africa,Burundi,2,0,1,1,0,0,0,0,0,1,1,0,1,0
2011 Q3,Asia,Cambodia,0,0,2,0,0,2,0,0,2,0,0,0,0,0
2011 Q3,Africa,Cameroon,19,10,13,10,10,12,1,5,6,9,1,1,0,0
2011 Q3,Americas,Canada,5,143,35,4,143,34,0,9,25,1,1,0,1,0
2011 Q3,Africa,Cape Verde,0,4,0,0,4,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Cayman Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Central African Republic,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Chile,3,22,10,3,22,10,1,5,4,0,0,0,0,0
2011 Q3,Asia,China,156,90,523,72,90,389,20,78,291,84,134,77,34,23
2011 Q3,Oceania,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Colombia,19,15,36,14,15,34,6,12,16,5,2,1,1,0
2011 Q3,Africa,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Congo,3,13,2,1,13,2,0,1,1,2,0,0,0,0
2011 Q3,Africa,Congo (Democratic Republic),11,18,8,4,18,7,0,1,6,7,1,0,1,0
2011 Q3,Oceania,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Costa Rica,0,7,4,0,7,4,4,0,0,0,0,0,0,0
2011 Q3,Europe,Croatia,3,26,6,2,26,4,0,1,3,1,2,0,2,0
2011 Q3,Americas,Cuba,0,7,3,0,7,1,0,1,0,0,2,0,2,0
2011 Q3,Americas,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Cyprus,0,2,0,0,2,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Cyprus (Northern part of),1,2,5,1,2,4,0,1,3,0,1,0,1,0
2011 Q3,Europe,Czech Republic,14,5,1,12,5,1,0,1,0,2,0,0,0,0
2011 Q3,Europe,Denmark,1,2,0,1,2,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Dominica,2,3,3,2,3,3,1,1,1,0,0,0,0,0
2011 Q3,Americas,Dominican Republic,1,13,2,0,13,2,0,0,2,1,0,0,0,0
2011 Q3,Asia,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,Ecuador,11,12,8,8,12,8,2,1,5,3,0,0,0,0
2011 Q3,Africa,Egypt,11,21,39,6,21,32,1,15,16,5,7,6,0,1
2011 Q3,Americas,El Salvador,0,1,1,0,1,1,0,0,1,0,0,0,0,0
2011 Q3,Africa,Equatorial Guinea,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Eritrea,26,70,2,2,70,0,0,0,0,24,2,0,0,2
2011 Q3,Europe,Estonia,4,1,0,4,1,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Ethiopia,3,5,0,0,5,0,0,0,0,3,0,0,0,0
2011 Q3,Americas,Falkland Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Oceania,Fiji,3,2,9,2,2,9,0,3,6,1,0,0,0,0
2011 Q3,Europe,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Former Yugoslavia,0,5,5,0,5,3,0,0,3,0,2,0,2,0
2011 Q3,Europe,France,14,14,0,14,14,0,0,0,0,0,0,0,0,0
2011 Q3,Americas,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Gabon,2,2,1,1,2,1,0,0,1,1,0,0,0,0
2011 Q3,Africa,"Gambia, The",13,7,47,7,7,43,4,3,36,6,4,2,1,1
2011 Q3,Europe,Georgia,6,4,9,2,4,7,0,0,7,4,2,1,1,0
2011 Q3,Europe,Germany,7,6,0,7,6,0,0,0,0,0,0,0,0,0
2011 Q3,Africa,Ghana,57,48,111,42,48,107,12,42,53,15,4,1,3,0
2011 Q3,Europe,Gibraltar (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Q3,Europe,Greece,0,3,0,0,3,0,0,0,0,0,0,0,0,0
