,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010,Apr 2010 to Mar 2011,Jul 2010 to Jun 2011,Oct 2010 to Sep 2011,Jan 2011 to Dec 2011
Average number of re-offences per offender,0.39,0.32,0.19,0.42,*,*,*,0.74
Number of re-offences,18,12,7,15,14,11,18,23
Number of offenders in cohort,46,38,36,36,23,21,23,31
Average number of previous offences per offender,35.7,33.5,35.8,42.1,*,*,*,52.6
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,15,15,20,10,11,7,3,13
Number of offenders in cohort,17,17,18,18,18,14,13,17
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),41.9,42.3,39.9,43.9,43.9,48.7,46.8,38.8
Average number of re-offences per re-offender,2.18,2.06,2.02,1.84,1.81,1.93,1.98,2.15
Average number of re-offences per offender,0.91,0.87,0.80,0.81,0.80,0.94,0.93,0.83
Number of re-offences,157,142,123,112,105,110,103,101
Number of offenders in cohort,172,163,153,139,132,117,111,121
Average number of previous offences per offender,43.2,47.5,51.5,52.3,54.0,55.6,55.7,55.9
Proportion of offenders who re-offend (%),35.8,33.3,39.8,52.8,52.1,50.0,48.2,45.3
Average number of re-offences per re-offender,2.79,2.77,2.36,2.55,1.76,2.00,2.07,2.38
Average number of re-offences per offender,1.00,0.92,0.94,1.35,0.92,1.00,1.00,1.08
Number of re-offences,81,72,78,97,65,60,56,57
Number of offenders in cohort,81,78,83,72,71,60,56,53
Average number of previous offences per offender,61.4,64.0,65.8,70.2,63.8,64.3,62.7,62.3
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,15,12,7,9,12,13,4,5
Number of offenders in cohort,16,16,15,13,12,11,7,6
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),33.8,25.8,25.0,22.2,15.9,13.7,16.7,17.3
Average number of re-offences per re-offender,2.55,2.18,1.31,1.30,1.86,1.29,1.75,2.11
Average number of re-offences per offender,0.86,0.56,0.33,0.29,0.30,0.18,0.29,0.37
Number of re-offences,56,37,17,13,13,9,14,19
Number of offenders in cohort,65,66,52,45,44,51,48,52
Average number of previous offences per offender,47.7,49.2,49.3,53.0,57.0,53.1,52.4,51.4
Proportion of offenders who re-offend (%),25.6,24.3,16.2,28.1,28.1,32.3,44.2,38.1
Average number of re-offences per re-offender,2.20,1.78,1.67,1.67,1.78,2.10,1.58,1.88
Average number of re-offences per offender,0.56,0.43,0.27,0.47,0.50,0.68,0.70,0.71
Number of re-offences,22,16,10,15,16,21,30,30
Number of offenders in cohort,39,37,37,32,32,31,43,42
Average number of previous offences per offender,34.3,36.0,38.0,41.0,39.3,40.8,35.4,37.9
Proportion of offenders who re-offend (%),16.1,16.7,*,*,*,*,*,*
Average number of re-offences per re-offender,2.40,3.20,*,*,*,*,*,*
Average number of re-offences per offender,0.39,0.53,*,*,*,*,*,*
Number of re-offences,12,16,12,8,6,7,17,15
Number of offenders in cohort,31,30,29,26,24,21,21,18
Average number of previous offences per offender,55.3,50.0,*,*,*,*,*,*
Proportion of offenders who re-offend (%),44.2,41.4,39.9,40.7,44.7,40.4,38.2,39.3
Average number of re-offences per re-offender,2.46,2.57,2.69,2.49,2.63,2.53,2.60,2.81
Average number of re-offences per offender,1.09,1.06,1.07,1.01,1.18,1.02,0.99,1.10
Number of re-offences,263,247,223,184,187,149,143,149
Number of offenders in cohort,242,232,208,182,159,146,144,135
Average number of previous offences per offender,57.4,58.1,60.1,58.8,60.9,63.0,65.1,66.2
Proportion of offenders who re-offend (%),40.3,37.4,28.2,30.1,32.5,35.8,30.3,31.5
Average number of re-offences per re-offender,2.23,2.68,1.73,1.71,1.92,1.66,1.62,1.85
Average number of re-offences per offender,0.90,1.00,0.49,0.51,0.62,0.59,0.49,0.58
Number of re-offences,125,107,38,53,73,63,60,76
Number of offenders in cohort,139,107,78,103,117,106,122,130
Average number of previous offences per offender,39.0,41.8,36.9,39.1,40.9,41.7,45.3,44.9
Proportion of offenders who re-offend (%),31.1,32.5,32.2,31.0,32.2,32.2,32.5,33.3
Average number of re-offences per re-offender,1.74,2.27,2.00,2.08,2.08,1.74,1.90,1.95
Average number of re-offences per offender,0.54,0.74,0.64,0.64,0.67,0.56,0.62,0.65
Number of re-offences,66,84,76,81,79,66,76,80
Number of offenders in cohort,122,114,118,126,118,118,123,123
Average number of previous offences per offender,62.1,63.3,65.6,65.3,64.8,63.7,66.1,63.1
Proportion of offenders who re-offend (%),39.2,28.4,25.7,32.0,34.4,35.6,32.9,33.3
Average number of re-offences per re-offender,2.55,2.72,2.69,2.38,2.33,2.45,2.19,1.89
Average number of re-offences per offender,1.00,0.77,0.69,0.76,0.80,0.87,0.72,0.63
Number of re-offences,97,79,70,76,77,76,59,51
Number of offenders in cohort,97,102,101,100,96,87,82,81
Average number of previous offences per offender,54.8,60.5,59.6,52.1,54.5,58.2,57.9,61.6
Proportion of offenders who re-offend (%),17.6,22.2,9.7,*,*,*,*,*
Average number of re-offences per re-offender,1.83,1.63,1.00,*,*,*,*,*
Average number of re-offences per offender,0.32,0.36,0.10,*,*,*,*,*
Number of re-offences,11,13,3,6,13,2,4,8
Number of offenders in cohort,34,36,31,25,22,20,18,17
Average number of previous offences per offender,45.8,45.9,47.9,*,*,*,*,*
Proportion of offenders who re-offend (%),32.8,28.8,29.9,31.1,27.6,26.4,30.2,31.7
Average number of re-offences per re-offender,2.15,2.71,2.10,1.68,1.44,1.50,2.00,2.23
Average number of re-offences per offender,0.70,0.78,0.63,0.52,0.40,0.40,0.60,0.71
Number of re-offences,43,46,42,32,23,21,26,29
Number of offenders in cohort,61,59,67,61,58,53,43,41
Average number of previous offences per offender,69.8,67.4,61.6,63.7,61.1,62.7,67.7,69.4
Proportion of offenders who re-offend (%),34.7,28.7,26.7,33.3,32.4,32.8,43.5,41.7
Average number of re-offences per re-offender,2.42,2.56,2.17,1.85,1.96,1.58,1.90,2.05
Average number of re-offences per offender,0.84,0.73,0.58,0.62,0.63,0.52,0.83,0.85
Number of re-offences,80,69,52,50,45,30,38,41
Number of offenders in cohort,95,94,90,81,71,58,46,48
Average number of previous offences per offender,45.5,44.6,43.4,44.6,47.7,43.6,39.9,45.1
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,19,24,14,12,8,3,8,8
Number of offenders in cohort,17,14,14,15,13,10,9,8
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),24.6,26.3,31.5,28.7,30.8,24.6,26.0,29.0
Average number of re-offences per re-offender,2.82,2.76,2.26,2.10,2.07,2.26,2.06,2.36
Average number of re-offences per offender,0.69,0.72,0.71,0.60,0.64,0.56,0.54,0.69
Number of re-offences,127,113,104,82,85,70,68,85
Number of offenders in cohort,183,156,146,136,133,126,127,124
Average number of previous offences per offender,49.4,53.9,54.9,56.0,56.8,55.0,56.6,58.2
Proportion of offenders who re-offend (%),46.7,45.5,50.0,39.4,*,*,*,*
Average number of re-offences per re-offender,2.93,2.80,1.87,2.23,*,*,*,*
Average number of re-offences per offender,1.37,1.27,0.93,0.88,*,*,*,*
Number of re-offences,41,42,28,29,25,17,15,21
Number of offenders in cohort,30,33,30,33,26,21,19,20
Average number of previous offences per offender,46.2,50.1,51.9,49.7,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,4,9,4,5,19,20,22,26
Number of offenders in cohort,14,12,12,12,22,21,23,20
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,15,6,4,9,7,6,20,13
Number of offenders in cohort,9,6,9,10,9,9,10,9
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),40.5,31.0,34.2,43.2,40.0,26.3,36.1,50.0
Average number of re-offences per re-offender,1.80,2.46,2.54,2.25,2.31,3.80,3.46,2.39
Average number of re-offences per offender,0.73,0.76,0.87,0.97,0.93,1.00,1.25,1.19
Number of re-offences,27,32,33,36,37,38,45,43
Number of offenders in cohort,37,42,38,37,40,38,36,36
Average number of previous offences per offender,69.5,70.8,71.5,61.1,61.1,65.2,66.2,60.1
Proportion of offenders who re-offend (%),*,39.1,33.3,33.3,34.4,31.0,39.6,42.0
Average number of re-offences per re-offender,*,2.06,2.13,2.52,2.00,2.03,2.00,2.68
Average number of re-offences per offender,*,0.80,0.71,0.84,0.69,0.63,0.79,1.13
Number of re-offences,21,74,68,83,66,63,80,126
Number of offenders in cohort,25,92,96,99,96,100,101,112
Average number of previous offences per offender,*,48.9,48.5,50.5,50.1,49.1,48.5,50.3
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,3,20,21,18,12,14,7,10
Number of offenders in cohort,8,10,10,9,9,9,8,8
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,68,57,59,29,35,39,22,35
Number of offenders in cohort,27,25,26,18,18,16,19,19
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),56.5,63.6,63.8,58.9,60.4,58.6,66.1,71.2
Average number of re-offences per re-offender,2.95,2.57,3.03,3.39,2.81,3.00,3.31,2.86
Average number of re-offences per offender,1.67,1.64,1.93,2.00,1.70,1.76,2.19,2.03
Number of re-offences,115,108,112,112,90,102,129,120
Number of offenders in cohort,69,66,58,56,53,58,59,59
Average number of previous offences per offender,96.6,100.6,100.5,109.4,112.1,105.6,105.5,102.9
Proportion of offenders who re-offend (%),25.6,32.4,35.7,30.0,23.8,13.6,20.6,39.5
Average number of re-offences per re-offender,1.91,1.42,1.60,1.75,2.30,2.00,1.57,2.18
Average number of re-offences per offender,0.49,0.46,0.57,0.53,0.55,0.27,0.32,0.86
Number of re-offences,21,17,24,21,23,12,11,37
Number of offenders in cohort,43,37,42,40,42,44,34,43
Average number of previous offences per offender,33.0,29.9,33.3,34.6,36.2,36.3,40.0,44.1
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,32,31,32,35,18,21,17,16
Number of offenders in cohort,24,21,22,18,15,16,15,16
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),43.1,43.5,41.5,44.4,44.2,47.4,37.2,50.0
Average number of re-offences per re-offender,3.23,2.93,3.14,2.70,2.47,2.28,2.50,2.63
Average number of re-offences per offender,1.39,1.27,1.30,1.20,1.09,1.08,0.93,1.31
Number of re-offences,100,79,69,54,47,41,40,63
Number of offenders in cohort,72,62,53,45,43,38,43,48
Average number of previous offences per offender,65.3,63.8,65.6,67.0,70.8,68.7,73.5,79.9
Proportion of offenders who re-offend (%),43.8,44.3,51.7,52.6,55.4,51.9,58.7,44.2
Average number of re-offences per re-offender,3.21,2.67,2.16,3.00,3.16,3.18,3.59,4.05
Average number of re-offences per offender,1.41,1.18,1.12,1.58,1.75,1.65,2.11,1.79
Number of re-offences,90,72,67,90,98,89,97,77
Number of offenders in cohort,64,61,60,57,56,54,46,43
Average number of previous offences per offender,61.4,60.4,59.4,63.7,65.7,69.5,70.5,66.4
Proportion of offenders who re-offend (%),38.7,30.0,*,*,*,*,*,*
Average number of re-offences per re-offender,2.67,2.44,*,*,*,*,*,*
Average number of re-offences per offender,1.03,0.73,*,*,*,*,*,*
Number of re-offences,32,22,23,22,11,9,23,33
Number of offenders in cohort,31,30,29,25,24,20,18,20
Average number of previous offences per offender,47.6,46.1,*,*,*,*,*,*
Proportion of offenders who re-offend (%),36.7,33.3,54.8,63.9,46.2,46.3,38.1,39.5
Average number of re-offences per re-offender,2.18,3.20,3.00,3.17,2.72,3.00,2.56,2.06
Average number of re-offences per offender,0.80,1.07,1.65,2.03,1.26,1.39,0.98,0.81
Number of re-offences,24,32,51,73,49,57,41,35
Number of offenders in cohort,30,30,31,36,39,41,42,43
Average number of previous offences per offender,66.3,73.4,70.3,82.0,82.6,82.6,76.8,87.2
Proportion of offenders who re-offend (%),*,*,51.5,*,51.6,57.6,55.6,59.0
Average number of re-offences per re-offender,*,*,2.76,*,3.31,3.84,4.45,4.00
Average number of re-offences per offender,*,*,1.42,*,1.71,2.21,2.47,2.36
Number of re-offences,58,50,47,48,53,73,89,92
Number of offenders in cohort,27,28,33,29,31,33,36,39
Average number of previous offences per offender,*,*,74.1,*,72.5,73.0,72.1,78.6
Proportion of offenders who re-offend (%),42.9,49.2,50.9,52.9,63.4,52.6,48.7,43.9
Average number of re-offences per re-offender,3.10,2.40,2.74,2.33,2.27,2.25,1.95,3.44
Average number of re-offences per offender,1.33,1.18,1.40,1.24,1.44,1.18,0.95,1.51
Number of re-offences,93,72,74,63,59,45,37,62
Number of offenders in cohort,70,61,53,51,41,38,39,41
Average number of previous offences per offender,54.0,57.4,59.7,60.3,64.8,65.5,71.6,71.9
Proportion of offenders who re-offend (%),33.1,31.9,38.7,37.2,38.9,38.1,35.3,29.8
Average number of re-offences per re-offender,2.79,2.63,2.12,2.33,2.50,2.17,2.43,2.54
Average number of re-offences per offender,0.92,0.84,0.82,0.87,0.97,0.83,0.86,0.76
Number of re-offences,145,121,123,126,140,115,114,99
Number of offenders in cohort,157,144,150,145,144,139,133,131
Average number of previous offences per offender,58.8,55.5,56.4,58.9,60.8,61.9,58.9,58.1
Proportion of offenders who re-offend (%),50.0,57.1,54.5,59.4,*,*,*,*
Average number of re-offences per re-offender,2.44,3.05,2.78,1.58,*,*,*,*
Average number of re-offences per offender,1.22,1.74,1.52,0.94,*,*,*,*
Number of re-offences,44,61,50,30,50,42,50,47
Number of offenders in cohort,36,35,33,32,29,27,23,20
Average number of previous offences per offender,72.2,74.4,78.6,75.7,*,*,*,*
Proportion of offenders who re-offend (%),26.4,23.4,28.2,35.2,29.9,29.2,33.0,34.6
Average number of re-offences per re-offender,2.91,2.14,2.29,2.41,2.17,1.93,2.12,2.08
Average number of re-offences per offender,0.77,0.50,0.65,0.85,0.65,0.56,0.70,0.72
Number of re-offences,99,62,71,89,63,54,70,77
Number of offenders in cohort,129,124,110,105,97,96,100,107
Average number of previous offences per offender,47.7,49.6,51.5,53.8,54.3,52.8,50.7,49.5
Proportion of offenders who re-offend (%),33.6,35.2,34.8,33.7,38.4,40.5,46.1,51.1
Average number of re-offences per re-offender,2.55,2.47,2.59,2.59,2.67,3.00,3.05,2.77
Average number of re-offences per offender,0.85,0.87,0.90,0.87,1.02,1.21,1.40,1.41
Number of re-offences,112,94,83,75,88,102,125,130
Number of offenders in cohort,131,108,92,86,86,84,89,92
Average number of previous offences per offender,55.2,54.2,54.0,52.1,50.8,52.5,50.9,48.9
Proportion of offenders who re-offend (%),41.9,34.1,35.9,39.5,35.1,32.4,19.4,31.4
Average number of re-offences per re-offender,2.11,2.50,2.21,2.73,2.85,3.00,3.50,1.36
Average number of re-offences per offender,0.88,0.85,0.79,1.08,1.00,0.97,0.68,0.43
Number of re-offences,38,35,31,41,37,33,21,15
Number of offenders in cohort,43,41,39,38,37,34,31,35
Average number of previous offences per offender,81.0,77.8,88.3,76.0,77.4,81.7,80.6,75.7
Proportion of offenders who re-offend (%),48.2,44.3,40.2,45.9,44.8,45.9,43.6,40.6
Average number of re-offences per re-offender,2.49,2.14,2.39,2.51,2.45,2.42,2.56,2.37
Average number of re-offences per offender,1.20,0.95,0.96,1.15,1.10,1.11,1.12,0.96
Number of re-offences,102,75,79,113,115,121,123,102
Number of offenders in cohort,85,79,82,98,105,109,110,106
Average number of previous offences per offender,49.7,45.6,45.0,46.9,50.3,53.3,54.4,55.0
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,37,45,26,30,21,46,29,21
Number of offenders in cohort,19,20,21,22,23,24,23,20
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),38.5,51.3,45.9,48.6,53.3,54.5,47.1,35.5
Average number of re-offences per re-offender,2.10,2.15,2.06,2.18,2.19,2.72,2.50,2.09
Average number of re-offences per offender,0.81,1.10,0.95,1.06,1.17,1.48,1.18,0.74
Number of re-offences,42,43,35,37,35,49,40,23
Number of offenders in cohort,52,39,37,35,30,33,34,31
Average number of previous offences per offender,55.9,59.1,61.2,63.5,69.0,70.8,70.6,77.3
Proportion of offenders who re-offend (%),38.5,44.2,36.4,37.8,44.4,36.0,40.0,40.0
Average number of re-offences per re-offender,1.80,1.78,1.63,1.76,1.70,1.67,1.65,1.77
Average number of re-offences per offender,0.69,0.79,0.59,0.67,0.76,0.60,0.66,0.71
Number of re-offences,36,41,26,30,34,30,33,39
Number of offenders in cohort,52,52,44,45,45,50,50,55
Average number of previous offences per offender,58.3,58.9,63.5,63.0,62.8,64.3,64.8,57.9
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,13,10,7,3,7,7,6,6
Number of offenders in cohort,11,9,7,6,9,9,8,8
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,40.6,*,*,*,*,*,*
Average number of re-offences per re-offender,*,3.92,*,*,*,*,*,*
Average number of re-offences per offender,*,1.59,*,*,*,*,*,*
Number of re-offences,34,51,31,31,31,60,49,59
Number of offenders in cohort,29,32,26,28,23,28,27,18
Average number of previous offences per offender,*,66.2,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,16,16,8,7,8,13,14,6
Number of offenders in cohort,13,11,12,9,11,11,9,9
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),38.9,41.9,*,51.6,43.8,36.1,42.2,44.2
Average number of re-offences per re-offender,2.21,2.54,*,2.75,2.71,2.55,2.68,2.39
Average number of re-offences per offender,0.86,1.06,*,1.42,1.19,0.92,1.13,1.06
Number of re-offences,31,33,20,88,76,56,51,55
Number of offenders in cohort,36,31,21,62,64,61,45,52
Average number of previous offences per offender,46.2,49.4,*,57.0,58.8,59.7,61.7,58.2
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,4,4,6,4,4,5,4,4
Number of offenders in cohort,20,16,20,17,16,14,13,12
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,41.7,*,*,61.1,56.8,50.0
Average number of re-offences per re-offender,*,*,3.53,*,*,2.41,2.19,2.00
Average number of re-offences per offender,*,*,1.47,*,*,1.47,1.24,1.00
Number of re-offences,55,45,53,43,49,53,46,34
Number of offenders in cohort,29,29,36,26,27,36,37,34
Average number of previous offences per offender,*,*,59.6,*,*,66.5,67.1,66.8
Proportion of offenders who re-offend (%),44.9,50.0,40.9,48.8,48.9,46.0,42.3,32.1
Average number of re-offences per re-offender,2.32,2.61,2.56,2.43,2.27,2.22,2.23,2.47
Average number of re-offences per offender,1.04,1.30,1.05,1.19,1.11,1.02,0.94,0.79
Number of re-offences,51,60,46,51,50,51,49,42
Number of offenders in cohort,49,46,44,43,45,50,52,53
Average number of previous offences per offender,71.9,71.3,69.8,75.0,82.3,78.3,78.6,74.0
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,8,3,5,1,5,3,17,17
Number of offenders in cohort,13,10,7,9,10,10,12,12
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),26.2,26.2,22.0,26.7,41.2,45.7,46.2,42.9
Average number of re-offences per re-offender,1.91,2.45,1.33,2.33,2.14,2.29,2.61,3.40
Average number of re-offences per offender,0.50,0.64,0.29,0.62,0.88,1.04,1.21,1.46
Number of re-offences,21,27,12,28,45,48,47,51
Number of offenders in cohort,42,42,41,45,51,46,39,35
Average number of previous offences per offender,65.1,63.0,68.0,70.3,66.5,67.4,66.6,60.8
Proportion of offenders who re-offend (%),30.0,*,*,*,*,*,*,*
Average number of re-offences per re-offender,2.11,*,*,*,*,*,*,*
Average number of re-offences per offender,0.63,*,*,*,*,*,*,*
Number of re-offences,19,21,19,18,17,14,6,8
Number of offenders in cohort,30,24,25,21,21,20,12,13
Average number of previous offences per offender,65.5,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,1,1,1,2,2,0,0,0
Number of offenders in cohort,2,2,2,1,1,0,0,1
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),37.1,33.3,32.3,*,59.4,51.6,*,43.8
Average number of re-offences per re-offender,2.69,2.42,1.90,*,2.53,2.19,*,2.50
Average number of re-offences per offender,1.00,0.81,0.61,*,1.50,1.13,*,1.09
Number of re-offences,35,29,19,37,48,35,21,35
Number of offenders in cohort,35,36,31,29,32,31,26,32
Average number of previous offences per offender,63.1,63.2,58.3,*,54.8,55.8,*,58.3
Proportion of offenders who re-offend (%),38.5,41.4,36.8,42.0,42.0,37.8,27.8,23.5
Average number of re-offences per re-offender,1.72,1.96,2.19,2.10,2.14,3.41,4.00,3.25
Average number of re-offences per offender,0.66,0.81,0.81,0.88,0.90,1.29,1.11,0.76
Number of re-offences,43,47,46,44,45,58,40,26
Number of offenders in cohort,65,58,57,50,50,45,36,34
Average number of previous offences per offender,43.0,40.4,43.2,44.9,44.6,46.3,50.2,57.7
Proportion of offenders who re-offend (%),27.3,29.5,22.0,31.4,34.5,39.2,43.4,41.2
Average number of re-offences per re-offender,2.08,2.08,2.22,1.69,1.74,1.85,2.13,2.10
Average number of re-offences per offender,0.57,0.61,0.49,0.53,0.60,0.73,0.92,0.86
Number of re-offences,25,27,20,27,33,37,49,44
Number of offenders in cohort,44,44,41,51,55,51,53,51
Average number of previous offences per offender,56.5,56.6,52.1,52.7,48.8,41.5,41.1,41.9
Proportion of offenders who re-offend (%),25.0,33.3,37.5,29.4,28.6,29.1,28.3,35.9
Average number of re-offences per re-offender,2.56,2.55,2.25,1.95,2.00,1.63,1.77,2.07
Average number of re-offences per offender,0.64,0.85,0.84,0.57,0.57,0.47,0.50,0.74
Number of re-offences,46,56,54,39,36,26,23,29
Number of offenders in cohort,72,66,64,68,63,55,46,39
Average number of previous offences per offender,59.5,56.8,57.9,62.4,60.7,62.8,63.6,63.1
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,13,18,23,14,15,10,12,15
Number of offenders in cohort,13,16,17,18,18,18,20,19
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,43.3,46.7,*,*,*
Average number of re-offences per re-offender,*,*,*,2.92,2.64,*,*,*
Average number of re-offences per offender,*,*,*,1.27,1.23,*,*,*
Number of re-offences,14,1,7,38,37,27,23,22
Number of offenders in cohort,19,19,18,30,30,28,23,26
Average number of previous offences per offender,*,*,*,48.5,49.5,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,14,5,9,11,9,19,7,11
Number of offenders in cohort,18,16,14,16,13,14,14,14
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,48.4,48.4,42.1,36.8,35.3,29.0
Average number of re-offences per re-offender,*,*,3.13,3.27,2.81,3.57,2.83,3.56
Average number of re-offences per offender,*,*,1.52,1.58,1.18,1.32,1.00,1.03
Number of re-offences,28,36,47,49,45,50,34,32
Number of offenders in cohort,26,28,31,31,38,38,34,31
Average number of previous offences per offender,*,*,75.7,72.3,68.5,72.0,73.9,77.7
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,18,14,11,11,13,10,10,4
Number of offenders in cohort,20,20,20,14,16,17,13,11
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),47.1,51.4,54.1,36.4,36.7,48.5,45.7,44.1
Average number of re-offences per re-offender,2.44,2.37,2.30,3.50,1.91,1.81,2.00,1.93
Average number of re-offences per offender,1.15,1.22,1.24,1.27,0.70,0.88,0.91,0.85
Number of re-offences,39,45,46,42,21,29,32,29
Number of offenders in cohort,34,37,37,33,30,33,35,34
Average number of previous offences per offender,64.2,63.2,65.4,51.9,54.2,58.2,59.3,61.1
Proportion of offenders who re-offend (%),43.3,*,*,*,*,*,*,*
Average number of re-offences per re-offender,2.46,*,*,*,*,*,*,*
Average number of re-offences per offender,1.07,*,*,*,*,*,*,*
Number of re-offences,32,25,34,25,31,37,19,26
Number of offenders in cohort,30,27,27,23,24,23,13,12
Average number of previous offences per offender,64.5,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),45.5,*,*,*,*,*,*,*
Average number of re-offences per re-offender,2.13,*,*,*,*,*,*,*
Average number of re-offences per offender,0.97,*,*,*,*,*,*,*
Number of re-offences,32,25,25,24,14,16,25,23
Number of offenders in cohort,33,27,27,27,24,21,25,27
Average number of previous offences per offender,51.7,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,16,19,15,10,10,5,3,8
Number of offenders in cohort,27,25,21,21,19,17,11,18
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),35.1,31.3,33.3,46.7,*,*,*,*
Average number of re-offences per re-offender,2.69,1.90,2.00,2.29,*,*,*,*
Average number of re-offences per offender,0.95,0.59,0.67,1.07,*,*,*,*
Number of re-offences,35,19,20,32,33,37,34,17
Number of offenders in cohort,37,32,30,30,25,25,27,24
Average number of previous offences per offender,70.2,67.7,59.3,64.9,*,*,*,*
Proportion of offenders who re-offend (%),28.8,35.7,31.2,45.6,47.2,43.1,43.7,48.8
Average number of re-offences per re-offender,2.81,2.68,2.21,2.26,2.53,2.59,2.15,2.52
