Funder,Source File,Rating Year,Star rating guidance Provider,Grant Name,Prime/Sub,Stars,Total %,Delivery,Diversity,Conversion,Self Assessment,Participant Satisfaction,Grant Compliance,Target Group,Primary Outcome,No. of starters,Year of Delivery,Pan London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Funding Round and Spec
Big Lottery/Building Better Futures,Community Links Lon 1 2 ,2016/17,Community Links Trust Ltd,Create Your Future,Prime,0,35.9,15.1,5.4,0.0,8.3,0.0,7.2,BAME Women,Starts,64,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,BAME Women
Big Lottery/Building Better Futures,Groundwork London Lon 1 5,2016/17,Groundwork London,Able Capable Employed South Central,Prime,0,32.5,9.7,11.2,0.0,6.2,0.0,5.4,People with disabilities,Starts,30,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,People with disabilities
Big Lottery/Building Better Futures,Carers Trust Lon 1 7 ,2016/17,Carers Trust,Working for Carers 1.7,Prime,1,52.5,24.8,12.0,0.0,7.7,0.0,8.0,Carers,Starts,16,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,Carers
Big Lottery/Building Better Futures,Carers Trust Lon 1 8,2016/17,Carers Trust,Working for Carers 1.8,Prime,2,73.5,46.8,10.9,0.0,7.7,0.0,8.0,Carers,Starts,40,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,Carers
Big Lottery/Building Better Futures,Groundwork London Lon 1 6,2016/17,Groundwork London,Able Capable Employed North,Prime,0,39.3,16.8,10.8,0.0,6.2,0.0,5.4,People with disabilities,Starts,73,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,People with disabilities
Big Lottery/Building Better Futures,Shaw Trust Lon 2 13,2016/17,Shaw Trust Limited,AIM4Work South London,Prime,1,47.0,22.2,10.7,0.0,6.2,0.0,8.0,People with Common Mental Health Conditions,Starts,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,People with Common Mental Health Conditions
Big Lottery/Building Better Futures,Paddington Development Trust Lon 1 4,2016/17,Paddington Development Trust,SWEET - Support Women into Education Employment and Training,Prime,2,72.7,48.0,10.7,0.0,5.6,0.0,8.4,BAME women,Starts,95,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAME women
Big Lottery/Building Better Futures,Hopscotch Lon 1 1 ,2016/17,Hopscotch Asian Womens Centre,Women at the Centre,Prime,2,63.5,35.8,7.3,0.0,7.5,6.4,6.6,BAME Women,Starts,85,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,BAME Women
Big Lottery/Building Better Futures,Shaw Trust Lon 2 9,2016/17,Shaw Trust Limited,AIM4Work North and East London,Prime,2,63.2,36.6,12.0,0.0,6.2,0.0,8.4,People with Common Mental Health Conditions,Starts,16,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,People with Common Mental Health Conditions
Big Lottery/Building Better Futures,Prevista Lon1.3,2016/17,Prevista,Lon/1/3 - Raising Aspirations for Women (RAFW),Prime,0,32.3,19.5,2.5,0.0,4.1,0.0,6.2,BAME Women,Starts,60,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,BAME Women
London Councils,Citizen Trust EPR Calculator 2016-17,2016/17,Citizens Trust,Directions West London,Prime,0,31.5,9.9,7.3,0.0,6.4,0.0,8.0,Long-term Unemployed and Economically Inactive,Starts,43,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Long-term Unemployed and Economically Inactive
London Councils,LTEN EPR Calculator 2016-17 ,2016/17,LTEN (London Training Network & Employment Network),Steps into Work,Prime,0,27.0,5.2,5.3,0.0,8.4,0.0,8.0,Long-term Unemployed and Economically Inactive,Starts,38,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,Long-term Unemployed and Economically Inactive
London Councils,MI Comput Solution EPR Calculator 2016-17,2016/17,MI ComputSolutions,Community Life Change,Prime,0,20.3,2.4,2.4,0.0,7.5,0.0,8.0,Long-term Unemployed and Economically Inactive,Starts,20,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Long-term Unemployed and Economically Inactive
London Councils,PDT EPR Calculator 2016-17,2016/17,PDT (Paddington Development Trust),GOLD,Prime,1,44.2,25.5,5.1,0.0,5.6,0.0,8.0,Long-term Unemployed and Economically Inactive,Starts,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Long-term Unemployed and Economically Inactive
London Councils,Redbridge CVS (AH) 2016-17,2016/17,Redbridge CVS (AH),Aim Higher,Prime,0,26.3,5.8,5.3,0.0,7.1,0.0,8.0,Long-term Unemployed and Economically Inactive,Starts,37,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Long-term Unemployed and Economically Inactive
London Councils,Redbridge CVS (OE) 2016-17,2016/17,Redbridge CVS (OE),Outreach East,Prime,0,31.1,7.0,9.0,0.0,7.1,0.0,8.0,Long-term Unemployed and Economically Inactive,Starts,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Long-term Unemployed and Economically Inactive
HMPPS,CGL EPR Calculator 2016-17,2015/16,"CGL (Change,Grow, Live)",CFO3,Sub,1,55.1,36.0,5.3,0.0,6.3,0.0,7.4,Adult Males 18+,Starts,226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Adult Males 18+
HMPPS ,EPR Calculator 2016-17,2015/16,The Shaw Trust,CFO3,Prime,0,35.2,13.8,6.6,0.0,6.8,0.0,8.0,Offenders,Starts,368,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Offenders
HMPPS,Only Connect EPR Calculator 2017,2015/16,Only Connect,CFO3,Sub,1,43.5,26.7,2.5,0.0,6.7,0.0,7.6,18-24 Males,Starts,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18-24 Males
HMPPS,WiP EPR Calculator 2016-17 V7,2015/16,Women in Prison,CFO3,Sub,0,30.4,13.6,6.0,0.0,5.1,0.0,5.6,Women 18+,Starts,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,Women 18+
