Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
"Buffalo-Niagara Falls, NY M.S.A.",,1129953.0,,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,273832.0,3490.0,54.0,164.0,1533.0,1739.0,16137.0,4389.0,9477.0,2271.0
,City of Cheektowaga Town,79164.0,226.0,0.0,20.0,84.0,122.0,2304.0,301.0,1874.0,129.0
,City of Tonawanda,14971.0,22.0,0.0,4.0,3.0,15.0,431.0,51.0,367.0,13.0
,City of Niagara Falls,51897.0,501.0,3.0,38.0,134.0,326.0,2676.0,668.0,1796.0,212.0
,Total area actually reporting,1.0,5271.0,60.0,331.0,2019.0,2861.0,34365.0,7835.0,23398.0,3132.0
,"Rate per 100,000 inhabitants",,466.5,5.3,29.3,178.7,253.2,3041.3,693.4,2070.7,277.2
"Burlington, NC M.S.A.",,145711.0,,,,,,,,,
,Includes Alamance County,,,,,,,,,,
,City of Burlington,48689.0,404.0,3.0,16.0,103.0,282.0,2967.0,763.0,2054.0,150.0
,Total area actually reporting,0.986,650.0,9.0,33.0,148.0,460.0,5361.0,1442.0,3627.0,292.0
,Estimated total,1.0,659.0,9.0,34.0,150.0,466.0,5465.0,1467.0,3701.0,297.0
,"Rate per 100,000 inhabitants",,452.3,6.2,23.3,102.9,319.8,3750.6,1006.8,2540.0,203.8
"Burlington-South Burlington, VT M.S.A.",,205403.0,,,,,,,,,
,"Includes Chittenden, Franklin, and Grand Isle Counties",,,,,,,,,,
,City of Burlington,38153.0,135.0,0.0,22.0,18.0,95.0,1673.0,359.0,1268.0,46.0
,City of South Burlington,17333.0,20.0,0.0,9.0,2.0,9.0,631.0,27.0,572.0,32.0
,Total area actually reporting,1.0,365.0,4.0,66.0,42.0,253.0,6311.0,1140.0,4932.0,239.0
,"Rate per 100,000 inhabitants",,177.7,1.9,32.1,20.4,123.2,3072.5,555.0,2401.1,116.4
"Cape Coral-Fort Myers, FL M.S.A.",,587220.0,,,,,,,,,
,Includes Lee County,,,,,,,,,,
,City of Cape Coral,159936.0,402.0,5.0,40.0,97.0,260.0,5574.0,1483.0,3787.0,304.0
,City of Fort Myers,61810.0,921.0,17.0,26.0,335.0,543.0,3357.0,576.0,2265.0,516.0
,Total area actually reporting,1.0,3329.0,47.0,177.0,988.0,2117.0,22622.0,6501.0,13983.0,2138.0
,"Rate per 100,000 inhabitants",,566.9,8.0,30.1,168.3,360.5,3852.4,1107.1,2381.2,364.1
"Carson City, NV M.S.A.",,55713.0,,,,,,,,,
,Includes Carson City,,,,,,,,,,
,Total area actually reporting,1.0,206.0,1.0,5.0,21.0,179.0,1103.0,286.0,723.0,94.0
,"Rate per 100,000 inhabitants",,369.8,1.8,9.0,37.7,321.3,1979.8,513.3,1297.7,168.7
"Casper, WY M.S.A.",,71604.0,,,,,,,,,
,Includes Natrona County,,,,,,,,,,
,City of Casper,52434.0,152.0,2.0,20.0,22.0,108.0,2595.0,504.0,1935.0,156.0
,Total area actually reporting,1.0,174.0,4.0,20.0,23.0,127.0,3151.0,646.0,2306.0,199.0
,"Rate per 100,000 inhabitants",,243.0,5.6,27.9,32.1,177.4,4400.6,902.2,3220.5,277.9
"Cedar Rapids, IA M.S.A.",,250807.0,,,,,,,,,
,"Includes Benton, Jones, and Linn Counties",,,,,,,,,,
,City of Cedar Rapids,124730.0,500.0,3.0,34.0,137.0,326.0,6041.0,1083.0,4619.0,339.0
,Total area actually reporting,0.962,603.0,3.0,51.0,145.0,404.0,7378.0,1450.0,5523.0,405.0
,Estimated total,1.0,621.0,3.0,53.0,147.0,418.0,7602.0,1487.0,5700.0,415.0
,"Rate per 100,000 inhabitants",,247.6,1.2,21.1,58.6,166.7,3031.0,592.9,2272.7,165.5
"Charleston, WV M.S.A.",,303537.0,,,,,,,,,
,"Includes Boone, Clay, Kanawha, Lincoln, and Putnam Counties",,,,,,,,,,
,City of Charleston,50510.0,572.0,4.0,14.0,131.0,423.0,3051.0,601.0,2235.0,215.0
,Total area actually reporting,0.866,1183.0,7.0,68.0,218.0,890.0,9185.0,1980.0,6381.0,824.0
,Estimated total,1.0,1272.0,8.0,75.0,230.0,959.0,10124.0,2185.0,7039.0,900.0
,"Rate per 100,000 inhabitants",,419.1,2.6,24.7,75.8,315.9,3335.3,719.8,2319.0,296.5
"Charleston-North Charleston-Summerville, SC M.S.A.",,616999.0,,,,,,,,,
,"Includes Berkeley, Charleston, and Dorchester Counties",,,,,,,,,,
,City of Charleston,109382.0,909.0,15.0,56.0,269.0,569.0,4246.0,746.0,3056.0,444.0
,City of North Charleston,88431.0,1561.0,26.0,92.0,624.0,819.0,6768.0,1195.0,4660.0,913.0
,City of Summerville,43985.0,147.0,2.0,13.0,36.0,96.0,1470.0,154.0,1212.0,104.0
,Total area actually reporting,1.0,5086.0,68.0,278.0,1336.0,3404.0,25262.0,5162.0,17264.0,2836.0
,"Rate per 100,000 inhabitants",,824.3,11.0,45.1,216.5,551.7,4094.3,836.6,2798.1,459.6
"Charlotte-Gastonia-Concord, NC-SC M.S.A.",,1635133.0,,,,,,,,,
,"Includes Anson, Cabarrus, Gaston, Mecklenburg, and Union Counties, NC and York County, SC",,,,,,,,,,
,"City of Charlotte-Mecklenburg, NC",733291.0,7233.0,76.0,282.0,3191.0,3684.0,51279.0,12948.0,32313.0,6018.0
,"City of Gastonia, NC",70127.0,701.0,5.0,23.0,234.0,439.0,5552.0,1259.0,3842.0,451.0
,"City of Concord, NC",63284.0,256.0,7.0,21.0,100.0,128.0,3029.0,473.0,2326.0,230.0
,"City of Rock Hill, SC",63388.0,798.0,3.0,20.0,124.0,651.0,2921.0,503.0,2208.0,210.0
,Total area actually reporting,0.891,11336.0,109.0,482.0,4104.0,6641.0,80865.0,19987.0,52568.0,8310.0
,Estimated total,1.0,11789.0,116.0,516.0,4200.0,6957.0,86157.0,21628.0,55860.0,8669.0
,"Rate per 100,000 inhabitants",,721.0,7.1,31.6,256.9,425.5,5269.1,1322.7,3416.2,530.2
"Charlottesville, VA M.S.A.",,192228.0,,,,,,,,,
,"Includes Albemarle, Fluvanna, Greene, and Nelson Counties and Charlottesville City",,,,,,,,,,
,City of Charlottesville,40265.0,273.0,3.0,26.0,93.0,151.0,1938.0,278.0,1524.0,136.0
,Total area actually reporting,1.0,511.0,5.0,60.0,150.0,296.0,5107.0,783.0,4034.0,290.0
,"Rate per 100,000 inhabitants",,265.8,2.6,31.2,78.0,154.0,2656.7,407.3,2098.5,150.9
"Chattanooga, TN-GA M.S.A.",,503472.0,,,,,,,,,
,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",,,,,,,,,,
,"City of Chattanooga, TN",155043.0,2009.0,11.0,102.0,524.0,1372.0,12484.0,2384.0,9072.0,1028.0
,Total area actually reporting,1.0,3342.0,18.0,178.0,650.0,2496.0,22399.0,4694.0,15972.0,1733.0
,"Rate per 100,000 inhabitants",,663.8,3.6,35.4,129.1,495.8,4448.9,932.3,3172.4,344.2
"Cheyenne, WY M.S.A.",,86692.0,,,,,,,,,
,Includes Laramie County,,,,,,,,,,
,City of Cheyenne,55604.0,115.0,1.0,23.0,13.0,78.0,2557.0,261.0,2208.0,88.0
,Total area actually reporting,1.0,159.0,1.0,34.0,15.0,109.0,3080.0,383.0,2580.0,117.0
,"Rate per 100,000 inhabitants",,183.4,1.2,39.2,17.3,125.7,3552.8,441.8,2976.1,135.0
"Chico, CA M.S.A.",,215992.0,,,,,,,,,
,Includes Butte County,,,,,,,,,,
,City of Chico,74288.0,385.0,3.0,59.0,107.0,216.0,2454.0,729.0,1450.0,275.0
,Total area actually reporting,1.0,977.0,9.0,127.0,176.0,665.0,6666.0,1840.0,3951.0,875.0
,"Rate per 100,000 inhabitants",,452.3,4.2,58.8,81.5,307.9,3086.2,851.9,1829.2,405.1
"Cincinnati-Middletown, OH-KY-IN M.S.A.",,2115244.0,,,,,,,,,
,"Includes Dearborn, Franklin, and Ohio Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",,,,,,,,,,
,"City of Cincinnati, OH",332388.0,3588.0,63.0,313.0,1961.0,1251.0,20531.0,6200.0,12332.0,1999.0
,"City of Middletown, OH",51244.0,223.0,3.0,28.0,87.0,105.0,4040.0,874.0,2939.0,227.0
,Total area actually reporting,0.821,7140.0,94.0,828.0,3133.0,3085.0,62460.0,14263.0,43856.0,4341.0
,Estimated total,1.0,7702.0,100.0,915.0,3320.0,3367.0,71409.0,16135.0,50393.0,4881.0
,"Rate per 100,000 inhabitants",,364.1,4.7,43.3,157.0,159.2,3375.9,762.8,2382.4,230.8
"Clarksville, TN-KY M.S.A.",,244105.0,,,,,,,,,
,"Includes Christian and Trigg Counties, KY and Montgomery and Stewart Counties, TN",,,,,,,,,,
,"City of Clarksville, TN",114582.0,992.0,9.0,65.0,159.0,759.0,4751.0,1520.0,2907.0,324.0
,Total area actually reporting,0.994,1386.0,14.0,96.0,240.0,1036.0,8319.0,2482.0,5262.0,575.0
,Estimated total,1.0,1392.0,14.0,97.0,242.0,1039.0,8373.0,2493.0,5301.0,579.0
,"Rate per 100,000 inhabitants",,570.2,5.7,39.7,99.1,425.6,3430.1,1021.3,2171.6,237.2
"Cleveland, TN M.S.A.",,111450.0,,,,,,,,,
,Includes Bradley and Polk Counties,,,,,,,,,,
,City of Cleveland,38808.0,430.0,1.0,24.0,48.0,357.0,2356.0,465.0,1769.0,122.0
,Total area actually reporting,1.0,833.0,3.0,36.0,63.0,731.0,3780.0,801.0,2729.0,250.0
,"Rate per 100,000 inhabitants",,747.4,2.7,32.3,56.5,655.9,3391.7,718.7,2448.6,224.3
"Cleveland-Elyria-Mentor, OH M.S.A.",,2104225.0,,,,,,,,,
,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",,,,,,,,,,
,City of Cleveland,439888.0,6444.0,90.0,374.0,4022.0,1958.0,27016.0,9050.0,11184.0,6782.0
,City of Elyria,55697.0,222.0,1.0,35.0,74.0,112.0,2278.0,602.0,1515.0,161.0
,City of Mentor,51775.0,44.0,1.0,11.0,12.0,20.0,1208.0,135.0,1014.0,59.0
,Total area actually reporting,0.796,8465.0,121.0,625.0,4862.0,2857.0,51387.0,14869.0,27739.0,8779.0
,Estimated total,1.0,9184.0,129.0,744.0,5133.0,3178.0,63199.0,17136.0,36624.0,9439.0
,"Rate per 100,000 inhabitants",,436.5,6.1,35.4,243.9,151.0,3003.4,814.4,1740.5,448.6
"Coeur d'Alene, ID M.S.A.",,135581.0,,,,,,,,,
,Includes Kootenai County,,,,,,,,,,
,City of Coeur d'Alene,42324.0,270.0,1.0,35.0,18.0,216.0,1488.0,248.0,1168.0,72.0
,Total area actually reporting,1.0,466.0,1.0,72.0,29.0,364.0,3218.0,685.0,2328.0,205.0
,"Rate per 100,000 inhabitants",,343.7,0.7,53.1,21.4,268.5,2373.5,505.2,1717.1,151.2
"College Station-Bryan, TX M.S.A.",,193097.0,,,,,,,,,
,"Includes Brazos, Burleson, and Robertson Counties",,,,,,,,,,
,City of College Station,74997.0,251.0,1.0,38.0,45.0,167.0,2488.0,481.0,1919.0,88.0
,City of Bryan,67484.0,596.0,4.0,34.0,96.0,462.0,3542.0,1000.0,2404.0,138.0
,Total area actually reporting,1.0,1016.0,7.0,88.0,161.0,760.0,7479.0,1849.0,5339.0,291.0
,"Rate per 100,000 inhabitants",,526.2,3.6,45.6,83.4,393.6,3873.2,957.5,2764.9,150.7
"Colorado Springs, CO M.S.A.",,613181.0,,,,,,,,,
,Includes El Paso and Teller Counties,,,,,,,,,,
,City of Colorado Springs,374112.0,1985.0,27.0,285.0,528.0,1145.0,16554.0,3179.0,11888.0,1487.0
,Total area actually reporting,0.995,2950.0,30.0,365.0,570.0,1985.0,19926.0,3934.0,14162.0,1830.0
,Estimated total,1.0,2958.0,30.0,366.0,572.0,1990.0,20029.0,3951.0,14237.0,1841.0
,"Rate per 100,000 inhabitants",,482.4,4.9,59.7,93.3,324.5,3266.4,644.3,2321.8,300.2
"Columbia, MO M.S.A.",,157307.0,,,,,,,,,
,Includes Boone and Howard Counties,,,,,,,,,,
,City of Columbia,95595.0,617.0,3.0,30.0,141.0,443.0,3323.0,594.0,2509.0,220.0
,Total area actually reporting,1.0,817.0,5.0,37.0,161.0,614.0,4756.0,880.0,3602.0,274.0
,"Rate per 100,000 inhabitants",,519.4,3.2,23.5,102.3,390.3,3023.4,559.4,2289.8,174.2
"Columbus, GA-AL M.S.A.",,290106.0,,,,,,,,,
,"Includes Russell County, AL and Chattahoochee, Harris, Marion, and Muscogee Counties, GA",,,,,,,,,,
,"City of Columbus, GA",188944.0,1316.0,24.0,57.0,618.0,617.0,13791.0,2652.0,9367.0,1772.0
,Total area actually reporting,0.948,1475.0,28.0,70.0,676.0,701.0,15780.0,3165.0,10597.0,2018.0
,Estimated total,1.0,1531.0,29.0,73.0,698.0,731.0,16268.0,3294.0,10893.0,2081.0
,"Rate per 100,000 inhabitants",,527.7,10.0,25.2,240.6,252.0,5607.6,1135.4,3754.8,717.3
"Columbus, IN M.S.A.",,74805.0,,,,,,,,,
,Includes Bartholomew County,,,,,,,,,,
,City of Columbus,39764.0,53.0,1.0,10.0,16.0,26.0,2593.0,344.0,2116.0,133.0
,Total area actually reporting,0.995,75.0,2.0,13.0,21.0,39.0,2865.0,361.0,2354.0,150.0
,Estimated total,1.0,76.0,2.0,13.0,21.0,40.0,2878.0,363.0,2364.0,151.0
,"Rate per 100,000 inhabitants",,101.6,2.7,17.4,28.1,53.5,3847.3,485.3,3160.2,201.9
"Columbus, OH M.S.A.",,1737831.0,,,,,,,,,
,"Includes Delaware, Fairfield, Franklin, Licking, Madison, Morrow, Pickaway, and Union Counties",,,,,,,,,,
,City of Columbus,735981.0,6269.0,79.0,661.0,3849.0,1680.0,51491.0,14370.0,30893.0,6228.0
,Total area actually reporting,0.894,7565.0,92.0,907.0,4402.0,2164.0,76479.0,19440.0,49645.0,7394.0
,Estimated total,1.0,7736.0,94.0,943.0,4449.0,2250.0,80041.0,20330.0,52120.0,7591.0
,"Rate per 100,000 inhabitants",,445.2,5.4,54.3,256.0,129.5,4605.8,1169.8,2999.1,436.8
"Corpus Christi, TX M.S.A.",,417469.0,,,,,,,,,
,"Includes Aransas, Nueces, and San Patricio Counties",,,,,,,,,,
,City of Corpus Christi,286269.0,2365.0,17.0,238.0,497.0,1613.0,18713.0,3404.0,14486.0,823.0
,Total area actually reporting,1.0,2835.0,23.0,298.0,579.0,1935.0,24266.0,4752.0,18486.0,1028.0
,"Rate per 100,000 inhabitants",,679.1,5.5,71.4,138.7,463.5,5812.6,1138.3,4428.1,246.2
"Corvallis, OR M.S.A.",,79314.0,,,,,,,,,
,Includes Benton County,,,,,,,,,,
,City of Corvallis,49870.0,57.0,1.0,11.0,10.0,35.0,1554.0,226.0,1261.0,67.0
,Total area actually reporting,1.0,110.0,2.0,19.0,16.0,73.0,2398.0,414.0,1875.0,109.0
,"Rate per 100,000 inhabitants",,138.7,2.5,24.0,20.2,92.0,3023.4,522.0,2364.0,137.4
"Cumberland, MD-WV M.S.A.",,98759.0,,,,,,,,,
,"Includes Allegany County, MD and Mineral County, WV",,,,,,,,,,
,"City of Cumberland, MD",20654.0,180.0,0.0,7.0,35.0,138.0,1266.0,293.0,935.0,38.0
,Total area actually reporting,1.0,372.0,1.0,25.0,43.0,303.0,2697.0,656.0,1915.0,126.0
,"Rate per 100,000 inhabitants",,376.7,1.0,25.3,43.5,306.8,2730.9,664.2,1939.1,127.6
"Dallas-Fort Worth-Arlington, TX M.S.A.",,6132121.0,,,,,,,,,
,Includes the Metropolitan Divisions of Dallas-Plano-Irving and Fort Worth-Arlington,,,,,,,,,,
,City of Dallas,1239104.0,13248.0,200.0,511.0,7222.0,5315.0,83962.0,22472.0,47699.0,13791.0
,City of Fort Worth,670693.0,4474.0,58.0,335.0,1620.0,2461.0,36681.0,9008.0,24988.0,2685.0
,City of Arlington,372073.0,2588.0,13.0,156.0,742.0,1677.0,21079.0,4447.0,14990.0,1642.0
,City of Plano,259771.0,676.0,2.0,51.0,161.0,462.0,7973.0,1384.0,6168.0,421.0
,City of Irving,196676.0,729.0,9.0,30.0,240.0,450.0,9030.0,1730.0,6306.0,994.0
,City of Carrollton,123324.0,237.0,5.0,3.0,116.0,113.0,3890.0,893.0,2636.0,361.0
,City of Denton,113936.0,366.0,2.0,76.0,84.0,204.0,3505.0,718.0,2614.0,173.0
,City of Richardson,100933.0,290.0,2.0,22.0,136.0,130.0,3107.0,793.0,2084.0,230.0
,City of McKinney,118113.0,255.0,1.0,49.0,44.0,161.0,2626.0,531.0,1949.0,146.0
,Total area actually reporting,0.999,30904.0,359.0,1937.0,12386.0,16222.0,264138.0,62817.0,173026.0,28295.0
,Estimated total,1.0,30905.0,359.0,1937.0,12386.0,16223.0,264156.0,62821.0,173039.0,28296.0
,"Rate per 100,000 inhabitants",,504.0,5.9,31.6,202.0,264.6,4307.7,1024.5,2821.8,461.4
"Dallas-Plano-Irving, TX M.D.",,4107704.0,,,,,,,,,
,"Includes Collin, Dallas, Delta, Denton, Ellis, Hunt, Kaufman, and Rockwall Counties",,,,,,,,,,
,Total area actually reporting,0.999,21174.0,268.0,1164.0,9509.0,10233.0,175648.0,42875.0,111091.0,21682.0
,Estimated total,1.0,21175.0,268.0,1164.0,9509.0,10234.0,175666.0,42879.0,111104.0,21683.0
,"Rate per 100,000 inhabitants",,515.5,6.5,28.3,231.5,249.1,4276.5,1043.9,2704.8,527.9
"Fort Worth-Arlington, TX M.D.",,2024417.0,,,,,,,,,
,"Includes Johnson, Parker, Tarrant, and Wise Counties",,,,,,,,,,
,Total area actually reporting,1.0,9730.0,91.0,773.0,2877.0,5989.0,88490.0,19942.0,61935.0,6613.0
,"Rate per 100,000 inhabitants",,480.6,4.5,38.2,142.1,295.8,4371.1,985.1,3059.4,326.7
"Dalton, GA M.S.A.3",,136405.0,,,,,,,,,
,Includes Murray and Whitfield Counties,,,,,,,,,,
,City of Dalton3,33790.0,140.0,3.0,6.0,30.0,101.0,,230.0,1026.0,
,Total area actually reporting,0.995,471.0,3.0,26.0,46.0,396.0,,917.0,3079.0,
,Estimated total,1.0,474.0,3.0,26.0,47.0,398.0,,923.0,3100.0,
,"Rate per 100,000 inhabitants",,347.5,2.2,19.1,34.5,291.8,,676.7,2272.6,
"Danville, VA M.S.A.",,106432.0,,,,,,,,,
,Includes Pittsylvania County and Danville City,,,,,,,,,,
,City of Danville,45114.0,204.0,5.0,9.0,98.0,92.0,2437.0,550.0,1775.0,112.0
,Total area actually reporting,1.0,269.0,9.0,16.0,122.0,122.0,3041.0,781.0,2088.0,172.0
,"Rate per 100,000 inhabitants",,252.7,8.5,15.0,114.6,114.6,2857.2,733.8,1961.8,161.6
"Dayton, OH M.S.A.",,835430.0,,,,,,,,,
,"Includes Greene, Miami, Montgomery, and Preble Counties",,,,,,,,,,
,City of Dayton,155526.0,1597.0,28.0,116.0,749.0,704.0,10465.0,3272.0,5607.0,1586.0
,Total area actually reporting,0.806,2287.0,37.0,294.0,997.0,959.0,25185.0,5896.0,16779.0,2510.0
,Estimated total,1.0,2494.0,39.0,332.0,1067.0,1056.0,28932.0,6713.0,19501.0,2718.0
,"Rate per 100,000 inhabitants",,298.5,4.7,39.7,127.7,126.4,3463.1,803.5,2334.2,325.3
"Decatur, AL M.S.A.",,150246.0,,,,,,,,,
,Includes Lawrence and Morgan Counties,,,,,,,,,,
,City of Decatur,56019.0,251.0,0.0,28.0,105.0,118.0,3624.0,830.0,2584.0,210.0
,Total area actually reporting,0.974,336.0,0.0,40.0,114.0,182.0,5097.0,1264.0,3526.0,307.0
,Estimated total,1.0,352.0,0.0,41.0,120.0,191.0,5264.0,1299.0,3646.0,319.0
,"Rate per 100,000 inhabitants",,234.3,0.0,27.3,79.9,127.1,3503.6,864.6,2426.7,212.3
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",,500013.0,,,,,,,,,
,Includes Volusia County,,,,,,,,,,
,City of Daytona Beach,64236.0,1063.0,8.0,48.0,323.0,684.0,4612.0,1172.0,2873.0,567.0
,City of Ormond Beach,38792.0,107.0,0.0,5.0,30.0,72.0,1278.0,245.0,959.0,74.0
,Total area actually reporting,0.994,2916.0,20.0,165.0,728.0,2003.0,18239.0,4720.0,11752.0,1767.0
,Estimated total,1.0,2934.0,20.0,166.0,734.0,2014.0,18361.0,4747.0,11836.0,1778.0
,"Rate per 100,000 inhabitants",,586.8,4.0,33.2,146.8,402.8,3672.1,949.4,2367.1,355.6
"Denver-Aurora, CO M.S.A.",,2464178.0,,,,,,,,,
,"Includes Adams, Arapahoe, Broomfield, Clear Creek, Denver, Douglas, Elbert, Gilpin, Jefferson, and Park Counties",,,,,,,,,,
,City of Denver,573387.0,3552.0,47.0,296.0,1045.0,2164.0,22409.0,5694.0,11594.0,5121.0
,City of Aurora,307621.0,1687.0,14.0,191.0,583.0,899.0,11790.0,2321.0,7750.0,1719.0
,Total area actually reporting,0.999,9011.0,85.0,1056.0,2320.0,5550.0,77760.0,15788.0,50307.0,11665.0
,Estimated total,1.0,9016.0,85.0,1057.0,2321.0,5553.0,77818.0,15798.0,50349.0,11671.0
,"Rate per 100,000 inhabitants",,365.9,3.4,42.9,94.2,225.3,3158.0,641.1,2043.2,473.6
"Des Moines-West Des Moines, IA M.S.A.",,541394.0,,,,,,,,,
,"Includes Dallas, Guthrie, Madison, Polk, and Warren Counties",,,,,,,,,,
,City of Des Moines,192948.0,1514.0,4.0,185.0,387.0,938.0,11794.0,2095.0,8631.0,1068.0
,City of West Des Moines,54988.0,88.0,0.0,15.0,15.0,58.0,1586.0,226.0,1315.0,45.0
,Total area actually reporting,1.0,2076.0,7.0,256.0,463.0,1350.0,18789.0,3315.0,14003.0,1471.0
,"Rate per 100,000 inhabitants",,383.5,1.3,47.3,85.5,249.4,3470.5,612.3,2586.5,271.7
"Detroit-Warren-Livonia, MI M.S.A.2, 4",,4451481.0,,,,,,,,,
,Includes the Metropolitan Divisions of Detroit-Livonia-Dearborn and Warren-Troy-Farmington Hills,,,,,,,,,,
,City of Detroit,860971.0,19708.0,394.0,341.0,6575.0,12398.0,58302.0,17767.0,20918.0,19617.0
,City of Warren4,134081.0,840.0,7.0,83.0,216.0,534.0,,824.0,2360.0,
,City of Livonia,96261.0,153.0,1.0,27.0,31.0,94.0,2418.0,421.0,1730.0,267.0
,City of Dearborn,91748.0,466.0,1.0,27.0,146.0,292.0,4333.0,581.0,2945.0,807.0
,City of Troy,81130.0,80.0,1.0,10.0,20.0,49.0,1882.0,272.0,1441.0,169.0
,City of Farmington Hills,79475.0,142.0,0.0,13.0,27.0,102.0,1517.0,403.0,949.0,165.0
,City of Southfield,75830.0,745.0,2.0,26.0,170.0,547.0,3260.0,755.0,1865.0,640.0
,City of Pontiac,67059.0,1259.0,19.0,44.0,339.0,857.0,3116.0,1287.0,1215.0,614.0
,City of Taylor,64048.0,273.0,4.0,25.0,97.0,147.0,2864.0,483.0,1903.0,478.0
,City of Novi,55127.0,34.0,0.0,5.0,5.0,24.0,1150.0,165.0,939.0,46.0
,Total area actually reporting,0.989,31430.0,485.0,1381.0,9261.0,20303.0,,35833.0,81394.0,
,Estimated total,1.0,31591.0,486.0,1398.0,9296.0,20411.0,,36117.0,82453.0,
,"Rate per 100,000 inhabitants",,709.7,10.9,31.4,208.8,458.5,,811.3,1852.3,
"Detroit-Livonia-Dearborn, MI M.D.2",,1951186.0,,,,,,,,,
,Includes Wayne2 County,,,,,,,,,,
,Total area actually reporting,0.974,23647.0,428.0,637.0,7688.0,14894.0,,24134.0,42374.0,
,Estimated total,1.0,23808.0,429.0,654.0,7723.0,15002.0,,24418.0,43433.0,
,"Rate per 100,000 inhabitants",,1220.2,22.0,33.5,395.8,768.9,,1251.4,2226.0,
"Warren-Troy-Farmington Hills, MI M.D.4",,2500295.0,,,,,,,,,
,"Includes Lapeer, Livingston, Macomb, Oakland, and St. Clair Counties",,,,,,,,,,
,Total area actually reporting,1.0,7783.0,57.0,744.0,1573.0,5409.0,,11699.0,39020.0,
,"Rate per 100,000 inhabitants",,311.3,2.3,29.8,62.9,216.3,,467.9,1560.6,
"Dothan, AL M.S.A.",,139475.0,,,,,,,,,
,"Includes Geneva, Henry, and Houston Counties",,,,,,,,,,
,City of Dothan,63984.0,411.0,8.0,45.0,187.0,171.0,3294.0,778.0,2333.0,183.0
,Total area actually reporting,0.962,545.0,14.0,53.0,211.0,267.0,4719.0,1140.0,3263.0,316.0
,Estimated total,1.0,566.0,14.0,54.0,219.0,279.0,4949.0,1189.0,3428.0,332.0
,"Rate per 100,000 inhabitants",,405.8,10.0,38.7,157.0,200.0,3548.3,852.5,2457.8,238.0
"Dover, DE M.S.A.",,150986.0,,,,,,,,,
,Includes Kent County,,,,,,,,,,
,City of Dover,35133.0,277.0,1.0,16.0,62.0,198.0,1861.0,111.0,1625.0,125.0
,Total area actually reporting,1.0,942.0,5.0,84.0,141.0,712.0,4700.0,922.0,3492.0,286.0
,"Rate per 100,000 inhabitants",,623.9,3.3,55.6,93.4,471.6,3112.9,610.7,2312.8,189.4
"Dubuque, IA M.S.A.",,92749.0,,,,,,,,,
,Includes Dubuque County,,,,,,,,,,
,City of Dubuque,57694.0,407.0,1.0,23.0,27.0,356.0,1946.0,610.0,1256.0,80.0
,Total area actually reporting,1.0,468.0,1.0,25.0,27.0,415.0,2249.0,713.0,1429.0,107.0
,"Rate per 100,000 inhabitants",,504.6,1.1,27.0,29.1,447.4,2424.8,768.7,1540.7,115.4
"Duluth, MN-WI M.S.A.5",,274026.0,,,,,,,,,
,"Includes Carlton and St. Louis Counties, MN5 and Douglas County, WI",,,,,,,,,,
,"City of Duluth, MN5",83932.0,,1.0,,111.0,248.0,4292.0,707.0,3358.0,227.0
,Total area actually reporting,0.976,,4.0,,150.0,441.0,9471.0,1776.0,7169.0,526.0
,Estimated total,1.0,,4.0,,153.0,447.0,9690.0,1808.0,7343.0,539.0
,"Rate per 100,000 inhabitants",,,1.5,,55.8,163.1,3536.2,659.8,2679.7,196.7
"Eau Claire, WI M.S.A.",,156492.0,,,,,,,,,
,Includes Chippewa and Eau Claire Counties,,,,,,,,,,
,City of Eau Claire,63472.0,96.0,0.0,12.0,12.0,72.0,1966.0,365.0,1503.0,98.0
,Total area actually reporting,1.0,157.0,1.0,25.0,15.0,116.0,3574.0,667.0,2732.0,175.0
,"Rate per 100,000 inhabitants",,100.3,0.6,16.0,9.6,74.1,2283.8,426.2,1745.8,111.8
"El Centro, CA M.S.A.",,161766.0,,,,,,,,,
,Includes Imperial County,,,,,,,,,,
,City of El Centro,40957.0,266.0,3.0,11.0,31.0,221.0,2072.0,710.0,1115.0,247.0
,Total area actually reporting,1.0,545.0,4.0,28.0,95.0,418.0,6066.0,1956.0,2950.0,1160.0
,"Rate per 100,000 inhabitants",,336.9,2.5,17.3,58.7,258.4,3749.9,1209.2,1823.6,717.1
"Elizabethtown, KY M.S.A.",,111690.0,,,,,,,,,
,Includes Hardin and Larue Counties,,,,,,,,,,
,City of Elizabethtown,23547.0,86.0,1.0,18.0,23.0,44.0,1039.0,173.0,823.0,43.0
,Total area actually reporting,1.0,,3.0,38.0,45.0,,1873.0,416.0,1365.0,92.0
,"Rate per 100,000 inhabitants",,,2.7,34.0,40.3,,1677.0,372.5,1222.1,82.4
"Elmira, NY M.S.A.",,88057.0,,,,,,,,,
,Includes Chemung County,,,,,,,,,,
