State,Area,,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
,,Estimated total,1.0,8941.0,48.0,994.0,2578.0,5321.0,106519.0,17506.0,76291.0,12722.0,
,Cities outside metropolitan areas,,390400.0,,,,,,,,,,
,,Area actually reporting,0.978,1188.0,13.0,153.0,217.0,805.0,16936.0,2728.0,13169.0,1039.0,
,,Estimated total,1.0,1214.0,13.0,156.0,222.0,823.0,17315.0,2789.0,13464.0,1062.0,
,Nonmetropolitan counties,,455318.0,,,,,,,,,,
,,Area actually reporting,0.937,582.0,11.0,98.0,58.0,415.0,7783.0,2366.0,4700.0,717.0,
,,Estimated total,1.0,622.0,12.0,105.0,62.0,443.0,8309.0,2526.0,5018.0,765.0,
,,"Rate per 100,000 inhabitants",,287.6,1.9,33.5,76.4,175.8,3526.2,609.0,2529.0,388.2,
,,Area actually reporting,0.975,46597.0,684.0,2714.0,18772.0,24427.0,253280.0,47122.0,181674.0,24484.0,
,,Estimated total,1.0,47189.0,688.0,2750.0,18933.0,24818.0,258578.0,47925.0,185860.0,24793.0,
,Cities outside metropolitan areas,,916386.0,,,,,,,,,,
,,Area actually reporting,0.933,2258.0,13.0,216.0,336.0,1693.0,18737.0,3176.0,14904.0,657.0,
,,Estimated total,1.0,2421.0,14.0,232.0,360.0,1815.0,20087.0,3405.0,15978.0,704.0,
,Nonmetropolitan counties,,1074453.0,,,,,,,,,,
,,Area actually reporting,1.0,2172.0,21.0,468.0,165.0,1518.0,14912.0,4690.0,9258.0,964.0,
,,"Rate per 100,000 inhabitants",,416.5,5.8,27.7,156.5,226.4,2361.3,450.6,1697.9,212.8,
,,Area actually reporting,1.0,8597.0,709.0,94.0,5001.0,2793.0,50864.0,15744.0,27485.0,7635.0,
,Cities outside metropolitan areas,,324044.0,,,,,,,,,,
,,Area actually reporting,1.0,345.0,19.0,3.0,133.0,190.0,3073.0,1416.0,1470.0,187.0,
,,"Rate per 100,000 inhabitants",,226.9,18.5,2.5,130.3,75.7,1368.5,435.4,734.6,198.5,
,,Area actually reporting,1.0,2393.0,18.0,251.0,751.0,1373.0,27706.0,5233.0,19254.0,3219.0,
,,Area actually reporting,1.0,11.0,1.0,5.0,0.0,5.0,37.0,3.0,27.0,7.0,
,,"Rate per 100,000 inhabitants",,227.3,1.8,24.2,71.0,130.3,2622.6,495.0,1822.7,305.0,
,,Area actually reporting,1.0,26854.0,262.0,1410.0,5235.0,19947.0,145771.0,34197.0,97789.0,13785.0,
,Cities outside metropolitan areas,,271459.0,,,,,,,,,,
,,Area actually reporting,1.0,3172.0,35.0,93.0,548.0,2496.0,16386.0,3435.0,12165.0,786.0,
,Nonmetropolitan counties,,788881.0,,,,,,,,,,
,,Area actually reporting,1.0,4720.0,55.0,236.0,563.0,3866.0,26125.0,7582.0,16088.0,2455.0,
,,"Rate per 100,000 inhabitants",,788.3,8.0,39.5,144.0,596.9,4271.7,1025.8,2859.6,386.3,
,,Area actually reporting,0.976,858.0,7.0,213.0,86.0,552.0,7491.0,1400.0,5631.0,460.0,
,,Estimated total,1.0,870.0,7.0,215.0,86.0,562.0,7592.0,1421.0,5705.0,466.0,
,Cities outside metropolitan areas,,207296.0,,,,,,,,,,
,,Area actually reporting,0.743,228.0,1.0,43.0,12.0,172.0,3396.0,479.0,2763.0,154.0,
,,Estimated total,1.0,306.0,1.0,58.0,16.0,231.0,4568.0,644.0,3717.0,207.0,
,Nonmetropolitan counties,,234071.0,,,,,,,,,,
,,Area actually reporting,0.809,138.0,7.0,28.0,8.0,95.0,806.0,253.0,503.0,50.0,
,,Estimated total,1.0,171.0,9.0,35.0,10.0,117.0,996.0,313.0,621.0,62.0,
,,"Rate per 100,000 inhabitants",,169.2,2.1,38.7,14.1,114.3,1652.3,298.7,1261.3,92.3,
,,Area actually reporting,1.0,38501.0,336.0,1750.0,10334.0,26081.0,198107.0,46896.0,133441.0,17770.0,
,Cities outside metropolitan areas,,601008.0,,,,,,,,,,
,,Area actually reporting,1.0,4252.0,24.0,229.0,542.0,3457.0,30089.0,6777.0,21663.0,1649.0,
,Nonmetropolitan counties,,1069740.0,,,,,,,,,,
,,Area actually reporting,1.0,3627.0,37.0,195.0,146.0,3249.0,23528.0,8042.0,13247.0,2239.0,
,,"Rate per 100,000 inhabitants",,753.3,6.4,35.3,179.0,532.5,4088.6,1002.4,2734.4,351.8,
,,Area actually reporting,0.999,111650.0,1311.0,7468.0,37746.0,65125.0,909106.0,206760.0,612901.0,89445.0,
,,Estimated total,1.0,111671.0,1311.0,7469.0,37752.0,65139.0,909376.0,206816.0,613096.0,89464.0,
,Cities outside metropolitan areas,,1395247.0,,,,,,,,,,
,,Area actually reporting,0.983,6695.0,47.0,622.0,823.0,5203.0,51065.0,12676.0,35888.0,2501.0,
,,Estimated total,1.0,6792.0,48.0,632.0,833.0,5279.0,51804.0,12864.0,36407.0,2533.0,
,Nonmetropolitan counties,,1618376.0,,,,,,,,,,
,,Area actually reporting,1.0,3591.0,61.0,338.0,184.0,3008.0,23962.0,8633.0,13427.0,1902.0,
,,"Rate per 100,000 inhabitants",,510.6,5.9,35.3,162.2,307.2,4121.2,955.1,2773.3,392.8,
,,Area actually reporting,0.999,5755.0,53.0,822.0,1399.0,3481.0,86029.0,14288.0,63301.0,8440.0,
,,Estimated total,1.0,5759.0,53.0,823.0,1400.0,3483.0,86095.0,14299.0,63350.0,8446.0,
,Cities outside metropolitan areas,,137076.0,,,,,,,,,,
,,Area actually reporting,0.863,201.0,0.0,43.0,11.0,147.0,3582.0,542.0,2861.0,179.0,
,,Estimated total,1.0,233.0,0.0,50.0,13.0,170.0,4153.0,628.0,3317.0,208.0,
,Nonmetropolitan counties,,157074.0,,,,,,,,,,
,,Area actually reporting,0.887,193.0,4.0,31.0,6.0,152.0,2081.0,545.0,1396.0,140.0,
,,Estimated total,1.0,218.0,5.0,35.0,7.0,171.0,2346.0,614.0,1574.0,158.0,
,,"Rate per 100,000 inhabitants",,234.8,2.2,34.3,53.7,144.6,3500.3,587.5,2579.7,333.1,
,,Area actually reporting,1.0,365.0,4.0,66.0,42.0,253.0,6311.0,1140.0,4932.0,239.0,
,Cities outside metropolitan areas,,201112.0,,,,,,,,,,
,,Area actually reporting,1.0,226.0,4.0,30.0,24.0,168.0,4992.0,815.0,3971.0,206.0,
,Nonmetropolitan counties,,214739.0,,,,,,,,,,
,,Area actually reporting,0.97,176.0,4.0,26.0,14.0,132.0,3032.0,1116.0,1726.0,190.0,
,,Estimated total,1.0,181.0,4.0,27.0,14.0,136.0,3127.0,1151.0,1780.0,196.0,
,,"Rate per 100,000 inhabitants",,124.3,1.9,19.8,12.9,89.7,2322.7,500.0,1719.6,103.2,
,,Area actually reporting,0.999,18776.0,358.0,1506.0,7320.0,9592.0,169781.0,27230.0,129835.0,12716.0,
,,Estimated total,1.0,18778.0,358.0,1506.0,7321.0,9593.0,169799.0,27233.0,129849.0,12717.0,
,Cities outside metropolitan areas,,268724.0,,,,,,,,,,
,,Area actually reporting,1.0,774.0,11.0,79.0,152.0,532.0,8252.0,1303.0,6569.0,380.0,
,Nonmetropolitan counties,,838639.0,,,,,,,,,,
,,Area actually reporting,1.0,1246.0,37.0,160.0,178.0,871.0,12158.0,3152.0,8049.0,957.0,
,,"Rate per 100,000 inhabitants",,269.7,5.3,22.6,99.2,142.6,2466.4,410.9,1873.3,182.2,
,,Area actually reporting,1.0,19917.0,160.0,2283.0,5828.0,11646.0,231851.0,45738.0,150499.0,35614.0,
,Cities outside metropolitan areas,,336928.0,,,,,,,,,,
,,Area actually reporting,0.949,904.0,4.0,186.0,162.0,552.0,16540.0,3265.0,12291.0,984.0,
,,Estimated total,1.0,953.0,4.0,196.0,171.0,582.0,17436.0,3442.0,12957.0,1037.0,
,Nonmetropolitan counties,,469097.0,,,,,,,,,,
,,Area actually reporting,1.0,676.0,9.0,150.0,54.0,463.0,11442.0,3524.0,6947.0,971.0,
,,"Rate per 100,000 inhabitants",,333.1,2.7,40.6,93.6,196.2,4030.8,814.8,2634.4,581.6,
,,Area actually reporting,0.947,2904.0,30.0,238.0,627.0,2009.0,27771.0,6389.0,19273.0,2109.0,
,,Estimated total,1.0,3019.0,31.0,246.0,645.0,2097.0,29090.0,6658.0,20223.0,2209.0,
,Cities outside metropolitan areas,,223371.0,,,,,,,,,,
,,Area actually reporting,0.8,585.0,6.0,29.0,90.0,460.0,5407.0,1086.0,4037.0,284.0,
,,Estimated total,1.0,732.0,8.0,36.0,113.0,575.0,6761.0,1358.0,5048.0,355.0,
,Nonmetropolitan counties,,586593.0,,,,,,,,,,
,,Area actually reporting,0.928,1147.0,23.0,81.0,87.0,956.0,9191.0,2597.0,5733.0,861.0,
,,Estimated total,1.0,1236.0,25.0,87.0,94.0,1030.0,9902.0,2798.0,6176.0,928.0,
,,"Rate per 100,000 inhabitants",,275.2,3.5,20.4,47.0,204.3,2525.0,596.8,1735.5,192.7,
,,Area actually reporting,0.999,14383.0,149.0,930.0,5374.0,7930.0,128314.0,22043.0,94265.0,12006.0,
,,Estimated total,1.0,14386.0,149.0,930.0,5375.0,7932.0,128377.0,22051.0,94317.0,12009.0,
,Cities outside metropolitan areas,,627576.0,,,,,,,,,,
,,Area actually reporting,0.991,1128.0,21.0,173.0,75.0,859.0,19356.0,2361.0,16304.0,691.0,
,,Estimated total,1.0,1139.0,21.0,175.0,76.0,867.0,19534.0,2383.0,16454.0,697.0,
,Nonmetropolitan counties,,920405.0,,,,,,,,,,
,,Area actually reporting,1.0,771.0,13.0,118.0,23.0,617.0,11048.0,3405.0,6916.0,727.0,
,,"Rate per 100,000 inhabitants",,290.9,3.3,21.8,97.7,168.1,2837.7,497.0,2100.9,239.8,
,,Area actually reporting,1.0,333.0,5.0,54.0,38.0,236.0,6231.0,1029.0,4886.0,316.0,
,Cities outside metropolitan areas,,213296.0,,,,,,,,,,
,,Area actually reporting,0.98,636.0,6.0,78.0,38.0,514.0,6709.0,877.0,5492.0,340.0,
,,Estimated total,1.0,649.0,6.0,80.0,39.0,524.0,6845.0,895.0,5603.0,347.0,
,Nonmetropolitan counties,,151238.0,,,,,,,,,,
,,Area actually reporting,1.0,269.0,5.0,26.0,7.0,231.0,1908.0,424.0,1351.0,133.0,
,,"Rate per 100,000 inhabitants",,239.3,3.1,30.6,16.1,189.5,2865.9,449.1,2264.6,152.2,
