State,University/College,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
,Morgan State University,,7689.0,9.0,0.0,3.0,4.0,2.0,115.0,4.0,111.0,0.0,0.0
,Prince George's County Community College,,12417.0,2.0,0.0,0.0,0.0,2.0,26.0,0.0,26.0,0.0,0.0
,Salisbury University,,8748.0,2.0,0.0,0.0,1.0,1.0,65.0,2.0,63.0,0.0,1.0
,Towson University,,22343.0,5.0,0.0,2.0,1.0,2.0,78.0,1.0,73.0,4.0,1.0
,University of Baltimore,,5983.0,3.0,0.0,0.0,2.0,1.0,25.0,1.0,24.0,0.0,0.0
,University of Maryland:,Baltimore City,6482.0,11.0,0.0,0.0,5.0,6.0,64.0,1.0,59.0,4.0,0.0
,,Baltimore County,13640.0,1.0,0.0,1.0,0.0,0.0,66.0,9.0,55.0,2.0,0.0
,,College Park,39083.0,14.0,1.0,3.0,3.0,7.0,316.0,20.0,291.0,5.0,0.0
,,Eastern Shore,3904.0,3.0,0.0,1.0,2.0,0.0,50.0,14.0,36.0,0.0,0.0
MASSACHUSETTS,Amherst College,,1849.0,16.0,0.0,16.0,0.0,0.0,45.0,13.0,32.0,0.0,
,Assumption College,,2607.0,6.0,0.0,3.0,0.0,3.0,16.0,1.0,15.0,0.0,0.0
,Babson College,,3165.0,7.0,0.0,6.0,0.0,1.0,39.0,3.0,36.0,0.0,
,Becker College,,2189.0,4.0,0.0,1.0,1.0,2.0,12.0,3.0,8.0,1.0,0.0
,Bentley University,,5506.0,4.0,0.0,3.0,0.0,1.0,52.0,6.0,45.0,1.0,2.0
,Boston University,,32695.0,17.0,0.0,9.0,3.0,5.0,383.0,23.0,358.0,2.0,0.0
,Brandeis University,,5729.0,3.0,0.0,1.0,1.0,1.0,35.0,5.0,30.0,0.0,
,Bridgewater State University,,10998.0,17.0,0.0,8.0,1.0,8.0,35.0,4.0,31.0,0.0,0.0
,Bunker Hill Community College,,13253.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,
,Clark University,,3298.0,3.0,0.0,1.0,1.0,1.0,27.0,2.0,24.0,1.0,
,College of the Holy Cross,,2720.0,2.0,0.0,0.0,0.0,2.0,20.0,5.0,15.0,0.0,
,Dean College,,1339.0,1.0,0.0,0.0,1.0,0.0,26.0,13.0,13.0,0.0,0.0
,Emerson College,,4442.0,7.0,0.0,4.0,2.0,1.0,38.0,3.0,35.0,0.0,
,Endicott College,,4835.0,5.0,0.0,5.0,0.0,0.0,18.0,0.0,18.0,0.0,
,Fitchburg State University,,6763.0,13.0,0.0,6.0,7.0,0.0,15.0,2.0,13.0,0.0,
,Gordon College,,2004.0,2.0,0.0,2.0,0.0,0.0,66.0,3.0,63.0,0.0,
,Hampshire College,,1321.0,3.0,0.0,2.0,0.0,1.0,36.0,6.0,30.0,0.0,1.0
,Harvard University,,29908.0,10.0,0.0,3.0,2.0,5.0,405.0,50.0,348.0,7.0,
,Massachusetts College of Art,,1982.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,
,Massachusetts College of Liberal Arts,,1644.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,7.0,0.0,0.0
,Massachusetts Institute of Technology,,11376.0,9.0,0.0,3.0,1.0,5.0,252.0,15.0,236.0,1.0,0.0
,Massasoit Community College,,7471.0,4.0,0.0,0.0,0.0,4.0,17.0,0.0,17.0,0.0,0.0
,MCPHS University,,7095.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,
,Merrimack College,,4014.0,12.0,0.0,3.0,0.0,9.0,36.0,8.0,27.0,1.0,
,Mount Holyoke College,,2327.0,1.0,0.0,1.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0
,Mount Wachusett Community College,,3961.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,
,Northeastern University,,20381.0,15.0,0.0,9.0,0.0,6.0,229.0,10.0,216.0,3.0,
,Salem State University,,9001.0,1.0,0.0,0.0,0.0,1.0,49.0,7.0,41.0,1.0,0.0
,Smith College,,2896.0,1.0,0.0,1.0,0.0,0.0,47.0,8.0,39.0,0.0,0.0
,Springfield College,,3144.0,5.0,0.0,4.0,1.0,0.0,44.0,3.0,38.0,3.0,
,Springfield Technical Community College,,5622.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,24.0,1.0,0.0
,Stonehill College,,2481.0,8.0,0.0,5.0,0.0,3.0,12.0,1.0,11.0,0.0,
,Tufts University:,Medford,11489.0,5.0,0.0,1.0,1.0,3.0,49.0,4.0,45.0,0.0,0.0
,,Worcester4,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,University of Massachusetts:,"Harbor Campus, Boston",16847.0,4.0,0.0,1.0,0.0,3.0,27.0,0.0,27.0,0.0,0.0
,,"Medical Center, Worcester",1108.0,18.0,0.0,1.0,0.0,17.0,59.0,1.0,56.0,2.0,0.0
,Wellesley College,,2482.0,2.0,0.0,2.0,0.0,0.0,25.0,2.0,23.0,0.0,
,Wentworth Institute of Technology,,4526.0,1.0,0.0,1.0,0.0,0.0,51.0,3.0,48.0,0.0,
,Western New England University,,3810.0,1.0,0.0,1.0,0.0,0.0,36.0,3.0,33.0,0.0,
,Westfield State University,,6335.0,8.0,0.0,3.0,0.0,5.0,33.0,2.0,30.0,1.0,0.0
,Worcester Polytechnic Institute,,6642.0,4.0,0.0,1.0,2.0,1.0,57.0,1.0,56.0,0.0,0.0
MICHIGAN,Central Michigan University,,25986.0,4.0,0.0,1.0,0.0,3.0,74.0,5.0,68.0,1.0,0.0
,Delta College,,9132.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,10.0,0.0,0.0
,Eastern Michigan University,,21246.0,16.0,0.0,10.0,0.0,6.0,170.0,25.0,140.0,5.0,2.0
,Ferris State University,,14187.0,4.0,0.0,2.0,0.0,2.0,45.0,3.0,39.0,3.0,0.0
,Grand Rapids Community College,,14464.0,0.0,0.0,0.0,0.0,0.0,69.0,4.0,63.0,2.0,0.0
,Grand Valley State University,,25460.0,2.0,0.0,2.0,0.0,0.0,140.0,10.0,130.0,0.0,0.0
,Kalamazoo Valley Community College,,8549.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,22.0,0.0,0.0
,Kellogg Community College,,4815.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
,Kirtland Community College,,1529.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,Lansing Community College,,13583.0,3.0,0.0,1.0,0.0,2.0,45.0,0.0,45.0,0.0,0.0
,Macomb Community College,,21734.0,2.0,0.0,0.0,0.0,2.0,26.0,3.0,21.0,2.0,0.0
,Michigan State University,,50340.0,24.0,0.0,12.0,1.0,11.0,603.0,56.0,519.0,28.0,1.0
,Michigan Technological University,,7252.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,1.0
,Mott Community College,,8013.0,1.0,0.0,0.0,0.0,1.0,27.0,0.0,27.0,0.0,0.0
,Northern Michigan University,,7865.0,13.0,0.0,13.0,0.0,0.0,58.0,1.0,56.0,1.0,0.0
,Oakland Community College,,18923.0,1.0,0.0,0.0,0.0,1.0,19.0,0.0,17.0,2.0,0.0
,Oakland University,,20012.0,1.0,0.0,0.0,0.0,1.0,46.0,3.0,43.0,0.0,0.0
,Saginaw Valley State University,,9105.0,3.0,0.0,1.0,0.0,2.0,52.0,0.0,52.0,0.0,0.0
,Schoolcraft College,,11339.0,2.0,0.0,1.0,1.0,0.0,18.0,1.0,17.0,0.0,0.0
,University of Michigan:,Ann Arbor,44718.0,18.0,0.0,4.0,2.0,12.0,529.0,28.0,493.0,8.0,1.0
,,Dearborn,9131.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,25.0,4.0,0.0
,,Flint,8044.0,1.0,0.0,0.0,0.0,1.0,49.0,1.0,48.0,0.0,1.0
,Western Michigan University,,23227.0,9.0,0.0,3.0,0.0,6.0,168.0,3.0,162.0,3.0,2.0
MINNESOTA,University of Minnesota:,Duluth,11018.0,2.0,0.0,0.0,2.0,0.0,48.0,6.0,41.0,1.0,0.0
,,Morris,1771.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0
,,Twin Cities,51579.0,16.0,0.0,2.0,9.0,5.0,546.0,27.0,494.0,25.0,0.0
MISSISSIPPI,Coahoma Community College,,2064.0,1.0,0.0,0.0,1.0,0.0,17.0,17.0,0.0,0.0,0.0
,Jackson State University,,9811.0,21.0,0.0,0.0,2.0,19.0,164.0,34.0,129.0,1.0,0.0
,Mississippi State University,,21622.0,4.0,0.0,3.0,0.0,1.0,200.0,14.0,181.0,5.0,0.0
,Northeast Mississippi Community College,,3521.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,25.0,0.0,0.0
,University of Mississippi:,"Medical Center4, 7",,,0.0,,0.0,3.0,106.0,0.0,104.0,2.0,0.0
,,Oxford7,23610.0,,0.0,,0.0,6.0,92.0,6.0,83.0,3.0,0.0
MISSOURI,Jefferson College,,4692.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0
,Lincoln University,,2738.0,7.0,0.0,3.0,0.0,4.0,62.0,14.0,47.0,1.0,0.0
,Metropolitan Community College,,15790.0,1.0,0.0,0.0,0.0,1.0,30.0,0.0,30.0,0.0,0.0
,Mineral Area College,,4173.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
,Missouri Southern State University,,6231.0,4.0,0.0,3.0,0.0,1.0,44.0,17.0,25.0,2.0,0.0
,Missouri University of Science and Technology,,8835.0,1.0,0.0,1.0,0.0,0.0,58.0,0.0,55.0,3.0,0.0
,Missouri Western State University,,5363.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,26.0,1.0,0.0
,Northwest Missouri State University,,6530.0,6.0,0.0,4.0,0.0,2.0,39.0,3.0,36.0,0.0,0.0
,Southeast Missouri State University,,11978.0,2.0,0.0,2.0,0.0,0.0,70.0,30.0,36.0,4.0,0.0
,St. Charles Community College,,6755.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0
,St. Louis Community College,Meramec,19052.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,58.0,0.0,0.0
,Truman State University,,6379.0,1.0,0.0,1.0,0.0,0.0,41.0,3.0,37.0,1.0,0.0
,University of Central Missouri,,13988.0,7.0,0.0,4.0,1.0,2.0,86.0,11.0,73.0,2.0,0.0
,University of Missouri:,Columbia,33239.0,6.0,0.0,2.0,2.0,2.0,252.0,2.0,239.0,11.0,5.0
,,Kansas City,16936.0,7.0,0.0,6.0,1.0,0.0,59.0,16.0,41.0,2.0,0.0
,,St. Louis,16989.0,0.0,0.0,0.0,0.0,0.0,55.0,8.0,46.0,1.0,0.0
,Washington University,,15047.0,1.0,0.0,0.0,1.0,0.0,86.0,0.0,86.0,0.0,0.0
MONTANA,Montana State University,,16359.0,11.0,0.0,3.0,1.0,7.0,149.0,1.0,148.0,0.0,1.0
NEVADA,College of Southern Nevada,,33556.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,29.0,2.0,0.0
,University of Nevada:,Las Vegas,29702.0,16.0,1.0,2.0,5.0,8.0,399.0,59.0,319.0,21.0,1.0
,,Reno,21353.0,9.0,0.0,4.0,1.0,4.0,165.0,26.0,134.0,5.0,0.0
NEW HAMPSHIRE,University of New Hampshire,,15188.0,8.0,0.0,5.0,0.0,3.0,148.0,8.0,140.0,0.0,0.0
NEW JERSEY,Brookdale Community College,,13165.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0
,Essex County College,,9596.0,3.0,0.0,1.0,0.0,2.0,60.0,1.0,59.0,0.0,0.0
,Kean University,,14070.0,0.0,0.0,0.0,0.0,0.0,83.0,7.0,68.0,8.0,0.0
,Middlesex County College,,11371.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0
,Monmouth University,,6371.0,3.0,0.0,3.0,0.0,0.0,27.0,1.0,25.0,1.0,0.0
,Montclair State University,,20987.0,5.0,0.0,2.0,1.0,2.0,72.0,0.0,70.0,2.0,0.0
,New Jersey Institute of Technology,,11317.0,5.0,0.0,2.0,2.0,1.0,82.0,4.0,76.0,2.0,0.0
,Princeton University,,8181.0,3.0,0.0,1.0,1.0,1.0,269.0,18.0,242.0,9.0,0.0
,Rowan University,,17372.0,10.0,0.0,3.0,4.0,3.0,151.0,18.0,131.0,2.0,1.0
,Rutgers University:,Camden,6475.0,5.0,0.0,0.0,3.0,2.0,72.0,2.0,70.0,0.0,0.0
,,Newark,12321.0,20.0,0.0,2.0,13.0,5.0,250.0,14.0,234.0,2.0,0.0
,,New Brunswick,50146.0,28.0,0.0,14.0,4.0,10.0,390.0,42.0,347.0,1.0,1.0
,Stevens Institute of Technology,,6617.0,0.0,0.0,0.0,0.0,0.0,33.0,10.0,23.0,0.0,0.0
,Stockton University,,8728.0,4.0,0.0,4.0,0.0,0.0,23.0,1.0,22.0,0.0,0.0
,The College of New Jersey,,7396.0,2.0,0.0,1.0,0.0,1.0,78.0,7.0,69.0,2.0,5.0
,William Paterson University,,10583.0,1.0,0.0,0.0,1.0,0.0,53.0,0.0,53.0,0.0,0.0
NEW MEXICO,Eastern New Mexico University,,6010.0,1.0,0.0,0.0,1.0,0.0,48.0,7.0,41.0,0.0,
,New Mexico Military Institute,,422.0,1.0,0.0,0.0,0.0,1.0,11.0,2.0,9.0,0.0,
,New Mexico State University,,14852.0,6.0,0.0,1.0,0.0,5.0,186.0,17.0,161.0,8.0,
,University of New Mexico,,26999.0,51.0,0.0,7.0,6.0,38.0,833.0,52.0,641.0,140.0,
,Western New Mexico University,,3427.0,1.0,0.0,0.0,0.0,1.0,31.0,6.0,25.0,0.0,
NEW YORK,Cornell University,,22319.0,3.0,0.0,1.0,1.0,1.0,282.0,20.0,262.0,0.0,0.0
,Ithaca College,,6678.0,11.0,0.0,11.0,0.0,0.0,75.0,7.0,68.0,0.0,0.0
,Rensselaer Polytechnic Institute,,7363.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,52.0,0.0,1.0
,State University of New York Police:,Alfred,3735.0,3.0,0.0,0.0,0.0,3.0,61.0,6.0,53.0,2.0,3.0
,,Binghamton,17292.0,8.0,0.0,5.0,2.0,1.0,184.0,13.0,171.0,0.0,5.0
,,Brockport,8243.0,3.0,0.0,1.0,1.0,1.0,53.0,8.0,45.0,0.0,0.0
,,Buffalo,30184.0,6.0,0.0,2.0,0.0,4.0,238.0,32.0,203.0,3.0,0.0
,,Buffalo State College,9475.0,15.0,0.0,7.0,0.0,8.0,150.0,23.0,125.0,2.0,2.0
,,Canton,3205.0,5.0,0.0,2.0,0.0,3.0,22.0,0.0,22.0,0.0,0.0
,,Cobleskill,2287.0,8.0,0.0,8.0,0.0,0.0,19.0,6.0,13.0,0.0,1.0
,,Cortland,6900.0,3.0,0.0,3.0,0.0,0.0,47.0,10.0,37.0,0.0,0.0
,,Delhi,3511.0,2.0,0.0,2.0,0.0,0.0,27.0,1.0,26.0,0.0,0.0
,,Downstate Medical,1839.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0
,,Environmental Science,2186.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0
,,Farmingdale,9235.0,1.0,0.0,0.0,1.0,0.0,36.0,0.0,33.0,3.0,0.0
,,Fredonia,4603.0,3.0,0.0,3.0,0.0,0.0,46.0,6.0,40.0,0.0,0.0
,,Geneseo,5602.0,4.0,0.0,3.0,0.0,1.0,54.0,4.0,50.0,0.0,0.0
,,Maritime,1832.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,15.0,0.0,0.0
,,Morrisville,3003.0,3.0,0.0,3.0,0.0,0.0,26.0,5.0,21.0,0.0,0.0
,,New Paltz,7628.0,2.0,0.0,1.0,0.0,1.0,27.0,4.0,23.0,0.0,1.0
,,Oneonta,6055.0,5.0,0.0,4.0,0.0,1.0,53.0,5.0,48.0,0.0,3.0
,,Optometry,401.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,,Oswego,8004.0,1.0,0.0,0.0,1.0,0.0,84.0,16.0,66.0,2.0,0.0
,,Plattsburgh,5520.0,3.0,0.0,1.0,1.0,1.0,37.0,2.0,35.0,0.0,0.0
,,Polytechnic Institute,2697.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,10.0,0.0,0.0
,,Potsdam,3696.0,1.0,0.0,0.0,0.0,1.0,52.0,6.0,45.0,1.0,0.0
,,Purchase,4156.0,3.0,0.0,3.0,0.0,0.0,35.0,4.0,31.0,0.0,0.0
,,Stony Brook,25734.0,12.0,0.0,5.0,3.0,4.0,236.0,23.0,211.0,2.0,0.0
,,Upstate Medical,1491.0,5.0,0.0,0.0,1.0,4.0,105.0,7.0,93.0,5.0,0.0
NORTH CAROLINA7,Appalachian State University,,18295.0,,0.0,,0.0,0.0,77.0,8.0,69.0,0.0,0.0
,Duke University,,15735.0,,0.0,,1.0,8.0,411.0,36.0,351.0,24.0,0.0
,East Carolina University,,28962.0,,0.0,,1.0,3.0,133.0,9.0,124.0,0.0,0.0
,Elizabeth City State University,,1357.0,,0.0,,1.0,2.0,32.0,13.0,19.0,0.0,0.0
,Elon University,,6739.0,,0.0,,0.0,0.0,7.0,0.0,7.0,0.0,0.0
,Fayetteville State University,,6223.0,,0.0,,2.0,1.0,49.0,9.0,40.0,0.0,0.0
,Meredith College,,1981.0,,0.0,,0.0,0.0,14.0,1.0,13.0,0.0,0.0
,Methodist University,,2446.0,,0.0,,0.0,0.0,51.0,4.0,46.0,1.0,0.0
,North Carolina Central University,,8094.0,,0.0,,2.0,6.0,150.0,49.0,101.0,0.0,0.0
,North Carolina State University,Raleigh,33755.0,,0.0,,3.0,13.0,249.0,25.0,218.0,6.0,0.0
,University of North Carolina:,Asheville,3821.0,,0.0,,0.0,1.0,24.0,4.0,20.0,0.0,1.0
,,Chapel Hill,29468.0,,1.0,,3.0,1.0,234.0,25.0,204.0,5.0,1.0
,,Charlotte,28721.0,,0.0,,0.0,3.0,149.0,17.0,129.0,3.0,1.0
,,Greensboro,19647.0,,0.0,,0.0,0.0,142.0,22.0,119.0,1.0,1.0
,,Wilmington,15740.0,,0.0,,0.0,1.0,229.0,3.0,224.0,2.0,2.0
,Winston-Salem State University,,5151.0,,0.0,,1.0,0.0,70.0,17.0,52.0,1.0,0.0
NORTH DAKOTA,North Dakota State College of Science,,3003.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,10.0,1.0,0.0
,North Dakota State University,,14432.0,2.0,0.0,2.0,0.0,0.0,116.0,7.0,108.0,1.0,0.0
,University of North Dakota,,14648.0,9.0,0.0,5.0,1.0,3.0,127.0,15.0,112.0,0.0,0.0
OHIO,Capital University,,3367.0,0.0,0.0,0.0,0.0,0.0,53.0,10.0,41.0,2.0,0.0
,Cleveland State University,,16864.0,13.0,0.0,3.0,10.0,0.0,146.0,6.0,124.0,16.0,0.0
,Columbus State Community College,,27109.0,1.0,0.0,0.0,1.0,0.0,43.0,1.0,41.0,1.0,0.0
,Cuyahoga Community College,,23987.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,29.0,1.0,0.0
,Kent State University7,,30167.0,,0.0,,0.0,3.0,167.0,2.0,164.0,1.0,0.0
,Lakeland Community College,,7997.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0
,Miami University,,19697.0,26.0,0.0,19.0,1.0,6.0,140.0,9.0,131.0,0.0,9.0
,Ohio State University,Columbus,59482.0,41.0,0.0,30.0,5.0,6.0,798.0,24.0,763.0,11.0,1.0
,Otterbein University,,2928.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,23.0,0.0,0.0
,Shawnee State University,,3772.0,2.0,0.0,0.0,1.0,1.0,19.0,4.0,15.0,0.0,0.0
,Sinclair Community College,,18610.0,1.0,0.0,0.0,1.0,0.0,39.0,11.0,28.0,0.0,0.0
,University of Akron,,21100.0,6.0,0.0,5.0,0.0,1.0,183.0,5.0,171.0,7.0,0.0
,University of Cincinnati,,36596.0,39.0,0.0,31.0,1.0,7.0,283.0,15.0,261.0,7.0,0.0
,University of Toledo,,20615.0,7.0,0.0,0.0,5.0,2.0,185.0,5.0,177.0,3.0,0.0
,Wright State University,,16655.0,7.0,0.0,4.0,3.0,0.0,55.0,2.0,53.0,0.0,0.0
OKLAHOMA,Cameron University,,4846.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,0.0,0.0
,East Central University,,4160.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,16.0,0.0,0.0
,Langston University,,2420.0,16.0,0.0,3.0,2.0,11.0,58.0,25.0,32.0,1.0,1.0
,Mid-America Christian University,,2405.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
,Northeastern Oklahoma A&M College,,2077.0,1.0,0.0,0.0,1.0,0.0,48.0,25.0,21.0,2.0,0.0
,Northeastern State University,Tahlequah,8109.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0,9.0,1.0,0.0
,Northwestern Oklahoma State University,,2218.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0
,Oklahoma City Community College,,12557.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,39.0,0.0,0.0
,Oklahoma City University,,2968.0,1.0,0.0,0.0,0.0,1.0,34.0,6.0,28.0,0.0,0.0
,Oklahoma State University:,Main Campus,25622.0,7.0,0.0,6.0,0.0,1.0,195.0,61.0,132.0,2.0,1.0
,,Okmulgee,2396.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,13.0,1.0,0.0
,,Tulsa,926.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,9.0,1.0,0.0
,Rogers State University,,3903.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0
,Seminole State College,,1729.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
,Southeastern Oklahoma State University,,3725.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,10.0,2.0,1.0
,Southwestern Oklahoma State University,,5320.0,2.0,0.0,1.0,0.0,1.0,10.0,3.0,7.0,0.0,0.0
,Tulsa Community College,,17135.0,5.0,0.0,0.0,0.0,5.0,27.0,3.0,21.0,3.0,0.0
,University of Central Oklahoma,,16428.0,4.0,0.0,1.0,1.0,2.0,45.0,5.0,39.0,1.0,0.0
,University of Oklahoma:,Health Sciences Center,3322.0,4.0,0.0,0.0,2.0,2.0,138.0,9.0,126.0,3.0,0.0
,,Norman,27918.0,13.0,0.0,10.0,2.0,1.0,280.0,9.0,260.0,11.0,0.0
OREGON,Portland State University,,26627.0,10.0,0.0,2.0,4.0,4.0,328.0,35.0,291.0,2.0,4.0
PENNSYLVANIA,Bloomsburg University,,9637.0,1.0,0.0,1.0,0.0,0.0,29.0,2.0,26.0,1.0,0.0
,California University,,7553.0,2.0,0.0,1.0,0.0,1.0,35.0,2.0,32.0,1.0,0.0
,Cheyney University,,746.0,2.0,0.0,0.0,0.0,2.0,20.0,6.0,14.0,0.0,0.0
,Clarion University,,5224.0,7.0,0.0,4.0,0.0,3.0,15.0,1.0,14.0,0.0,0.0
,Dickinson College,,2420.0,3.0,0.0,3.0,0.0,0.0,63.0,11.0,52.0,0.0,1.0
,East Stroudsburg University,,6822.0,7.0,0.0,2.0,3.0,2.0,52.0,2.0,50.0,0.0,0.0
,Edinboro University,,6181.0,2.0,0.0,0.0,0.0,2.0,42.0,11.0,31.0,0.0,0.0
,Elizabethtown College,,1784.0,3.0,0.0,2.0,0.0,1.0,15.0,1.0,14.0,0.0,0.0
,Indiana University,,12971.0,19.0,0.0,9.0,1.0,9.0,49.0,0.0,49.0,0.0,0.0
,Kutztown University,,8513.0,12.0,0.0,10.0,2.0,0.0,45.0,2.0,43.0,0.0,0.0
,Lehigh University,,7059.0,2.0,0.0,2.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0
,Lock Haven University,,4220.0,3.0,0.0,2.0,0.0,1.0,23.0,2.0,21.0,0.0,0.0
,Mansfield University,,2180.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
,Millersville University,,7914.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,21.0,0.0,0.0
,Moravian College,,2426.0,0.0,0.0,0.0,0.0,0.0,34.0,7.0,27.0,0.0,0.0
,Pennsylvania State University:,Altoona,3491.0,1.0,0.0,1.0,0.0,0.0,28.0,5.0,22.0,1.0,1.0
,,Beaver,726.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,8.0,0.0,6.0
,,Behrend,4566.0,1.0,0.0,1.0,0.0,0.0,15.0,2.0,13.0,0.0,0.0
,,Berks,2888.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0
,,Brandywine,1379.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0
,,Fayette,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,Greater Allegheny,550.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,,Harrisburg,5046.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
,,Hazleton,863.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0
,,Mont Alto,903.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
,,Schuylkill,759.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0
,,University Park,47789.0,42.0,0.0,25.0,2.0,15.0,411.0,35.0,373.0,3.0,7.0
,,Worthington Scranton,1019.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
,Shippensburg University,,6972.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,22.0,0.0,0.0
,Slippery Rock University,,8854.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,33.0,0.0,0.0
,University of Pittsburgh:,Bradford,1465.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,7.0,0.0,0.0
,,Greensburg,1520.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0
,,Johnstown,2769.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,27.0,0.0,0.0
,,Pittsburgh,28664.0,3.0,0.0,1.0,0.0,2.0,170.0,3.0,165.0,2.0,1.0
,,Titusville,332.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0
,West Chester University,,17005.0,3.0,0.0,3.0,0.0,0.0,64.0,4.0,59.0,1.0,0.0
RHODE ISLAND,Brown University,,9781.0,0.0,0.0,0.0,0.0,0.0,118.0,14.0,104.0,0.0,0.0
,University of Rhode Island,,17822.0,7.0,0.0,4.0,0.0,3.0,75.0,2.0,72.0,1.0,0.0
SOUTH CAROLINA,Benedict College,,2281.0,23.0,0.0,4.0,4.0,15.0,98.0,12.0,83.0,3.0,0.0
,Bob Jones University,,2901.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,0.0,0.0
,Clemson University,,23406.0,9.0,0.0,5.0,0.0,4.0,216.0,20.0,163.0,33.0,1.0
,Coastal Carolina University,,10479.0,17.0,0.0,7.0,2.0,8.0,172.0,4.0,168.0,0.0,0.0
,College of Charleston,,11294.0,1.0,0.0,0.0,0.0,1.0,71.0,1.0,69.0,1.0,0.0
,Erskine College,,822.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
