Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2017",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
FLORIDA - Nonmetropolitan Counties,Bradford,55.0,0.0,3.0,1.0,51.0,207.0,90.0,106.0,11.0,1.0
,Calhoun,22.0,0.0,4.0,0.0,18.0,56.0,22.0,30.0,4.0,0.0
,Columbia,199.0,1.0,21.0,18.0,159.0,1012.0,451.0,511.0,50.0,9.0
,DeSoto,85.0,1.0,5.0,7.0,72.0,639.0,214.0,371.0,54.0,3.0
,Dixie,84.0,1.0,4.0,2.0,77.0,246.0,107.0,116.0,23.0,2.0
,Franklin,22.0,0.0,3.0,1.0,18.0,121.0,37.0,78.0,6.0,1.0
,Glades,31.0,0.0,1.0,0.0,30.0,178.0,45.0,116.0,17.0,0.0
,Hamilton,58.0,2.0,6.0,6.0,44.0,223.0,77.0,126.0,20.0,4.0
,Hardee,49.0,0.0,6.0,2.0,41.0,294.0,94.0,177.0,23.0,1.0
,Hendry,134.0,4.0,13.0,30.0,87.0,790.0,354.0,392.0,44.0,7.0
,Holmes,64.0,0.0,10.0,0.0,54.0,257.0,74.0,161.0,22.0,1.0
,Jackson,147.0,6.0,30.0,3.0,108.0,707.0,117.0,565.0,25.0,3.0
,Lafayette,35.0,1.0,3.0,0.0,31.0,35.0,12.0,21.0,2.0,0.0
,Levy,447.0,2.0,21.0,5.0,419.0,527.0,217.0,265.0,45.0,1.0
,Liberty,12.0,0.0,0.0,0.0,12.0,69.0,19.0,41.0,9.0,0.0
,Madison,158.0,0.0,11.0,5.0,142.0,237.0,96.0,141.0,0.0,1.0
,Monroe,191.0,6.0,11.0,14.0,160.0,1015.0,162.0,817.0,36.0,2.0
,Okeechobee,132.0,0.0,27.0,15.0,90.0,948.0,209.0,678.0,61.0,0.0
,Putnam,169.0,4.0,17.0,15.0,133.0,1011.0,275.0,690.0,46.0,4.0
,Suwannee,144.0,0.0,15.0,3.0,126.0,390.0,119.0,247.0,24.0,0.0
,Taylor,180.0,0.0,8.0,2.0,170.0,262.0,120.0,124.0,18.0,2.0
,Union,31.0,1.0,0.0,3.0,27.0,112.0,60.0,48.0,4.0,3.0
,Washington,44.0,2.0,1.0,3.0,38.0,175.0,44.0,114.0,17.0,0.0
GEORGIA - Metropolitan Counties,Augusta-Richmond,872.0,23.0,46.0,281.0,522.0,8745.0,1582.0,6508.0,655.0,46.0
,Barrow,238.0,0.0,14.0,10.0,214.0,1153.0,228.0,864.0,61.0,4.0
,Bibb,924.0,29.0,66.0,309.0,520.0,7607.0,1761.0,5298.0,548.0,61.0
,Brantley,27.0,1.0,4.0,2.0,20.0,421.0,90.0,314.0,17.0,0.0
,Brooks,40.0,1.0,4.0,1.0,34.0,173.0,44.0,114.0,15.0,0.0
,Bryan,87.0,0.0,5.0,5.0,77.0,281.0,75.0,197.0,9.0,3.0
,Burke,40.0,3.0,2.0,6.0,29.0,237.0,71.0,133.0,33.0,0.0
,Butts,69.0,0.0,3.0,7.0,59.0,376.0,58.0,288.0,30.0,0.0
,Carroll,159.0,3.0,14.0,16.0,126.0,1315.0,426.0,735.0,154.0,6.0
,Catoosa,76.0,0.0,9.0,7.0,60.0,843.0,189.0,530.0,124.0,4.0
,Cherokee,119.0,0.0,19.0,20.0,80.0,1449.0,282.0,1087.0,80.0,0.0
,Clarke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Clayton,6.0,0.0,0.0,0.0,6.0,10.0,0.0,8.0,2.0,0.0
,Clayton County Police Department,1543.0,35.0,183.0,506.0,819.0,8711.0,2078.0,5210.0,1423.0,12.0
,Cobb,7.0,0.0,2.0,4.0,1.0,26.0,2.0,24.0,0.0,0.0
,Cobb County Police Department,1221.0,19.0,116.0,408.0,678.0,11899.0,1846.0,9004.0,1049.0,30.0
,Columbia,67.0,0.0,11.0,19.0,37.0,1963.0,166.0,1717.0,80.0,3.0
,Coweta,109.0,6.0,18.0,24.0,61.0,1256.0,243.0,908.0,105.0,2.0
,Crawford,15.0,1.0,0.0,2.0,12.0,261.0,83.0,161.0,17.0,2.0
,Dawson,36.0,0.0,7.0,3.0,26.0,454.0,69.0,356.0,29.0,0.0
,DeKalb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,DeKalb County Police Department,3184.0,89.0,112.0,1249.0,1734.0,23246.0,4994.0,15029.0,3223.0,122.0
,Dougherty,1.0,0.0,0.0,0.0,1.0,98.0,0.0,97.0,1.0,0.0
,Dougherty County Police Department,35.0,0.0,5.0,7.0,23.0,322.0,95.0,202.0,25.0,1.0
,Douglas,189.0,4.0,10.0,47.0,128.0,2025.0,279.0,1652.0,94.0,6.0
,Echols,2.0,0.0,0.0,0.0,2.0,45.0,13.0,32.0,0.0,1.0
,Effingham,49.0,0.0,3.0,5.0,41.0,450.0,208.0,195.0,47.0,0.0
,Fayette,51.0,2.0,7.0,12.0,30.0,365.0,98.0,243.0,24.0,2.0
,Floyd,33.0,0.0,2.0,1.0,30.0,122.0,19.0,95.0,8.0,0.0
,Forsyth,125.0,4.0,21.0,15.0,85.0,1758.0,272.0,1391.0,95.0,2.0
,Fulton,11.0,0.0,0.0,1.0,10.0,7.0,0.0,7.0,0.0,0.0
,Fulton County Police Department,981.0,17.0,32.0,276.0,656.0,5339.0,686.0,3690.0,963.0,8.0
,Glynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Glynn County Police Department,182.0,7.0,12.0,40.0,123.0,1822.0,469.0,1236.0,117.0,3.0
,Gwinnett County Police Department,1604.0,26.0,166.0,677.0,735.0,15079.0,2793.0,10876.0,1410.0,44.0
,Hall,267.0,3.0,51.0,32.0,181.0,1805.0,371.0,1181.0,253.0,19.0
,Heard,13.0,0.0,1.0,0.0,12.0,111.0,35.0,57.0,19.0,2.0
,Henry,0.0,0.0,0.0,0.0,0.0,87.0,0.0,87.0,0.0,0.0
,Henry County Police Department,351.0,3.0,34.0,99.0,215.0,3949.0,811.0,2735.0,403.0,13.0
,Houston,98.0,3.0,4.0,17.0,74.0,1264.0,181.0,998.0,85.0,1.0
,Jasper,61.0,0.0,0.0,3.0,58.0,226.0,55.0,159.0,12.0,0.0
,Jones,27.0,0.0,0.0,5.0,22.0,329.0,101.0,203.0,25.0,3.0
,Lamar,8.0,0.0,0.0,0.0,8.0,146.0,34.0,91.0,21.0,0.0
,Lanier,24.0,0.0,0.0,0.0,24.0,119.0,24.0,87.0,8.0,0.0
,Lee,51.0,1.0,6.0,14.0,30.0,561.0,87.0,460.0,14.0,0.0
,Liberty,105.0,1.0,1.0,3.0,100.0,288.0,85.0,172.0,31.0,0.0
,Lincoln,24.0,0.0,0.0,0.0,24.0,129.0,20.0,105.0,4.0,0.0
,Long,20.0,0.0,8.0,2.0,10.0,190.0,86.0,91.0,13.0,0.0
,Lowndes,62.0,0.0,1.0,4.0,57.0,775.0,255.0,440.0,80.0,0.0
,Madison,41.0,0.0,3.0,4.0,34.0,402.0,96.0,285.0,21.0,0.0
,Marion,2.0,0.0,0.0,0.0,2.0,31.0,25.0,6.0,0.0,0.0
,McDuffie,37.0,0.0,1.0,5.0,31.0,224.0,117.0,92.0,15.0,0.0
,McIntosh,29.0,1.0,1.0,4.0,23.0,327.0,135.0,176.0,16.0,0.0
,Meriwether,52.0,1.0,2.0,3.0,46.0,244.0,58.0,172.0,14.0,2.0
,Monroe,28.0,1.0,1.0,4.0,22.0,416.0,81.0,298.0,37.0,2.0
,Muscogee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,Newton,357.0,6.0,13.0,53.0,285.0,1669.0,416.0,1004.0,249.0,6.0
,Oconee,27.0,1.0,0.0,2.0,24.0,419.0,58.0,344.0,17.0,0.0
,Oglethorpe,32.0,0.0,0.0,2.0,30.0,216.0,47.0,153.0,16.0,0.0
,Paulding,180.0,2.0,13.0,20.0,145.0,2450.0,464.0,1670.0,316.0,6.0
,Peach,23.0,2.0,1.0,1.0,19.0,273.0,59.0,194.0,20.0,0.0
,Pickens,74.0,0.0,6.0,2.0,66.0,322.0,79.0,215.0,28.0,0.0
,Pike,13.0,0.0,3.0,1.0,9.0,181.0,37.0,135.0,9.0,0.0
,Pulaski,57.0,2.0,2.0,5.0,48.0,235.0,52.0,178.0,5.0,0.0
,Rockdale,171.0,2.0,15.0,31.0,123.0,1683.0,275.0,1283.0,125.0,9.0
,Spalding,148.0,3.0,14.0,16.0,115.0,1094.0,337.0,647.0,110.0,
,Terrell,7.0,0.0,0.0,1.0,6.0,58.0,15.0,41.0,2.0,
,Twiggs,16.0,1.0,1.0,1.0,13.0,124.0,48.0,62.0,14.0,1.0
,Walker,237.0,2.0,4.0,13.0,218.0,965.0,303.0,549.0,113.0,2.0
,Walton,79.0,7.0,10.0,9.0,53.0,635.0,120.0,443.0,72.0,0.0
,Whitfield,138.0,2.0,18.0,6.0,112.0,1263.0,342.0,815.0,106.0,4.0
,Worth,44.0,0.0,9.0,2.0,33.0,207.0,69.0,130.0,8.0,0.0
GEORGIA - Nonmetropolitan Counties,Appling,20.0,0.0,0.0,2.0,18.0,304.0,109.0,175.0,20.0,0.0
,Bacon,15.0,0.0,0.0,1.0,14.0,126.0,49.0,70.0,7.0,0.0
,Baldwin,200.0,6.0,4.0,6.0,184.0,649.0,148.0,478.0,23.0,0.0
,Banks,43.0,0.0,6.0,5.0,32.0,471.0,122.0,328.0,21.0,1.0
,Ben Hill,17.0,0.0,5.0,0.0,12.0,192.0,72.0,110.0,10.0,0.0
,Berrien,20.0,0.0,2.0,1.0,17.0,173.0,47.0,112.0,14.0,0.0
,Bleckley,21.0,0.0,9.0,1.0,11.0,111.0,31.0,72.0,8.0,0.0
,Bulloch,33.0,0.0,3.0,3.0,27.0,553.0,164.0,358.0,31.0,0.0
,Calhoun,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0
,Candler,7.0,0.0,0.0,1.0,6.0,117.0,26.0,87.0,4.0,0.0
,Charlton,18.0,0.0,1.0,1.0,16.0,108.0,33.0,57.0,18.0,0.0
,Chattooga,37.0,0.0,1.0,0.0,36.0,287.0,64.0,212.0,11.0,0.0
,Clay,8.0,0.0,0.0,2.0,6.0,25.0,8.0,15.0,2.0,0.0
,Clinch,10.0,0.0,0.0,0.0,10.0,46.0,23.0,22.0,1.0,2.0
,Coffee,107.0,3.0,8.0,5.0,91.0,653.0,184.0,407.0,62.0,1.0
,Cook,33.0,0.0,2.0,1.0,30.0,121.0,35.0,73.0,13.0,0.0
,Crisp,12.0,0.0,0.0,1.0,11.0,336.0,39.0,288.0,9.0,0.0
,Decatur,46.0,1.0,4.0,2.0,39.0,293.0,80.0,207.0,6.0,1.0
,Dodge,20.0,0.0,2.0,1.0,17.0,213.0,67.0,132.0,14.0,0.0
,Dooly,9.0,0.0,0.0,1.0,8.0,86.0,10.0,64.0,12.0,1.0
,Early,31.0,0.0,12.0,0.0,19.0,87.0,28.0,53.0,6.0,0.0
,Elbert,22.0,1.0,5.0,2.0,14.0,269.0,80.0,177.0,12.0,0.0
,Emanuel,4.0,0.0,1.0,2.0,1.0,240.0,89.0,125.0,26.0,0.0
,Evans,6.0,0.0,0.0,4.0,2.0,19.0,16.0,2.0,1.0,0.0
,Fannin,12.0,0.0,1.0,0.0,11.0,212.0,58.0,142.0,12.0,3.0
,Franklin,12.0,3.0,2.0,2.0,5.0,241.0,73.0,152.0,16.0,0.0
,Gilmer,59.0,3.0,7.0,1.0,48.0,414.0,131.0,254.0,29.0,0.0
,Glascock,1.0,0.0,0.0,0.0,1.0,15.0,4.0,9.0,2.0,0.0
,Gordon,104.0,0.0,9.0,1.0,94.0,537.0,142.0,360.0,35.0,0.0
,Grady,30.0,0.0,0.0,2.0,28.0,182.0,53.0,117.0,12.0,0.0
,Greene,10.0,0.0,1.0,0.0,9.0,152.0,30.0,115.0,7.0,0.0
,Habersham,44.0,0.0,13.0,2.0,29.0,254.0,114.0,123.0,17.0,0.0
,Hancock,16.0,0.0,1.0,0.0,15.0,91.0,18.0,61.0,12.0,2.0
,Hart,46.0,0.0,1.0,1.0,44.0,248.0,67.0,171.0,10.0,1.0
,Irwin,6.0,0.0,0.0,0.0,6.0,108.0,29.0,68.0,11.0,0.0
,Jackson,72.0,1.0,5.0,8.0,58.0,745.0,148.0,559.0,38.0,0.0
,Jeff Davis,13.0,0.0,0.0,1.0,12.0,170.0,40.0,125.0,5.0,0.0
,Jefferson,36.0,0.0,2.0,3.0,31.0,128.0,68.0,53.0,7.0,0.0
,Laurens,73.0,1.0,8.0,6.0,58.0,559.0,166.0,340.0,53.0,3.0
,Lumpkin,13.0,2.0,8.0,2.0,1.0,396.0,78.0,302.0,16.0,1.0
,Macon,0.0,0.0,0.0,0.0,0.0,35.0,13.0,17.0,5.0,0.0
,Miller,1.0,0.0,0.0,0.0,1.0,44.0,9.0,34.0,1.0,1.0
,Mitchell,33.0,0.0,0.0,0.0,33.0,265.0,70.0,169.0,26.0,0.0
,Pierce,54.0,2.0,4.0,1.0,47.0,239.0,64.0,170.0,5.0,0.0
,Polk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Polk County Police Department,40.0,2.0,4.0,2.0,32.0,527.0,136.0,319.0,72.0,5.0
,Putnam,41.0,2.0,4.0,1.0,34.0,327.0,71.0,253.0,3.0,
,Quitman,5.0,0.0,1.0,2.0,2.0,8.0,4.0,2.0,2.0,0.0
,Rabun,15.0,0.0,6.0,1.0,8.0,234.0,57.0,166.0,11.0,0.0
,Randolph,9.0,0.0,0.0,3.0,6.0,41.0,12.0,24.0,5.0,0.0
,Schley,5.0,0.0,1.0,0.0,4.0,18.0,3.0,14.0,1.0,0.0
,Screven,39.0,1.0,1.0,5.0,32.0,180.0,66.0,87.0,27.0,7.0
,Seminole,30.0,0.0,0.0,0.0,30.0,64.0,24.0,37.0,3.0,0.0
,Stephens,17.0,0.0,6.0,1.0,10.0,330.0,78.0,243.0,9.0,
,Sumter,18.0,1.0,2.0,2.0,13.0,141.0,41.0,84.0,16.0,
,Talbot,15.0,0.0,0.0,2.0,13.0,90.0,26.0,55.0,9.0,0.0
,Taliaferro,5.0,0.0,0.0,0.0,5.0,20.0,9.0,10.0,1.0,0.0
,Tattnall,23.0,0.0,0.0,0.0,23.0,270.0,106.0,152.0,12.0,0.0
,Taylor,12.0,1.0,2.0,0.0,9.0,76.0,38.0,32.0,6.0,
,Thomas,53.0,0.0,9.0,10.0,34.0,471.0,150.0,278.0,43.0,4.0
,Tift,72.0,0.0,1.0,16.0,55.0,587.0,125.0,428.0,34.0,
,Towns,31.0,0.0,0.0,0.0,31.0,131.0,31.0,91.0,9.0,0.0
,Treutlen,3.0,0.0,0.0,1.0,2.0,63.0,27.0,35.0,1.0,0.0
,Troup,51.0,0.0,5.0,11.0,35.0,594.0,139.0,421.0,34.0,0.0
,Union,14.0,0.0,3.0,4.0,7.0,211.0,69.0,125.0,17.0,
,Upson,23.0,0.0,2.0,3.0,18.0,254.0,44.0,190.0,20.0,
,Ware,92.0,2.0,4.0,8.0,78.0,623.0,99.0,500.0,24.0,5.0
,Warren,15.0,0.0,2.0,0.0,13.0,47.0,19.0,27.0,1.0,0.0
,Washington,12.0,0.0,2.0,4.0,6.0,119.0,39.0,75.0,5.0,0.0
,Wayne,156.0,0.0,15.0,7.0,134.0,802.0,210.0,569.0,23.0,0.0
,Webster,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0
,Wheeler,6.0,0.0,1.0,0.0,5.0,42.0,9.0,33.0,0.0,0.0
,White,34.0,1.0,3.0,2.0,28.0,162.0,45.0,103.0,14.0,0.0
,Wilkes,19.0,2.0,1.0,0.0,16.0,30.0,13.0,14.0,3.0,1.0
,Wilkinson,19.0,0.0,1.0,1.0,17.0,43.0,18.0,17.0,8.0,
HAWAII - Metropolitan Counties,Maui Police Department,446.0,2.0,95.0,67.0,282.0,5729.0,906.0,4016.0,807.0,109.0
HAWAII - Nonmetropolitan Counties,Hawaii Police Department,508.0,5.0,142.0,77.0,284.0,5373.0,872.0,3770.0,731.0,32.0
,Kauai Police Department,183.0,0.0,45.0,25.0,113.0,1813.0,440.0,1248.0,125.0,39.0
IDAHO - Metropolitan Counties,Ada,241.0,1.0,39.0,6.0,195.0,713.0,153.0,512.0,48.0,6.0
,Bannock,1.0,0.0,0.0,0.0,1.0,13.0,3.0,7.0,3.0,0.0
,Boise,10.0,0.0,3.0,0.0,7.0,56.0,17.0,30.0,9.0,2.0
,Bonneville,112.0,0.0,19.0,1.0,92.0,546.0,187.0,319.0,40.0,3.0
,Canyon,94.0,0.0,15.0,1.0,78.0,507.0,193.0,241.0,73.0,6.0
,Franklin,1.0,0.0,0.0,0.0,1.0,56.0,6.0,46.0,4.0,0.0
,Gem,9.0,0.0,0.0,0.0,9.0,23.0,3.0,18.0,2.0,1.0
,Jefferson,13.0,0.0,0.0,0.0,13.0,126.0,41.0,70.0,15.0,0.0
,Jerome,28.0,0.0,5.0,2.0,21.0,112.0,29.0,60.0,23.0,1.0
,Kootenai5,100.0,1.0,25.0,6.0,68.0,,,755.0,47.0,6.0
,Nez Perce,6.0,0.0,0.0,0.0,6.0,81.0,46.0,34.0,1.0,0.0
,Owyhee,24.0,0.0,2.0,0.0,22.0,76.0,16.0,50.0,10.0,0.0
,Twin Falls,57.0,0.0,6.0,2.0,49.0,210.0,108.0,75.0,27.0,2.0
IDAHO - Nonmetropolitan Counties,Adams,13.0,0.0,0.0,0.0,13.0,39.0,4.0,29.0,6.0,0.0
,Bear Lake,0.0,0.0,0.0,0.0,0.0,44.0,16.0,24.0,4.0,0.0
,Benewah,24.0,0.0,5.0,1.0,18.0,89.0,24.0,50.0,15.0,0.0
,Bingham,28.0,1.0,7.0,0.0,20.0,189.0,60.0,114.0,15.0,2.0
,Blaine,5.0,0.0,0.0,0.0,5.0,23.0,9.0,12.0,2.0,0.0
,Caribou,0.0,0.0,0.0,0.0,0.0,21.0,8.0,12.0,1.0,0.0
,Cassia,45.0,0.0,6.0,2.0,37.0,367.0,62.0,250.0,55.0,0.0
,Clearwater,29.0,0.0,2.0,0.0,27.0,48.0,15.0,32.0,1.0,0.0
,Custer,1.0,0.0,0.0,0.0,1.0,23.0,5.0,17.0,1.0,0.0
,Elmore,17.0,1.0,4.0,0.0,12.0,85.0,24.0,48.0,13.0,0.0
,Fremont,8.0,0.0,3.0,0.0,5.0,71.0,7.0,57.0,7.0,0.0
,Gooding,14.0,0.0,1.0,1.0,12.0,56.0,17.0,25.0,14.0,0.0
,Idaho,18.0,0.0,3.0,0.0,15.0,79.0,25.0,51.0,3.0,0.0
,Latah,16.0,0.0,5.0,0.0,11.0,155.0,59.0,88.0,8.0,0.0
,Lewis,2.0,0.0,0.0,0.0,2.0,18.0,3.0,15.0,0.0,0.0
,Madison,20.0,0.0,15.0,0.0,5.0,80.0,18.0,49.0,13.0,0.0
,Minidoka,19.0,0.0,3.0,1.0,15.0,112.0,12.0,85.0,15.0,1.0
,Oneida,6.0,0.0,1.0,0.0,5.0,68.0,15.0,51.0,2.0,0.0
,Payette,14.0,0.0,1.0,0.0,13.0,77.0,14.0,50.0,13.0,0.0
,Power,2.0,0.0,1.0,0.0,1.0,33.0,6.0,19.0,8.0,0.0
,Teton,13.0,0.0,1.0,0.0,12.0,55.0,8.0,40.0,7.0,0.0
,Valley,8.0,1.0,2.0,0.0,5.0,57.0,21.0,33.0,3.0,0.0
,Washington,14.0,0.0,4.0,0.0,10.0,12.0,3.0,9.0,0.0,0.0
ILLINOIS - Metropolitan Counties,Alexander,7.0,0.0,0.0,0.0,7.0,50.0,16.0,33.0,1.0,0.0
,Bond,2.0,0.0,1.0,0.0,1.0,61.0,23.0,37.0,1.0,0.0
,Boone,32.0,1.0,18.0,0.0,13.0,152.0,39.0,104.0,9.0,0.0
,Champaign,91.0,1.0,17.0,11.0,62.0,466.0,145.0,305.0,16.0,5.0
,Clinton,15.0,0.0,1.0,2.0,12.0,43.0,7.0,31.0,5.0,0.0
,Cook,182.0,8.0,23.0,42.0,109.0,467.0,106.0,311.0,50.0,12.0
,De Kalb,43.0,0.0,12.0,0.0,31.0,120.0,33.0,86.0,1.0,0.0
,DuPage,80.0,0.0,18.0,16.0,46.0,702.0,134.0,521.0,47.0,2.0
,Ford,24.0,0.0,1.0,1.0,22.0,79.0,22.0,54.0,3.0,1.0
,Grundy,18.0,0.0,7.0,0.0,11.0,137.0,33.0,96.0,8.0,1.0
,Henry,6.0,0.0,1.0,0.0,5.0,58.0,13.0,45.0,0.0,1.0
,Jackson,31.0,2.0,7.0,0.0,22.0,266.0,92.0,165.0,9.0,1.0
,Jersey,14.0,0.0,5.0,0.0,9.0,112.0,44.0,65.0,3.0,2.0
,Kane,67.0,0.0,15.0,10.0,42.0,318.0,87.0,194.0,37.0,4.0
,Kankakee,49.0,1.0,10.0,5.0,33.0,302.0,102.0,174.0,26.0,4.0
,Kendall,78.0,0.0,19.0,6.0,53.0,152.0,69.0,71.0,12.0,3.0
,Lake,101.0,1.0,24.0,12.0,64.0,1048.0,264.0,710.0,74.0,2.0
,Macon,27.0,0.0,7.0,1.0,19.0,270.0,57.0,202.0,11.0,2.0
,Macoupin,11.0,0.0,1.0,0.0,10.0,180.0,38.0,124.0,18.0,0.0
,Madison,150.0,1.0,24.0,23.0,102.0,1025.0,239.0,718.0,68.0,5.0
,Marshall,5.0,0.0,1.0,0.0,4.0,27.0,17.0,9.0,1.0,1.0
,McHenry,68.0,1.0,20.0,1.0,46.0,372.0,117.0,242.0,13.0,2.0
,McLean,24.0,1.0,9.0,0.0,14.0,118.0,40.0,66.0,12.0,0.0
,Menard,7.0,0.0,4.0,0.0,3.0,28.0,8.0,19.0,1.0,0.0
,Peoria,114.0,0.0,33.0,9.0,72.0,866.0,206.0,601.0,59.0,6.0
,Piatt,7.0,0.0,5.0,0.0,2.0,39.0,25.0,10.0,4.0,1.0
,Rock Island,61.0,0.0,17.0,3.0,41.0,285.0,61.0,219.0,5.0,1.0
,Sangamon,149.0,0.0,24.0,9.0,116.0,624.0,186.0,364.0,74.0,5.0
,Stark,6.0,0.0,0.0,0.0,6.0,49.0,16.0,30.0,3.0,0.0
,St. Clair,98.0,1.0,21.0,22.0,54.0,730.0,209.0,464.0,57.0,4.0
,Vermilion,70.0,0.0,29.0,4.0,37.0,398.0,138.0,243.0,17.0,0.0
,Will,144.0,5.0,24.0,27.0,88.0,865.0,234.0,543.0,88.0,20.0
,Williamson,8.0,0.0,5.0,3.0,0.0,321.0,105.0,196.0,20.0,1.0
,Winnebago,118.0,0.0,23.0,12.0,83.0,758.0,248.0,453.0,57.0,10.0
,Woodford,11.0,0.0,4.0,0.0,7.0,89.0,23.0,60.0,6.0,0.0
ILLINOIS - Nonmetropolitan Counties,Adams,37.0,0.0,18.0,1.0,18.0,186.0,46.0,136.0,4.0,0.0
,Brown,3.0,0.0,0.0,0.0,3.0,15.0,4.0,10.0,1.0,2.0
,Bureau,17.0,0.0,6.0,0.0,11.0,156.0,56.0,100.0,0.0,2.0
,Carroll,2.0,0.0,0.0,0.0,2.0,70.0,19.0,50.0,1.0,0.0
,Cass,6.0,0.0,0.0,0.0,6.0,9.0,3.0,5.0,1.0,0.0
,Clark,5.0,0.0,1.0,0.0,4.0,42.0,20.0,17.0,5.0,3.0
,Clay,3.0,0.0,1.0,0.0,2.0,55.0,16.0,30.0,9.0,1.0
,Coles,22.0,0.0,5.0,0.0,17.0,104.0,34.0,63.0,7.0,4.0
,Crawford,1.0,0.0,1.0,0.0,0.0,40.0,8.0,31.0,1.0,5.0
,Cumberland,2.0,0.0,0.0,1.0,1.0,30.0,16.0,12.0,2.0,0.0
,Douglas,4.0,0.0,2.0,0.0,2.0,46.0,13.0,29.0,4.0,0.0
,Edgar,4.0,0.0,0.0,0.0,4.0,59.0,31.0,27.0,1.0,0.0
,Effingham,11.0,0.0,0.0,0.0,11.0,131.0,48.0,71.0,12.0,1.0
,Fayette,2.0,0.0,0.0,0.0,2.0,93.0,19.0,66.0,8.0,1.0
,Franklin,26.0,0.0,0.0,0.0,26.0,228.0,71.0,153.0,4.0,2.0
,Fulton,12.0,0.0,4.0,1.0,7.0,106.0,33.0,68.0,5.0,1.0
,Gallatin,2.0,0.0,0.0,0.0,2.0,40.0,10.0,27.0,3.0,1.0
,Greene,2.0,0.0,0.0,0.0,2.0,31.0,13.0,16.0,2.0,0.0
,Hancock,7.0,0.0,1.0,0.0,6.0,86.0,31.0,55.0,0.0,1.0
,Hardin,19.0,1.0,1.0,1.0,16.0,31.0,13.0,14.0,4.0,1.0
,Iroquois,21.0,0.0,5.0,3.0,13.0,156.0,59.0,91.0,6.0,1.0
,Jasper,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0
,Jefferson,48.0,0.0,7.0,1.0,40.0,234.0,96.0,115.0,23.0,4.0
,Jo Daviess,2.0,0.0,1.0,0.0,1.0,77.0,25.0,51.0,1.0,2.0
,Knox,30.0,0.0,4.0,1.0,25.0,128.0,54.0,69.0,5.0,1.0
,La Salle,50.0,1.0,29.0,0.0,20.0,297.0,93.0,197.0,7.0,5.0
,Lee,34.0,0.0,0.0,1.0,33.0,147.0,52.0,87.0,8.0,2.0
,Livingston,20.0,0.0,5.0,3.0,12.0,169.0,37.0,121.0,11.0,3.0
,Logan,20.0,0.0,2.0,0.0,18.0,43.0,23.0,17.0,3.0,0.0
,Marion,39.0,0.0,4.0,3.0,32.0,141.0,71.0,54.0,16.0,0.0
,Mason,13.0,0.0,6.0,0.0,7.0,65.0,18.0,42.0,5.0,1.0
,Massac,13.0,0.0,2.0,1.0,10.0,95.0,35.0,51.0,9.0,1.0
,McDonough,3.0,0.0,0.0,0.0,3.0,36.0,8.0,27.0,1.0,0.0
,Montgomery,1.0,0.0,0.0,1.0,0.0,107.0,37.0,70.0,0.0,1.0
,Morgan,24.0,1.0,12.0,0.0,11.0,110.0,31.0,73.0,6.0,1.0
,Ogle,15.0,0.0,1.0,0.0,14.0,142.0,36.0,99.0,7.0,0.0
,Perry,6.0,0.0,0.0,0.0,6.0,37.0,14.0,22.0,1.0,1.0
,Pike,5.0,0.0,4.0,0.0,1.0,60.0,16.0,44.0,0.0,0.0
,Putnam,2.0,0.0,0.0,0.0,2.0,18.0,4.0,14.0,0.0,0.0
,Randolph,1.0,0.0,1.0,0.0,0.0,13.0,4.0,9.0,0.0,0.0
,Richland,20.0,0.0,3.0,0.0,17.0,76.0,22.0,44.0,10.0,1.0
,Saline,20.0,0.0,0.0,1.0,19.0,175.0,62.0,104.0,9.0,0.0
,Schuyler,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,Scott,0.0,0.0,0.0,0.0,0.0,17.0,8.0,8.0,1.0,0.0
,Shelby,4.0,0.0,4.0,0.0,0.0,23.0,3.0,19.0,1.0,0.0
,Stephenson,9.0,0.0,7.0,0.0,2.0,157.0,34.0,115.0,8.0,0.0
,Union,22.0,0.0,6.0,1.0,15.0,99.0,31.0,58.0,10.0,1.0
,Wabash,0.0,0.0,0.0,0.0,0.0,11.0,3.0,8.0,0.0,0.0
,Washington,27.0,0.0,0.0,0.0,27.0,42.0,20.0,18.0,4.0,2.0
,White,27.0,0.0,1.0,0.0,26.0,114.0,26.0,81.0,7.0,3.0
