Table 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2017
estimated 
population"
TEXAS,Under 18,57417.0,3723.0,12398.0,63.0,355.0,1477.0,1828.0,2156.0,9144.0,995.0,103.0,10027.0,107.0,222.0,109.0,192.0,1558.0,858.0,40.0,459.0,9997.0,17.0,190.0,419.0,1187.0,783.0,1284.0,30.0,11516.0,0.0,2301.0,909.0,25980682.0
,Total all ages,745719.0,30372.0,78504.0,839.0,2247.0,6519.0,20767.0,10570.0,62387.0,5093.0,454.0,90763.0,4287.0,5764.0,794.0,899.0,7178.0,12954.0,4482.0,2804.0,136796.0,355.0,4005.0,64784.0,8775.0,62434.0,8477.0,872.0,218119.0,0.0,2301.0,,
UTAH,Under 18,11259.0,304.0,2390.0,1.0,64.0,68.0,171.0,149.0,2086.0,125.0,30.0,1110.0,10.0,43.0,4.0,106.0,652.0,135.0,10.0,217.0,1696.0,0.0,28.0,143.0,708.0,66.0,421.0,18.0,2842.0,0.0,356.0,114.0,2646000.0
,Total all ages,104741.0,2252.0,14526.0,48.0,204.0,404.0,1596.0,882.0,13064.0,519.0,61.0,7870.0,746.0,957.0,32.0,1225.0,2364.0,896.0,379.0,656.0,17556.0,4.0,1426.0,7980.0,3570.0,2672.0,2201.0,38.0,37023.0,12.0,356.0,,
VERMONT,Under 18,800.0,51.0,137.0,0.0,14.0,1.0,36.0,33.0,94.0,6.0,4.0,145.0,2.0,4.0,1.0,6.0,92.0,10.0,0.0,7.0,49.0,0.0,4.0,18.0,49.0,0.0,100.0,0.0,125.0,0.0,0.0,72.0,600391.0
,Total all ages,13969.0,664.0,1683.0,10.0,62.0,31.0,561.0,268.0,1370.0,29.0,16.0,1341.0,56.0,238.0,43.0,103.0,380.0,28.0,4.0,41.0,1137.0,0.0,174.0,2450.0,112.0,0.0,823.0,0.0,4692.0,0.0,0.0,,
VIRGINIA,Under 18,16417.0,709.0,3553.0,24.0,59.0,321.0,305.0,463.0,2862.0,175.0,53.0,2648.0,32.0,133.0,32.0,153.0,691.0,318.0,5.0,137.0,2217.0,1.0,23.0,70.0,574.0,75.0,501.0,0.0,3804.0,0.0,741.0,373.0,7782044.0
,Total all ages,258878.0,7068.0,26582.0,337.0,430.0,1633.0,4668.0,2698.0,22662.0,1032.0,190.0,30360.0,1700.0,4845.0,1371.0,994.0,3621.0,4099.0,617.0,653.0,42060.0,25.0,1664.0,19323.0,4852.0,17864.0,2870.0,177.0,87392.0,0.0,741.0,,
WASHINGTON,Under 18,11818.0,890.0,2692.0,17.0,77.0,334.0,462.0,480.0,1986.0,180.0,46.0,2939.0,12.0,28.0,1.0,193.0,856.0,225.0,7.0,123.0,1224.0,0.0,9.0,167.0,683.0,10.0,190.0,0.0,1569.0,0.0,0.0,222.0,6678694.0
,Total all ages,173344.0,8472.0,27055.0,158.0,515.0,1887.0,5912.0,4723.0,20526.0,1637.0,169.0,25114.0,862.0,1056.0,53.0,3438.0,5178.0,1793.0,650.0,587.0,12027.0,0.0,359.0,25392.0,2018.0,78.0,2402.0,124.0,56680.0,6.0,0.0,,
WEST VIRGINIA,Under 18,1033.0,57.0,162.0,0.0,9.0,6.0,42.0,34.0,104.0,13.0,11.0,215.0,3.0,3.0,3.0,8.0,44.0,14.0,0.0,5.0,120.0,0.0,1.0,16.0,24.0,2.0,30.0,0.0,317.0,0.0,9.0,178.0,1150294.0
,Total all ages,39296.0,1832.0,5077.0,31.0,103.0,123.0,1575.0,751.0,4018.0,272.0,36.0,4320.0,258.0,486.0,116.0,410.0,634.0,342.0,109.0,88.0,7277.0,0.0,149.0,4282.0,890.0,822.0,751.0,27.0,11417.0,0.0,9.0,,
WISCONSIN,Under 18,39393.0,1067.0,6140.0,14.0,212.0,319.0,522.0,652.0,4875.0,555.0,58.0,2633.0,31.0,115.0,27.0,469.0,1836.0,517.0,13.0,695.0,3213.0,4.0,129.0,239.0,2271.0,0.0,7282.0,24.0,10921.0,0.0,1767.0,427.0,5700831.0
,Total all ages,252142.0,8023.0,29429.0,203.0,900.0,1447.0,5473.0,2652.0,25214.0,1368.0,195.0,17314.0,920.0,2669.0,325.0,1474.0,6206.0,3449.0,451.0,1928.0,30781.0,37.0,2493.0,23541.0,12228.0,0.0,32743.0,809.0,75555.0,0.0,1767.0,,
WYOMING,Under 18,3046.0,35.0,449.0,0.0,6.0,3.0,26.0,26.0,379.0,34.0,10.0,417.0,1.0,3.0,5.0,15.0,150.0,31.0,0.0,11.0,501.0,0.0,6.0,28.0,416.0,16.0,106.0,0.0,761.0,5.0,90.0,53.0,543983.0
,Total all ages,27914.0,612.0,2374.0,9.0,43.0,31.0,529.0,215.0,1990.0,130.0,39.0,1996.0,49.0,158.0,18.0,94.0,492.0,78.0,48.0,107.0,4612.0,0.0,344.0,3253.0,1980.0,2412.0,810.0,36.0,8345.0,6.0,90.0,,
1 Does not include traffic arrests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Violent crimes in this table are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Drunkenness is not considered a crime in some states; therefore, the figures vary widely from state to state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Includes arrests reported by the District of Columbia Fire and Emergency Medical Services: Arson Investigation Unit and the Metro Transit Police. These agencies have no population associated with them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 See 2017 arrest data information in the data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 The Florida arrest counts for offenses against the family and children, drunkenness, disorderly conduct, vagrancy, suspicion, and curfew and loitering law violations are included under the category All other offenses (except for the data submitted by two Bureau of Indian Affairs agencies that provided data using those specific breakdowns).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Because the number of agencies submitting arrest data varies from year to year, users are cautioned about making direct comparisons between 2017 arrest totals and those published in previous years' editions of Crime in the United States. Further, arrest figures may vary widely from state to state because some Part II crimes are not considered crimes in some states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
