id	resource - creators - creator - creatorName	resource - creators - creator - affiliation	resource - creators - creator - nameIdentifier	resource - relatedIdentifiers - relatedIdentifier	resource - relatedIdentifiers - relatedIdentifier - relationType	resource - relatedIdentifiers - relatedIdentifier - relatedIdentifierType	resource - relatedIdentifiers - relatedIdentifier - resourceTypeGeneral	resource - subjects - subject	resource - rightsList - rights	resource - rightsList - rights - rightsURI	resource - descriptions - description	resource - descriptions - description - descriptionType	resource - dates - date	resource - dates - date - dateType	resource - titles - title	resource - publisher	resource - identifier	resource - identifier - identifierType	resource - resourceType - resourceTypeGeneral	resource - resourceType	resource - publicationYear	resource - version	resource - language	resource - contributors	resource - contributors - contributor	resource - contributors - contributor - contributorType	resource - contributors - contributor - contributorName	resource - contributors - contributor - givenName	resource - contributors - contributor - familyName	resource - contributors - contributor - affiliation	resource - contributors - contributor - nameIdentifier	resource - contributors - contributor - nameIdentifier - schemeURI	resource - contributors - contributor - nameIdentifier - nameIdentifierScheme
10.5281_zenodo.3385665	Dürkop, Axel	tub.	0000-0002-8154-8988	10.5281/zenodo.3385664	IsVersionOf	DOI		Open Science	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Das Poster visualisiert den angestrebten kulturellen Wanden an der TU Hamburg ausgehend von der <a href=""https://www.tuhh.de/tuhh/uni/informationen/ordnungen-richtlinien/open-policy.html"">Policy f&uuml;r Offenheit in Forschung und Lehre</a>, die der Akademische Senat am 26.09.2019 verabschiedet hat.</p>

<p>Oben zeigt das Poster zun&auml;chst die geteilten Wertvorstellungen, unter denen Open Science und Open Education an der TU Hamburg verstanden werden. Im mittleren Bereich sind verschiedene Instrumente gelistet, durch die der kulturelle Wandel hin zu Offenheit in Forschung und Lehre unterst&uuml;tzt und gef&ouml;rdert wird.</p>

<p>Den Abschluss schlie&szlig;lich bilden vier beispielhafte offene Produkte aus den beiden Diskursen Open Science und Open Education, zu deren Entwicklung und Ver&ouml;ffentlichung die Policy f&uuml;r Offenheit in Forschung und Lehre motivieren will.</p>"	Abstract	2019-10-21	Issued	Offene Lehre und Forschung an der TU Hamburg | Den kulturellen Wandel gestalten	Zenodo	10.5281/zenodo.3385665	DOI	Text	Poster	2019	1.0	de										
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL		Open Education	Open Access	info:eu-repo/semantics/openAccess	Wir danken Jan Dittbrenner für die Unterstützung bei der visuellen Umsetzung des Posters.	Other																					
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Open Access																									
								Open Data																									
								Policy																									
								Kultureller Wandel																									
	Feldsien-Sudhaus, Inken	tub.	0000-0002-9767-3257					OER																									
								Open-Source-Software																									
	Hapke, Thomas	tub.	0000-0002-5135-2693																														
	Rajski, Beate	tub.	0000-0002-0555-2280																														
10.5281_zenodo.3267474	Dürkop, Axel	Technische Universität Hamburg	0000-0002-8154-8988	10.5281/zenodo.3267473	IsVersionOf	DOI		Offenheit	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>TU Hamburg (TUHH) und Staats- und Universit&auml;tsbibliothek Hamburg (SUB) entwickeln gemeinsam Workflows f&uuml;r das kollaborative Schreiben und wissenschaftliche Publizieren in digitalen Zeiten unter Open Access.</p>

<p>Dabei stehen die beiden Tools <strong>GitLab</strong> und <strong>Open Journal Systems (OJS)</strong> im Zentrum, unterst&uuml;tzt von <strong>Hypothesis</strong> und <strong>pandoc-scholar</strong>.</p>

<p>Mehr Informationen im Projektblog (de/en): <a href=""https://oa-pub.hos.tuhh.de/"">https://oa-pub.hos.tuhh.de/</a></p>

<p>&nbsp;</p>"	Abstract	2019-09-30	Issued	Offenheit leben: Kollaboratives Schreiben und Publizieren unter Berücksichtigung der Werte von Open Science	Zenodo	10.5281/zenodo.3267474	DOI	Text	Poster	2019	1.0	de										
				https://zenodo.org/communities/hamburgopenscience	IsPartOf	URL		Kollaboration	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/oat2019	IsPartOf	URL		Open Science																									
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Open Access																									
								Publizieren																									
	Hagen, Florian	Technische Universität Hamburg	0000-0002-3256-2564																														
	Meinecke, Isabella	Staats- und Universitätsbibliothek Hamburg	0000-0001-8337-3619																														
10.5281_zenodo.1464869	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693	10.5281/zenodo.1464868	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Plakat zur Geschichte der Offenheit von Wissen: Von den Philosophical Transactions zu Open Educational Resources.</p>	Abstract	2018-10-17	Issued	Zur Geschichte der Offenheit von Wissen: Von den Philosophical Transactions zu Open Educational Resources	Zenodo	10.5281/zenodo.1464869	DOI	Text	Poster	2018		de										
				https://zenodo.org/communities/oaweek2018-tuhh	IsPartOf	URL		open knowledge	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL																											
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Bieler, Detlev	Technische Universität Hamburg	0000-0001-6503-9633																														
10.5281_zenodo.1466851	Hagen, Florian	Technische Universität Hamburg	0000-0002-3256-2564	10.5281/zenodo.1466850	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Plakat zum HOOU-Projekt &quot;Wissenschaftliches Arbeiten &ouml;ffnen&quot;. Das Projekt verfolgt die Neukonzeption eines Bachelor-Seminars sowie die Erstellung von Open Educational Resources (OER) zum Thema.</p>

<p>&nbsp;</p>"	Abstract	2018-10-19	Issued	Wissenschaftliches Arbeiten öffnen	Zenodo	10.5281/zenodo.1466851	DOI	Text	Poster	2018		de										
				https://zenodo.org/communities/oaweek2018-tuhh	IsPartOf	URL		#OAWeek2018	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		OER																									
								HOOU																									
								Hamburg Open Online University																									
10.5281_zenodo.1464880	Bieler, Detlev	Technische Universität Hamburg	0000-0001-6503-9633	10.5281/zenodo.1464879	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Plakat zu den Services der Bibliothek der TU Hamburg, die f&uuml;r openTUHH relevant sind. Das Plakat wurde anl&auml;&szlig;lich der Open Access Week 2018 und der Verabschiedung der <a href=""https://www.tuhh.de/tuhh/uni/informationen/ordnungen-richtlinien/open-policy.html"">Policy f&uuml;r Offenheit in Forschung und Lehre</a> der TU Hamburg erstellt. Die Inhalte von openTUHH finden sich in der Policy.</p>"	Abstract	2018-10-17	Issued	openTUHH: Services der Bibliothek	Zenodo	10.5281/zenodo.1464880	DOI	Text	Poster	2018		de										
				https://zenodo.org/communities/oaweek2018-tuhh	IsPartOf	URL		#OAWeek2018	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL		TU Hamburg																									
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Bibliothek																									
								Open Science																									
								Open Education																									
	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693					openTUHH																									
	Rajski, Beate	Technische Universität Hamburg	0000-0002-0555-2280																														
10.5281_zenodo.1243648	Mark Busch	Institute of Materials Physics and Technology, Hamburg University of Technology, 21073 Hamburg, Germany		10.1039/C7NR07273B	IsSupplementTo	DOI			Restricted Access	info:eu-repo/semantics/restrictedAccess	<p>The orientational and translational order of a thermotropic ferroelectric liquid crystal (2MBOCBC) imbibed in self-organized, parallel, cylindrical pores with radii of 10, 15, or 20 nm in anodic aluminium oxide monoliths (AAO) are explored by high-resolution linear and circular optical birefringence as well as neutron diffraction texture analysis. The results are compared to experiments on the bulk system. The native oxidic pore walls do not provide a stable smectogen wall anchoring. By contrast, a polymeric wall grafting enforcing planar molecular anchoring results in a thermal-history independent formation of smectic C* helices and a reversible chevron-like layer buckling. An enhancement of the optical rotatory power by up to one order of magnitude of the confined compared to the bulk liquid crystal is traced to the pretransitional formation of helical structures at the smectic-A*-to-smectic-C* transformation. A linear electro-optical birefringence effect evidences collective fluctuations in the molecular tilt vector direction along the confined helical superstructures, <em>i.e.</em> the Goldstone phason excitations typical of the para-to-ferroelectric transition. Their relaxation frequencies increase with the square of the inverse pore radii as characteristic of plane-wave excitations and are two orders of magnitude larger than in the bulk, evidencing an exceptionally fast electro-optical functionality of the liquid-crystalline-AAO nanohybrids.</p>	Abstract	2018-05-08	Issued	A ferroelectric liquid crystal confined in cylindrical nanopores: reversible smectic layer buckling, enhanced light rotation and extremely fast electro-optically active Goldstone excitations	Zenodo	10.5281/zenodo.1243648	DOI	Dataset		2018												
				10.5281/zenodo.1243647	IsVersionOf	DOI																											
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Andriy V. Kityk	Faculty of Electrical Engineering, Czestochowa University of Technology, 42-200 Czestochowa, Poland																															
	Wiktor Piecek	Military University of Technology, 00-908 Warsaw, Poland																															
	Tommy Hofmann	Helmholtz-Zentrum Berlin für Materialien und Energie, 14109 Berlin, Germany																															
	Sylwia Całus	Faculty of Electrical Engineering, Czestochowa University of Technology, 42-200 Czestochowa, Poland																															
	Przemysław Kula	Military University of Technology, 00-908 Warsaw, Poland																															
	Martin Steinhart	Institute for the Chemistry of New Materials, University Osnabrück, 49067 Osnabrück, Germany																															
	Manfred Eich	Institute of Optical and Electronic Materials, Hamburg University of Technology, 21073 Hamburg, Germany																															
	Patrick Huber	Institute of Materials Physics and Technology, Hamburg University of Technology, 21073 Hamburg, Germany																															
10.5281_zenodo.3691880	Sebastian Lindner	Hamburg University of Technology	0000-0002-5694-9675	https://github.com/ComNetsHH/sfg-paper-models/tree/v1.0	IsSupplementTo	URL			GNU General Public License v3.0 or later	https://opensource.org/licenses/GPL-3.0	<p>This code was used to generate the figures in the paper Analytic study of packet delay from 4G and 5G system ARQs using Signal Flow Graphs, published in VTC2020-Spring.</p>	Abstract	2020-02-28	Issued	ComNetsHH/sfg-paper-models: paper_publication	Zenodo	10.5281/zenodo.3691880	DOI	Software		2020	v1.0											
				10.5281/zenodo.3691879	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.3971740	Sebastian Lindner	@ComNetsHH	0000-0002-5694-9675	https://github.com/ComNetsHH/itc32-publication-code-release/tree/1.0	IsSupplementTo	URL			GNU General Public License v3.0 or later	https://opensource.org/licenses/GPL-3.0	<p>This release will be referenced in the publication.</p>	Abstract	2020-08-04	Issued	ComNetsHH/itc32-publication-code-release: Publication release	Zenodo	10.5281/zenodo.3971740	DOI	Software		2020	1.0											
				10.5281/zenodo.3971739	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.3368259	Oliver Goldschmidt	TUHH	0000-0002-5468-401X	https://github.com/tubhh/DSpace/tree/tor-1.1	IsSupplementTo	URL			Open Access	info:eu-repo/semantics/openAccess	"<p>Release of TOR (TUHH Open Research Prototype) version 1.1.</p>

<p>The new version provides many bugfixes and improves exposing data via OAI-PMH for OpenAire and other relevant targets (e.g. DNB).</p>"	Abstract	2019-08-14	Issued	tubhh/DSpace: TUHH Open Research Prototype 1.1	Zenodo	10.5281/zenodo.3368259	DOI	Software		2019	tor-1.1											
				10.5281/zenodo.2536831	IsVersionOf	DOI																											
				https://zenodo.org/communities/hamburgopenscience	IsPartOf	URL																											
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Andrea Bollini	@4Science																															
	Pascal-Nicolas Becker	The Library Code	0000-0003-2169-1261																														
	Luigi Andrea Pascarelli	@4Science																															
	Francesco Pio Scognamiglio	@4Science																															
	Kim Shepherd																																
10.5281_zenodo.2536832	Oliver Goldschmidt	TUHH	0000-0002-5468-401X	https://github.com/tubhh/DSpace/tree/tor-1.01	IsSupplementTo	URL		DSpace CRIS	Open Access	info:eu-repo/semantics/openAccess	<p>First release of the prototype of the TUHH in context of the Hamburg Open Science program (HOS). This prototype is based on DSpace CRIS 5.10 and includes customizations to code, metadata schemas and entity structures.</p>	Abstract	2019-01-10	Issued	tubhh/DSpace: TUHH Open Research Prototype	Zenodo	10.5281/zenodo.2536832	DOI	Software		2019	tor-1.01											
				10.5281/zenodo.2536831	IsVersionOf	DOI		Repositorysoftware			Hamburg Open Science	Other																					
				https://zenodo.org/communities/hamburgopenscience	IsPartOf	URL																											
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Andrea Bollini	@4Science																															
	Luigi Andrea Pascarelli	@4Science																															
	Pascal-Nicolas Becker	The Library Code																															
	Tim Donohue	@duraspace																															
10.5281_zenodo.4271121	Stender, Merten	Hamburg University of Technology	0000-0002-0888-8206	https://github.com/TUHH-DYN/ExplainableML_acoustics/tree/v2.0.0	IsSupplementTo	URL		acoustics	Apache License 2.0	https://opensource.org/licenses/Apache-2.0	"<p>We share the code along our latest paper &#39;Explainable machine learning determines effects on the sound absorption coefficient measured in the impedance tube&#39; submitted to <strong>The Journal of the Acoustical Society of America (Special Issue on Machine Learning)</strong> in 2020.</p>

<p>Please find the special issue here: <a href=""https://asa.scitation.org/jas/info/specialissues/cfp_110120"">https://asa.scitation.org/jas/info/specialissues/cfp_110120</a></p>

<p>We will link the paper as soon as it is published.</p>"	Abstract	2020-11-13	Issued	Code: Explainable machine learning determines effects on the sound absorption coefficient measured in the impedance tube	Zenodo	10.5281/zenodo.4271121	DOI	Software		2020	v2.0.0											
				10.5281/zenodo.4271120	IsVersionOf	DOI		explainable machine learning	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		explainable AI																									
								Shapley values																									
	Adams, Christian	Technical University of Darmstadt	0000-0002-7307-8744																														
	Wedler, Mathies	Hamburg University of Technology																															
	Grebel, Antje	Technical University of Darmstadt																															
	Hoffmann, Norbert	Hamburg University of Technology	0000-0003-2074-3170																														
10.5281_zenodo.4467987	Zobel, Dominik		0000-0001-9352-8354	https://github.com/d-zo/abapys/tree/v0.6.5	IsSupplementTo	URL			GNU General Public License v3.0 or later	https://opensource.org/licenses/GPL-3.0	<p>abapys is a collection of special purpose Python functions for creating parametrized models or postprocessing simulation results with the commercial Finite-Element-Analysis software Abaqus. It is centered around model creation and output processing for simulations of soil samples and soil-structure interaction.</p>	Abstract	2021-01-26	Issued	d-zo/abapys v0.6.5	Zenodo	10.5281/zenodo.4467987	DOI	Software		2021	v0.6.5	en										
				10.5281/zenodo.4467986	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.4302405	Würger, Tim		0000-0003-0346-0371	https://github.com/koerper/ExChem/tree/v1.0	IsSupplementTo	URL		Magnesium	GNU General Public License v2.0 or later	https://opensource.org/licenses/GPL-2.0	<p>Initial release of the code behind the webapp <em>ExChem</em> - written in Python using dash plotly.</p>	Abstract	2020-12-03	Issued	ExChem - Explore the Chemical Space	Zenodo	10.5281/zenodo.4302405	DOI	Software		2020	v1.0	en										
				10.5281/zenodo.4302404	IsVersionOf	DOI		Degradation Modulators	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Quantitative Structure-Property Relationships																									
								Kernel Ridge Regression																									
								SOAP																									
	Mei, Di		0000-0002-1327-4217					Dimensionality Reduction																									
								In silico Discovery																									
	Vaghefinazari, Bahram		0000-0001-5035-6476																														
	Winkler, David A.		0000-0002-7301-6076																														
	Lamaka, Sviatlana V.		0000-0002-0349-0899																														
	Zheludkevich, Mikhail L.		0000-0002-9658-9619																														
	Meißner, Robert H.		0000-0003-1926-114X																														
	Feiler, Christian		0000-0003-4312-7629																														
10.5281_zenodo.4467985	Zobel, Dominik		0000-0001-9352-8354	https://github.com/d-zo/SimpleScriptGenerator/tree/v0.3.1	IsSupplementTo	URL			GNU General Public License v3.0 or later	https://opensource.org/licenses/GPL-3.0	<p>Graphical Frontend to interactively create scripts based on modifiable code templates.</p>	Abstract	2021-01-26	Issued	d-zo/SimpleScriptGenerator v0.3.1	Zenodo	10.5281/zenodo.4467985	DOI	Software		2021	v0.3.1	en										
				10.5281/zenodo.4467984	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.4467991	Zobel, Dominik		0000-0001-9352-8354	https://github.com/d-zo/miniSoilLAB/tree/v0.5.6	IsSupplementTo	URL			GNU General Public License v3.0 or later	https://opensource.org/licenses/GPL-3.0	<p>miniSoilLAB is a graphical frontend for viewing and managing results of selected geotechnical experiments for soil identification and (hypoplastic/viscohypoplastic) parameter determination. It includes a simple parser for selected oedometric and triaxial raw data formats as well as a template system to read results from spreadsheets (.xlsx-files).</p>	Abstract	2021-01-26	Issued	d-zo/miniSoilLAB v0.5.6	Zenodo	10.5281/zenodo.4467991	DOI	Software		2021	v0.5.6	en										
				10.5281/zenodo.4467990	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.4473251	Kastner, Marvin	Hamburg University of Technology	0000-0001-8289-2943	10.5281/zenodo.4473250	IsVersionOf	DOI		Simulation-based Optimization	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>At container terminals, many cargo handling processes are interconnected and occur in parallel. Within short time windows, many operational decisions need to be made and should consider both time efficiency and equipment utilization. During operation, many sources of disturbance and, thus, uncertainty exist. For these reasons, perfectly coordinated processes can potentially unravel. This study analyzes simulation-based optimization, an approach that considers uncertainty by means of simulation while optimizing a given objective. The developed procedure simultaneously scales the amount of utilized equipment and adjusts the selection and tuning of operational policies. Thus, the benefits of a simulation study and an integrated optimization framework are combined in a new way. Four meta-heuristics - Tree-structured Parzen Estimator, Bayesian Optimization, Simulated Annealing, and Random Search - guide the simulation-based optimization process. Thus, this study aims to determine a favorable configuration of equipment quantity and operational policies for container terminals using a small number of experiments and, simultaneously, to empirically compare the chosen meta-heuristics including the reproducibility of the optimization runs. The results show that simulation-based optimization is suitable for identifying the amount of required equipment and well-performing policies. Among the presented scenarios, no clear ranking between meta-heuristics regarding the solution quality exists. The approximated optima suggest that pooling yard trucks and a yard block assignment that is close to the quay crane are preferable.</p>

<p>The dataset is stored in the Excel file named <em>Integrated Simulation-Based Optimization of Operational Decisions at Container Terminals - Dataset.xlsx</em>.This contains the data to create the figures and the data to run the statistics. The data analysis is stored in the Jupyter Notebook named<em> Integrated Simulation-Based Optimization of Operational Decisions at Container Terminals - Data Analysis.ipynb</em>. This contains tje code to create the figures and the data to run the statistics.</p>"	Abstract	2021-01-27	Issued	Integrated Simulation-Based Optimization of Operational Decisions at Container Terminals - Dataset	Zenodo	10.5281/zenodo.4473251	DOI	Dataset		2021		en										
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Container Terminal	Open Access	info:eu-repo/semantics/openAccess																							
								Simulation																									
								Meta-heuristic																									
								Horizontal Transportation																									
								Hyper-parameter Optimization																									
	Nellen, Nicole	Hamburg University of Technology	0000-0002-3911-1811																														
	Schwientek, Anne	Hamburg University of Technology	0000-0002-2220-0420																														
	Jahn, Carlos	Hamburg University of Technology	0000-0002-5409-0748																														
10.5281_zenodo.3935989	Merten Stender	Hamburg University of Technology	0000-0002-0888-8206	https://github.com/TUHH-DYN/bSTAB/tree/v1.0	IsSupplementTo	URL		nonlinear dynamics	GNU Affero General Public License v3.0	https://opensource.org/licenses/AGPL-3.0	"<p>First release including two canonical dynamical systems (driven damped pendulum, multi-stable Duffing oscillator).</p>

<p>Functionalities:</p>

<ul>
<li>BS (basin stability) computation for one fixed model parameter configuration</li>
<li>BS hyperparameter studies, e.g. the number of Monte Carlo sampling points</li>
<li>BS parameter studies varying a model parameter in the sense of bifurcation analysis</li>
</ul>"	Abstract	2020-07-08	Issued	bSTAB	Zenodo	10.5281/zenodo.3935989	DOI	Software		2020	v1.0											
				10.5281/zenodo.3935988	IsVersionOf	DOI		multistability	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Norbert Hoffmann	Hamburg University of Technology	0000-0003-2074-3170																														
10.5281_zenodo.4458095	TUHH-DYN			https://github.com/TUHH-DYN/bSTAB/tree/v2.0	IsSupplementTo	URL			Open Access	info:eu-repo/semantics/openAccess	"<ul>
<li>Latest version of all utilities</li>
<li>Several bug fixes for parallel computing</li>
<li>4 tutorial test cases
-first version of a user manual</li>
</ul>"	Abstract	2021-01-22	Issued	TUHH-DYN/bSTAB: Full package for replication of cases shown in the Nonlinear Dynamics Paper	Zenodo	10.5281/zenodo.4458095	DOI	Software		2021	v2.0											
				10.5281/zenodo.3935988	IsVersionOf	DOI																											
	mertstend			https://zenodo.org/communities/tuhh	IsPartOf	URL																											
10.5281_zenodo.33290	Hapke, Thomas	Universitätsbibliothek der TUHH	0000-0002-5135-2693	https://zenodo.org/communities/tuhh	IsPartOf	URL		Nacht des Wissens	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Die Posterserie zum Thema Offenheit wurde von der Universit&auml;tsbibliothek der Technischen Universit&auml;t Hamburg f&uuml;r die Nacht des Wissens am 7. November 2015 erstellt. Sie enth&auml;lt die Poster</p>

<ol>
<li>Offenheit vonWissen</li>
<li>Open Access</li>
<li>Open Access Publizieren</li>
<li>Offene Inhalte - Creative Commons Lizenzen</li>
<li>TUBdok: Open Access Repository der TUHH</li>
<li>Offene Bildung - Open Educational Resources</li>
<li>Zur Geschichte der Offenheit des Wissens<br>
&nbsp;</li>
</ol>"	Abstract	2015-11-05	Issued	Offenheit: Poster zur Nacht des Wissens Hamburg 2015	Zenodo	10.5281/zenodo.33290	DOI	Text	Poster	2015												
								TUHH	Open Access	info:eu-repo/semantics/openAccess																							
								#nwdhh15																									
								Offenheit																									
								Openness																									
								Open Access																									
	Rajski, Beate	Universitätsbibliothek der TUHH	0000-0002-0555-2280					Open Educational Resources																									
	Bieler, Detlev	Universitätsbibliothek der TUHH	0000-0001-6503-9633																														
10.5281_zenodo.3514633	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693	10.5281/zenodo.1464859	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Poster zu Offene Bildung + Open Educational Resources. &Uuml;berblick und Materialien.</p>	Abstract	2019-10-21	Issued	Offene Bildung - Open Educational Resources	Zenodo	10.5281/zenodo.3514633	DOI	Text	Poster	2019		de										
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL		#OAWeek2019	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		OER																									
								HOOU																									
								Hamburg Open Online University																									
	Rajski, Beate	Technische Universität Hamburg	0000-0002-0555-2280																														
	Bieler, Detlev	Technische Universität Hamburg	0000-0001-6503-9633																														
10.5281_zenodo.3554935	Griese, Florian	Section for Biomedical Imaging, University Medical Center Hamburg-Eppendorf, Hamburg, Germany	0000-0003-3309-9783	10.5281/zenodo.3554934	IsVersionOf	DOI		Magnetic Particle Imaging, Intravascular optical coherence tomography	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>This dataset contains Magnetic Particle Imaging and Intravascular optical coherence tomography data for the profiles</p>

<ul>
<li>Standard Profile (3x)</li>
<li>Bending Profile (3x)</li>
<li>Heart Beat Profile (3x)</li>
</ul>

<p>used in the publication &quot;In-Vitro MPI-Guided IVOCT Catheter Tracking in Real Time for Motion Artifact Compensation&quot;.</p>"	Abstract	2019-11-27	Issued	"Datsets for Publication ""In-Vitro MPI-Guided IVOCT Catheter Tracking in Real Time for Motion Artifact Compensation"""	Zenodo	10.5281/zenodo.3554935	DOI	Dataset		2019	1.0.0	en										
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
	Latus, Sarah	Institute of Medical Technology, Hamburg University of Technology, Hamburg, Germany																															
	Schlüter, Matthias	Institute of Medical Technology, Hamburg University of Technology, Hamburg, Germany																															
	Graeser, Matthias	Section for Biomedical Imaging, University Medical Center Hamburg-Eppendorf, Hamburg, Germany	0000-0003-1472-5988																														
	Lutz, Matthias	Department of Internal Medicine, University Medical Center Schleswig-Holstein, Kiel, Germany																															
	Schlaefer, Alexander	Institute of Medical Technology, Hamburg University of Technology, Hamburg, Germany																															
	Knopp, Tobias	Section for Biomedical Imaging, University Medical Center Hamburg-Eppendorf, Hamburg, Germany	0000-0002-1589-8517																														
10.5281_zenodo.1464839	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693	10.5281/zenodo.1464838	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Poster zu tub.dok: Open Access Repository der TU Hamburg</p>	Abstract	2018-10-17	Issued	Open Access Repository der TUHH: tub.dok	Zenodo	10.5281/zenodo.1464839	DOI	Text	Poster	2018		de										
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL		#OAWeek2018	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		open access																									
								repository																									
	Rajski, Beate	Technische Universität Hamburg	0000-0002-0555-2280																														
	Bieler, Detlev	Technische Universität Hamburg	0000-0001-6503-9633																														
10.5281_zenodo.1464827	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693	10.5281/zenodo.1464826	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Plakat zu offenen Inhalten mit Creative Commons Lizenzen</p>	Abstract	2018-10-17	Issued	Offene Inhalte - Creative Commons Lizenzen	Zenodo	10.5281/zenodo.1464827	DOI	Text	Poster	2018		de										
				https://zenodo.org/communities/oaweek2018-tuhh	IsPartOf	URL		#OAWeek2018	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Creative Commons																									
	Rajski, Beate	Technische Universität Hamburg	0000-0002-0555-2280																														
	Bieler, Detlev	Technische Universität Hamburg	0000-0001-6503-9633																														
10.5281_zenodo.3514604	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693	10.5281/zenodo.1464777	IsVersionOf	DOI		#OAWeek	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Poster zur Offenheit von Wissen: Eine globale digitale Welt, die an Nachhaltigkeit orientiert ist, ist immer mehr auf Offenheit angewiesen. Diese umfasst u.a. den kostenfreien und &ouml;ffentlichen Zugang zu Literatur und anderen Materialien im Netz -&gt; Open Access, zu Lern- und Lehrmaterialien -&gt; Open Educational Resources sowie zu Datenbest&auml;nden jedweder Art -&gt; Open Data: Dieser Zugang wird durch eine offene technische Infrastruktur, z.B. -&gt; Open Source Software unter Nutzung offener Standards, sichergestellt, die auch offene Entwicklungsprozesse erm&ouml;glicht -&gt; Open Development, Open Peer Review, Open Research,&hellip; .</p>

<p>&nbsp;</p>"	Abstract	2019-10-17	Issued	Offenheit von Wissen	Zenodo	10.5281/zenodo.3514604	DOI	Text	Poster	2019		de										
				https://zenodo.org/communities/oaweek2019-tuhh	IsPartOf	URL		#OAWeek2018	Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL		Open Knowledge																									
