Title,Authors,DOI,URL,Date,Language,Subjects,ISSNs,Publisher,Citation,Licence
"Crystal structure of 4-phenyl-1-{2-[(2,4,6-trimethylphenyl)selanyl]phenyl}-1H-1,2,3-triazole",Leandro R. S. Camargo|Julio Zukerman-Schpector|Anna M. Deobald|Antonio L. Braga|Edward R. T. Tiekink,10.1107/S2056989015003229,https://doaj.org/article/85220518958a47e4bac1b446bbe6bbaf,01/03/2015,EN,crystal structure|organoselenium|hydrogen bonding|Se...N halogen bonding|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 3, Pp o204-o205 (2015)",CC BY
"Crystal structure of 4α-hydroxy-5α,8β(H)-eudesm-7(11)-en-8,12-olide monohydrate",Qiang-Qiang Lu|Xin-Wei Shi|Xing-Ke Yang,10.1107/S2056989015011251,https://doaj.org/article/a1be5daff7404caa8d29da0f2d7994b3,01/07/2015,EN,crystal structure|eudesmane sesquiterpenoid|hydrogen bonds|Chloranthus japonicus|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp o518-o518 (2015)",CC BY
"Crystal structure of 6,7-dichloro-4-oxo-4H-chromene-3-carbaldehyde",Yoshinobu Ishikawa,10.1107/S2056989015014644,https://doaj.org/article/939ef6081e1c4c3e8bc8f7477c25aea2,01/09/2015,EN,crystal structure|chromone|hydrogen bonding|halogen–halogen contact|stacking interaction|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o652-o653 (2015)",CC BY
Crystal structure of Boc-(S)-ABOC-(S)-Ala-(S)-ABOC-(S)-Phe-OBn chloroform monosolvate,Emmanuel Wenger|Laure Moulat|Baptiste Legrand|Muriel Amblard|Monique Calmès|Claude Didierjean,10.1107/S2056989015016941,https://doaj.org/article/28af0f43531f4409b6019398fcbee0af,01/10/2015,EN,"crystal structure|α,β-hybrid peptide|(S)-1-aminobicyclo[2.2.2]octane-2-carboxylic acid|(S)-ABOC|(S)-Ala|(S)-Phe|Boc|OBn|11/9 helix|hydrogen bonding|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 10, Pp 1193-1195 (2015)",CC BY
Crystal structure of N-[(2-hydroxynaphthalen-1-yl)(4-methylphenyl)methyl]acetamide,Sharanbasappa Khanapure|Gajanan Rashinkar|Tarulata Chhowala|Sumati Anthal|Rajni Kant,10.1107/S2056989015004661,https://doaj.org/article/194e93bd9abe42388355288ff1ad718b,01/04/2015,EN,crystal structure|naphthalene|acetamide|π–π interactions|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 4, Pp o235-o235 (2015)",CC BY
Crystal structure of SrGeO3 in the high-pressure perovskite-type phase,Akihiko Nakatsuka|Hiroshi Arima|Osamu Ohtaka|Keiko Fujiwara|Akira Yoshiasa,10.1107/S2056989015007264,https://doaj.org/article/c4699082a240478da8a016c704b13ec1,01/05/2015,EN,crystal structure|strontium germanate|perovskite|high-pressure phase|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp 502-504 (2015)",CC BY
Crystal structure of a polymeric calcium levulinate dihydrate: catena-poly[[diaquacalcium]-bis(μ2-4-oxobutanoato)],Ananda S. Amarasekara|Dominique T. Sterling-Wells|Carlos Ordonez|Marie-Josiane Ohoueu|Marina S. Fonari,10.1107/S2056989015006696,https://doaj.org/article/2172e4aeceb14659891bb1a9ee524d60,01/05/2015,EN,crystal structure|coordination polymer|calcium levulinate dihydrate|levulinic acid|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp 494-497 (2015)",CC BY
"Crystal structure of ammonium (3,5-dichlorophenoxy)acetate hemihydrate",Graham Smith,10.1107/S2056989015016345,https://doaj.org/article/998d629255ea4bd987976ce18d5b6ab0,01/10/2015,EN,"crystal structure|phenoxyacetic acid herbicides|tryptaminium salt|(3,5-dichlorophenoxy)acetic acid|hydrated salt|hydrogen bonding|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 10, Pp o717-o718 (2015)",CC BY
"Crystal structure of aqua[N-(2-oxidobenzyl-κO)-l-leucinato-κ2N,O](1,10-phenanthroline-κ2N,N′)nickel(II) pentahydrate",Md. Serajul Haque Faizi|Natalia O. Sharkina,10.1107/S2056989015001085,https://doaj.org/article/b58e2fe7d24b48b991e43c29e35fe219,01/02/2015,EN,crystal structure|nickel(II) complex|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp 195-198 (2015)",CC BY
"Crystal structure of aquadioxido(2-{[(2-oxidoethyl)imino]methyl}phenolato-κ3O,N,O′)molybdenum(VI)",Sowmianarayanan Parimala|Parasuraman Selvam,10.1107/S2056989015001231,https://doaj.org/article/fad40b077909495ba894fd83f06b22b9,01/02/2015,EN,crystal structure|dioxidomolybdenum(VI) complex|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp m35-m36 (2015)",CC BY
"Crystal structure of bis(2-{[(3-bromopropyl)imino]methyl}phenolato-κ2N,O)copper(II)",Ali Ourari|Chahinaz Zoubeidi|Sofiane Bouacida|Wassila Derafa|Hocine Merazig,10.1107/S2056989015001309,https://doaj.org/article/c80c399ea9f34db4aebdb2fbc93cda3b,01/02/2015,EN,crystal structure|copper(II) complex|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp m33-m34 (2015)",CC BY
Crystal structure of bis(N-methyl-N-phenylamino)trisulfane,George Barany|Matthew J. Henley|Lauren A. Polski|Alayne L. Schroll|Victor G. Young Jr,10.1107/S2056989015011342,https://doaj.org/article/a6c32083b2bf432abf11a3e2d188005f,01/07/2015,EN,crystal structure|trisulfane|organosulfur compounds|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp 836-839 (2015)",CC BY
Crystal structure of bis(cyclohexylammonium) diphenyldioxalatostannate(IV),Modou Sarr|Aminata Diasse-Sarr|Libasse Diop|Laurent Plasseraud|Hélène Cattey,10.1107/S2056989014027716,https://doaj.org/article/f3ad4947832947e5a4d6c6109a05a72c,01/02/2015,EN,crystal structure|organotin(IV) compound|oxalate ligands|cis arrangement|cyclohexylammonium|N—H...O hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp 151-153 (2015)",CC BY
Crystal structure of bis{(Z)-(benzylamino)[(5Z)-2-(benzylimino-κN)-5-(2-methoxy-2-oxoethylidene)-4-oxothiolan-3-ylidene]methanethiolato-κS}copper(II),Konstantin Obydennov|Liliya Khamidullina|Pavel Slepukhin|Yury Morzherin,10.1107/S2056989015005022,https://doaj.org/article/88b2fca5a09c46d9a2916d498d2dffad,01/04/2015,EN,crystal structure|copper(II) complex|thioamide|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 4, Pp m93-m94 (2015)",CC BY
"Crystal structure of bis{2-[amino(iminiumyl)methyl]-1,1-dimethylguanidine} carbonate methanol disolvate",Jinlong Dong|Bin Liu|Binsheng Yang,10.1107/S2056989015016771,https://doaj.org/article/82bb945bf57942f7b9cac8669156a9d6,01/10/2015,EN,crystal structure|metformin|sodium carbonate|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 10, Pp o747-o748 (2015)",CC BY
"Crystal structure of catena-poly[[aquabis(4-formylbenzoato)-κ2O1,O1′;κO1-zinc]-μ-pyrazine-κ2N:N′]",Gülçin Şefiye Aşkın|Fatih Çelik|Nefise Dilek|Hacali Necefoğlu|Tuncer Hökelek,10.1107/S2056989015005472,https://doaj.org/article/20267e856dd146fe8b8f9c347af61ae4,01/04/2015,EN,crystal structure|zinc|transition metal complexes of benzoic acid derivatives|hydrogen bonding|π–π interactions|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 4, Pp 402-405 (2015)",CC BY
Crystal structure of cis-tetraaquadichloridocobalt(II) sulfolane disolvate,Mhamed Boudraa|Sofiane Bouacida|Hasna Bouchareb|Hocine Merazig|El Hossain Chtoun,10.1107/S2056989014027753,https://doaj.org/article/66f3c43530c74333893664649c2cc2d9,01/02/2015,EN,crystal structure|cobalt(II) complex|sulfolane solvate|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp m16-m17 (2015)",CC BY
Crystal structure of di-μ-isobutyrato-κ4O:O′-bis[cis-dichlorido(dimethyl sulfoxide-κS)rhenium(III)],Alexander A. Golichenko|Alexander V. Shtemenko,10.1107/S2056989015017429,https://doaj.org/article/213067e4b5064ac2bb4ee56fe77fd8c9,01/10/2015,EN,crystal structure|rhenium(III)|cluster|alkylcarboxylate complex|quadruple metal–metal bond|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 10, Pp 1219-1221 (2015)",CC BY
"Crystal structure of dimethyl 9H-carbazole-2,7-dicarboxylate",Ryan L. Lehane|James A. Golen|Arnold L. Rheingold|David R. Manke,10.1107/S2056989015017557,https://doaj.org/article/f65a0f5d9d9942a1905d35466925a678,01/10/2015,EN,crystal structure|carbazoles|hydrogen bonding|π–π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 10, Pp o784-o785 (2015)",CC BY
"Crystal structure of ethyl 2-cyano-3-[(1-ethoxyethylidene)amino]-5-(3-methoxyphenyl)-7-methyl-5H-1,3-thiazolo[3,2-a]pyrimidine-6-carboxylate",M. S. Krishnamurthy|Noor Shahina Begum,10.1107/S2056989015005241,https://doaj.org/article/bf842c4b5938495bb48c22a605956bc5,01/04/2015,EN,"crystal structure|pyrimidine|thiazolopyrimidine|thiazolo[3,2-a]pyrimidine|hydrogen bonding|π–π stacking interactions|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 4, Pp o256-o257 (2015)",CC BY
"Crystal structure of ethyl 4-(2-chlorophenyl)-2-methyl-4H-pyrimido[2,1-b][1,3]benzothiazole-3-carboxylate",Balbir Kumar|Manmeet Kour|Satya Paul|Rajni Kant|Vivek K. Gupta,10.1107/S2056989015014905,https://doaj.org/article/36bf445eed9146fa8c0122493e5542c6,01/09/2015,EN,"crystal structure|pyrimido[2,1-b][1,3]benzothiazole|ester|biological activity|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o669-o669 (2015)",CC BY
Crystal structure of natural phaeosphaeride A,Victoria V. Abzianidze|Ekaterina V. Poluektova|Ksenia P. Bolshakova|Taras L. Panikorovskii|Alexander S. Bogachenkov|Alexander O. Berestetskiy,10.1107/S205698901501395X,https://doaj.org/article/3482fe9ffb2d48d1b71b9e38db5bf383,01/08/2015,EN,crystal structure|natural phaeosphaeride A|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 8, Pp o625-o626 (2015)",CC BY
"Crystal structure of poly[(N,N-dimethylacetamide-κO)(μ4-5-methylisophthalato-κ5O:O,O′:O′′:O′′′)manganese(II)]",Lan Jin|Li-Li Zha|San Gao|Shi-Yao Yang|Rong-Bin Huang,10.1107/S2056989014025626,https://doaj.org/article/5ac8b37917a34c32a301d7814b1cd6e8,01/01/2015,EN,"crystal structure|manganese(II) coordination polymer|pcu structure|N,N-dimethylacetamide|5-methylisophthalate|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 1, Pp m1-m2 (2015)",CC BY
Crystal structure of poly[bis(μ-nicotinamide-κ2N1:O)bis(μ-4-nitrobenzoato-κ2O1:O1′)zinc],Gülçin Şefiye Aşkın|Hacali Necefoğlu|Ali Murat Tonbul|Nefise Dilek|Tuncer Hökelek,10.1107/S2056989015006490,https://doaj.org/article/46a40ba85f9540528e84c36918c233c6,01/05/2015,EN,crystal structure|zinc(II) complex|benzoic acid|nicotinamide derivatives|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp 479-482 (2015)",CC BY
Crystal structure of poly[bis(μ2-5-hydroxynicotinato-κ2N:O3)zinc],Wen-Bing Wang|Shan-Shan Xu|Hong-Ji Chen,10.1107/S2056989015000249,https://doaj.org/article/930a2f1b170a4e62a10c0aae13fed34e,01/02/2015,EN,crystal structure|zinc coordination polymer|5-hydroxynicotinate ligand|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp m23-m23 (2015)",CC BY
Crystal structure of ruthenocenecarbonitrile,Frank Strehler|Marcus Korb|Heinrich Lang,10.1107/S205698901500540X,https://doaj.org/article/54ffb23a284a43d19fc2b181efd8a7a6,01/04/2015,EN,crystal structure|ruthenocene|ruthenocenecarbonitrile|sandwich compound|nitrile|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 4, Pp 398-401 (2015)",CC BY
Crystal structure of seleno-l-cystine dihydrochloride,Carl Henrik Görbitz|Vladimir Levchenko|Jevgenijs Semjonovs|Mohamed Yusuf Sharif,10.1107/S205698901501021X,https://doaj.org/article/32c3290697e241938180a2950ba6f260,01/06/2015,EN,crystal structure|L-cystine analogue|Se—Se bridge|cancer therapy|isotypism|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp 726-729 (2015)",CC BY
"Crystal structure of trans-(1,8-dibutyl-1,3,6,8,10,13-hexaazacyclotetradecane-κ4N3,N6,N10,N13)bis(5-methyltetrazolato-κN)nickel(II) from synchrotron data",Dae-Woong Kim|Jong Won Shin|Jin Hong Kim|Dohyun Moon,10.1107/S2056989015000651,https://doaj.org/article/bfc3aeb23d5d4b3e9f344978c5f2de64,01/02/2015,EN,crystal structure|azamacrocyclic ligand|Jahn–Teller distortion|tetrazole derivatives|synchrotron data|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp 173-175 (2015)",CC BY
"Crystal structure of trans-(1,8-dibutyl-1,3,6,8,10,13-hexaazacyclotetradecane-κ4N3,N6,N10,N13)bis(thiocyanato-κN)nickel(II) from synchrotron data",Dae-Woong Kim|Jong Jin Kim|Jong Won Shin|Jin Hong Kim|Dohyun Moon,10.1107/S205698901501110X,https://doaj.org/article/d356944f18dd4d708b68fd63ca43beaf,01/07/2015,EN,crystal structure|azamacrocyclic ligand|Jahn–Teller distortion|sodium thiocyanate|hydrogen bonding|synchrotron data|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp 779-782 (2015)",CC BY
Crystal structure of trans-dichlorido(4-nitroaniline-κN1)(piperidine-κN)platinum(II),Chi Nguyen Thi Thanh|Truong Hoang Van|Thong Pham Van|Ngan Nguyen Bich|Luc Van Meervelt,10.1107/S2056989015009196,https://doaj.org/article/4cef82676302493a83cb12e15f458745,01/06/2015,EN,crystal structure|trans-platinum(II) complexes|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp 644-646 (2015)",CC BY
"Crystal structure of μ-oxido-1,1′κ2O:O-bis{tetra-μ-oxido-1:2κ2O:O;1:3κ2O:O;2:3κ4O:O-tris[1,2,3(η5)-pentamethylcyclopentadienyl]-trianglo-trititanium(IV)}",Adrián Pérez-Redondo|Avelino Martín,10.1107/S2056989015004041,https://doaj.org/article/19f98048e9aa4607adde5d2c19ddd45d,01/04/2015,EN,crystal structure|titanium oxide|pentamethylcyclopentadienyl ligand|organometallic|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 4, Pp m97-m97 (2015)",CC BY
"Crystal structure study of a cobaltoan dolomite from Kolwezi, Democratic Republic of Congo",Natale Perchiazzi,10.1107/S2056989015003126,https://doaj.org/article/3e753a107f954df0b72a85b32473532f,01/03/2015,EN,crystal structure|dolomite|cobaltoan|Kolwezi|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 3, Pp i3-i3 (2015)",CC BY
"Crystal structures of 4-chloropyridine-2-carbonitrile and 6-chloropyridine-2-carbonitrile exhibit different intermolecular π-stacking, C—H...Nnitrile and C—H...Npyridine interactions",Matthew J. Montgomery|Thomas J. O'Connor|Joseph M. Tanski,10.1107/S2056989015011767,https://doaj.org/article/8f71460c12364b6faa87390a4d5ea65e,01/07/2015,EN,crystal structure|chlorocyanopyridine|π-stacking|C—H...N interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp 852-856 (2015)",CC BY
"Crystal structures of N-tert-butyl-3-(4-fluorophenyl)-5-oxo-4-[2-(trifluoromethoxy)phenyl]-2,5-dihydrofuran-2-carboxamide and 4-(2H-1,3-benzodioxol-5-yl)-N-cyclohexyl-5-oxo-3-[4-(trifluoromethyl)phenyl]-2,5-dihydrofuran-2-carboxamide",Sue A. Roberts|Guillermo Martinez-Ariza|Christopher Hulme,10.1107/S2056989015000936,https://doaj.org/article/1a452a4cb1144b68b54baf9860302ed4,01/02/2015,EN,crystal structure|pharmaceuticals|butenolides|N—H...O hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp 199-202 (2015)",CC BY
"Crystal structures of diiodidobis[(1S,5S)-4-mesityl-1,2,8,8-tetramethyl-2,4-diazabicyclo[3.2.1]octan-3-ylidene-κC3]palladium(IV) and dichlorido[(1S,5S)-4-mesityl-1,2,8,8-tetramethyl-2,4-diazabicyclo[3.2.1]octan-3-ylidene-κC3](triphenylphosphane-κP)palladium(IV)",Eduard Rais|Ulrich Flörke|René Wilhelm,10.1107/S2056989015013055,https://doaj.org/article/c585b5bc6e804244a473dcaebffb6b81,01/08/2015,EN,crystal structure|coordination compound|palladium complexes|NHC ligands|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 8, Pp 919-922 (2015)",CC BY
"Crystal structures of five 1-alkyl-4-aryl-1,2,4-triazol-1-ium halide salts",Marites A. Guino-o|Meghan O. Talbot|Michael M. Slitts|Theresa N. Pham|Maya C. Audi|Daron E. Janzen,10.1107/S2056989015009019,https://doaj.org/article/4d0a0d10e1554a268d56b175e2b6812b,01/06/2015,EN,"crystal structure|1,2,4-triazolium salts|C-H...halide interactions|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp 628-635 (2015)",CC BY
"Crystal structures of two 6-(2-hydroxybenzoyl)-5H-thiazolo[3,2-a]pyrimidin-5-ones",Ligia R. Gomes|John Nicolson Low|Fernando Cagide|Fernanda Borges,10.1107/S2056989015011044,https://doaj.org/article/d8710146da9a4a6f8819907f781a5507,01/07/2015,EN,crystal structure|thiazole|conformation|supramolecular structure|hydrogen bonding|π–π stacking interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp 766-771 (2015)",CC BY
Different hydrogen-bonded chains in the crystal structures of three alkyl N-[(E)-1-(2-benzylidene-1-methylhydrazinyl)-3-hydroxy-1-oxopropan-2-yl]carbamates,Thais C. M. Noguiera|Alessandra C. Pinheiro|James L. Wardell|Marcus V. N. de Souza|Jordan P. Abberley|William T. A. Harrison,10.1107/S2056989015010440,https://doaj.org/article/02715f91529f43bc9cc2abe1089e88dd,01/07/2015,EN,Carbohydrazide|methylation|hydrogen bonds|chain|crystal structure|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp 752-756 (2015)",CC BY
"La fracturation et les bandes de déformation dans la région d’El Kohol (Atlas saharien central, Algérie): analyse fractale, lois d’échelles et modèle de réseaux de fractures discrètes","Zazoun, R. S.|Marok, A.|Samar, L.|Benadla, M.|Mezlah, H.",10.3989/egeol.42011.359,https://doaj.org/article/af40f5ea8cf240c8a6e1eb478541751c,01/12/2015,FR,Saharan Atlas| El Kohol| Fracturation| Network| Fractal analysis| Mecanostratigraphy| Stochastic modeling|Atlas Saharien|El Kohol|Fracturation|Réseau|Analyse fractale|Mécanostratigraphie|Modélisation stochastique|Geology|QE1-996.5,0367-0449|1988-3250,Consejo Superior de Investigaciones Científicas,"Estudios Geologicos, Vol 71, Iss 2, p e039 (2015)",CC BY-NC
Low Levels of Awareness of Lead Hazards among Pregnant Women in a High Risk—Johannesburg Neighbourhood,Tanya Haman|Angela Mathee|Andre Swart,10.3390/ijerph121214968,https://doaj.org/article/6f78ba86cc2c4367b8c4fe040bc7560a,01/11/2015,English,pregnant women|lead exposure|children|low awareness|Public aspects of medicine|RA1-1270|Medicine|R,1660-4601,MDPI AG,"International Journal of Environmental Research and Public Health, Vol 12, Iss 12, Pp 15022-15027 (2015)",CC BY
Mapping Rice Seasonality in the Mekong Delta with Multi-Year Envisat ASAR WSM Data,Duy Ba Nguyen|Kersten Clauss|Senmao Cao|Vahid Naeimi|Claudia Kuenzer|Wolfgang Wagner,10.3390/rs71215808,https://doaj.org/article/df9960ef383a469c83427c3f51e46224,01/11/2015,English,Envisat|ASAR|WSM|SAR|radar|paddy rice|rice mapping|time series|Mekong Delta|Vietnam|Geography (General)|G1-922|Geography. Anthropology. Recreation|G,2072-4292,MDPI AG,"Remote Sensing, Vol 7, Iss 12, Pp 15868-15893 (2015)",CC BY
Molecular and crystal structure of gossypol tetramethyl ether with an unknown solvate,Muhabbat Honkeldieva|Samat Talipov|Rustam Mardanov|Bakhtiyar Ibragimov,10.1107/S2056989015000171,https://doaj.org/article/233132b73b664f4db0d45325ea43fe14,01/02/2015,EN,crystal structure|gossypol|gossypol tetramethyl ether|porous structure|C—H...O hydrogen bonds|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp 184-187 (2015)",CC BY
Nurses’ Perceptions of Spirituality and Spiritual Care in Different Health Care Settings in the Netherlands,René van Leeuwen|Annemiek Schep-Akkerman,10.3390/rel6041346,https://doaj.org/article/2d015f7bf1ab4ffcb3f248045ba838f9,01/11/2015,English,spirituality|spiritual care|nursing|hospital care|mental health care|home care|Religion (General)|BL1-50|Religions. Mythology. Rationalism|BL1-2790|Philosophy. Psychology. Religion|B,2077-1444,MDPI AG,"Religions, Vol 6, Iss 4, Pp 1346-1357 (2015)",CC BY
On BVσ I-convergent Sequence Spaces Defined by an Orlicz Function,Vakeel A. Khan|Mohd Shafiq|Rami Kamel Ahmad Rababah,,https://doaj.org/article/606360594f4547568cb9e43a2f07ab1b,01/04/2015,English,Mathematics|QA1-939|Science|Q|Electronic computers. Computer science|QA75.5-76.95|Instruments and machines|QA71-90|Mathematics|QA1-939|Science|Q,2067-2764|2247-6202,Aurel Vlaicu University Editing House,"Theory and Applications of Mathematics & Computer Science, Vol 5, Iss 1, Pp 62-70 (2015)",CC BY-NC-ND
Performance-Based Cognitive Screening Instruments: An Extended Analysis of the Time versus Accuracy Trade-off,Andrew J. Larner,10.3390/diagnostics5040504,https://doaj.org/article/115729fe9cad481681cd5ba7d6161cdf,01/11/2015,,diagnosis|cognitive screening instruments|dementia|accuracy|Medicine|R|Medicine (General)|R5-920,2075-4418,MDPI AG,"Diagnostics, Vol 5, Iss 4, Pp 504-512 (2015)",CC BY
"Presence of <em>Arctotherium</em> (Carnivora, Ursidae, Tremarctinae) in a pre-cultural level of Baño Nuevo-1 cave (Central Patagonia, Chile)","López Mendoza, P.|Mena Larraín, F.|Bostelmann, E.",10.3989/egeol.42011.357,https://doaj.org/article/0c7c1a3cedec438c99956be615e96006,01/12/2015,EN,Ursidae| Arctotherium| Late Pleistocene| Central Patagonia|Ursidae|Arctotherium|Pleistoceno final|Patagonia Central|Geology|QE1-996.5,0367-0449|1988-3250,Consejo Superior de Investigaciones Científicas,"Estudios Geologicos, Vol 71, Iss 2, p e041 (2015)",CC BY-NC
Recent Advances in Research on Widow Spider Venoms and Toxins,Shuai Yan|Xianchun Wang,10.3390/toxins7124862,https://doaj.org/article/d17c2ebe95b840e892d7abbec6a734c4,01/11/2015,English,widow spider|venom|toxin|latrotoxin|latroeggtoxin|advance|Biology (General)|QH301-705.5|Science|Q,2072-6651,MDPI AG,"Toxins, Vol 7, Iss 12, Pp 5055-5067 (2015)",CC BY
Redetermined crystal structure of N-(β-carboxyethyl)-α-isoleucine,M. Chandrarekha|N. Srinivasan|R. V. Krishnakumar,10.1107/S2056989015014498,https://doaj.org/article/e201597a204b457bb146cbcfda7e850b,01/09/2015,EN,crystal structure|amino acids|ionization state|hydrogen bonding|isoleucine|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o665-o666 (2015)",CC BY
"Synthèse et structure cristalline d'un matériau noir AgMnII3(MnIII0,26Al0,74)(MoO4)5",Chahira Bouzidi|Wafa Frigui|Mohamed Faouzi Zid,10.1107/S2056989015003345,https://doaj.org/article/96fdbd3e20894cf3899c766373fc9efa,01/03/2015,EN,crystal structure|aluminium|manganese|molybdate|solid-state methods|physicochemical properties|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 3, Pp 299-304 (2015)",CC BY
