Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
	ALKIS									application/pdf								open_access	
	Liegenschaftskatasterinformationssystem																	doc-type:doctoralThesis	
	Energiewende																	ddc:620	
	Gebäude																		
	Demand Side Integration																		
	GIS																		
	Energy Transition																		
	Load Management																		
	Reserve Capacity																		
	Planning																		
	620 Ingenieurwissenschaften und Maschinenbau																		
	Geoinformationssystem																		
	Gebäude																		
	Reserveleistung																		
	Netzstabilität <Elektrische Energietechnik>																		
	ddc:																		
	Geoinformationssystem	xMetaDiss:GND																	
	Gebäude	xMetaDiss:GND	4156127-2																
	Reserveleistung	xMetaDiss:GND																	
	Netzstabilität <Elektrische Energietechnik>	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Freiraumentwicklung			Becker, Carlo	Working Paper	Researchers	https://repos.hcu-hamburg.de/handle/hcu/418	info:eu-repo/semantics/openAccess	Mehr Stadt in der Stadt: Gemeinsam zu mehr Freiraumqualität in Hamburg	application/pdf	2013-01-01	ger	"Fachbeitrag zu den Zielen und Strategien einer kooperativen Freiraumentwicklung in der verdichteten Stadt Hamburg mit dem wichtigen Schlüsselakteur Wohnungs- und Immobilienwirtschaft.
Dokumentation von Handlungsempfehlungen für die Freiraumentwicklung mit einer Vielzahl von Projektbeispielen aus der Praxis in Hamburg und in anderen Städten."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:58:57Z
	Öffentlicher Raum			Hübner, Sven	doc-type:workingPaper	Students												col_hcu_15	
	Kooperative Stadtentwicklung			Kreutz, Stefan														open_access	
	Verdichtung			Krüger, Thomas														ddc:710	
	710 Landschaftsgestaltung, Raumplanung																		
	ddc:																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	720 Architektur			Caldas Torres de Gumpert, Patricia	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/419	info:eu-repo/semantics/openAccess	Die andere Moderne- Informelle Veränderungsprozesse in staatlich geplanten Siedlungen in Lima, 1938-1971	application/pdf	2015-01-01	ger	"Die staatlich geplanten Siedlungen, die zwischen 1938 und 1971 in Lima-Peru gebaut wurden, materialisieren die Übertragung eines europäischen Vorbilds: die Gartenstadt. Die Theorie der Unidades Vecinales (Nachbarschaftseinheiten) - und damit eine neue Struktur in der Stadt, die Zeilenbausiedlung - hat eine Phase der Geschichte des Massenwohnungsbaus in Peru geprägt. Es war die Zeit des explosiven Bevölkerungswachstums der Städte in Lateinamerika. Die vorliegende Forschung betrachtet die gebauten Leitbilder zugleich als ein Experimentierfeld für die lokale Aneignung bei Erweiterungs-und Umnutzungsprozessen. Das zeigen die vielfältigen Überformungen der Wohnblocktypen durch informelles Bauen in diesen Wohnquartieren. Das fremde Stadtmodells hat die Identität der Bewohner auf verschiedene Arten und Weisen herausgefordert und beeinflusst.
Die Arbeit verfolgt drei Ziele: I. Die Transferierung der Idee der Gartenvorstadt nach Lateinamerika, insbesondere Peru, ihre stadtplanerische Wirkung und Gültigkeit kritisch zu untersuchen. Die Hintergründe der herangezogenen Leitbilder werden in der europäischen Moderne gesucht. Um die physische Adaptation des Modells im Stadtgefüge überprüfen zu können, wurde die Auswahl auf tatsächlich 22 gebaute Wohnquartiere eingegrenzt. II. Analyse der Veränderung gebauter Leitbilder. Drei Fallstudien wurden ausgewählt (die UV3, die UVMatute und der CHPalomino), um die Transformations- und Aneignungsprozesse über die Jahre 1938-2010 und ihre Wirkungskräfte auf der Ebene der Wohnblöcken, des Außenraums und der Gemeinschaftseinrichtungen) zu untersuchen. Die Hintergründe der informellen Veränderungen und die typologische Evolution der Wohnblocktypen werden analysiert sowie die Organisation der Bewohner und Dynamik der Akteure der informellen Veränderungen. III. Einen Beitrag zur Diskussion über die Bedeutung solcher informellen Prozesse für das berufliche Verständnis der Architekten und Stadtplaner zu leisten im Zusammenhang mit der Identität der Bewohner.
Die Ergebnisse zeigen: Dass die Weiterentwicklung der geplanten Wohngebäude Lebensprozesse einer Gruppe von Bewohnern widerspiegeln, bedeutet für die Architekten eine neue Attitüde: Sie würde auf dem Verständnis beruhen, dass die Bewohner nicht passive Konsumenten sind, sondern Koproduzenten bei der Aneignung des Raums in der eigenen Wohnung. Die „andere Moderne“ bietet damit der Option der langfristigen Veränderbarkeit der Wohnfläche. Die vielschichtigen untersuchten Veränderungstypen in einer Vielzahl gebauter Leitbilder zeigen die starke Wirkungskräfte der Aneignung: Durch kleinteilige Bebauungen sind aus dem alltäglichen Gebrauch der Siedlungsstruktur der parallelen Zeilen (UV3) Gänge und Plätzen entstanden und durch An-und Ausbauten und Dachaufbauten ebenfalls individuelle Höfe und Dachterrassen. Auf der Rückseite der „geschwungenen Zeilen“ (CHPalomino) wurden die ausgebildeten Zwischenräume als individuelle Höfe, neue kleine Plätze oder Gänge wahrgenommen. Durch Ausbauten wurden viele Wohnwege zwischen zwei raumbildenden Zeilen (UVMatute) zu Gassen. Vor allem in der UV3 und im CHPalomino wurde aus dem ursprünglich fremden Raum eine örtliche Gebundenheit.
Die „andere Moderne“ beinhaltet ein innovatives Potential für die Schaffung neuer Möglichkeiten der baulichen Anpassungen und Strategien für das Antizipieren von zukunftsoffenen Entwicklungen in konkreten Situationen.   
Dass die modernen Beispiele des Massenwohnungsbaus in Lima im Laufe der Zeit  Strukturen mit Veränderungsfähigkeit für die Zukunft geworden sind, und dies Aktionen und soziale Handlungen seitens der Bewohner motiviert hat, führt zur folgenden Reflexion: Wenn Architekten, Stadtplaner und die facettenreichen Akteure der potenziellen Veränderungen sich dessen bewusst sind, dass ein Wohnblocktyp in Phasen wachsen kann, könnten informelle Prozesse besser interpretiert und orientiert werden. In dieser Hinsicht soll die vorliegende Studie einen Beitrag zu drei Debatten darstellen: 
1. Zum stadtplanerischen Verständnis eines importierten Vorbilds. Die Entwicklung der Stadt Lima konnte keinem einheitlichen Modell folgen. Bei der Aneignung entsteht eine Stadt, die als eine Assoziation vom dynamischen Muster der „wachsenden Familie“ und geplanter statischer Modelle gesehen werden kann.  2. Zum beruflichen Verständnis der starken Wirkungskräfte der Aneignung in gebauten Leitbildern. Die Übertragung des Vorbilds der Gartenvorstadt kann in Peru nur im Zusammenhang mit den Bewohnern verstanden werden. Das Muster der „wachsenden Familie“- im Unterschied zu dem konservativen und statischen Konzept der Wohnung für Standardfamilien (Eltern und Kinder)-  öffnet neue Perspektive im Bereich des Wohnungsbauentwerfens. Die Aneignungsprozesse zeigen, dass die Moderne die Identität der Bewohner nicht berücksichtigt hat. Die „andere Moderne“ passt besser zu einer Gruppe von Bewohnern der unteren Mittelschicht und integriert den Bewohnern in die geplante Architektur.
3. Zum beruflichen Bewusstsein der Architekten für das kreative Potential erweiterbarer Siedlungsstrukturen für „wachsende Familien“. Die vorliegende Studie über die vielfältigen Erfahrungen der typologischen Weiterentwicklungen in staatlichen Siedlungen bietet ein komplexes Spektrum von Forschungsperspektiven und Untersuchungsansätzen in Peru im Bereich des Massenwohnungsbaus, etwa im Hinblick auf die Ausbaufähigkeit und Nutzungsflexibilität von städtischen Siedlungsstrukturen."		Harms, Hans			com_hcu_13	2023-01-27T09:41:07Z
	ddc:				doc-type:doctoralThesis	Students				application/pdf			"State housing developments came into being in Lima between 1938 -1971 and bear witness to the importation of the European garden-city idea into Peru. The transfer of a theory - the Unidades Vecinales (neighbourhood-units) - and a new residential form in the city, the Zeilenbausiedlung, marked a phase in the history of the social housing in Peru, when the cities in Latin America experienced an explosive population growth. For this research are the built Leitbilder  an experimental field for the local appropriation in processes of extensions and changes of use. The diverse alterations of the residential forms through self-construction reflect this phenomenon. The foreign model has challenged and influenced the identity of the Peruvian inhabitant in different ways. 
This research follows three objectives: I. To analyze the transfer of the garden-city idea into Latin America, in particular Peru, their urban-spatial impact and validity for the city of Lima. The background of the importation of this urban model is searched in the European modernity. 22 state housing developments were selected to examine the physical adaptation of the model in the city. II. To analyze the change of built Leitbilder. Three cases of study were selected (UV3, UVMatute and CHPalomino) to evaluate the processes of transformation and appropriation over the years 1938 and 2010 and their effects at the level of the housing types, public space and communal equipment. The background of the informal changes and the typological evolution of several collective housing forms are analyzed as well as the organization of the inhabitants and the dynamic of the urban actors. III. The study seeks to contribute to the debate on the meaning of the informal changes for the professional performance of architects and planners in reference to the identity of the inhabitants. 
The results show: That the typological evolution of the planned residential buildings reflects “life processes” of a group of inhabitants, means for the architects a new attitude: It would be ground on the understanding, that inhabitants are not passive consumers but co-producers in the appropriation of the space in the own housing. The “other modernity” opens the option of the long-term changeability of the housing area.
The diversity of the examined types of changes in many built Leitbilder shows the powerful effects of the appropriation: Through self-constructed additions and the “every day use” have emerged corridors, squares and also patios and roof-terraces in the serial structure of the parallel Zeilen (UV3). At the back façade of the curved Zeile (CHPalomino) shaped the inhabitants private patios, new public squares, alley ways and new collective spaces on the existing public space. The inner streets between the Zeilen of architect Ciriani (UVMatute) were transformed in alleys. The UV3 and CHPalomino were re-structured through extensions in a way that the inhabitants remain united with the place. 
The “other modernity“ contains an innovative potential to the achievement of new adaptation possibilities and strategies for anticipating future developments in concrete circumstances. That the modern examples of social housing in Lima were transformed in structures with capacity for future changes, and that this motivated the engagement and social interactions of the inhabitants and urban actors conduce to the following reflection: If architects, planners and the diverse actors of the potential changes would be aware that housing buildings can grow in phases, the informal expansions processes could be better interpreted and oriented. In this sense this explorative study should contribute to three debates: 
1. For the professional understanding of imported city models. The development of the city of Lima could not follow a unique model. From the appropriation emerged a city, which could be sought as association of the dynamic pattern of the “family that grows” and planned static urban models.
2. For the professional understanding of the powerful impact of the appropriation. The transfer of the garden-city idea can be understood in Peru only in relation with the inhabitants. The pattern of the “family that grows” opens new perspectives on the field of the architectural housing design in opposition to the conservative and static concept of the housing for standard families (parents and children).The appropriation processes show, that the modernity has not considered the identity of the inhabitants. The “other modernity” can be better adapted to the identity of the low-middle-class group and can integrate inhabitants and urban actors in the planned architecture. 
3. For the architect´s and planner´s performance in relation to the creative potential of expandable types of housing. This study about the diverse experiences of the typological evolution of residential buildings offer a complex spectrum of research perspectives in Peru for the social housing field in reference to the flexibility of urban-architectural structures."					col_hcu_15	
																		open_access	
																		doc-type:doctoralThesis	
																		ddc:720	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Certification systems			Jurleit, Anke	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/420	info:eu-repo/semantics/openAccess	Think global-certify local - global comparability and regional adaptation for community certification systems exemplified by the water infrastructural components in the community	application/pdf	2015-01-01	eng	"This dissertation discusses certification systems (CS) for communities and their structure and choice of indicators and
methodologies for sustainable water management. An important component of this work includes an investigation of
commonly understood best practices for community scale water management and their comparability at an international
level, as well as adaptability to different regional settings."		Dickhaut, Wolfgang			com_hcu_13	2023-01-31T16:08:36Z
	sustainable communities				doc-type:doctoralThesis	Students												col_hcu_15	
	water infrastructure planning for sustainable communities																	open_access	
	Ecoblock																	doc-type:doctoralThesis	
	key																	ddc:620	
	620: Ingenieurwissenschaften und Maschinenbau																		
	ddc:620																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Klimagerechte Entwurfsmethodik			Linhares de Siqueira, Gustavo	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/421	info:eu-repo/semantics/openAccess	Klimaadaptive Entwurfsmethodik: eine Untersuchung der Wechselwirkung zwischen Klimadaten, klimagerechten Entwurfsmethoden und dem adaptiven Komforttmodell	application/pdf	2015-01-01	ger	"Klimagerechte Entwurfsmethoden sind sehr verbreitet, aber haben sich in den letzten Jahrzehnten  kaum verändert, obwohl sich die Komfortansprüche und deren Evaluierungsmethoden stark entwickelt haben. Die vielen neuen Erkenntnisse im Bereich der adaptiven Komforttheorie  kombiniert mit der allgemeinen Verfügbarkeit von Klimadaten in Stundenschritten trugen zur Entwicklung von raffinierten Evaluierungsmethoden bei, welche auf dynamischen Simulationen basieren. Diese Evaluierungen setzen allerdings die Vorauswahl von grundlegenden Entwurfsparametern voraus, die von den  klimagerechten Entwurfsmethoden geliefert werden könnten.
Diese Dissertation stellt diese fehlende Verbindung zwischen der traditionellen Architektur, den klimagerechten Entwurfsmethoden und der adaptiven Komforttheorie her, und schlägt eine wissenschaftlich begründete und planerorientierte Entwurfsmethodik vor. 
Die in dieser Arbeit vorgeschlagene Methodik basiert auf einer mehrstufigen Struktur, die mit der Aufteilung in Klimagruppen beginnt. Auf die jeweilige Klimagruppe abgestimmte Parameter unterstützen den Planer bei der Herstellung von Entwurfsansätzen. Diese können mithilfe einer selbstentwickelten, ebenfalls auf die Klimagruppe abgestimmten Evaluierungsmethode bewertet werden. Dadurch entsteht die Möglichkeit der Optimierung der Entwurfsansätze, um einen klimaadaptierten Entwurf zu entwickeln."		Dietrich, Udo			com_hcu_13	2023-01-27T09:30:27Z
	adaptives Komfortmodell				doc-type:doctoralThesis	Students							"Passive and low-energy design methods are wide spread and remain constant since many decades, thus the comfort demands and the tools to evaluate design have changed.  On the one hand, given the availability of hour-step climate data and the many enhancements in the field of the adaptive comfort theory, it is possible to dynamically simulate the design performance based on user’s expectations towards the indoor environment.  On the other hand a set of basic design parameters are precondition to start design process and precede any evaluations.
This dissertation investigates the missing link between vernacular architecture, climate responsive design and adaptive comfort theory as an evaluation tool for a recursive and comparative design methodology. 
A multi-staged method is proposed, wherein both design parameters and evaluation methods are directly connected to main climate groups."					col_hcu_15	
	climate responsive design																	open_access	
	climate data																	doc-type:doctoralThesis	
	adaptive comfort																	ddc:720	
	720 Architektur																		
	ddc:																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Lärmkarten			Weninger, Beate	Thesis	Researchers	978-3-941722-27-9	info:eu-repo/semantics/openAccess	Lärmkarten zur Öffentlichkeitsbeteiligung - Analyse und Verbesserung ausgewählter Aspekte der kartografischen Gestaltung	application/pdf	2015-01-01	ger	"Lärm gehört zu den größten Umwelt- und Gesundheitsproblemen unserer Zeit und folgt somit an zweiter Stelle nach der Luftverschmutzung. In der Europäischen Union (EU) sind rund 40 Prozent der Bevölkerung Lärm ausgesetzt, der die Grenze der Belästigung von 55 dB überschreitet. Die Motivation zu dieser Arbeit ist daher einerseits die hohe Dringlichkeit der Lärmbekämpfung aufgrund der großen Gesundheitsgefahr und andererseits die schlechte Qualität der Lärmkarten, die in der Praxis zur Information der breiten Öffentlichkeit verwendet werden. Diese sogenannten strategischen Lärmkarten bilden die Grundlage zur Bewertung von Umgebungslärm und für die Öffentlichkeitsbeteiligung, das heißt sie sind das Kommunikations- und Informationsmittel.
Hauptinhalt der Karten ist die Schallimmission, dargestellt anhand des Lärmindexes Lden für Straßen-, Schienen-, Flug- und Industrielärm, der jeweils einzeln in einer Karte darzustellen ist. Lden ist der gewichtete A-bewertete äquivalente Dauerschallpegel für alle Tage eines Jahres. Er wird anhand von farbigen Isophonen, das sind Linien gleicher Lärmbelastung, in 5-dB-Klassen dargestellt. Die zu verwendenden Farben sind in der der Verordnung über die Lärmkartierung, festgeschrieben und in einer DIN definiert. Das vorgegebene Schema entspricht jedoch nicht dem aktuellen Forschungsstand der kartografischen Gestaltung. Bestehend aus einer Abfolge von Hellgrün, Mittelgrün, Dunkelgrün, Gelb, Ocker, Orange, Rot, Dunkelrot, Lila, Hellblau und Dunkelblau, ist es qualitativ und die Farben aufgrund des Fehlens einer systematischen Helligkeits- und Sättigungsverteilung nicht den ansteigenden Werten der dB-Skala zuzuordnen. Ziel der vorliegenden Arbeit war daher, die Lärmkarten, wie sie entsprechend der END zur Öffentlichkeitsbeteiligung verwendet werden, zu analysieren und für den wichtigsten Karteninhalt, die Schallimmissionen, ein neues Farbschema zu entwickeln.
Neben einer qualitativen kartografischen Analyse, einer Bestandsanalyse der Lärmkarten der 27 deutschen Ballungsräume, die zur Lärmkartierung verpflichtet sind, und einer Task-Analyse, wurden in einer Anforderungsanalyse die Voraussetzungen für die Entwicklung des neuen Farbschemas bestimmt und in einem nutzerorientierten, iterativen Prozess ein neues Farbschema zur Darstellung der Schallimmissionen entwickelt.
Bedingt durch die Farbwahrnehmung und bei genauerer Betrachtung des Anwendungsfalles, der Darstellung der Schallimmissionen, werden die Herausforderungen zur Erstellung eines Farbschemas klar. Die Schallimmissionen werden zwar in 5-dB-Klassen dargestellt, aber der zugrundeliegende Schalldruckpegel ist ein logarithmisches Maß, dadurch tragen höhere Werte stärker zu einem Mittelwert bei und die dargestellte Wertespanne ist sehr groß. Um eine sinngemäße Interpretation zu ermöglichen, müssen diese daher auch in der Darstellung stärker betont werden, was durch einen starken Anstieg der Sättigung der Farben für hohe Werte erreicht wurde.
Da Lärmkarten die Lärmbelastung darstellen, ist es für eine verbesserte Interpretation sinnvoll, Farben zu wählen, die mit der Belastung assoziativ sind. Aus diesem Grund wurde von der kartografischen Konvention abgewichen und ein Schema mit zwei Farbtonübergängen gewählt. Insgesamt besteht das entwickelte Farbschema aus zehn Farben, die drei Wirkungsklassen bilden. Jeder Wirkungsklasse ist ein Farbton zugeordnet - Blaugrün, Orange und Lila - der assoziativ mit dem Grad der Belästigung und dem Gesundheitsrisiko ist und somit die Interpretation erleichtert. Da es pro Farbton somit nur drei bis vier Helligkeitsstufen gibt, werden die Unterscheidbarkeit und die Zuordnung der Farben zur Legende erleichtert. Durch die Vermeidung von Ampelrot und –grün konnte die Eignung für Menschen mit Farbenfehlsichtigkeiten stark gesteigert werden.
Um die Farbtöne in eine visuelle Hierarchie zu bringen, wurden die Helligkeit und die Sättigung systematisch variiert. Die Helligkeit ist am größten bei der vierten Farbe und nimmt in Richtung beider Enden ab, die Sättigung hingegen nimmt v. a. zum unteren Ende der Skala, d. h. in Richtung der hohen Werte, stark zu. Durch dieses „bipolare“ Schema wird eine Betonung der Regionen erreicht, die von größtem Interesse sind: die positiven, ruhigeren Bereiche und die Bereiche hoher Belastung.
Das Schema wurde in vier Nutzerstudien evaluiert, die Ergebnisse flossen jeweils in die Weiterentwicklung ein. Die Ergebnisse der ersten Studie zeigten, dass es signifikante Einflüsse des Farbschemas auf die Interpretation der Lärmbelastung gibt. Weitere Studien ergaben, dass die verwendeten Farben unterscheidbar sowie assoziativ mit der Belastung sind und dass großeWertespannen besser anhand konträrer Farben, wie beispielsweise Komplementärfarben dargestellt werden, was sehr für das Farbschema mit Farbtonübergängen spricht. Es zeigt sich, dass die Farben auch für Menschen mit Farbenfehlsichtigkeit unterscheidbar sind.
Der Anwendungsfall zur Entwicklung waren deutsche Straßenlärmkarten, daher wurden die Anwendbarkeit in anderen EU-Ländern und die Übertragbarkeit auf andere Lärmquellen untersucht. Zur Übertragbarkeit auf andere Lärmquellen sowie auf Daten aus Crowdsourcing müssen die Anforderungen und darauf aufbauend die Darstellung an die spezifischen Charakteristika der Werte angepasst werden, wie zum Beispiel die Wiederholungsrate, die Dauer, oder die Häufigkeit von Messungen.
Über das Farbschema hinaus ergab die Analyse u. a., dass zur Vermittlung einer wahrnehmungsgetreuen Lärminformation psychoakustische Aspekte der Wahrnehmung integriert werden müssen, denn physikalische Parameter, wie Lden, scheinen dafür nicht auszureichen und kein ausreichendes Bild einer tatsächlich wahrgenommenen Lärmsituation zu liefern."	https://repos.hcu-hamburg.de/handle/hcu/428	Schiewe, Jochen			com_hcu_13	2023-01-27T09:41:09Z
	Kartengestaltung				doc-type:doctoralThesis	Students	https://repos.hcu-hamburg.de/handle/hcu/422						"Noise is one of the most serious environmental and health risks, a close runner-up to air pollution. Roughly 40 percent of the population in the European Union (EU) are exposed to a noise level of 55 dB, which is at the verge of annoyance. Therefore, the motivation for this research project was the acuteness for noise abatement due to high health risk, on the one hand, and the lack of quality that can be observed in noise maps used for public information on the other hand. These so-called strategic noise maps have to be drawn up every five years according the EU Environmental Noise Directive (END, RL 2002/49/EG). They form the basis for noise assessment and public participation and, therefore, they are a major tool of communication and information.
The main map content is sound immission, presented by means of the noise index Lden for road traffic, train noise, airport noise, and industrial noise; each noise source has to be presented in a separate map. Lden is the A-weighted equivalent continuous sound level for all days of a year. It is represented by means of colored isophones, which are areas of equal noise pollution, in 5 dB steps. The colors that have to be used are established in the German regulation about noise mapping, and defined in a German standard. However, this predefined color scheme does not conform to the latest standard in cartographic research and science. Being composed of a sequence from light green, green, dark green, yellow, light brown, orange, red, dark red, purple, light blue, and dark blue it is counterintuitive because a systematic change of lightness and saturation is missing. Also, the colors cannot be matched with the increasing values of the dB-scale. The aim of this research effort, therefore, is to analyze END-conform noise maps and to develop a color scheme for the most important map content, the sound immission.
Besides a qualitative, cartographic analysis the author undertook a status analysis of the maps published by the 27 agglomerations, which are legally obliged to draw up noise maps, an analysis of the tasks users carry out in accordance with their aims, and a requirements analysis for noise maps. The requirements are the foundation for the user-centered and iterative color design process to develop a new color scheme for the presentation of noise immission.
Looking at the vast number of cartographic research on color-design the development of a color scheme might seem trivial. However, due to color perception and the specific case of application challenges become clear. Noise immission is presented in 5-dB-classes, but the underlying sound pressure is logarithmic. The effect is that higher values contribute more to the energetic mean value and the span between extreme values is big. To support that colors are logically assignable to the characteristics of noise data, higher values have to be highlighted. This is achieved by an increase of saturation for higher values.
To facilitate interpretation it makes sense to choose colors that are associative with the presented noise pollution. That was the reason for choosing a color scheme with two color transitions against cartographic custom. In total the color scheme consists of ten colors and three color hues – blue-green, orange, and purple. The color hues symbolize three levels of noise exposure as well as health risk and support recognition. For each hue there are only three to four lightness steps, which supports distinguishability and the matching of colors in the map with colors in the legend. Through avoidance of red and green the scheme’s suitability for people with color vision deficiencies was achieved. A systematic change of saturation and lightness supports a visual hierarchy of the presentation. The fourth color is the lightest while lightness decreases at both ends of the scale. Saturation, in contrast, increases for higher values. By means of this “bipolar“ scheme areas of interest are highlighted, which are quiet areas as well as highly polluted areas.
The scheme is evaluated in four user studies following an iterative design. Thereby results of the studies are considered for the further development of the scheme. Results of the first study show that color schemes have an influence on the interpretation of noise maps. The other studies prove that the colors of the scheme can be distinguished, also by users with color vision deficiencies, and are associative with the level of pollution. Studies also show that contrary colors with a high color or lightness contrast are appropriate to represent a big span between extreme values. This is the argument for the proposed scheme with two hue transitions.
The case of application for the development of this new color scheme were German traffic noise maps, therefore the adaptability of results for other EU member states and for other noise sources was evaluated. Results show that there is no effect between place of residence and color association. Consequently, the color scheme can also be used in countries other than Germany. To be used for other noise sources as well as data from crowdsourcing, requirements and presentation styles have to be adapted to the specific data characteristics, such as repetition rate, duration, or the frequency of metering.
Beyond insights for the color scheme the analysis revealed that the presentation of physical parameters like Lden is not sufficient to represent noise information that is in line with the individual perception of affected people. Therefore, psychoacoustic aspects have to be integrated to a greater degree."					col_hcu_15	
	Farbgestaltung																	open_access	
	Farbwahrnehmung																	doc-type:doctoralThesis	
	empirische Kartographie																	ddc:620	
	Noise maps																		
	cartographic design																		
	color design																		
	color perception																		
	empirical cartography																		
	620 Ingenieurwissenschaften und Maschinenbau																		
	Farbe																		
	Kartengestaltung																		
	Farbensehen																		
	Farbgestaltung																		
	Öffentlichkeitsbeteiligung																		
	ddc:																		
	Farbe	xMetaDiss:GND																	
	Kartengestaltung	xMetaDiss:GND																	
	Farbensehen	xMetaDiss:GND																	
	Farbgestaltung	xMetaDiss:GND																	
	Öffentlichkeitsbeteiligung	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Klimaanpassung			Kruse, Elke	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/423	info:eu-repo/semantics/openAccess	Integriertes Regenwassermanagement für den wassersensiblen Umbau von Städten. Großräumige Gestaltungsstrategien, Planungsinstrumente und Arbeitsschritte für die Qualifizierung innerstädtischer Bestandsquartiere.	application/pdf	2015-01-01	ger	"Die Folgen des Klimawandels stellen Städte weltweit vor neue Herausforderungen: Vor allem zunehmende Starkregenereignisse führen zu Überflutungen, die immense Schäden und somit Folgekosten im Stadtgebiet verursachen. Zahlreiche Kommunen entwickeln daher Konzepte, um ihre Stadt mit Hilfe baulicher Maßnahmen anzupassen. Doch nur wenige nutzen die Transformation ihres Entwässerungssystems gleichzeitig als Chance zur Aufwertung bestehender Quartiere. Dazu gehören New York City, Rotterdam und Singapur. Sie erstellen auf gesamtstädtischer Ebene integrierte Konzepte für ihr Regenwassermanagement unter Berücksichtigung des öffentlichen Raumes. 

Die vorliegende Arbeit untersucht, welche großräumigen Gestaltungsstrategien und Planungsinstrumente geeignet sind, ein integriertes Regenwassermanagement (IRWM) auf gesamtstädtischer Ebene umzusetzen. Das IRWM beschreibt ein ideales Vorgehen für die Umsetzung einer wassersensiblen Stadtentwicklung. Im Fokus steht die Qualifizierung innerstädtischer, hoch verdichteter Quartiere. Die großräumige Gestaltungsstrategie definiert dabei das strategische Vorgehen im Umgang mit Niederschlagswasser, das gleichzeitig gestalterische Qualitäten für diverse Stadtlandschaften schafft. Ziel der Arbeit ist, praxisrelevante Kriterien für die Anwendung großräumiger Gestaltungskriterien zu definieren und Empfehlungen für die Implementierung des IRWM zu formulieren. Dazu wird zunächst der Arbeitsprozess der Referenzstädte New York City, Rotterdam und Singapur analysiert und 13 typische IRWM-Arbeitsschritte abgeleitet. Darüber hinaus werden drei unterschiedliche großräumige Gestaltungsstrategien herausgearbeitet und Anwendungskriterien festgelegt. Die Übertragbarkeit der Arbeitsschritte und Gestaltungsstrategien wird anschließend am Beispiel von Hamburg überprüft. 

Hamburg hat bereits vor einigen Jahren begonnen, ein IRWM umzusetzen. Der bisherige Stand wird anhand der typischen IRWM-Arbeitsschritte analysiert. Weitere notwendige Arbeitsschritte werden erläutert. Im Anschluss zeigt die Arbeit das Potenzial für die Anwendung der Gestaltungsstrategien an einem exemplarischen Bearbeitungsgebiet auf und formuliert Empfehlungen für den weiteren Arbeitsprozess in Hamburg. Am Beispiel der vier Städte wird deutlich, dass die Umsetzung von integrierten Anpassungskonzepten zu einer nachhaltigen Stadtentwicklung beiträgt. Mit Hilfe der großräumigen Gestaltungsstrategien kann selbst in dicht bebauten Stadtquartieren Raum für Wasser geschaffen und gleichzeitig die Lebensqualität in den Städten verbessert werden.

Die IRWM-Arbeitsschritte und großräumigen Gestaltungsstrategien sind insbesondere für Kommunen geeignet, deren Stadtgebiet bereits heute Entwässerungsprobleme und/oder Probleme mit Binnenhochwasser aufweist oder aufgrund des Klimawandels zukünftig davon betroffen sein wird. Kommen zudem Qualitätsdefizite des öffentlichen Raums bzw. eine Unterversorgung mit Freiraum hinzu, sollte ein integrierter Planungsansatz für den Umbau verfolgt werden."		Dickhaut, Wolfgang			com_hcu_13	2023-01-31T17:01:06Z
