Seccion,Division,Epigrafe,Literal,literal corto,INDICE
H,53,532001,"Servicios de mensajería, actividades postales y de correos","Servicios de mensajería, actividades postales y de correos",
I,55,551001,Hoteles y moteles con restaurante,Hoteles y moteles con restaurante,
I,55,551002,Hoteles y moteles sin restaurante,Hoteles y moteles sin restaurante,
I,55,551003,Hostales,Hostales,
I,55,551004,Apart-hoteles,Apart-hoteles,
I,55,551005,Viviendas Turísticas,Viviendas Turísticas,
I,55,552001,Albergues juveniles y otros alojamientos turísticos de corta estancia,Albergues juveniles y otros aloja.turísti. de corta estancia,
I,55,553001,Campings y aparcamientos para caravanas,Campings y aparcamientos para caravanas,
I,55,559001,Colegios Mayores y residencias de estudiantes,Colegios Mayores y residencias de estudiantes,
I,55,559002,Pensiones,Pensiones,
I,55,559003,Casas de huéspedes,Casas de huéspedes,
I,56,561001,Restaurante,Restaurante,
I,56,561002,Restaurantes de cómida rápida,Restaurantes de cómida rápida,
I,56,561003,Autoservicio de restauración,Autoservicio de restauración,
I,56,561004,Bar restaurante,Bar restaurante,
I,56,561005,Bar con cocina,Bar con cocina,
I,56,561006,Cafetería,Cafetería,
I,56,561007,Chocolatería/salón de té y heladería,Chocolatería/salón de té y heladería,
I,56,562101,Salones de banquetes y provisión comidas para eventos,Salones de banquetes y provisión comidas para eventos,
I,56,562901,"Otros servicios de comidas en instalaciones deportivas, oficinas, empresas o similares","Otros servicios de comidas en instala.deport.,empres.o simi.",
I,56,562902,Servicios de comedor en centros educativos y centros de cuidado infantil,Servicios de comedor en centros educativos y centros de cuidado infantil,
I,56,562903,Servicios de comedor en centros para mayores,Servicios de comedor en centros para mayores,
I,56,562904,Servicios de comedor en centros de actividades de servicios sociales,Servicios de comedor en centros de act de servicios sociales,
I,56,562905,Servicios de preparación de comidas en hospitales,Servicios de preparación de comidas en hospitales,
I,56,563001,Comercio al por menor de vinos y alcoholes (bodega) con consumo,Comercio menor de vinos y alcoholes (bodega) con consumo,
I,56,563002,Bar especial sin actuaciones,Bar especial sin actuaciones,
I,56,563003,Bar especial con actuaciones,Bar especial con actuaciones,
I,56,563004,Taberna,Taberna,
I,56,563005,Bar sin cocina,Bar sin cocina,
I,56,563006,Ciber-Café,Ciber-Café,
I,56,563007,Café espectáculo,Café espectáculo,
J,58,581001,"Edición de libros, periódicos y otras actividades editoriales","Edición de libros, periódicos y otras activ.editoriales",
J,58,582001,Edición de programas informáticos,Edición de programas informáticos,
J,59,591001,"Actividades cinematográficas, de video y de televisión (producción, distribución y exhibición)","Activid.cinematográf., video y tv(produc.,distrib.,exhibic.)",
J,59,592001,Actividades de grabación de sonido y edición musical,Actividades de grabación de sonido y edición musical,
J,60,600001,Actividades de programación y emisión de radio y televisión,Actividades de programación y emisión de radio y televisión,
J,61,610001,Telecomunicaciones,Telecomunicaciones,
J,61,610002,Locutorios,Locutorios,
J,62,620001,Programación y consultoría informática y tecnologías de la información,Programación. consultoría informática y tecnolog.informac.,
J,63,631001,"Servicios de información: Proceso de Datos, portales web","Servicios de información: Proceso de Datos, portales web",
J,63,639001,Otros servicios de información: Agencias de noticias,Otros servicios de información: Agencias de noticias,
K,64,641001,"Intermediación monetaria: Bancos, Cajas de Ahorro","Intermediación monetaria: Bancos, Cajas de Ahorro",
K,64,642001,Actividades de las sociedades holding,Actividades de las sociedades holding,
K,64,643001,"Inversión colectiva, fondos y entidades financieras similares","Inversión colectiva, fondos y entidades financieras similar.",
K,64,649001,"Otros servicios financieros(arrendamiento financiero, préstamos por entidades no financieras), excepto seguros y fondos de pensiones",Otros servic.financieros except.seguros y fond.pensiones,
K,65,651001,Seguros,Seguros,
K,65,652001,Reaseguros,Reaseguros,
K,65,653001,Fondos de pensiones,Fondos de pensiones,
K,66,661001,"Administración de mercados financieros, intermediación en operaciones con valores y otros activos","Admón.mercad.financieros, intermed.opera.c/valores y otros ",
K,66,661002,Cambio y envío de moneda,Cambio y envío de moneda,
K,66,662001,Actividades auxiliares a seguros y fondos de pensiones,Actividades auxiliares a seguros y fondos de pensiones,
K,66,663001,Actividades de gestión de fondos,Actividades de gestión de fondos,
L,68,681001,Compraventa de bienes inmobiliarios por cuenta propia,Compraventa de bienes inmobiliarios por cuenta propia,
L,68,682001,Alquiler de bienes inmobiliarios por cuenta propia,Alquiler de bienes inmobiliarios por cuenta propia,
L,68,683001,"Actividades inmobiliarias (compraventa, alquiler, agentes propiedad)","Activ.inmobilia.(compraventa, alquiler, agentes propiedad)",
M,69,691001,Actividades jurídicas,Actividades jurídicas,
M,69,691002,Despacho profesional de actividades jurídicas,Despacho profesional de actividades jurídicas,
M,69,692001,"Actividades de contabilidad, teneduría, auditoría y asesoría fiscal","Activ. de contabilidad,teneduría, auditoría,asesoría fiscal",
M,69,692002,"Despacho profesional de actividades económicas (contabilidad, auditoría y asesoría fiscal)","Despacho prof.activ.económ.(contabil.,auditor.,asesor.fisc.)",
M,70,701001,Actividades de las Sedes Centrales,Actividades de las Sedes Centrales,
M,70,702001,Actividades de consultoría de gestión empresarial,Actividades de consultoría de gestión empresarial,
M,71,710001,Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos,Serv.técn.arquitectura e ingeniería; ensayos y anális.técn.,
M,71,710002,Despacho profesional de arquitectura e ingeniería,Despacho profesional de arquitectura e ingeniería,
M,72,720001,Investigación y desarrollo,Investigación y desarrollo,
M,73,730001,"Publicidad, relaciones públicas y estudios de mercado","Publicidad, relaciones públicas y estudios de mercado",
M,74,741001,Actividades de diseño especializado,Actividades de diseño especializado,
M,74,742001,Servicios fotográficos,Servicios fotográficos,
M,74,743001,Actividades de traducción e interpretación,Actividades de traducción e interpretación,
M,74,743002,Despacho profesional de traductor e intérprete,Despacho profesional de traductor e intérprete,
M,74,749001,"Otras actividades profesionales, científicas y técnicas n.c.o.p.","Otras activ.profesionales, científicas y técnicas n.c.o.p.",
M,75,750001,Hospital veterinario,Hospital veterinario,
M,75,750002,Clínica veterinaria con tratamiento higiénico,Clínica veterinaria con tratamiento higiénico,
M,75,750003,Clínica veterinaria sin tratamiento higiénico,Clínica veterinaria sin tratamiento higiénico,
M,75,750004,Consultorio veterinario con tratamiento higiénico,Consultorio veterinario con tratamiento higiénico,
M,75,750005,Consultorio veterinario sin tratamiento higiénico,Consultorio veterinario sin tratamiento higiénico,
N,77,771001,Alquiler de vehículos de motor,Alquiler de vehículos de motor,
N,77,772001,Alquiler de efectos personales y artículos de uso doméstico,Alquiler de efectos personales y artículos de uso doméstico,
N,77,772002,Videoclub,Videoclub,
N,77,773001,Alquiler maquinaria y equipo de construcción,Alquiler maquinaria y equipo de construcción,
N,77,774001,"Arrendamiento de la propiedad intelectual (uso de marcas, patentes, franquicias)","Arrendto.propied.intelect. (uso marcas,patentes,franquicias)",
N,78,781001,Actividades de las agencias de colocación,Actividades de las agencias de colocación,
N,78,782001,Actividades de las empresas de trabajo temporal,Actividades de las empresas de trabajo temporal,
N,79,790001,"Agencias de viajes,  operadores turísticos y servicios de reservas","Agencias de viajes,operador.turísticos y servic.de reservas",
N,80,801001,Actividades de seguridad privada,Actividades de seguridad privada,
N,80,802001,Servicios de sistemas de seguridad: Vigilancia mediante sistemas electrónicos,Servic.sistem.seguridad: vigilancia mediante sist.electrón.,
N,80,803001,Actividades de investigación (Detectives y vigilancia),Actividades de investigación (Detectives y vigilancia),
N,80,803002,Despacho profesional de detectives e investigadores privados,Despacho profesional de detectives e investigadores privados,
N,81,811001,Servicios integrales a edificios e instalaciones,Servicios integrales a edificios e instalaciones,
N,81,812001,Actividades de limpieza,Actividades de limpieza,
N,81,813001,Actividades de jardinería,Actividades de jardinería,
N,82,821001,Actividades administrativas y auxiliares de oficina y servicios de reprografía,Actividades adminis.y auxil.de oficina y serv.de reprografía,
N,82,822001,Actividades de los centros de llamadas,Actividades de los centros de llamadas,
N,82,823001,Organización de convenciones y ferias de muestras,Organización de convenciones y ferias de muestras,
N,82,829001,"Actividades de apoyo a las empresas n.c.o.p. (agencias de cobros, envasado y empaquetado)","Activ.apoyo empresas n.c.o.p.(agenc.cobro,envasa.,empaquet.)",
O,84,840001,Administración pública y defensa; seguridad social obligatoria,Administración pública y defensa; S.social obligatoria,
P,85,851001,Escuelas Infantiles de primer ciclo,Escuelas Infantiles de primer ciclo,
P,85,851002,Escuelas Infantiles de segundo ciclo,Escuelas Infantiles de segundo ciclo,
P,85,851003,Centros de Cuidado infantil,Centros de Cuidado infantil,
P,85,851007,Centros Públicos de Educación Primaria,Centros Públicos de Educación Primaria,
P,85,851008,Centros Privados de Educación Primaria,Centros Privados de Educación Primaria,
P,85,851009,Centros Privados Concertados de Educación Primaria,Centros Privados Concertados de Educación Primaria,
P,85,852001,Centros Públicos de Educación Infantil y Educación Primaria,Centros Públicos de Educación Infantil y Educación Primaria,
P,85,852002,Centros Privados de Educación Infantil y Educación Primaria,Centros Privados de Educación Infantil y Educación Primaria,
P,85,852003,Centro de educación de personas adultas (CEPA),Centro de educación de personas adultas (CEPA),
P,85,852004,Centros Privados Concertados de Educación Infantil y Educación Primaria,Centros Privados Concertados Educ Infantil y Educ Primaria,
P,85,853001,"Centros Públicos de secundaria, bachillerato y/o FP","Centro Público de secundaria, bachillerato y/o FP",
P,85,853002,"Centros Privados de primaria, secundaria, bachillerato y/o FP","Centro Privado de primaria, secundaria, bachillerato y/o FP",
P,85,853003,"Centros Privados Concertados de primaria, secundaria, bachillerato y/o FP","Centro Priv.Concertado de primaria, secund., bachill. y/o FP",
P,85,854001,Educación universitaria pública,Educación universitaria pública,
P,85,854002,Educación universitaria privada,Educación universitaria privada,
P,85,854003,Educación terciaria no universitaria,Educación terciaria no universitaria,
P,85,855001,Autoescuela,Autoescuela,
P,85,855002,"Enseñanza no reglada (deportiva y recreativa, cultural, clases de recuperación, informática)","Enseñanza no reglada (deport.,recreat.,cultur.,clas.recupe.)",
P,85,855003,Enseñanza de idiomas,Enseñanza de idiomas,
Q,86,861001,Actividades hospitalarias,Actividades hospitalarias,
Q,86,861002,Clinicas médicas,Clinicas médicas,
Q,86,862001,Consulta de medicina general y especialidades,Consulta de medicina general y especialidades,
Q,86,862002,Despacho médico de medicina general y especialistas,Despacho médico de medicina general y especialistas,
Q,86,862003,Consulta de estomatólogos y odontólogos,Consulta de estomatólogos y odontólogos,
Q,86,862004,Despacho de estomatólogo y odontólogo,Despacho de estomatólogo y odontólogo,
Q,86,869001,Consulta de protésicos e higienistas dentales,Consulta de protésicos e higienistas dentales,
Q,86,869002,Despacho de protésicos e higienistas dentales,Despacho de protésicos e higienistas dentales,
Q,86,869003,Consulta de podología,Consulta de podología,
Q,86,869004,Despacho de podólogos,Despacho de podólogos,
Q,86,869005,Consulta de ópticos-optometristas,Consulta de ópticos-optometristas,
Q,86,869006,Despacho de ópticos-optometristas,Despacho de ópticos-optometristas,
Q,86,869007,Fisioterapeutas y otras actividades sanitarias,Fisioterapeutas y otras actividades sanitarias,
Q,86,869008,Despacho de fisioterapeutas,Despacho de fisioterapeutas,
Q,86,869009,"Servicios parasanitarios (Naturopatía, Acupuntura, Homeopatía)","Servic.parasanitarios (naturopatía, acupuntura, homeopatía)",
Q,86,869010,Despacho de Dietistas,Despacho de Dietistas,
Q,87,870001,"Asistencia en establecimientos residenciales para mayores, discapacitados, drogodependientes, centros de convalecencia, personas sin hogar","Asist.en residenc.a mayores, discapac.,drogode.,pers.s/hogar",
Q,88,881001,Actividades de servicios sociales sin alojamiento para personas mayores y discapacitados,Activ.servic.sociales s/alojamiento para mayores y discapac.,
Q,88,889002,Otros actividades de servicios sociales (labores de asesoramiento y orientación) sin alojamiento n.c.o.p.,"Otras activ.serv.social.s/alojam.(asesor.,orienta.) n.c.o.p.",
R,90,900001,"Actividades de creación, artísticas y espectáculos","Actividades de creación, artísticas y espectáculos",
R,90,900002,Locales de exhibiciones eróticas,Locales de exhibiciones eróticas,
R,90,900003,Teatro y actividades escénicas realizadas en directo,Teatro y actividades escénicas realizadas en directo,
R,91,910001,"Actividades de bibliotecas, archivos, museos y de galerías y salas de exposiciones sin venta","Activ.bibliotecas.,archivos.,museos y salas de expos.s/venta",
R,91,910002,"Parques zoológicos, jardines botánicos y reservas naturales","Parques zoológicos, jardines botánicos y reservas naturales",
R,92,920001,Juegos de azar y apuestas de gestión pública o con autorización especial (Estado y ONCE),Juegos de azar y apuestas de gestión púbca. o autoriz.espec.,
R,92,920002,"Juegos de azar y apuestas de gestión privada (Bingos, casinos, máquinas tragaperras)","Juegos azar y apuestas de gestión priv.(bingos,tragaperras)",
R,93,931001,Gestión de instalaciones deportivas,Gestión de instalaciones deportivas,
R,93,931002,Piscinas de uso público de temporada,Piscinas de uso público de temporada,
R,93,931003,Piscinas de uso público climatizadas,Piscinas de uso público climatizadas,
R,93,931008,Actividades de los gimnasios,Actividades de los gimnasios,
R,93,931009,Actividades de clubes deportivos y otras actividades deportivas,Actividades clubes deportivos y otras actividades deportivas,
R,93,931010,Piscinas de Comunidades de Vecinos de temporada,Piscinas de Comunidades de Vecinos de temporada,
R,93,931011,Piscinas de Comunidades de Vecinos climatizadas,Piscinas de Comunidades de Vecinos climatizadas,
R,93,932001,Centros de recreo y esparcimiento infantil con cocina,Centros de recreo y esparcimiento infantil con cocina,
R,93,932002,Centros de recreo y esparcimiento infantil sin cocina,Centros de recreo y esparcimiento infantil sin cocina,
R,93,932004,Salas de fiesta con restauración,Salas de fiesta con restauración,
R,93,932005,Salas de fiesta sin restauración,Salas de fiesta sin restauración,
R,93,932006,Discotecas y salas de baile,Discotecas y salas de baile,
R,93,932007,Salones de recreo y diversión y otras actividades recreativas,Salones de recreo y diversión y otras activ.recreativas,
S,94,949101,Actividades de organizaciones religiosas,Actividades de organizaciones religiosas,
S,94,949201,Actividades de organizaciones políticas,Actividades de organizaciones políticas,
S,94,949901,Sociedades protectoras de animales,Sociedades protectoras de animales,
S,94,949902,Otras actividades asociativas n.c.o.p.,Otras actividades asociativas n.c.o.p.,
S,95,951001,Reparación de ordenadores y equipos de comunicación,Reparación de ordenadores y equipos de comunicación,
S,95,952001,Reparación de bicicletas,Reparación de bicicletas,
S,95,952002,Reparación de calzado,Reparación de calzado,
S,95,952003,Tapicería,Tapicería,
S,95,952004,Arreglo de ropa,Arreglo de ropa,
S,95,952005,Reparación de otros efectos personales y artículos de uso doméstico n.c.o.p.,Reparación efectos personales y art.uso doméstico n.c.o.p.,
S,96,960101,Lavado y limpieza de prendas textiles y de piel,Lavado y limpieza de prendas textiles y de piel,
S,96,960201,Servicio de peluquería,Servicio de peluquería,
S,96,960202,Instituto de belleza,Instituto de belleza,
S,96,960203,Centro de estética,Centro de estética,
S,96,960204,Institutos o centros capilares,Institutos o centros capilares,
S,96,960205,Centros de bronceado,Centros de bronceado,
S,96,960206,Centros de fotodepilación y/o Depilación por luz o técnicas luminicas,Centros de fotodepilación y/o depilac.por luz o técn.lumini.,
S,96,960301,Pompas fúnebres y actividades relacionadas,Pompas fúnebres y actividades relacionadas,
S,96,960401,Balnearios y spa urbanos,Balnearios y spa urbanos,
S,96,960403,"	Saunas, baños turcos y similares","	Saunas, baños turcos y similares",
S,96,960901,Centros de tatuaje y/o piercing (anillado),Centros de tatuaje y/o piercing (anillado),
S,96,960902,Tratamiento higienico de animales (peluquerías),Tratamiento higienico de animales (peluquerías),
S,96,960903,"Adiestramiento, cuidado de animales, residencias caninas y centros de animales abandonados","Adiestram.,cuidado de animales, resi.canina y de anim.aband.",
S,96,960904,"Otras servicios personales (astrología, agencias de contactos) n.c.o.p.","Otros serv.personales (astrolog., agenc.contactos) n.c.o.p.",
U,99,990001,Actividades de organizaciones y organismos extraterritoriales,Actividades organizaciones y organismos extraterritoriales,
Z,,000000,Local sin Actividad,Local sin Actividad,
