Latitude(deg),Longitude(deg),Depth(m),Pore,Pressure(MPa),Uncertainty(+/-,MPa),,,,
53.90,-117.84,4594,94.13,8.14,,,,,,
53.90,-117.82,4566,93.30,8.14,,,,,,
53.90,-117.80,4548,92.80,8.14,,,,,,
53.90,-117.78,4555,92.99,8.13,,,,,,
53.90,-117.76,4552,92.85,8.13,,,,,,
53.90,-117.74,4575,93.48,8.12,,,,,,
53.90,-117.72,4610,94.46,8.11,,,,,,
53.90,-117.70,4557,92.88,8.10,,,,,,
53.90,-117.68,4519,91.72,8.08,,,,,,
53.90,-117.66,4497,91.05,8.06,,,,,,
53.90,-117.64,4441,89.37,8.03,,,,,,
53.90,-117.62,4396,88.04,7.99,,,,,,
53.90,-117.60,4356,86.84,7.95,,,,,,
53.90,-117.58,4323,85.86,7.89,,,,,,
53.90,-117.56,4280,84.62,7.83,,,,,,
53.90,-117.54,4244,83.55,7.76,,,,,,
53.90,-117.52,4200,82.28,7.67,,,,,,
53.90,-117.50,4163,81.19,7.58,,,,,,
53.90,-117.48,4173,81.48,7.47,,,,,,
53.90,-117.46,4184,81.78,7.35,,,,,,
53.90,-117.44,4164,81.20,7.21,,,,,,
53.90,-117.42,4114,79.77,7.06,,,,,,
53.90,-117.40,4068,78.48,6.90,,,,,,
53.90,-117.38,4000,76.58,6.71,,,,,,
53.90,-117.36,3982,76.14,6.50,,,,,,
53.90,-117.34,4000,76.75,6.27,,,,,,
53.90,-117.32,4008,77.13,6.02,,,,,,
53.90,-117.30,3992,76.82,5.74,,,,,,
53.90,-117.28,3979,76.60,5.43,,,,,,
53.90,-117.26,3946,75.81,5.09,,,,,,
53.90,-117.24,3924,75.33,4.71,,,,,,
53.90,-117.22,3912,75.17,4.30,,,,,,
53.90,-117.20,3891,74.74,3.86,,,,,,
53.90,-117.18,3894,75.04,3.45,,,,,,
53.90,-117.16,3905,75.57,3.21,,,,,,
53.90,-117.14,3863,74.49,3.30,,,,,,
53.90,-117.12,3762,71.65,3.64,,,,,,
53.90,-117.10,3704,69.99,4.06,,,,,,
53.90,-117.08,3639,68.20,4.45,,,,,,
53.90,-117.06,3689,69.78,4.80,,,,,,
53.90,-117.04,3689,69.87,5.10,,,,,,
53.90,-117.02,3709,70.52,5.36,,,,,,
53.90,-117.00,3718,70.83,5.57,,,,,,
53.90,-116.98,3798,73.20,5.74,,,,,,
53.90,-116.96,3779,72.64,5.87,,,,,,
53.90,-116.94,3652,68.93,5.97,,,,,,
53.90,-116.92,3652,68.87,6.03,,,,,,
53.90,-116.90,3685,69.79,6.06,,,,,,
53.90,-116.88,3806,73.24,6.05,,,,,,
53.90,-116.86,3857,74.62,6.01,,,,,,
53.90,-116.84,3757,71.60,5.93,,,,,,
53.90,-116.82,3664,68.79,5.82,,,,,,
53.90,-116.80,3709,69.96,5.67,,,,,,
53.90,-116.78,3828,73.32,5.48,,,,,,
53.90,-116.76,3736,70.49,5.24,,,,,,
53.90,-116.74,3659,68.13,4.95,,,,,,
53.90,-116.72,3642,67.52,4.59,,,,,,
53.90,-116.70,3711,69.41,4.16,,,,,,
53.90,-116.68,3722,69.62,3.64,,,,,,
53.90,-116.66,3629,66.84,2.98,,,,,,
53.90,-116.64,3533,63.95,2.15,,,,,,
53.90,-116.62,3546,64.12,1.93,,,,,,
53.90,-116.60,3552,63.90,2.77,,,,,,
53.90,-116.58,3604,65.03,3.50,,,,,,
53.90,-116.56,3655,66.16,4.08,,,,,,
53.90,-116.54,3577,63.55,4.57,,,,,,
53.90,-116.52,3501,61.04,4.99,,,,,,
53.90,-116.50,3442,59.05,5.36,,,,,,
53.90,-116.48,3436,58.65,5.68,,,,,,
53.90,-116.46,3398,57.33,5.97,,,,,,
53.90,-116.44,3363,56.15,6.22,,,,,,
53.90,-116.42,3326,54.98,6.46,,,,,,
53.90,-116.40,3279,53.54,6.66,,,,,,
53.90,-116.38,3252,52.70,6.85,,,,,,
53.90,-116.36,3213,51.58,7.02,,,,,,
53.90,-116.34,3251,52.68,7.17,,,,,,
53.90,-116.32,3254,52.78,7.31,,,,,,
53.90,-116.30,3218,51.79,7.44,,,,,,
53.90,-116.28,3196,51.26,7.55,,,,,,
53.90,-116.26,3189,51.20,7.65,,,,,,
53.90,-116.24,3203,51.73,7.74,,,,,,
53.90,-116.22,3286,54.32,7.81,,,,,,
53.90,-116.20,3319,55.47,7.88,,,,,,
53.90,-116.18,3196,52.07,7.93,,,,,,
53.90,-116.16,3193,52.19,7.98,,,,,,
53.90,-116.14,3143,50.94,8.02,,,,,,
53.90,-116.12,3115,50.35,8.05,,,,,,
53.90,-116.10,3077,49.44,8.08,,,,,,
53.90,-116.08,3042,48.65,8.10,,,,,,
53.90,-116.06,3011,47.87,8.11,,,,,,
53.90,-116.04,2991,47.35,8.12,,,,,,
53.90,-116.02,2957,46.41,8.13,,,,,,
53.90,-116.00,2937,45.87,8.13,,,,,,
53.90,-115.98,2908,45.10,8.14,,,,,,
53.90,-115.96,2880,44.30,8.14,,,,,,
53.90,-115.94,2828,42.78,8.14,,,,,,
53.90,-115.92,2789,41.63,8.14,,,,,,
53.90,-115.90,2767,40.97,8.14,,,,,,
53.90,-115.88,2738,40.12,8.14,,,,,,
53.90,-115.86,2699,38.99,8.14,,,,,,
53.90,-115.84,2698,38.95,8.14,,,,,,
53.90,-115.82,2718,39.54,8.14,,,,,,
53.90,-115.80,2756,40.64,8.14,,,,,,
53.90,-115.78,2742,40.25,8.14,,,,,,
53.90,-115.76,2729,39.86,8.14,,,,,,
53.90,-115.74,2704,39.13,8.14,,,,,,
53.90,-115.72,2726,39.79,8.14,,,,,,
53.90,-115.70,2734,40.00,8.14,,,,,,
53.90,-115.68,2751,40.50,8.14,,,,,,
53.90,-115.66,2730,39.90,8.14,,,,,,
53.90,-115.64,2702,39.07,8.14,,,,,,
53.90,-115.62,2666,38.04,8.14,,,,,,
53.90,-115.60,2665,37.99,8.14,,,,,,
53.90,-115.58,2637,37.18,8.14,,,,,,
53.90,-115.56,2605,36.26,8.14,,,,,,
53.90,-115.54,2560,34.95,8.14,,,,,,
53.90,-115.52,2543,34.44,8.14,,,,,,
53.90,-115.50,2554,34.77,8.14,,,,,,
53.92,-118.50,5467,119.53,8.14,,,,,,
53.92,-118.48,5383,117.10,8.14,,,,,,
53.92,-118.46,5338,115.77,8.14,,,,,,
53.92,-118.44,5285,114.25,8.14,,,,,,
53.92,-118.42,5249,113.20,8.14,,,,,,
53.92,-118.40,5246,113.10,8.14,,,,,,
53.92,-118.38,5257,113.43,8.14,,,,,,
53.92,-118.36,5304,114.80,8.14,,,,,,
53.92,-118.34,5312,115.03,8.14,,,,,,
53.92,-118.32,5291,114.40,8.14,,,,,,
53.92,-118.30,5251,113.25,8.14,,,,,,
53.92,-118.28,5237,112.85,8.14,,,,,,
53.92,-118.26,5233,112.72,8.14,,,,,,
53.92,-118.24,5187,111.38,8.14,,,,,,
53.92,-118.22,5132,109.79,8.14,,,,,,
53.92,-118.20,5096,108.73,8.14,,,,,,
53.92,-118.18,5057,107.62,8.14,,,,,,
53.92,-118.16,5037,107.01,8.14,,,,,,
53.92,-118.14,5044,107.23,8.14,,,,,,
53.92,-118.12,5014,106.36,8.14,,,,,,
53.92,-118.10,4978,105.30,8.14,,,,,,
53.92,-118.08,4899,103.02,8.14,,,,,,
53.92,-118.06,4890,102.74,8.14,,,,,,
53.92,-118.04,4866,102.05,8.14,,,,,,
53.92,-118.02,4797,100.03,8.14,,,,,,
53.92,-118.00,4757,98.88,8.14,,,,,,
53.92,-117.98,4713,97.60,8.14,,,,,,
53.92,-117.96,4696,97.09,8.14,,,,,,
53.92,-117.94,4665,96.19,8.14,,,,,,
53.92,-117.92,4638,95.41,8.14,,,,,,
53.92,-117.90,4610,94.60,8.14,,,,,,
53.92,-117.88,4587,93.92,8.14,,,,,,
53.92,-117.86,4567,93.30,8.14,,,,,,
53.92,-117.84,4543,92.57,8.14,,,,,,
53.92,-117.82,4518,91.74,8.14,,,,,,
53.92,-117.80,4500,91.11,8.14,,,,,,
53.92,-117.78,4516,91.46,8.13,,,,,,
53.92,-117.76,4529,91.74,8.13,,,,,,
53.92,-117.74,4552,92.28,8.12,,,,,,
53.92,-117.72,4573,92.75,8.11,,,,,,
53.92,-117.70,4548,91.92,8.10,,,,,,
53.92,-117.68,4483,89.94,8.08,,,,,,
53.92,-117.66,4441,88.66,8.05,,,,,,
53.92,-117.64,4377,86.74,8.02,,,,,,
53.92,-117.62,4345,85.75,7.98,,,,,,
53.92,-117.60,4303,84.52,7.94,,,,,,
53.92,-117.58,4267,83.44,7.88,,,,,,
53.92,-117.56,4215,81.93,7.82,,,,,,
53.92,-117.54,4175,80.75,7.75,,,,,,
53.92,-117.52,4147,79.96,7.66,,,,,,
53.92,-117.50,4122,79.22,7.57,,,,,,
53.92,-117.48,4099,78.58,7.46,,,,,,
53.92,-117.46,4103,78.74,7.34,,,,,,
53.92,-117.44,4085,78.29,7.20,,,,,,
53.92,-117.42,4072,78.07,7.05,,,,,,
53.92,-117.40,4048,77.54,6.88,,,,,,
53.92,-117.38,4006,76.51,6.69,,,,,,
53.92,-117.36,3949,75.08,6.47,,,,,,
53.92,-117.34,3921,74.50,6.24,,,,,,
53.92,-117.32,3943,75.34,5.97,,,,,,
53.92,-117.30,3950,75.77,5.67,,,,,,
53.92,-117.28,3928,75.32,5.34,,,,,,
53.92,-117.26,3911,74.97,4.96,,,,,,
53.92,-117.24,3888,74.48,4.52,,,,,,
53.92,-117.22,3864,73.98,4.01,,,,,,
53.92,-117.20,3846,73.63,3.39,,,,,,
53.92,-117.18,3828,73.30,2.59,,,,,,
53.92,-117.16,3811,72.94,1.48,,,,,,
53.92,-117.14,3810,72.97,2.07,,,,,,
53.92,-117.12,3773,72.02,2.99,,,,,,
53.92,-117.10,3669,69.11,3.65,,,,,,
53.92,-117.08,3589,66.94,4.17,,,,,,
53.92,-117.06,3625,68.07,4.58,,,,,,
53.92,-117.04,3611,67.76,4.92,,,,,,
53.92,-117.02,3589,67.17,5.20,,,,,,
53.92,-117.00,3589,67.17,5.43,,,,,,
53.92,-116.98,3656,69.12,5.61,,,,,,
53.92,-116.96,3689,70.06,5.75,,,,,,
53.92,-116.94,3617,67.90,5.85,,,,,,
53.92,-116.92,3670,69.37,5.91,,,,,,
53.92,-116.90,3647,68.63,5.95,,,,,,
53.92,-116.88,3669,69.16,5.94,,,,,,
53.92,-116.86,3742,71.14,5.91,,,,,,
53.92,-116.84,3722,70.40,5.84,,,,,,
53.92,-116.82,3612,67.03,5.74,,,,,,
53.92,-116.80,3615,66.96,5.59,,,,,,
53.92,-116.78,3665,68.22,5.41,,,,,,
53.92,-116.76,3731,69.96,5.18,,,,,,
53.92,-116.74,3642,67.21,4.90,,,,,,
53.92,-116.72,3584,65.34,4.57,,,,,,
53.92,-116.70,3663,67.48,4.16,,,,,,
53.92,-116.68,3598,65.43,3.68,,,,,,
53.92,-116.66,3537,63.48,3.10,,,,,,
53.92,-116.64,3540,63.42,2.51,,,,,,
53.92,-116.62,3523,62.65,2.41,,,,,,
53.92,-116.60,3554,63.19,2.95,,,,,,
53.92,-116.58,3607,64.33,3.57,,,,,,
53.92,-116.56,3647,65.10,4.11,,,,,,
53.92,-116.54,3589,63.06,4.57,,,,,,
53.92,-116.52,3504,60.28,4.98,,,,,,
53.92,-116.50,3446,58.32,5.34,,,,,,
53.92,-116.48,3428,57.54,5.65,,,,,,
53.92,-116.46,3383,56.05,5.94,,,,,,
53.92,-116.44,3333,54.45,6.19,,,,,,
53.92,-116.42,3305,53.51,6.42,,,,,,
53.92,-116.40,3273,52.50,6.63,,,,,,
53.92,-116.38,3231,51.26,6.82,,,,,,
53.92,-116.36,3194,50.21,6.99,,,,,,
53.92,-116.34,3272,52.53,7.14,,,,,,
53.92,-116.32,3320,53.97,7.28,,,,,,
53.92,-116.30,3256,52.18,7.40,,,,,,
53.92,-116.28,3252,52.18,7.52,,,,,,
53.92,-116.26,3296,53.58,7.62,,,,,,
53.92,-116.24,3283,53.39,7.71,,,,,,
53.92,-116.22,3313,54.46,7.79,,,,,,
53.92,-116.20,3307,54.50,7.86,,,,,,
53.92,-116.18,3273,53.72,7.92,,,,,,
53.92,-116.16,3298,54.67,7.97,,,,,,
53.92,-116.14,3289,54.64,8.01,,,,,,
53.92,-116.12,3231,53.19,8.04,,,,,,
53.92,-116.10,3194,52.37,8.07,,,,,,
53.92,-116.08,3131,50.80,8.09,,,,,,
53.92,-116.06,3100,50.14,8.11,,,,,,
53.92,-116.04,3078,49.73,8.12,,,,,,
53.92,-116.02,3021,48.18,8.13,,,,,,
53.92,-116.00,2996,47.50,8.13,,,,,,
53.92,-115.98,2967,46.70,8.14,,,,,,
53.92,-115.96,2921,45.41,8.14,,,,,,
53.92,-115.94,2866,43.85,8.14,,,,,,
53.92,-115.92,2824,42.64,8.14,,,,,,
53.92,-115.90,2782,41.40,8.14,,,,,,
53.92,-115.88,2720,39.60,8.14,,,,,,
53.92,-115.86,2688,38.66,8.14,,,,,,
53.92,-115.84,2693,38.82,8.14,,,,,,
53.92,-115.82,2722,39.67,8.14,,,,,,
53.92,-115.80,2721,39.63,8.14,,,,,,
53.92,-115.78,2724,39.71,8.14,,,,,,
53.92,-115.76,2716,39.48,8.14,,,,,,
53.92,-115.74,2711,39.35,8.14,,,,,,
53.92,-115.72,2741,40.22,8.14,,,,,,
53.92,-115.70,2738,40.13,8.14,,,,,,
53.92,-115.68,2719,39.57,8.14,,,,,,
53.92,-115.66,2699,38.99,8.14,,,,,,
53.92,-115.64,2691,38.76,8.14,,,,,,
53.92,-115.62,2690,38.72,8.14,,,,,,
53.92,-115.60,2676,38.33,8.14,,,,,,
53.92,-115.58,2623,36.77,8.14,,,,,,
53.92,-115.56,2582,35.59,8.14,,,,,,
53.92,-115.54,2564,35.07,8.14,,,,,,
53.92,-115.52,2563,35.03,8.14,,,,,,
53.92,-115.50,2604,36.23,8.14,,,,,,
53.94,-118.50,5482,119.97,8.14,,,,,,
53.94,-118.48,5435,118.59,8.14,,,,,,
53.94,-118.46,5381,117.02,8.14,,,,,,
53.94,-118.44,5351,116.16,8.14,,,,,,
53.94,-118.42,5283,114.18,8.14,,,,,,
53.94,-118.40,5198,111.70,8.14,,,,,,
53.94,-118.38,5172,110.94,8.14,,,,,,
53.94,-118.36,5184,111.31,8.14,,,,,,
53.94,-118.34,5216,112.23,8.14,,,,,,
53.94,-118.32,5229,112.62,8.14,,,,,,
53.94,-118.30,5202,111.83,8.14,,,,,,
53.94,-118.28,5175,111.04,8.14,,,,,,
53.94,-118.26,5157,110.51,8.14,,,,,,
53.94,-118.24,5145,110.17,8.14,,,,,,
53.94,-118.22,5146,110.20,8.14,,,,,,
53.94,-118.20,5115,109.29,8.14,,,,,,
53.94,-118.18,5076,108.15,8.14,,,,,,
53.94,-118.16,5040,107.12,8.14,,,,,,
53.94,-118.14,4994,105.76,8.14,,,,,,
53.94,-118.12,4932,103.98,8.14,,,,,,
53.94,-118.10,4899,103.02,8.14,,,,,,
53.94,-118.08,4855,101.74,8.14,,,,,,
53.94,-118.06,4836,101.18,8.14,,,,,,
53.94,-118.04,4846,101.47,8.14,,,,,,
53.94,-118.02,4811,100.45,8.14,,,,,,
53.94,-118.00,4733,98.18,8.14,,,,,,
53.94,-117.98,4691,96.96,8.14,,,,,,
53.94,-117.96,4664,96.17,8.14,,,,,,
53.94,-117.94,4648,95.69,8.14,,,,,,
53.94,-117.92,4600,94.25,8.14,,,,,,
53.94,-117.90,4564,93.10,8.14,,,,,,
53.94,-117.88,4544,92.36,8.14,,,,,,
53.94,-117.86,4528,91.75,8.14,,,,,,
53.94,-117.84,4503,90.83,8.14,,,,,,
53.94,-117.82,4476,89.86,8.14,,,,,,
53.94,-117.80,4454,89.04,8.13,,,,,,
53.94,-117.78,4445,88.61,8.13,,,,,,
53.94,-117.76,4439,88.28,8.13,,,,,,
53.94,-117.74,4463,88.85,8.12,,,,,,
53.94,-117.72,4506,89.96,8.11,,,,,,
53.94,-117.70,4480,89.12,8.09,,,,,,
53.94,-117.68,4460,88.43,8.07,,,,,,
53.94,-117.66,4421,87.23,8.05,,,,,,
53.94,-117.64,4371,85.74,8.02,,,,,,
53.94,-117.62,4338,84.74,7.98,,,,,,
53.94,-117.60,4281,83.09,7.93,,,,,,
53.94,-117.58,4244,82.02,7.88,,,,,,
53.94,-117.56,4179,80.14,7.82,,,,,,
53.94,-117.54,4135,78.85,7.75,,,,,,
53.94,-117.52,4109,78.12,7.66,,,,,,
53.94,-117.50,4075,77.17,7.57,,,,,,
53.94,-117.48,4053,76.59,7.47,,,,,,
53.94,-117.46,4030,76.05,7.35,,,,,,
53.94,-117.44,4026,76.08,7.21,,,,,,
53.94,-117.42,4036,76.55,7.07,,,,,,
53.94,-117.40,4014,76.11,6.90,,,,,,
53.94,-117.38,3984,75.51,6.71,,,,,,
53.94,-117.36,3923,74.02,6.50,,,,,,
53.94,-117.34,3895,73.47,6.27,,,,,,
53.94,-117.32,3879,73.29,6.01,,,,,,
53.94,-117.30,3851,72.75,5.72,,,,,,
53.94,-117.28,3881,73.92,5.39,,,,,,
53.94,-117.26,3875,74.04,5.03,,,,,,
53.94,-117.24,3847,73.48,4.62,,,,,,
53.94,-117.22,3828,73.13,4.15,,,,,,
53.94,-117.20,3814,72.92,3.62,,,,,,
53.94,-117.18,3786,72.20,3.06,,,,,,
53.94,-117.16,3746,71.10,2.65,,,,,,
53.94,-117.14,3753,71.44,2.78,,,,,,
53.94,-117.12,3780,72.40,3.27,,,,,,
53.94,-117.10,3793,72.90,3.77,,,,,,
53.94,-117.08,3730,71.18,4.21,,,,,,
53.94,-117.06,3656,69.12,4.58,,,,,,
53.94,-117.04,3615,67.96,4.89,,,,,,
53.94,-117.02,3572,66.75,5.15,,,,,,
53.94,-117.00,3543,65.91,5.36,,,,,,
53.94,-116.98,3475,63.90,5.53,,,,,,
53.94,-116.96,3483,64.10,5.67,,,,,,
53.94,-116.94,3518,65.04,5.76,,,,,,
53.94,-116.92,3563,66.23,5.83,,,,,,
53.94,-116.90,3591,66.90,5.86,,,,,,
53.94,-116.88,3571,66.16,5.87,,,,,,
53.94,-116.86,3510,64.22,5.84,,,,,,
53.94,-116.84,3544,64.99,5.78,,,,,,
53.94,-116.82,3523,64.17,5.69,,,,,,
53.94,-116.80,3586,65.77,5.57,,,,,,
53.94,-116.78,3732,69.78,5.41,,,,,,
53.94,-116.76,3705,68.72,5.22,,,,,,
53.94,-116.74,3633,66.36,4.99,,,,,,
53.94,-116.72,3547,63.59,4.72,,,,,,
53.94,-116.70,3495,61.81,4.43,,,,,,
53.94,-116.68,3471,60.86,4.12,,,,,,
53.94,-116.66,3456,60.15,3.82,,,,,,
53.94,-116.64,3564,63.00,3.62,,,,,,
53.94,-116.62,3618,64.24,3.60,,,,,,
53.94,-116.60,3578,62.73,3.78,,,,,,
53.94,-116.58,3520,60.66,4.08,,,,,,
53.94,-116.56,3542,60.95,4.43,,,,,,
53.94,-116.54,3476,58.68,4.78,,,,,,
53.94,-116.52,3457,57.84,5.11,,,,,,
53.94,-116.50,3493,58.65,5.41,,,,,,
53.94,-116.48,3499,58.61,5.70,,,,,,
53.94,-116.46,3442,56.75,5.96,,,,,,
53.94,-116.44,3379,54.79,6.19,,,,,,
53.94,-116.42,3304,52.53,6.41,,,,,,
53.94,-116.40,3274,51.61,6.61,,,,,,
53.94,-116.38,3234,50.44,6.79,,,,,,
53.94,-116.36,3181,48.93,6.96,,,,,,
53.94,-116.34,3172,48.73,7.11,,,,,,
53.94,-116.32,3267,51.62,7.25,,,,,,
53.94,-116.30,3321,53.31,7.37,,,,,,
53.94,-116.28,3282,52.33,7.49,,,,,,
53.94,-116.26,3310,53.29,7.59,,,,,,
53.94,-116.24,3286,52.77,7.68,,,,,,
53.94,-116.22,3216,50.96,7.77,,,,,,
53.94,-116.20,3182,50.22,7.84,,,,,,
53.94,-116.18,3277,53.22,7.90,,,,,,
53.94,-116.16,3248,52.64,7.95,,,,,,
53.94,-116.14,3252,53.02,7.99,,,,,,
53.94,-116.12,3259,53.49,8.03,,,,,,
53.94,-116.10,3220,52.63,8.06,,,,,,
53.94,-116.08,3162,51.23,8.08,,,,,,
53.94,-116.06,3180,52.02,8.10,,,,,,
53.94,-116.04,3132,50.91,8.12,,,,,,
53.94,-116.02,3160,52.00,8.13,,,,,,
53.94,-116.00,3172,52.51,8.13,,,,,,
53.94,-115.98,3085,50.05,8.14,,,,,,
53.94,-115.96,2989,47.32,8.14,,,,,,
53.94,-115.94,2915,45.20,8.14,,,,,,
53.94,-115.92,2835,42.93,8.14,,,,,,
53.94,-115.90,2785,41.50,8.14,,,,,,
53.94,-115.88,2710,39.32,8.14,,,,,,
53.94,-115.86,2678,38.38,8.14,,,,,,
53.94,-115.84,2679,38.41,8.14,,,,,,
53.94,-115.82,2689,38.69,8.14,,,,,,
53.94,-115.80,2682,38.50,8.14,,,,,,
53.94,-115.78,2689,38.69,8.14,,,,,,
53.94,-115.76,2722,39.64,8.14,,,,,,
53.94,-115.74,2761,40.81,8.14,,,,,,
53.94,-115.72,2734,40.02,8.14,,,,,,
53.94,-115.70,2754,40.58,8.14,,,,,,
53.94,-115.68,2725,39.76,8.14,,,,,,
53.94,-115.66,2678,38.37,8.14,,,,,,
53.94,-115.64,2663,37.95,8.14,,,,,,
53.94,-115.62,2665,38.00,8.14,,,,,,
53.94,-115.60,2678,38.37,8.14,,,,,,
53.94,-115.58,2653,37.65,8.14,,,,,,
53.94,-115.56,2624,36.80,8.14,,,,,,
53.94,-115.54,2623,36.77,8.14,,,,,,
53.94,-115.52,2638,37.22,8.14,,,,,,
53.94,-115.50,2648,37.50,8.14,,,,,,
53.96,-118.50,5486,120.09,8.14,,,,,,
53.96,-118.48,5434,118.59,8.14,,,,,,
53.96,-118.46,5379,116.97,8.14,,,,,,
53.96,-118.44,5324,115.37,8.14,,,,,,
53.96,-118.42,5280,114.10,8.14,,,,,,
53.96,-118.40,5234,112.75,8.14,,,,,,
53.96,-118.38,5162,110.66,8.14,,,,,,
53.96,-118.36,5124,109.56,8.14,,,,,,
53.96,-118.34,5113,109.22,8.14,,,,,,
53.96,-118.32,5131,109.75,8.14,,,,,,
53.96,-118.30,5126,109.60,8.14,,,,,,
53.96,-118.28,5144,110.14,8.14,,,,,,
53.96,-118.26,5098,108.81,8.14,,,,,,
53.96,-118.24,5093,108.66,8.14,,,,,,
53.96,-118.22,5096,108.74,8.14,,,,,,
53.96,-118.20,5069,107.96,8.14,,,,,,
53.96,-118.18,5049,107.36,8.14,,,,,,
53.96,-118.16,5012,106.31,8.14,,,,,,
53.96,-118.14,4976,105.24,8.14,,,,,,
53.96,-118.12,4940,104.20,8.14,,,,,,
53.96,-118.10,4920,103.61,8.14,,,,,,
53.96,-118.08,4844,101.40,8.14,,,,,,
53.96,-118.06,4801,100.14,8.14,,,,,,
53.96,-118.04,4771,99.29,8.14,,,,,,
53.96,-118.02,4748,98.60,8.14,,,,,,
53.96,-118.00,4718,97.74,8.14,,,,,,
53.96,-117.98,4670,96.29,8.14,,,,,,
53.96,-117.96,4615,94.56,8.14,,,,,,
53.96,-117.94,4581,93.42,8.14,,,,,,
53.96,-117.92,4560,92.58,8.14,,,,,,
53.96,-117.90,4541,91.80,8.14,,,,,,
53.96,-117.88,4532,91.30,8.14,,,,,,
53.96,-117.86,4522,90.78,8.14,,,,,,
53.96,-117.84,4496,89.84,8.13,,,,,,
53.96,-117.82,4470,88.89,8.13,,,,,,
53.96,-117.80,4440,87.86,8.13,,,,,,
53.96,-117.78,4397,86.44,8.12,,,,,,
53.96,-117.76,4384,85.94,8.12,,,,,,
53.96,-117.74,4392,86.03,8.11,,,,,,
53.96,-117.72,4400,86.14,8.10,,,,,,
53.96,-117.70,4436,87.08,8.08,,,,,,
53.96,-117.68,4399,85.95,8.06,,,,,,
53.96,-117.66,4376,85.25,8.04,,,,,,
53.96,-117.64,4323,83.69,8.01,,,,,,
53.96,-117.62,4288,82.71,7.97,,,,,,
53.96,-117.60,4232,81.09,7.93,,,,,,
53.96,-117.58,4207,80.37,7.88,,,,,,
53.96,-117.56,4147,78.65,7.82,,,,,,
53.96,-117.54,4103,77.41,7.75,,,,,,
53.96,-117.52,4080,76.78,7.67,,,,,,
53.96,-117.50,4048,75.94,7.59,,,,,,
53.96,-117.48,4031,75.58,7.49,,,,,,
53.96,-117.46,4054,76.39,7.37,,,,,,
53.96,-117.44,4026,75.79,7.25,,,,,,
53.96,-117.42,3983,74.80,7.11,,,,,,
53.96,-117.40,3991,75.27,6.95,,,,,,
53.96,-117.38,3971,74.97,6.77,,,,,,
53.96,-117.36,3933,74.14,6.57,,,,,,
53.96,-117.34,3907,73.64,6.35,,,,,,
53.96,-117.32,3867,72.78,6.11,,,,,,
53.96,-117.30,3817,71.55,5.85,,,,,,
53.96,-117.28,3846,72.70,5.57,,,,,,
53.96,-117.26,3842,72.86,5.26,,,,,,
53.96,-117.24,3829,72.78,4.93,,,,,,
53.96,-117.22,3790,71.92,4.58,,,,,,
53.96,-117.20,3771,71.61,4.25,,,,,,
53.96,-117.18,3756,71.37,3.96,,,,,,
53.96,-117.16,3753,71.48,3.80,,,,,,
53.96,-117.14,3731,70.99,3.81,,,,,,
53.96,-117.12,3637,68.33,3.97,,,,,,
53.96,-117.10,3589,67.04,4.22,,,,,,
53.96,-117.08,3609,67.68,4.49,,,,,,
53.96,-117.06,3611,67.81,4.74,,,,,,
53.96,-117.04,3605,67.68,4.98,,,,,,
53.96,-117.02,3554,66.20,5.18,,,,,,
53.96,-117.00,3528,65.45,5.36,,,,,,
53.96,-116.98,3476,63.88,5.50,,,,,,
53.96,-116.96,3442,62.84,5.62,,,,,,
53.96,-116.94,3447,62.89,5.70,,,,,,
53.96,-116.92,3447,62.76,5.76,,,,,,
53.96,-116.90,3408,61.47,5.79,,,,,,
53.96,-116.88,3445,62.33,5.80,,,,,,
53.96,-116.86,3472,62.89,5.78,,,,,,
53.96,-116.84,3522,64.06,5.73,,,,,,
53.96,-116.82,3448,61.61,5.66,,,,,,
53.96,-116.80,3504,62.89,5.57,,,,,,
53.96,-116.78,3637,66.41,5.45,,,,,,
53.96,-116.76,3698,67.80,5.30,,,,,,
53.96,-116.74,3639,65.72,5.13,,,,,,
53.96,-116.72,3607,64.40,4.95,,,,,,
53.96,-116.70,3520,61.47,4.76,,,,,,
53.96,-116.68,3461,59.40,4.57,,,,,,
53.96,-116.66,3399,57.20,4.42,,,,,,
53.96,-116.64,3427,57.65,4.34,,,,,,
53.96,-116.62,3479,58.78,4.34,,,,,,
53.96,-116.60,3595,61.76,4.43,,,,,,
53.96,-116.58,3552,60.16,4.59,,,,,,
53.96,-116.56,3465,57.27,4.81,,,,,,
53.96,-116.54,3436,56.14,5.05,,,,,,
53.96,-116.52,3457,56.48,5.30,,,,,,
53.96,-116.50,3462,56.39,5.54,,,,,,
53.96,-116.48,3463,56.26,5.78,,,,,,
53.96,-116.46,3425,55.03,6.00,,,,,,
53.96,-116.44,3405,54.38,6.22,,,,,,
53.96,-116.42,3356,52.93,6.42,,,,,,
53.96,-116.40,3259,50.10,6.60,,,,,,
53.96,-116.38,3237,49.50,6.78,,,,,,
53.96,-116.36,3182,48.00,6.94,,,,,,
53.96,-116.34,3144,47.01,7.08,,,,,,
53.96,-116.32,3164,47.74,7.22,,,,,,
53.96,-116.30,3237,50.04,7.34,,,,,,
53.96,-116.28,3271,51.23,7.45,,,,,,
53.96,-116.26,3214,49.78,7.56,,,,,,
53.96,-116.24,3172,48.78,7.65,,,,,,
53.96,-116.22,3132,47.86,7.74,,,,,,
53.96,-116.20,3128,48.00,7.81,,,,,,
