col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29
,,0.0025,0.04,0.03,0.04,0,,0.0025,0,0.015,0.0016410771489674,0,-0.015,0.04,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0.042,0.03,0.042,0,,0.005,0,0.05,0.0052477217893519,0,-0.005,0.042,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.042,0.03,0.042,0,,0.005,0,0.05,0.0052440615682688,0,-0.005,0.042,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.042,0.03,0.042,0,,0.005,0,0.05,0.0052402223356559,0,-0.005,0.042,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.042,0.03,0.042,0,,0.005,0,0.05,0.0052363253054279,0,-0.005,0.042,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.042,0.03,0.042,0,,0.005,0,0.05,0.0052327558489735,0,-0.005,0.042,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.005,0,0.01
,,0.0025,0.042,0.03,0.042,0,,0.0025,0,0.015,0.0016339841304404,0,-0.015,0.042,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0,0.03,0,0,,0.0025,0,0.015,0.0016327553761276,0,-0.015,0,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0,0.03,0,0,,0.0025,0,0.015,0.0016314680684707,0,-0.015,0,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0,0.03,0,0,,0.0025,0,0.015,0.0016302053037129,0,-0.015,0,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0,0.03,0,0,,0.0025,0,0.015,0.0016288829441935,0,-0.015,0,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
,,0.0025,0,0.03,0,0,,0.0025,0,0.015,0.0016275428431227,0,-0.015,0,0.005,0.0025,0.025,0.02,0.02,0.015,0,0.01,0,0,,0.015,-0.015,0,0.01
