Ref. No.,Supplier Name,Payment Date,Invoice NET £,Directorate,Cost Type
Aug8863,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,318.40","Children, Families & Education",Home to School Transport - Hired
Aug8882,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,335.00","Children, Families & Education",Home to School Transport - Hired
Aug8894,PALM BAY TRAVEL,5-Aug-10,"1,345.00","Children, Families & Education",Home to School Transport - Hired
Aug8900,ST GEORGE'S TRANSPORT LTD#TN10 4QN,5-Aug-10,"1,350.00","Children, Families & Education",Home to School Transport - Hired
Aug8902,MR A J SUTCH,5-Aug-10,"1,350.00","Children, Families & Education",Home to School Transport - Hired
Aug8909,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,360.00","Children, Families & Education",Home to School Transport - Hired
Aug8910,RICKY LAW,5-Aug-10,"1,360.00","Children, Families & Education",Home to School Transport - Hired
Aug8917,CENTRAL TAXIS (DOVER) LTD,5-Aug-10,"1,360.00","Children, Families & Education",Home to School Transport - Hired
Aug8918,EXPRESS NATIONAL LTD,5-Aug-10,"1,360.00","Children, Families & Education",Home to School Transport - Hired
Aug8973,MR CLIVE RAWLINGS,5-Aug-10,"1,406.00","Children, Families & Education",Specialists Fees
Aug9001,GRANARY CARS#TN12 6EL,5-Aug-10,"1,431.57","Children, Families & Education",Home to School Transport - Hired
Aug9003,KENSWAY TOURS,5-Aug-10,"1,440.00","Children, Families & Education",Home to School Transport - Hired
Aug9015,PALM BAY TRAVEL,5-Aug-10,"1,445.00","Children, Families & Education",Home to School Transport - Hired
Aug9049,THE RAINHAM COACH CO,5-Aug-10,"1,482.45","Children, Families & Education",Home to School Transport - Hired
Aug9052,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,484.10","Children, Families & Education",Home to School Transport - Hired
Aug9079,KENSWAY TOURS,5-Aug-10,"1,504.00","Children, Families & Education",Home to School Transport - Hired
Aug9084,ZEBEDEES LUNCHBOX,5-Aug-10,"1,504.08","Children, Families & Education",Refreshments
Aug9092,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,513.60","Children, Families & Education",Home to School Transport - Hired
Aug9113,EXPRESS NATIONAL LTD,5-Aug-10,"1,530.00","Children, Families & Education",Home to School Transport - Hired
Aug9161,MR CLIVE RAWLINGS,5-Aug-10,"1,566.00","Children, Families & Education",Specialists Fees
Aug9162,MR CLIVE RAWLINGS,5-Aug-10,"1,566.00","Children, Families & Education",Specialists Fees
Aug9185,EXPRESS NATIONAL LTD,5-Aug-10,"1,598.00","Children, Families & Education",Home to School Transport - Hired
Aug9209,PETER'S ORCHID CARS,5-Aug-10,"1,615.00","Children, Families & Education",Home to School Transport - Hired
Aug9219,1ST CHOICE TAXIS LTD,5-Aug-10,"1,630.50","Children, Families & Education",Home to School Transport - Hired
Aug9226,DAVE BRENNAN TRANSPORT,5-Aug-10,"1,635.76","Children, Families & Education",Home to School Transport - Hired
Aug9242,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,658.35","Children, Families & Education",Home to School Transport - Hired
Aug9243,DAVE BRENNAN TRANSPORT,5-Aug-10,"1,658.69","Children, Families & Education",Home to School Transport - Hired
Aug9246,ALLEN'S (KENT) LTD,5-Aug-10,"1,663.79","Children, Families & Education",Home to School Transport - Hired
Aug9258,ALLEN'S TAXI & CAR HIRE LIMITED,5-Aug-10,"1,674.33","Children, Families & Education",Home to School Transport - Hired
Aug9275,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,700.00","Children, Families & Education",Home to School Transport - Hired
Aug9276,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,700.00","Children, Families & Education",Home to School Transport - Hired
Aug9284,EXPRESS NATIONAL LTD,5-Aug-10,"1,700.00","Children, Families & Education",Home to School Transport - Hired
Aug9314,KENNETH ROBERT SIMMS TA KENSKABS,5-Aug-10,"1,750.00","Children, Families & Education",Home to School Transport - Hired
Aug9318,ATTACHMENTS FOSTERING LTD,5-Aug-10,"1,753.61","Children, Families & Education",Private Contractors
Aug9328,GRANARY CARS#TN12 6EL,5-Aug-10,"1,768.00","Children, Families & Education",Home to School Transport - Hired
Aug9329,EXPRESS NATIONAL LTD,5-Aug-10,"1,768.00","Children, Families & Education",Home to School Transport - Hired
Aug9333,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,785.00","Children, Families & Education",Home to School Transport - Hired
Aug9334,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,785.00","Children, Families & Education",Home to School Transport - Hired
Aug9346,KENSWAY TOURS,5-Aug-10,"1,802.00","Children, Families & Education",Home to School Transport - Hired
Aug9359,KENT COUNTY COUNCIL,5-Aug-10,"1,821.10","Children, Families & Education",Printing and photocopying
Aug9372,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"1,853.00","Children, Families & Education",Home to School Transport - Hired
Aug9375,DAVID EVANS,5-Aug-10,"1,856.40","Children, Families & Education",Home to School Transport - Hired
Aug9411,DAVE BRENNAN TRANSPORT,5-Aug-10,"1,908.76","Children, Families & Education",Home to School Transport - Hired
Aug9423,EXPRESS NATIONAL LTD,5-Aug-10,"1,938.00","Children, Families & Education",Home to School Transport - Hired
Aug9435,PALM BAY TRAVEL,5-Aug-10,"1,955.00","Children, Families & Education",Home to School Transport - Hired
Aug9470,ALLEN'S (KENT) LTD,5-Aug-10,"2,009.74","Children, Families & Education",Home to School Transport - Hired
Aug9483,KENSWAY TOURS,5-Aug-10,"2,040.00","Children, Families & Education",Home to School Transport - Hired
Aug9500,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"2,059.55","Children, Families & Education",Home to School Transport - Hired
Aug9504,KENT TOP TEMPS LTD,5-Aug-10,"2,062.50","Children, Families & Education",Agency Staff
Aug9505,KENT TOP TEMPS LTD,5-Aug-10,"2,062.50","Children, Families & Education",Agency Staff
Aug9511,KENSWAY TOURS,5-Aug-10,"2,074.00","Children, Families & Education",Home to School Transport - Hired
Aug9517,THE PARENTS CONSORTIUM,5-Aug-10,"2,100.00","Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug9531,CENTRAL TAXIS (DOVER) LTD,5-Aug-10,"2,125.00","Children, Families & Education",Home to School Transport - Hired
Aug9540,VALLEY TRAVEL,5-Aug-10,"2,142.44","Children, Families & Education",Home to School Transport - Hired
Aug9555,OUTLOOK FOSTERING SERVICES LTD,5-Aug-10,"2,175.60","Children, Families & Education",Private Contractors
Aug9567,ALLEN'S (KENT) LTD,5-Aug-10,"2,200.35","Children, Families & Education",Home to School Transport - Hired
Aug9572,YOUNGS TRAVEL,5-Aug-10,"2,210.00","Children, Families & Education",Home to School Transport - Hired
Aug9581,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"2,225.30","Children, Families & Education",Home to School Transport - Hired
Aug9586,ETHELBERT SPECIALIST HOMES LTD,5-Aug-10,"2,241.13","Children, Families & Education",Private Contractors
Aug9598,KENSWAY TOURS,5-Aug-10,"2,261.00","Children, Families & Education",Home to School Transport - Hired
Aug9630,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,5-Aug-10,"2,380.00","Children, Families & Education",Home to School Transport - Hired
Aug9634,MR CLIVE RAWLINGS,5-Aug-10,"2,384.00","Children, Families & Education",Specialists Fees
Aug9635,MR CLIVE RAWLINGS,5-Aug-10,"2,384.00","Children, Families & Education",Specialists Fees
Aug9636,MR CLIVE RAWLINGS,5-Aug-10,"2,384.00","Children, Families & Education",Specialists Fees
Aug9637,MR CLIVE RAWLINGS,5-Aug-10,"2,384.00","Children, Families & Education",Specialists Fees
Aug9638,MR CLIVE RAWLINGS,5-Aug-10,"2,384.00","Children, Families & Education",Specialists Fees
Aug9663,YOUNGS TRAVEL,5-Aug-10,"2,448.00","Children, Families & Education",Home to School Transport - Hired
Aug9691,HEATH FARM FAMILY SERVICES LTD,5-Aug-10,"2,520.00","Children, Families & Education",Private Contractors
Aug9701,MAIDSTONE PRIVATE HIRE#ME8 9TA,5-Aug-10,"2,545.00","Children, Families & Education",Home to School Transport - Hired
Aug9710,THE CANTERBURY PSYCHOLOGICAL CLINIC LTD,5-Aug-10,"2,560.00","Children, Families & Education",Specialists Fees
Aug9732,1ST CHOICE TAXIS LTD,5-Aug-10,"2,660.50","Children, Families & Education",Home to School Transport - Hired
Aug9780,EXPRESS NATIONAL LTD,5-Aug-10,"2,821.00","Children, Families & Education",Home to School Transport - Hired
Aug9797,CAPITAL CARE & FOSTER LTD,5-Aug-10,"2,876.48","Children, Families & Education",Private Contractors
Aug9876,WHOLE SCHOOLS MEALS LIMITED,5-Aug-10,"3,170.00","Children, Families & Education",Catering Provisions and Catering Equipment
Aug9889,CAPITAL CARE & FOSTER LTD,5-Aug-10,"3,196.12","Children, Families & Education",Private Contractors
Aug9890,CAPITAL CARE & FOSTER LTD,5-Aug-10,"3,196.12","Children, Families & Education",Private Contractors
Aug9891,CAPITAL CARE & FOSTER LTD,5-Aug-10,"3,196.12","Children, Families & Education",Private Contractors
Aug9892,CAPITAL CARE & FOSTER LTD,5-Aug-10,"3,196.12","Children, Families & Education",Private Contractors
Aug9903,CARE UK#SY6 6BX,5-Aug-10,"3,265.72","Children, Families & Education",Private Contractors
Aug9920,DIRECT CARE LTD#PE8 9AZ,5-Aug-10,"3,317.16","Children, Families & Education",Private Contractors
Aug9925,VALLEY TRAVEL,5-Aug-10,"3,340.96","Children, Families & Education",Home to School Transport - Hired
Aug9954,1ST CHOICE TAXIS LTD,5-Aug-10,"3,465.00","Children, Families & Education",Home to School Transport - Hired
Aug9968,CHRYSALIS CARE,5-Aug-10,"3,530.75","Children, Families & Education",Private Contractors
Aug9974,OUTLOOK FOSTERING SERVICES LTD,5-Aug-10,"3,568.41","Children, Families & Education",Private Contractors
Aug9993,VALLEY TRAVEL,5-Aug-10,"3,668.14","Children, Families & Education",Home to School Transport - Hired
Aug10007,LINGFIELD MINIBUSES,5-Aug-10,"3,741.00","Children, Families & Education",Home to School Transport - Hired
Aug10033,NEXT STEP FOSTERING,5-Aug-10,"3,826.29","Children, Families & Education",Private Contractors
Aug10091,WILBERJIM GARAGE TENTERDEN LTD,5-Aug-10,"4,108.00","Children, Families & Education",Home to School Transport - Hired
Aug10231,HAZEL WILLIAMS EDUCATION MANAGEMENT CONSULTANCY LIMITED,5-Aug-10,"4,700.00","Children, Families & Education",Specialists Fees
Aug10268,VALLEY TRAVEL,5-Aug-10,"4,874.26","Children, Families & Education",Home to School Transport - Hired
Aug10269,SOUTHAMPTON CITY COUNCIL,5-Aug-10,"4,888.66","Children, Families & Education",Private Contractors
Aug10421,HEATH FARM FAMILY SERVICES LTD,5-Aug-10,"5,913.25","Children, Families & Education",Private Contractors
Aug10422,HEATH FARM FAMILY SERVICES LTD,5-Aug-10,"5,913.25","Children, Families & Education",Private Contractors
Aug10456,MAIDSTONE MENCAP CHARITABLE TRUST LTD,5-Aug-10,"6,150.00","Children, Families & Education",Service Agency Agreements
Aug10515,TM SECURITY,5-Aug-10,"6,618.00","Children, Families & Education",Building Works - Main Contract
Aug10528,OUTLOOK FOSTERING SERVICES LTD,5-Aug-10,"6,780.01","Children, Families & Education",Private Contractors
Aug10699,ACTION FOR CHILDREN SERVICES LIMITED,5-Aug-10,"8,711.50","Children, Families & Education",Grants
Aug10704,R&J COACHES,5-Aug-10,"8,799.54","Children, Families & Education",Home to School Transport - Hired
Aug10781,EXPRESS CABS & COURIERS LTD,5-Aug-10,"9,847.00","Children, Families & Education",Home to School Transport - Hired
Aug10944,CHILD FIRST LTD,5-Aug-10,"13,200.00","Children, Families & Education",Private Contractors
Aug10946,PILGRIMS CORNER FOSTERING SERVICES,5-Aug-10,"13,285.05","Children, Families & Education",Private Contractors
Aug10995,DIRECT CARE LTD#PE8 9AZ,5-Aug-10,"14,980.00","Children, Families & Education",Private Contractors
Aug10996,DIRECT CARE LTD#PE8 9AZ,5-Aug-10,"14,980.00","Children, Families & Education",Private Contractors
Aug11009,ACTION FOR CHILDREN SERVICES LIMITED,5-Aug-10,"15,195.63","Children, Families & Education",Service Agency Agreements
Aug11031,DIRECT CARE LTD#PE8 9AZ,5-Aug-10,"16,563.66","Children, Families & Education",Private Contractors
Aug11091,ACTION FOR CHILDREN SERVICES LIMITED,5-Aug-10,"20,609.88","Children, Families & Education",Service Agency Agreements
Aug11119,ACTION FOR CHILDREN SERVICES LIMITED,5-Aug-10,"23,459.50","Children, Families & Education",Service Agency Agreements
Aug11130,EXPRESS CABS & COURIERS LTD,5-Aug-10,"25,022.20","Children, Families & Education",Home to School Transport - Hired
Aug11141,ACTION FOR CHILDREN SERVICES LIMITED,5-Aug-10,"26,833.00","Children, Families & Education",Service Agency Agreements
Aug11158,ACTION FOR CHILDREN SERVICES LIMITED,5-Aug-10,"28,397.50","Children, Families & Education",Service Agency Agreements
Aug11835,CONNEXIONS KENT & MEDWAY,5-Aug-10,"1,033,420.08","Children, Families & Education",Agency and Contracted Services
Aug11844,SK8SIDE,5-Aug-10,500.00,Communities,"External - Rent, Room Hire & Service Charges"
Aug11856,THE CANTERBURY CAMPUS#CT2 8QA,5-Aug-10,506.49,Communities,Refreshments
Aug11865,KENT TOP TEMPS LTD,5-Aug-10,516.86,Communities,Agency Staff
Aug11872,H F TRUST LIMITED#BS16 7FL,5-Aug-10,524.20,Communities,Specialists Fees
Aug11895,THE HOLT JACKSON BOOK CO LTD,5-Aug-10,543.10,Communities,"Books, Publications and Newspapers etc"
Aug11903,MELTDOWNS LTD,5-Aug-10,550.00,Communities,"External - Rent, Room Hire & Service Charges"
Aug11927,DR MICHAEL JOHN HEATH,5-Aug-10,580.80,Communities,Specialists Fees
Aug12061,HICHROM LIMITED,5-Aug-10,763.50,Communities,"Equipment, Furniture and Materials and Livestock"
Aug12088,CIVICA SERVICES LIMITED,5-Aug-10,807.22,Communities,Computer and Other IT Expenditure (Software)
Aug12093,MELTDOWNS LTD,5-Aug-10,815.00,Communities,"External - Rent, Room Hire & Service Charges"
Aug12109,WESTBOURNE HYGIENE & MEDICAL LTD,5-Aug-10,852.30,Communities,Cleaning Materials and Domestic Supplies
Aug12122,LGC LIMITED,5-Aug-10,880.00,Communities,Specialists Fees
Aug12151,HER MAJESTY'S COURTS SERVICE,5-Aug-10,960.00,Communities,"External - Rent, Room Hire & Service Charges"
Aug12152,HER MAJESTY'S COURTS SERVICE,5-Aug-10,960.00,Communities,"External - Rent, Room Hire & Service Charges"
Aug12177,HER MAJESTY'S COURTS SERVICE,5-Aug-10,"1,020.00",Communities,"External - Rent, Room Hire & Service Charges"
Aug12190,H F TRUST LIMITED#BS16 7FL,5-Aug-10,"1,048.40",Communities,Specialists Fees
Aug12240,SEVENOAKS DISTRICT COUNCIL,5-Aug-10,"1,250.00",Communities,Specialists Fees
Aug12274,THANET COMMERCIALS LTD,5-Aug-10,"1,468.35",Communities,"Repairs, Maintenance and Running Costs"
Aug12287,HOLIDAY INN,5-Aug-10,"1,596.81",Communities,External Training
Aug12304,OAKLEAF ELECTRICAL CONTRACTORS LTD#NEW,5-Aug-10,"1,735.00",Communities,"Repairs, Alterations and Maintenance of Buildings"
Aug12329,KCS LASER,5-Aug-10,"1,910.08",Communities,Electricity
Aug12370,ASHFORD INTERNATIONAL HOTEL PLC,5-Aug-10,"2,404.26",Communities,Refreshments
Aug12402,FRENCHAY MEWS,5-Aug-10,"2,841.43",Communities,Private Contractors
Aug12406,KENWARD TRUST,5-Aug-10,"2,914.29",Communities,Private Contractors
Aug12432,UNIVERSITY OF KENT,5-Aug-10,"3,363.37",Communities,Refreshments
Aug12615,EAST KENT HOSPITALS UNIVERSITY NHS,5-Aug-10,"41,236.64",Communities,District Health Authorities
Aug12672,INVESTMENT PROPERTY DATABANK LTD,5-Aug-10,"1,000.00",Pensions,Performance Measurement Fees
Aug12674,MHS HOMES LTD,5-Aug-10,"1,279.00",Pensions,Employees Contributions
Aug12678,MHS HOMES LTD,5-Aug-10,"1,714.14",Pensions,Other Employee Conts
Aug12683,MHS HOMES LTD,5-Aug-10,"3,080.40",Pensions,Employees Contributions
Aug12688,SURREY COUNTY COUNCIL,5-Aug-10,"3,561.27",Pensions,Transfer Out
Aug12691,MHS HOMES LTD,5-Aug-10,"5,487.79",Pensions,Employers Contributions
Aug12700,MHS HOMES LTD,5-Aug-10,"11,878.96",Pensions,Employers Contributions
Aug12718,DERBYSHIRE COUNTY COUNCIL,5-Aug-10,"212,097.67",Pensions,Transfer Out
Aug108,KENT TOP TEMPS LTD,6-Aug-10,534.38,"Environment, Highways & Waste",Sundry Debtors - General
Aug109,CLEARTRACK (SALCEY-EVL) LIMITED,6-Aug-10,"1,308.52","Environment, Highways & Waste",Sundry Debtors - General
Aug110,CORY ENVIROMENTAL LIMITED,6-Aug-10,592.08,"Environment, Highways & Waste",Private Contractors
Aug111,CORY ENVIROMENTAL LIMITED,6-Aug-10,"31,886.40","Environment, Highways & Waste",Private Contractors
Aug112,COUNTRYSTYLE RECYCLING LTD,6-Aug-10,"2,485.80","Environment, Highways & Waste",Private Contractors
Aug113,COUNTRYSTYLE RECYCLING LTD,6-Aug-10,622.80,"Environment, Highways & Waste",Private Contractors
Aug114,COUNTRYSTYLE RECYCLING LTD,6-Aug-10,"1,026.90","Environment, Highways & Waste",Private Contractors
Aug115,COUNTRYSTYLE RECYCLING LTD,6-Aug-10,"16,582.50","Environment, Highways & Waste",Private Contractors
Aug116,COUNTRYSTYLE RECYCLING LTD,6-Aug-10,"1,963.50","Environment, Highways & Waste",Private Contractors
Aug117,COUNTRYSTYLE RECYCLING LTD,6-Aug-10,"12,755.60","Environment, Highways & Waste",Private Contractors
Aug118,G BRIDGLAND LTD,6-Aug-10,"6,200.00","Environment, Highways & Waste",Sundry Debtors - General
Aug119,G BRIDGLAND LTD,6-Aug-10,"8,340.00","Environment, Highways & Waste",Sundry Debtors - General
Aug120,KENT COMMUNITY RECYCLING,6-Aug-10,"11,172.32","Environment, Highways & Waste",Private Contractors
Aug121,LANGFORD & CHAMBERLAYNE LTD,6-Aug-10,"5,064.99","Environment, Highways & Waste",Community Asset
Aug122,MALDWYN DEVELOPMENT CONSULTANCY LTD#SY21 1AR,6-Aug-10,"3,000.00","Environment, Highways & Waste",Consultants
Aug123,MID-SUSSEX TIMBER CO LTD,6-Aug-10,"3,610.50","Environment, Highways & Waste",Infrastructure
Aug124,PINDEN LIMITED,6-Aug-10,"3,993.67","Environment, Highways & Waste",Private Contractors
Aug125,PINDEN LIMITED,6-Aug-10,"1,160.00","Environment, Highways & Waste",Private Contractors
Aug126,PINDEN LIMITED,6-Aug-10,"1,020.00","Environment, Highways & Waste",Private Contractors
Aug127,POYNTERS COACHES WYE LTD,6-Aug-10,"3,000.00","Environment, Highways & Waste",Sundry Debtors - General
Aug128,VIRIDOR WASTE KENT LTD,6-Aug-10,"11,114.08","Environment, Highways & Waste",Private Contractors
Aug129,VIRIDOR WASTE KENT LTD,6-Aug-10,"6,433.92","Environment, Highways & Waste",Private Contractors
Aug130,VIRIDOR WASTE KENT LTD,6-Aug-10,"117,450.34","Environment, Highways & Waste",Private Contractors
Aug131,VIRIDOR WASTE KENT LTD,6-Aug-10,"1,808.20","Environment, Highways & Waste",Private Contractors
Aug132,VIRIDOR WASTE KENT LTD,6-Aug-10,"29,293.01","Environment, Highways & Waste",Private Contractors
Aug133,VIRIDOR WASTE KENT LTD,6-Aug-10,"38,642.66","Environment, Highways & Waste",Private Contractors
Aug134,COPPARD PLANT HIRE LTD#NEW,6-Aug-10,"17,181.97","Environment, Highways & Waste",Infrastructure
Aug135,F M CONWAY LTD#NEW,6-Aug-10,"5,394.85","Environment, Highways & Waste",Sundry Debtors - General
Aug136,LAMB-LATORE LTD#NEW,6-Aug-10,"2,550.22","Environment, Highways & Waste",Private Contractors
Aug137,RINGWAY INFRASTRUCTURE SERVICES LIMITED#NEW,6-Aug-10,"38,634.34","Environment, Highways & Waste",Sundry Debtors - General
Aug138,SETSQUARE LIMITED#NEW,6-Aug-10,"2,188.80","Environment, Highways & Waste",Furniture and Fittings
Aug139,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,"1,412.20","Environment, Highways & Waste",Private Contractors
Aug140,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,"2,895.36","Environment, Highways & Waste",Private Contractors
Aug141,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,"1,016.80","Environment, Highways & Waste",Private Contractors
Aug142,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,"1,270.88","Environment, Highways & Waste",Private Contractors
Aug143,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,772.72,"Environment, Highways & Waste",Private Contractors
Aug144,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,"1,512.16","Environment, Highways & Waste",Private Contractors
Aug145,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,"2,461.71","Environment, Highways & Waste",Private Contractors
Aug146,THANET WASTE SERVICES LIMITED T/A TW SERVICES#NEW,6-Aug-10,"4,403.60","Environment, Highways & Waste",Private Contractors
Aug147,VEOLIA ES (UK) LIMITED#NEW,6-Aug-10,"1,521.05","Environment, Highways & Waste",Private Contractors
Aug148,HEXTABLE PARISH COUNCIL,6-Aug-10,"1,104.66","Environment, Highways & Waste",Sundry Debtors - General
Aug149,GARETH AMOS T/A LINDEN SERVICES#NEW,6-Aug-10,"5,821.55","Environment, Highways & Waste",Specialists Fees
Aug150,DARTFORD BOROUGH COUNCIL,6-Aug-10,"33,938.28","Environment, Highways & Waste",Sundry Debtors - General
Aug151,DARTFORD BOROUGH COUNCIL,6-Aug-10,"17,113.55","Environment, Highways & Waste",Sundry Debtors - General
Aug152,DARTFORD BOROUGH COUNCIL,6-Aug-10,"2,601.22","Environment, Highways & Waste",Sundry Debtors - General
Aug153,DARTFORD BOROUGH COUNCIL,6-Aug-10,"1,606.19","Environment, Highways & Waste",Sundry Debtors - General
Aug154,DARTFORD BOROUGH COUNCIL,6-Aug-10,"6,743.24","Environment, Highways & Waste",Sundry Debtors - General
Aug155,MAIDSTONE BOROUGH COUNCIL,6-Aug-10,"10,600.00","Environment, Highways & Waste",Sundry Debtors - General
Aug902,ACTIVE ON LEARNING#SALLY MORTON,6-Aug-10,500.00,Adult Services,External Training
Aug950,KENT TOP TEMPS LTD,6-Aug-10,523.20,Adult Services,Agency Staff
Aug963,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,528.64,Adult Services,Private Contractors
Aug1008,PHILBEACH CARE CENTRE LTD,6-Aug-10,553.00,Adult Services,Catering Provisions and Catering Equipment
Aug1024,ROYAL MENCAP SOCIETY,6-Aug-10,560.32,Adult Services,Private Contractors
Aug1044,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,567.59,Adult Services,Private Contractors
Aug1055,HERE 2 CARE LTD,6-Aug-10,578.53,Adult Services,Private Contractors
Aug1060,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,580.10,Adult Services,Private Contractors
Aug1070,AVALON ENTERPRISE (UK) LTD,6-Aug-10,588.00,Adult Services,Private Contractors
Aug1091,TOUCHE SERVICES LTD,6-Aug-10,596.19,Adult Services,Private Contractors
Aug1148,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,616.40,Adult Services,Private Contractors
Aug1165,WEST MALLING TAXIS LTD,6-Aug-10,624.00,Adult Services,Public Transport (Clients)
Aug1196,ROYAL MENCAP SOCIETY,6-Aug-10,647.88,Adult Services,Private Contractors
Aug1201,MR F W GLEESON,6-Aug-10,650.00,Adult Services,Volunteer Drivers
Aug1228,STRODE PARK FDTN DISABLED,6-Aug-10,664.28,Adult Services,Private Contractors
Aug1320,MACINTYRE CARE,6-Aug-10,725.76,Adult Services,Private Contractors
Aug1334,ROYAL MENCAP SOCIETY,6-Aug-10,735.40,Adult Services,Private Contractors
Aug1340,HOME CHOICE CARE LTD#DA12 1EW,6-Aug-10,736.64,Adult Services,Voluntary Associations
Aug1387,ALTERNATIVE CHOICE CAR SERV & BOROUGH GREEN TAXIS,6-Aug-10,762.55,Adult Services,Public Transport (Clients)
Aug1397,ROYAL MENCAP SOCIETY,6-Aug-10,770.44,Adult Services,Private Contractors
Aug1435,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,799.46,Adult Services,Private Contractors
Aug1472,AVALON ENTERPRISE (UK) LTD,6-Aug-10,823.20,Adult Services,Private Contractors
Aug1473,AVALON ENTERPRISE (UK) LTD,6-Aug-10,823.20,Adult Services,Private Contractors
Aug1474,AVALON ENTERPRISE (UK) LTD,6-Aug-10,823.20,Adult Services,Private Contractors
Aug1509,STRODE PARK FDTN DISABLED,6-Aug-10,858.12,Adult Services,Private Contractors
Aug1510,STRODE PARK - COACH HOUSE,6-Aug-10,858.12,Adult Services,Private Contractors
Aug1533,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,880.54,Adult Services,Private Contractors
Aug1535,AVALON ENTERPRISE (UK) LTD,6-Aug-10,882.00,Adult Services,Private Contractors
Aug1536,AVALON ENTERPRISE (UK) LTD,6-Aug-10,882.00,Adult Services,Private Contractors
Aug1545,SIEMENS FINANCIAL SERVICES LIMITED,6-Aug-10,890.00,Adult Services,Printing and photocopying
Aug1651,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,980.93,Adult Services,Private Contractors
Aug1658,WEST MALLING TAXIS LTD,6-Aug-10,990.00,Adult Services,Public Transport (Clients)
Aug1661,KEYCARE CANTERBURY,6-Aug-10,991.60,Adult Services,Private Contractors
Aug1671,AVALON ENTERPRISE (UK) LTD,6-Aug-10,999.60,Adult Services,Private Contractors
Aug1696,ROYAL MENCAP SOCIETY,6-Aug-10,"1,033.08",Adult Services,Private Contractors
Aug1710,MAIDSTONE CARE CENTRE,6-Aug-10,"1,048.22",Adult Services,Private Contractors
Aug1729,PRESTIGE NURSING (DARTFORD),6-Aug-10,"1,068.14",Adult Services,Private Contractors
Aug1852,ASHTON MACEY LTD,6-Aug-10,"1,176.44",Adult Services,Private Contractors
Aug1908,PHS GROUP PLC,6-Aug-10,"1,226.22",Adult Services,Stationery and Office Expenses
Aug1910,BEDSTONE LIMITED T/A HOCKEREDGE & JASMINE CENTRE,6-Aug-10,"1,230.00",Adult Services,Private Contractors
Aug1918,AVALON ENTERPRISE (UK) LTD,6-Aug-10,"1,234.80",Adult Services,Private Contractors
Aug1919,AVALON ENTERPRISE (UK) LTD,6-Aug-10,"1,234.80",Adult Services,Private Contractors
Aug1930,ROYAL MENCAP SOCIETY,6-Aug-10,"1,260.72",Adult Services,Private Contractors
Aug1932,ROYAL MENCAP SOCIETY,6-Aug-10,"1,261.72",Adult Services,Private Contractors
Aug1945,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,"1,283.75",Adult Services,Private Contractors
Aug1950,L&S CARE HOMES LTD,6-Aug-10,"1,294.15",Adult Services,Private Contractors
Aug2072,FIRST CALL CARE SERVICES LTD T/A PEOPLE TO PEOPLE,6-Aug-10,"1,325.67",Adult Services,Private Contractors
