"NHS Bath and North East Somerset CCG - Expenditure over £25,000 - November 2018",,,,,,,,,
"In some cases, items shown are under £25,000. This is because an invoice has either been split for accounting purposes or VAT has been reclaimed reseulting in a net amount lower than £25,000",,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,£683.42,,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£1,153.80",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£19,968.64",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Other,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£13,610.38",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEART OF BATH MEDICAL PARTNERSHIP,24665210,"£16,279.42",,BRS000036895
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,£203.20,,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,"£43,517.65",,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,"£1,057.35",,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,"£1,960.00",,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,£588.62,,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,£205.38,,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Medical Fees,LOCAL ENHANCED SERVICES,HILLCREST SURGERY BATH,24665180,£70.36,,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,"£3,715.58",,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HILLCREST SURGERY BATH,24665180,"£4,811.85",,BRS000036863
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,24740198,£442.00,,120PK00567474 1907
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Income tax <1Yr,BALANCE SHEET,HMRC,24740198,"£54,820.52",,120PK00567474 1907
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,24740198,£842.00,,120PK00567474 1907
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,24740198,"£36,790.61",,120PK00567474 1907
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,24740198,"£25,321.54",,120PK00567474 1907
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,24740198,"-£1,869.98",,120PK00567474 1907
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,£203.89,,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£42,445.70",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£1,030.43",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£1,561.89",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,£200.66,,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£1,028.58",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£6,716.12",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£3,538.66",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£6,254.51",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£1,509.90",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£1,968.75",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£2,264.85",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HOPE HOUSE SURGERY,24665182,"£1,312.50",,BRS000036865
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,£123.79,,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,"£23,602.14",,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,£548.63,,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,"£1,230.49",,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,£108.10,,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,"£1,788.41",,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,"£2,380.83",,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MONMOUTH SURGERY,24665184,"£1,836.40",,BRS000036867
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,£249.74,,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£52,738.13",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£1,254.32",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£1,297.65",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,£243.98,,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£7,470.73",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£5,359.18",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£4,937.12",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£3,543.75",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£3,774.75",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NEWBRIDGE SURGERY,24665186,"£4,635.00",,BRS000036869
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Charges from CSU,CORPORATE COSTS & SERVICES,NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT,24634311,"£99,543.25",,7312707354
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Serv Recd-CCGs,NON RECURRENT PROGRAMMES,NHS SWINDON CCG,24724150,"£80,659.00",654448223,7029700428
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Clinical&Medical-Serv Recd-CCGs,NON RECURRENT PROGRAMMES,NHS WILTSHIRE CCG,24866822,"£118,660.00",,7030900947
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec NHS Trust,ACUTE COMMISSIONING,NORTH BRISTOL NHS TRUST,24617924,"£657,349.00",654970112,353965
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Contract Baseline,CHILD AND ADOLESCENT MENTAL HEALTH,OXFORD HEALTH NHS FOUNDATION TRUST,24634293,"£178,647.50",GB654935896,A0111989
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Contract Baseline,CHILD AND ADOLESCENT MENTAL HEALTH,OXFORD HEALTH NHS FOUNDATION TRUST,24634305,"£26,416.67",GB654935896,A0111990
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,PULTENEY PRACTICE,24665188,£361.11,,BRS000036871
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PULTENEY PRACTICE,24665188,"£80,303.09",,BRS000036871
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,PULTENEY PRACTICE,24665188,"£1,758.13",,BRS000036871
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,PULTENEY PRACTICE,24665188,"£1,371.48",,BRS000036871
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,PULTENEY PRACTICE,24665188,£342.40,,BRS000036871
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PULTENEY PRACTICE,24665188,"£14,878.89",,BRS000036871
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PULTENEY PRACTICE,24665188,"£6,655.37",,BRS000036871
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Contract Baseline,URGENT CARE,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,24566773,"£36,076.45",654939394,10355857
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hlthcre-Foundation Trsts,ACUTE COMMISSIONING,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,24634180,"£7,230,075.02",654939394,10355843
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Contr Estate Management,NON RECURRENT PROGRAMMES,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,24634256,"£25,100.00",654939394,10355822
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,24653272,"£29,508.67",654939394,10353757
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,£195.07,,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,"£44,505.22",,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,"£1,050.23",,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,£560.00,,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,"£1,231.61",,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,£205.38,,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,"£9,581.86",,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,"£9,542.50",,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,£477.61,,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,RUSH HILL SURGERY,24665190,"£5,257.17",,BRS000036873
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,£199.71,,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,"£43,436.33",,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,"£1,034.39",,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,"£1,120.00",,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,£834.66,,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,£201.13,,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,"£3,671.67",,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,"£5,506.29",,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,"£2,780.31",,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,SOMERTON HOUSE SURGERY,24665192,"£2,614.59",,BRS000036875
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Contract Baseline,AMBULANCE SERVICES,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,24619193,"£530,665.00",654951019,6297792
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,Hcare Srv Rec Fdtn Trust-Contract Baseline,AMBULANCE SERVICES,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,24683890,"£42,693.00",654951019,6297671
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,£323.83,,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS CCG Constitution,LOCAL ENHANCED SERVICES,ST AUGUSTINES SURGERY,24665194,"£5,660.58",,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,"£75,339.32",,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,"£1,611.36",,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,£289.05,,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,£315.98,,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,"£6,289.23",,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Medical Fees,LOCAL ENHANCED SERVICES,ST AUGUSTINES SURGERY,24665194,£75.00,,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,"£1,745.83",,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST AUGUSTINES SURGERY,24665194,"£9,771.81",,BRS000036877
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,£397.66,,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£88,548.84",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£2,011.31",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,£687.07,,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,£392.05,,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,£641.05,,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,£692.28,,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£11,287.50",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£10,948.12",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£2,957.91",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£12,221.27",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£12,848.80",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24665196,"£2,667.84",,BRS000036879
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ST CHADS SURGERY,24905277,"-£39,712.65",,BRS000037146
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24905277,"-£1,804.00",,BRS000037146
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ST CHADS SURGERY,24905279,"£76,004.33",,BRS000037147
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ST CHADS SURGERY,24905279,"£14,480.60",,BRS000037147
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ST CHADS SURGERY,24905279,"£1,804.00",,BRS000037147
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,£162.14,,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,"£38,915.72",,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,£811.93,,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,£83.14,,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,£158.98,,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS List Size Adjustment,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,£940.88,,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,"£3,150.92",,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,"£4,878.75",,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24692987,£885.49,,BRS000036881
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ST MARYS SURGERY BATH,24905281,"-£24,243.36",,BRS000037148
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24905281,"-£1,821.60",,BRS000037148
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ST MARYS SURGERY BATH,24905283,"£55,118.90",,BRS000037149
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ST MARYS SURGERY BATH,24905283,"£9,516.27",,BRS000037149
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,ST MARYS SURGERY BATH,24905283,"£1,821.60",,BRS000037149
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,£228.10,,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,"£48,961.72",,BRS000036883
Department of Health,NHS Bath & North East Somerset CCG,11/30/18,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ST MICHAELS SURGERY,24665198,"£1,142.69",,BRS000036883
