Table 22. Metropolitan Statistical Areas--Population by Age: 2008,,,,,,,,,,,
,,,,,,,,,,,
See Notes,,,,,,,,,,,
,,,,,,,,,,,
Metropolitan Statistical Area,"Population characteristics, 2008",,,,,,,,,,
,"Total  persons (July 1, 2008)",Number of persons by age group,,,,,Percent distribution,,,,
"Johnson City, TN",195849.0,40298.0,72780.0,51971.0,16582.0,14218.0,20.57605604317612,37.161282416555615,26.536260077917174,8.466726917165776,7.259674545185321
"Johnstown, PA",144319.0,27777.0,48651.0,40967.0,11785.0,15139.0,19.246946001565977,33.71073801786321,28.38642174627041,8.165937956887173,10.48995627741323
"Jonesboro, AR",117361.0,29222.0,45452.0,27846.0,8076.0,6765.0,24.899242508158586,38.728368026857304,23.72679169400397,6.8813319586574755,5.764265812322662
"Joplin, MO",172933.0,44501.0,62359.0,42281.0,12140.0,11652.0,25.733087380661875,36.05963003012727,24.44935321772016,7.020059791942544,6.737869579548149
"Kalamazoo-Portage, MI",323713.0,75852.0,124990.0,83072.0,20606.0,19193.0,23.431867116859685,38.61136253409656,25.662237846487475,6.365515132231328,5.9290173703249485
"Kankakee-Bradley, IL",112524.0,28238.0,42844.0,26952.0,7310.0,7180.0,25.09509082506843,38.07543279655896,23.952223525647863,6.496391880843198,6.380860971881554
"Kansas City, Missouri-Kansas",2002047.0,515127.0,726730.0,529923.0,121955.0,108312.0,25.73001532931045,36.299347617713266,26.469058918197224,6.091515334055594,5.410062800723459
"Kennewick-Richland-Pasco, WA",235841.0,66996.0,88394.0,56725.0,13249.0,10477.0,28.40727439249325,37.48033632828898,24.05222162389067,5.617767902951565,4.442399752375541
"Killeen-Temple-Fort Hood, TX",378935.0,112511.0,159115.0,73181.0,17844.0,16284.0,29.691371871165238,41.99005106416668,19.312283109240372,4.7089870294377665,4.297306925989945
"Kingsport-Bristol-Bristol, TN-VA",304689.0,62074.0,102762.0,85932.0,29360.0,24561.0,20.372904830827498,33.72684934474169,28.203184230477635,9.636055125061949,8.061006468891229
"Kingston, NY",181670.0,36728.0,67118.0,52497.0,13094.0,12233.0,20.216876754554963,36.94501018329939,28.89690097429405,7.207574172950955,6.733637914900643
"Knoxville, TN",691152.0,152652.0,253448.0,186433.0,52600.0,46019.0,22.086603236335854,36.670370627589875,26.974240109266844,7.61048220941269,6.658303817394727
"Kokomo, IN",99304.0,23781.0,32479.0,27857.0,8405.0,6782.0,23.947675823733185,32.70663820188512,28.052243615564326,8.463908805284783,6.8295335535325865
"La Crosse, WI-MN",131872.0,28498.0,51879.0,33660.0,8456.0,9379.0,21.610349429750062,39.34042101431691,25.524751273962632,6.412278573161855,7.112199708808542
"Lafayette, IN",192870.0,42017.0,91303.0,39395.0,10186.0,9969.0,21.785140249909265,47.339140353606055,20.42567532534868,5.281277544459999,5.1687665266759995
"Lafayette, LA",259073.0,67041.0,100556.0,64661.0,14551.0,12264.0,25.877262393225074,38.813770636075546,24.95860240163969,5.61656367124324,4.733800897816446
"Lake Charles, LA",192856.0,49199.0,69788.0,49769.0,12949.0,11151.0,25.510743767370474,36.18658480939146,25.806301074376737,6.714336084954578,5.782034263906749
"Lake Havasu City-Kingman, AZ",196281.0,43058.0,59913.0,50357.0,22791.0,20162.0,21.93691697107718,30.524095556880187,25.65556523555515,11.611414247940454,10.272007988547031
"Lakeland, FL",580594.0,139886.0,202473.0,136413.0,49190.0,52632.0,24.09360069170539,34.87342273602552,23.495420207580512,8.472357619954735,9.065198744733841
"Lancaster, PA",502370.0,125391.0,174126.0,129000.0,35567.0,38286.0,24.95989012082728,34.66090729940084,25.67828492943448,7.079841551048033,7.621076099289368
"Lansing-East Lansing, MI",454035.0,101423.0,183897.0,117669.0,27535.0,23511.0,22.338145737663396,40.502824672106776,25.91628398691731,6.064510445229994,5.1782351580825265
"Laredo, TX",236941.0,88558.0,86501.0,41946.0,10461.0,9475.0,37.37554918735044,36.50740057651483,17.703141288337605,4.415023149222802,3.998885798574329
"Las Cruces, NM",201603.0,55315.0,79645.0,42071.0,12743.0,11829.0,27.43758773430951,39.50586052786913,20.86824104800028,6.320838479586118,5.867472210234967
"Las Vegas-Paradise, Nevada",1865746.0,492906.0,722546.0,453338.0,115536.0,81420.0,26.41870865594781,38.726922099792795,24.297948380969327,6.192482792405826,4.363938070884247
"Lawrence, KS",114748.0,21721.0,59705.0,22770.0,5335.0,5217.0,18.929305957402306,52.03140795482274,19.843483110816745,4.649318506640639,4.546484470317566
"Lawton, OK",111772.0,31269.0,42397.0,25711.0,6838.0,5557.0,27.97570053322836,37.9316823533622,23.00307769387682,6.1178112586336475,4.971728160898973
"Lebanon, PA",128934.0,28828.0,44548.0,34020.0,10273.0,11265.0,22.35872616997844,34.551010594567764,26.38559262878682,7.967642359656879,8.737028247010098
"Lewiston, Idaho-Washington",60395.0,13352.0,19936.0,15868.0,5355.0,5884.0,22.10779037999834,33.009355079062836,26.27369815382068,8.866628032121865,9.742528354996274
"Lewiston-Auburn, ME",106877.0,24177.0,37767.0,29462.0,7703.0,7768.0,22.62133106281052,35.33688258465338,27.566267765749412,7.2073505057215295,7.26816808106515
"Lexington-Fayette, KY",453424.0,104821.0,184290.0,114611.0,27338.0,22364.0,23.11765588058859,40.64407706693955,25.27678287871837,6.029235329404707,4.932248844348777
"Lima, OH",105168.0,25559.0,36346.0,27663.0,7631.0,7969.0,24.303019930016735,34.55994218773771,26.303628480146052,7.256009432527004,7.577399969572493
"Lincoln, NE",295486.0,70110.0,125425.0,68551.0,15841.0,15559.0,23.727012447290228,42.44701948654082,23.19940707850795,5.360998490622229,5.265562497038776
"Little Rock-North Little Rock-Conway, AR",675069.0,169780.0,248774.0,175665.0,44509.0,36341.0,25.150021701485333,36.85164035083821,26.021784439812816,6.593251949060022,5.383301558803619
"Logan, UT-ID",125070.0,39979.0,54547.0,20493.0,5273.0,4778.0,31.965299432317902,43.61317662109219,16.385224274406333,4.216039018149837,3.820260654033741
"Longview, TX",204746.0,51696.0,72995.0,51038.0,14888.0,14129.0,25.24884491027908,35.651490139001496,24.927471110546726,7.271448526466939,6.900745313705762
"Longview, WA",101254.0,24414.0,35939.0,26994.0,7399.0,6508.0,24.111640033973966,35.49390641357378,26.65968751851779,7.307365634937879,6.427400398996583
"Los Angeles-Long Beach-Santa Ana, California",12872808.0,3314817.0,5067311.0,3092907.0,736233.0,661540.0,25.75053554748894,39.364457234194745,24.026669239531888,5.719288285819225,5.1390496929652025
"Louisville-Jefferson County, Kentucky-Indiana",1244696.0,300549.0,443251.0,343372.0,83885.0,73639.0,24.1463779107509,35.611185381812106,27.586816379260476,6.739396607685732,5.916223720490787
"Lubbock, TX",270610.0,68885.0,112294.0,58504.0,15896.0,15031.0,25.45545249621226,41.49661875023096,21.61930453420051,5.874136210783046,5.554488008573223
"Lynchburg, VA",245809.0,51687.0,91625.0,63962.0,19995.0,18540.0,21.027301685454965,37.27487602162655,26.021016317547364,8.134364486247453,7.542441489123669
"Macon, GA",230777.0,59431.0,81857.0,60054.0,15841.0,13594.0,25.75256633026688,35.47017250419236,26.022523908361748,6.864202238524636,5.890535018654372
"Madera, CA",148333.0,41276.0,60587.0,31163.0,7954.0,7353.0,27.826579385571655,40.8452603264277,21.00881125575563,5.362259241032002,4.957089791213014
"Madison, WI",561505.0,124001.0,232965.0,146488.0,30242.0,27809.0,22.0836858086749,41.48939012119215,26.088458695826393,5.385882583414217,4.952582790892334
"Manchester-Nashua, NH",402042.0,97611.0,140957.0,117375.0,24799.0,21300.0,24.278806691838167,35.06026733525353,29.194711000343247,6.168261027454843,5.297953945110213
"Mansfield, OH",124999.0,28483.0,42525.0,34206.0,10318.0,9467.0,22.78658229265834,34.02027216217729,27.365018920151364,8.254466035728287,7.573660589284714
"McAllen-Edinburg-Mission, TX",726604.0,260350.0,270672.0,125081.0,33584.0,36917.0,35.83107167040093,37.2516528948368,17.214466201672437,4.622049974951968,5.080759258137857
"Medford, OR",201138.0,43144.0,67706.0,55840.0,16936.0,17512.0,21.44994978571926,33.661466256997684,27.76203402638984,8.4200896896658,8.706460241227417
"Memphis, Tennessee-Mississippi-Arkansas",1285732.0,350038.0,467013.0,334728.0,75088.0,58865.0,27.224802680496403,36.322732886791336,26.034041308764188,5.840097314214781,4.578325809733288
"Merced, CA",246117.0,76722.0,96353.0,48609.0,13056.0,11377.0,31.172978705249943,39.14926640581512,19.75036263240654,5.3047940613610605,4.622598195167339
"Miami-Fort Lauderdale-Miami Beach, Florida",5414772.0,1204361.0,1884704.0,1422610.0,420002.0,483095.0,22.242136880370957,34.80671023636822,26.272759037684317,7.756596214946816,8.921797630629692
"Michigan City-La Porte, IN",110888.0,25448.0,39763.0,30227.0,7813.0,7637.0,22.949282158574416,35.85870427819061,27.259036144578314,7.045848062910324,6.887129355746338
"Midland, TX",129494.0,36241.0,45615.0,32486.0,7570.0,7582.0,27.98662486292801,35.225570296693284,25.086876612043802,5.845830694858449,5.855097533476455
"Milwaukee-Waukesha-West Allis, Wisconsin",1549308.0,386542.0,545117.0,425395.0,97881.0,94373.0,24.94933221799668,35.184546907393496,27.457096974907508,6.317723783779597,6.091300115922722
"Minneapolis-St. Paul-Bloomington, Minnesota-Wisconsin",3229878.0,811923.0,1222090.0,869088.0,176532.0,150245.0,25.137884464985984,37.8370328538725,26.907765556469936,5.46559343727534,4.651723687396242
"Missoula, MT",107320.0,22622.0,45018.0,28360.0,6192.0,5128.0,21.07901602683563,41.94744688781215,26.425642937010807,5.769660827431979,4.77823332090943
"Mobile, AL",406309.0,106825.0,142719.0,106880.0,26867.0,23018.0,26.291566270990796,35.125729432525496,26.305102766613587,6.612455052681581,5.665146477188544
"Modesto, CA",510694.0,145476.0,198097.0,113393.0,27871.0,25857.0,28.485942658421674,38.789764516520655,22.203707112282505,5.457475513712713,5.063110199062453
"Monroe, LA",172743.0,45078.0,64177.0,41000.0,11852.0,10636.0,26.095413417620396,37.15172250105648,23.734681000098412,6.861059493004058,6.157123588220652
"Monroe, MI",152949.0,35880.0,54837.0,43163.0,10498.0,8571.0,23.458799992154248,35.853127513092595,28.22051795042792,6.8637258171024325,5.603828727222799
"Montgomery, AL",365924.0,93097.0,136297.0,92660.0,23732.0,20138.0,25.441621757523418,37.2473519091396,25.322198052054524,6.485499721253593,5.503328560028859
"Morgantown, WV",118506.0,22302.0,54059.0,28345.0,7335.0,6465.0,18.819300288592984,45.617099556140616,23.91862015425379,6.1895600222773535,5.455419978735254
"Morristown, TN",135914.0,30816.0,49707.0,34797.0,11958.0,8636.0,22.673160969436555,36.57239136512795,25.602219050281793,8.79821063319452,6.3540179819591796
"Mount Vernon-Anacortes, WA",118000.0,27756.0,42224.0,30116.0,8701.0,9203.0,23.522033898305082,35.78305084745762,25.522033898305086,7.373728813559321,7.799152542372881
"Muncie, IN",114685.0,23390.0,47195.0,27287.0,8697.0,8116.0,20.39499498626673,41.151850721541614,23.792998212495096,7.583380564153987,7.076775515542573
"Muskegon-Norton Shores, MI",174344.0,43156.0,63235.0,45471.0,11370.0,11112.0,24.753361171018216,36.27024732712339,26.081195796815493,6.521589501215987,6.373606203826918
"Myrtle Beach-Conway-North Myrtle Beach, SC",257380.0,55135.0,92452.0,65340.0,24123.0,20330.0,21.421633382547206,35.92042893775741,25.386587924469655,9.372523117569353,7.898826637656383
"Napa, CA",133433.0,30039.0,48507.0,35548.0,9570.0,9769.0,22.512421964581474,36.35307607563346,26.641085788373193,7.172138826227395,7.321277345184475
"Naples-Marco Island, FL",315258.0,64221.0,93811.0,73816.0,38875.0,44535.0,20.370934282397275,29.75689752520158,23.41447322510452,12.331170025820121,14.126524941476504
"Nashville-Davidson--Murfreesboro, Tennessee",1550733.0,383479.0,595608.0,406924.0,92766.0,71956.0,24.728886275071208,38.4081592382441,26.240751954075915,5.982074283580732,4.64012824902804
"New Haven-Milford, Connecticut",846101.0,195441.0,308977.0,224877.0,55521.0,61285.0,23.099015365777845,36.51774433548714,26.578032646220723,6.561982552910351,7.243225099603948
"New Orleans-Metairie-Kenner, Louisanna",1134029.0,266790.0,403305.0,324484.0,74845.0,64605.0,23.52585339528354,35.56390533222695,28.613377612036377,6.599919402413872,5.696944258039256
"New York-Northern New Jersey-Long Island, New York-New Jersey-Pennsylvania",19006798.0,4434291.0,7099559.0,4991315.0,1279472.0,1202161.0,23.330026446327256,37.352735584394594,26.260683151365104,6.731654642723093,6.32490017518995
"Niles-Benton Harbor, MI",159481.0,38411.0,51940.0,44312.0,12407.0,12411.0,24.085000721089035,32.56814291357591,27.785128008979125,7.779610110295271,7.7821182460606595
"Norwich-New London, CT",264519.0,60434.0,96941.0,71616.0,17729.0,17799.0,22.846752029154803,36.64802906407479,27.07404761094666,6.702354084205671,6.728817211618068
"Ocala, FL",329628.0,65693.0,106089.0,76095.0,36524.0,45227.0,19.929435606198503,32.18446248498307,23.08511412865412,11.08036938609584,13.720618394068465
"Ocean City, NJ",95838.0,19044.0,30409.0,26482.0,9318.0,10585.0,19.871032367119515,31.729585341931177,27.63204574385943,9.722656983659926,11.044679563429954
"Odessa, TX",131941.0,39273.0,48007.0,30336.0,7677.0,6648.0,29.76557703822163,36.385202476864656,22.992094951531367,5.818509788466057,5.038615744916288
"Ogden-Clearfield, UT",531488.0,166137.0,207866.0,110264.0,25758.0,21463.0,31.258843097116024,39.11019627912577,20.746282136191223,4.846393521584683,4.038284965982299
"Oklahoma City, Oklahoma",1206142.0,303764.0,458844.0,300776.0,77230.0,65528.0,25.184762656469967,38.04228689490955,24.937030631550847,6.403060336179323,5.4328594808903095
"Olympia, WA",245181.0,54018.0,93337.0,67194.0,16254.0,14378.0,22.03188664700772,38.068610536705535,27.405875659206874,6.629388084721084,5.864239072358788
"Omaha-Council Bluffs, Nebraska-Iowa",837925.0,223563.0,313143.0,209210.0,48624.0,43385.0,26.68055016857117,37.37124444311842,24.967628367694005,5.802905988006087,5.177671032610317
"Orlando-Kissimmee, Florida",2054574.0,488249.0,778025.0,514767.0,144252.0,129281.0,23.764001685994273,37.86794732143987,25.054682868565454,7.0210174955976274,6.292350628402773
"Oshkosh-Neenah, WI",162111.0,35166.0,63127.0,43050.0,10558.0,10210.0,21.692543997631255,38.940602426732305,26.555878379628773,6.512821461837877,6.298153734169796
"Owensboro, KY",112762.0,27491.0,38170.0,30530.0,8582.0,7989.0,24.37966690906511,33.850055869885246,27.074723754456286,7.6107199233784435,7.084833543214914
"Oxnard-Thousand Oaks-Ventura, California",797740.0,206833.0,291880.0,207748.0,48921.0,42358.0,25.92736981974077,36.58836212299747,26.042068844485673,6.1324491689021485,5.309750043873944
"Palm Bay-Melbourne-Titusville, FL",536521.0,106610.0,170844.0,149030.0,53493.0,56544.0,19.870610842818827,31.84292879495863,27.777104717243127,9.970345988321053,10.53900965665836
"Palm Coast, FL",91247.0,16963.0,30900.0,20889.0,10771.0,11724.0,18.590200225760846,33.86412703979309,22.89280743476498,11.804223700505222,12.848641599175863
"Panama City-Lynn Haven, FL",163946.0,37568.0,56213.0,46189.0,13986.0,9990.0,22.914862210727925,34.287509301843286,28.173300964951874,8.530857721444866,6.093469801032047
"Parkersburg-Marietta-Vienna, WV-OH",160678.0,34222.0,52801.0,46660.0,14392.0,12603.0,21.298497616350716,32.861374923760565,29.039445350327988,8.95704452383027,7.843637585730468
"Pascagoula, MS",153100.0,40896.0,53323.0,41365.0,10553.0,6963.0,26.71195297191378,34.82887001959504,27.018288700195953,6.892880470280863,4.548007838014369
"Pensacola-Ferry Pass-Brent, FL",452992.0,101961.0,163499.0,123586.0,36975.0,26971.0,22.50834451822549,36.09313188753885,27.282159508335692,8.162395803899408,5.953968282000565
"Peoria, IL",372487.0,87819.0,132943.0,96803.0,26892.0,28030.0,23.576393270100702,35.690641552591096,25.98828952419816,7.21958081758558,7.525094835524461
"Philadelphia-Camden-Wilmington, Pennsylvania-New Jersey-Delaware-Maryland",5838471.0,1395040.0,2100520.0,1573663.0,388806.0,380442.0,23.893927023016815,35.977227599486234,26.95334103740517,6.659380512466363,6.516123827625418
"Phoenix-Mesa-Scottsdale, Arizona",4281899.0,1168524.0,1642902.0,976623.0,258438.0,235412.0,27.28985433799349,38.36853695054461,22.808174597299,6.035593086151728,5.49784102801117
"Pine Bluff, AR",100647.0,23434.0,37168.0,26740.0,6905.0,6400.0,23.28335668226574,36.929068924061326,26.568104364760003,6.860611841386231,6.358858187526701
"Pittsburgh, Pennsylvania",2351192.0,481884.0,780008.0,685460.0,186942.0,216898.0,20.495306210636986,33.175002296707376,29.153722877587196,7.950945733057956,9.225022882010487
"Pittsfield, MA",129395.0,24816.0,43585.0,37332.0,10976.0,12686.0,19.178484485490166,33.68368174968121,28.851192086247536,8.482553421693265,9.804088256887825
"Pocatello, Idaho",88495.0,25349.0,32893.0,20953.0,4987.0,4313.0,28.644556189615233,37.169331600655404,23.677043900785357,5.635346629753093,4.873721679190915
"Portland-South Portland-Biddeford, ME",514065.0,111062.0,172410.0,157734.0,37544.0,35315.0,21.604660889187166,33.5385602987949,30.683668407691634,7.30335657942089,6.869753824905411
"Portland-Vancouver-Beaverton, Oregon-Washington",2207462.0,533038.0,836045.0,603671.0,128513.0,106195.0,24.14709743587885,37.87358513985745,27.346835415513382,5.8217536700518515,4.8107283386984685
"Port St. Lucie, FL",403768.0,84751.0,130652.0,99160.0,38670.0,50535.0,20.99002397416338,32.358185888926315,24.558657446850667,9.57728200352678,12.515850686532861
"Poughkeepsie-Newburgh-Middletown, NY",672525.0,164482.0,254024.0,178099.0,40689.0,35231.0,24.457380766514255,37.77168135013568,26.482138210475448,6.050184008029441,5.238615664845173
"Prescott, AZ",215503.0,42732.0,66411.0,56388.0,24526.0,25446.0,19.828958297564302,30.816740370203664,26.165761033489094,11.38081604432421,11.807724254418732
"Providence-New Bedford-Fall River, Rhode Island-Massachusetts",1596611.0,351378.0,595249.0,427638.0,106059.0,116287.0,22.007740144593768,37.282030500854624,26.784107086823276,6.642757691134535,7.283364576593798
"Provo-Orem, UT",540820.0,188783.0,238189.0,79100.0,18836.0,15912.0,34.90680818017085,44.04219518508931,14.625938389852447,3.482859361709996,2.9421988831773973
"Pueblo, CO",156737.0,37693.0,57232.0,38326.0,11031.0,12455.0,24.04856543126384,36.514671073199054,24.45242667653458,7.037904260002424,7.946432559000108
"Punta Gorda, FL",150060.0,24247.0,40755.0,40350.0,19410.0,25298.0,16.158203385312543,27.159136345461814,26.889244302279085,12.934826069572173,16.858589897374383
"Racine, WI",199510.0,49537.0,69397.0,55682.0,12885.0,12009.0,24.829331863064507,34.78372011427999,27.9093779760413,6.458322891083154,6.019247155531051
"Raleigh-Cary, North Carolina",1088765.0,285049.0,442735.0,272260.0,51715.0,37006.0,26.180948138487185,40.66396329786501,25.006314493944977,4.749877154390525,3.3988969153123034
"Rapid City, SD",122522.0,31324.0,42419.0,33055.0,8418.0,7306.0,25.56602079626516,34.621537356556374,26.978828292061834,6.8706028305120705,5.963010724604561
"Reading, PA",403595.0,94949.0,144674.0,106500.0,27929.0,29543.0,23.525811766746365,35.84633109924553,26.387839294342104,6.920055996729395,7.319961842936608
"Redding, CA",180214.0,39783.0,65697.0,47250.0,14194.0,13290.0,22.075421443395076,36.45499239792691,26.21882872584816,7.8761916388293916,7.374565794000467
"Reno-Sparks, NV",414784.0,100611.0,151692.0,112781.0,28312.0,21388.0,24.256239392069126,36.57132386977318,27.190296636321555,6.825721339299491,5.156418762536646
"Richmond, Virginia",1225626.0,289166.0,466170.0,325740.0,76713.0,67837.0,23.593331081422882,38.03525708495087,26.577438794542545,6.259087192993622,5.53488584609008
"Riverside-San Bernardino-Ontario, California",4115871.0,1174107.0,1679237.0,850969.0,208015.0,203543.0,28.52633136461274,40.79906780363135,20.675307850999218,5.053972780002095,4.945320200754591
"Roanoke, VA",298108.0,63647.0,102425.0,83599.0,24556.0,23881.0,21.35031599286165,34.3583533484509,28.04319240006977,8.237283132287628,8.010855126330055
"Rochester, MN",182924.0,46115.0,66407.0,47405.0,11776.0,11221.0,25.20992324681288,36.303054820581224,25.915134154074913,6.437646235595111,6.1342415429358645
"Rochester, New York",1034090.0,229899.0,377393.0,285878.0,71025.0,69895.0,22.23201075341605,36.495179336421394,27.64536935856647,6.868357686468296,6.759082865127794
"Rockford, IL",354394.0,89189.0,131722.0,88156.0,23162.0,22165.0,25.16662245974819,37.16823648255896,24.875138969621382,6.535663696337974,6.254338391733494
"Rocky Mount, NC",146356.0,36045.0,49325.0,41275.0,10469.0,9242.0,24.62830358851021,33.70206892781984,28.20178195632567,7.153106124791604,6.3147394025526795
"Rome, GA",95980.0,23829.0,35182.0,23172.0,7222.0,6575.0,24.827047301521148,36.655553240258385,24.142529693686186,7.52448426755574,6.850385496978537
"Sacramento--Arden-Arcade--Roseville, California",2109832.0,519855.0,830467.0,509929.0,127963.0,121618.0,24.63963955423939,39.3617596092959,24.16917555521008,6.065080063246741,5.764345218007879
"Saginaw-Saginaw Township North, MI",200745.0,48074.0,67624.0,55609.0,15279.0,14159.0,23.947794465615583,33.686517721487455,27.70131261052579,7.611148471942015,7.053226730429152
"St. Cloud, MN",186954.0,43275.0,78282.0,43423.0,10872.0,11102.0,23.147405244070736,41.872332231458,23.22656910255999,5.815334253345743,5.93835916856553
"St. George, UT",137589.0,39738.0,51544.0,21173.0,10503.0,14631.0,28.881669319495018,37.46229713131137,15.388584843265088,7.633604430586748,10.63384427534178
"St. Joseph, MO-KS",126359.0,28731.0,47296.0,32242.0,8741.0,9349.0,22.73759684707856,37.42986253452465,25.51618800402029,6.917591940423713,7.398760673952785
"St. Louis, Missouri-Illinois \1",2816710.0,678045.0,1004963.0,767760.0,187934.0,178008.0,24.072233208246498,35.67861086160804,27.25733213571862,6.672110369899635,6.3197134245271975
"Salem, OR",391680.0,100454.0,145462.0,94862.0,24950.0,25952.0,25.646956699346408,37.13796977124183,24.219260620915033,6.369995915032679,6.625816993464053
"Salinas, CA",408238.0,111869.0,163415.0,91404.0,21125.0,20425.0,27.40288753129302,40.02934562681573,22.3898804128964,5.17467751654672,5.003208912448131
"Salisbury, MD",120165.0,26341.0,48585.0,28824.0,8309.0,8106.0,21.920692381309035,40.43190612907252,23.987017850455626,6.914659010527193,6.745724628635625
"Salt Lake City, Utah",1115692.0,330476.0,442817.0,246423.0,53481.0,42495.0,29.62071969683389,39.68989649473152,22.087009676505705,4.793527245870724,3.8088468860581592
"San Angelo, TX",109563.0,27472.0,41262.0,25623.0,7452.0,7754.0,25.074158246853408,37.660524082034996,23.386544727690918,6.801566222173544,7.077206721247137
"San Antonio, Texas",2031445.0,561126.0,780479.0,470138.0,115112.0,104590.0,27.62201290214601,38.41989322871158,23.14303365338466,5.66650832289331,5.14855189286444
"San Diego-Carlsbad-San Marcos, California",3001072.0,744470.0,1218008.0,701590.0,164145.0,172859.0,24.80680236928671,40.5857640203234,23.377979601955566,5.469545549057138,5.759908459377183
"Sandusky, Ohio",77062.0,16847.0,23974.0,22988.0,6793.0,6460.0,21.861617918040018,31.1100153123459,29.830526069917727,8.814980145856582,8.382860553839766
"San Francisco-Oakland-Fremont, California",4274531.0,923680.0,1628906.0,1183490.0,277825.0,260630.0,21.60892037044532,38.10724498196411,27.687014084118232,6.499543458685878,6.097277104786467
"San Jose-Sunnyvale-Santa Clara, California",1819198.0,443337.0,713814.0,464276.0,108610.0,89161.0,24.369914654699485,39.23783997124007,25.52091635984648,5.970213247815796,4.90111576639816
"San Luis Obispo-Paso Robles, CA",265297.0,49431.0,108736.0,68807.0,18234.0,20089.0,18.632325280723112,40.98651699793062,25.935837947658662,6.873051711855014,7.572268061832588
"Santa Barbara-Santa Maria-Goleta, CA",405396.0,95684.0,163112.0,94007.0,24865.0,27728.0,23.602600913674532,40.23522679059487,23.188931316539875,6.133508964074633,6.839732015116084
"Santa Cruz-Watsonville, CA",253137.0,54445.0,98664.0,73279.0,13853.0,12896.0,21.508116158443848,38.97652259448441,28.948356028553707,5.472530684965059,5.094474533552977
"Santa Fe, NM",143937.0,30141.0,50144.0,43850.0,11166.0,8636.0,20.940411430000623,34.83746361255272,30.464717202665053,7.757560599428917,5.999847155352689
"Santa Rosa-Petaluma, CA",466741.0,103187.0,166811.0,135474.0,30541.0,30728.0,22.10797851485085,35.739521490505446,29.025519506535748,6.543457720663066,6.583522767444899
"Sarasota-Bradenton-Venice, FL",687823.0,126731.0,198658.0,177015.0,78040.0,107379.0,18.4249436264853,28.882139736531055,25.73554533651826,11.34594219733856,15.611429103126822
"Savannah, GA",334353.0,87101.0,127518.0,81511.0,20167.0,18056.0,26.05061118039916,38.138733613875154,24.378725478760472,6.031649185142649,5.400280541822565
"Scranton--Wilkes-Barre, PA",549150.0,111080.0,188193.0,151183.0,45089.0,53605.0,20.227624510607303,34.26987161977601,27.530365109715017,8.210689247018118,9.761449512883548
"Seattle-Tacoma-Bellevue, Washington",3344813.0,770421.0,1286170.0,935000.0,192076.0,161146.0,23.033305598848127,38.4526728400063,27.953730148740753,5.7425033925663405,4.817788019838478
"Sebastian-Vero Beach, FL",132315.0,25291.0,40504.0,32984.0,13651.0,19885.0,19.114234969580167,30.611797604202096,24.92839058307826,10.31704644220232,15.028530400937157
"Sheboygan, WI",114561.0,26479.0,40140.0,31886.0,7823.0,8233.0,23.113450476165536,35.03810197187525,27.833206763209116,6.828676425659692,7.1865643630904055
"Sherman-Denison, TX",118804.0,28856.0,42050.0,29972.0,8951.0,8975.0,24.28874448671762,35.394431163933874,25.228106797750915,7.534258105787684,7.554459445809905
"Shreveport-Bossier City, LA",389533.0,100604.0,140646.0,96839.0,26655.0,24789.0,25.826823401354954,36.106311917090466,24.860281413898182,6.842809210002747,6.363774057653653
"Sioux City, IA-NE-SD",143157.0,39372.0,48338.0,36846.0,9295.0,9306.0,27.502671891699322,33.76572574166824,25.738175569479658,6.492871462799584,6.500555334353193
"Sioux Falls, SD",232930.0,60020.0,87643.0,58151.0,13445.0,13671.0,25.767397930708796,37.626325505516675,24.965010947494957,5.772120379513159,5.8691452367664105
"South Bend-Mishawaka, IN-MI",316865.0,78598.0,113317.0,83490.0,19812.0,21648.0,24.80488536127373,35.76191753585912,26.348760513152286,6.25250501002004,6.831931579694822
"Spartanburg, SC",280738.0,67058.0,101793.0,74177.0,20629.0,17081.0,23.886328177874034,36.2590742970314,26.422144490592654,7.348132422400957,6.084320612100962
"Spokane, WA",462677.0,107635.0,175509.0,120461.0,29609.0,29463.0,23.2635294168502,37.93337468687659,26.035657705051257,6.399496841208878,6.367941350013076
"Springfield, IL",207389.0,48318.0,72517.0,57541.0,14662.0,14351.0,23.298246290786878,34.96665686222509,27.74544455106105,7.069806016712555,6.919846279214423
"Springfield, MA",687558.0,147264.0,262823.0,183519.0,44738.0,49214.0,21.418411246760275,38.22557515147813,26.69142094194235,6.506796517530157,7.1577961422890874
"Springfield, MO",426144.0,100283.0,166927.0,101564.0,28772.0,28598.0,23.53265562814448,39.17150071337389,23.833258241345646,6.751708342719833,6.710877074416159
"Springfield, OH",139859.0,32595.0,47037.0,37890.0,11561.0,10776.0,23.305614940761767,33.63172909859215,27.09157079630199,8.26618236938631,7.704902794957778
"State College, PA",144779.0,23629.0,76000.0,28641.0,8469.0,8040.0,16.32073712347785,52.493800896538865,19.782565151023284,5.849605260431416,5.553291568528585
"Stockton, CA",672388.0,194385.0,261251.0,148361.0,35406.0,32985.0,28.909647405962037,38.854203227898175,22.06478997245638,5.265709679530271,4.905649714153137
"Sumter, SC",104148.0,27496.0,35336.0,27183.0,7685.0,6448.0,26.400891039674313,33.9286400122902,26.100357184007372,7.378922302876675,6.191189461151438
"Syracuse, NY",643794.0,144563.0,240565.0,172588.0,42861.0,43217.0,22.454853571173388,37.3667663880061,26.80795409711802,6.657564376182444,6.712861567520045
