Year,"Number of persons (1,000) All races \1",White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7","Number of persons below poverty (1,000) All races \1",White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7",Percent of persons below poverty All races \1,White,White alone \2,Black,Black alone \3,Black alone or in combination \4,Asian and Pacific Islander,Asian alone \5,Asian alone or in combination \4,Hispanic \6,White non-Hispanic,"White alone, not Hispanic \7","Below 125 percent of poverty level Number (1,000)",Percent of total population
1989,2462.0,1618.0,(NA),483.0,(NA),(NA),226.0,(NA),(NA),682.0,1018.0,(NA),-217.0,70.0,(NA),-54.0,(NA),(NA),-178.0,(NA),(NA),73.0,34.0,(NA),-0.1999999999999993,-0.09999999999999964,(NA),-0.6000000000000014,(NA),(NA),-3.2,(NA),(NA),-0.5,-0.09999999999999964,(NA),102.0,-0.1999999999999993
1990,2652.0,1758.0,(NA),474.0,(NA),(NA),341.0,(NA),(NA),659.0,1150.0,(NA),2057.0,1541.0,(NA),535.0,(NA),(NA),-81.0,(NA),(NA),576.0,1023.0,(NA),0.6999999999999993,0.6999999999999993,(NA),1.2,(NA),(NA),-1.9,(NA),(NA),1.9,0.5,(NA),2184.0,0.6999999999999993
1991,2548.0,1522.0,(NA),507.0,(NA),(NA),178.0,(NA),(NA),665.0,987.0,(NA),2123.0,1421.0,(NA),405.0,(NA),(NA),138.0,(NA),(NA),333.0,1119.0,(NA),0.6999999999999993,0.6000000000000014,(NA),0.8000000000000043,(NA),(NA),1.6,(NA),(NA),0.5999999999999979,0.6,(NA),2690.0,0.8999999999999986
1992,5357.0,2927.0,(NA),1098.0,(NA),(NA),587.0,(NA),(NA),3576.0,-115.0,(NA),2306.0,1512.0,(NA),585.0,(NA),(NA),-11.0,(NA),(NA),1253.0,461.0,(NA),0.6000000000000014,0.6,(NA),0.6999999999999957,(NA),(NA),-1.1,(NA),(NA),0.9000000000000021,0.1999999999999993,(NA),3065.0,0.8000000000000007
1993,2729.0,1839.0,(NA),499.0,(NA),(NA),-345.0,(NA),(NA),913.0,1842.0,(NA),1251.0,967.0,(NA),50.0,(NA),(NA),149.0,(NA),(NA),534.0,680.0,(NA),0.29999999999999893,0.29999999999999893,(NA),-0.29999999999999716,(NA),(NA),2.6,(NA),(NA),1.0,0.3000000000000007,(NA),1209.0,0.3000000000000007
1994,2338.0,1561.0,(NA),443.0,(NA),(NA),-780.0,(NA),(NA),883.0,1700.0,(NA),-1206.0,-847.0,(NA),-681.0,(NA),(NA),-160.0,(NA),(NA),290.0,-772.0,(NA),-0.6,-0.5,(NA),-2.5,(NA),(NA),-0.7000000000000011,(NA),(NA),0.09999999999999787,-0.5,(NA),-1400.0,-0.6999999999999993
1995,2117.0,1568.0,(NA),387.0,(NA),(NA),2990.0,(NA),(NA),902.0,-1592.0,(NA),-1634.0,-956.0,(NA),-324.0,(NA),(NA),437.0,(NA),(NA),158.0,-1843.0,(NA),-0.6999999999999993,-0.5,(NA),-1.3,(NA),(NA),0.0,(NA),(NA),-0.3999999999999986,-0.9,(NA),-1640.0,-0.8000000000000007
1996,2485.0,1628.0,(NA),370.0,(NA),(NA),410.0,(NA),(NA),1270.0,508.0,(NA),104.0,227.0,(NA),-178.0,(NA),(NA),43.0,(NA),(NA),123.0,195.0,(NA),-0.10000000000000142,0.0,(NA),-0.9000000000000021,(NA),(NA),-0.09999999999999964,(NA),(NA),-0.9000000000000021,0.09999999999999964,(NA),549.0,0.0
1997,2262.0,1544.0,(NA),348.0,(NA),(NA),428.0,(NA),(NA),1023.0,400.0,(NA),-955.0,-254.0,(NA),-578.0,(NA),(NA),14.0,(NA),(NA),-389.0,29.0,(NA),-0.3999999999999986,-0.1999999999999993,(NA),-1.9,(NA),(NA),-0.5,(NA),(NA),-2.3,0.0,(NA),-1457.0,-0.6999999999999993
1998,2579.0,1637.0,(NA),419.0,(NA),(NA),391.0,(NA),(NA),878.0,895.0,(NA),-1098.0,-942.0,(NA),-25.0,(NA),(NA),-108.0,(NA),(NA),-238.0,-692.0,(NA),-0.6000000000000014,-0.5,(NA),-0.3999999999999986,(NA),(NA),-1.5,(NA),(NA),-1.5,-0.4,(NA),-1817.0,-0.8000000000000007
1999,5149.0,2524.0,(NA),879.0,(NA),(NA),1082.0,(NA),(NA),3117.0,-189.0,(NA),-1685.0,-1285.0,(NA),-650.0,(NA),(NA),-75.0,(NA),(NA),-194.0,-1064.0,(NA),-0.7999999999999989,-0.6999999999999993,(NA),-2.5,(NA),(NA),-1.8,(NA),(NA),-2.9,-0.4999999999999991,(NA),-1006.0,-0.6999999999999993
2000,2736.0,2485.0,(NA),-331.0,(NA),(NA),717.0,(NA),(NA),1323.0,1126.0,(NA),-1210.0,-524.0,(NA),-459.0,(NA),(NA),-27.0,(NA),(NA),-129.0,-369.0,(NA),-0.6,-0.3000000000000007,(NA),-1.1,(NA),(NA),-0.7999999999999989,(NA),(NA),-1.2,-0.3,(NA),-1418.0,-0.7000000000000011
2001,2531.0,1829.0,(NA),446.0,(NA),(NA),-207.0,(NA),(NA),1357.0,847.0,(NA),1326.0,1094.0,(NA),154.0,(NA),(NA),17.0,(NA),(NA),250.0,905.0,(NA),0.3999999999999986,0.4,(NA),0.1999999999999993,(NA),(NA),0.29999999999999893,(NA),(NA),-0.10000000000000142,0.39999999999999947,(NA),1708.0,0.5000000000000018
2002,3842.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1904.0,(NA),(NA),1663.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),558.0,(NA),(NA),0.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.40000000000000213,(NA),(NA),1764.0,0.3999999999999986
2003,2382.0,(NA),-1490.0,(NA),311.0,296.0,(NA),315.0,404.0,1084.0,(NA),451.0,1291.0,(NA),806.0,(NA),179.0,224.0,(NA),240.0,284.0,496.0,(NA),335.0,0.4,(NA),0.3000000000000007,(NA),0.29999999999999716,0.40000000000000213,(NA),1.7,1.8,0.6999999999999993,(NA),0.1999999999999993,1603.0,0.3999999999999986
2004,2918.0,(NA),3365.0,(NA),437.0,534.0,(NA),375.0,400.0,1390.0,(NA),503.0,1179.0,(NA),1055.0,(NA),233.0,303.0,(NA),-200.0,-232.0,71.0,(NA),1006.0,0.1999999999999993,(NA),0.3000000000000007,(NA),0.3000000000000007,0.3999999999999986,(NA),-2.0,-2.1,-0.6000000000000014,(NA),0.5,1006.0,0.20000000000000284
2005,2518.0,(NA),3564.0,(NA),376.0,514.0,(NA),349.0,440.0,1330.0,(NA),455.0,-90.0,(NA),-455.0,(NA),154.0,106.0,(NA),201.0,206.0,246.0,(NA),-681.0,-0.09999999999999964,(NA),-0.20000000000000107,(NA),0.1999999999999993,0.0,(NA),1.3,1.2,-0.09999999999999787,(NA),-0.3999999999999986,-366.0,-0.3000000000000007
2006,3315.0,(NA),3878.0,(NA),504.0,462.0,(NA),597.0,600.0,1764.0,(NA),496.0,-490.0,(NA),-456.0,(NA),-120.0,-70.0,(NA),-49.0,-54.0,-125.0,(NA),-214.0,-0.29999999999999893,(NA),-0.29999999999999893,(NA),-0.5999999999999979,-0.5,(NA),-0.7999999999999989,-0.8000000000000007,-1.2,(NA),-0.10000000000000142,361.0,0.0
2007.0,2249.0,(NA),3703.0,(NA),359.0,551.0,(NA),80.0,99.0,1149.0,(NA),534.0,816.0,(NA),704.0,(NA),189.0,221.0,(NA),-4.0,20.0,647.0,(NA),19.0,0.1999999999999993,(NA),0.1999999999999993,(NA),0.1999999999999993,0.1999999999999993,(NA),-0.10000000000000142,0.09999999999999964,0.8999999999999986,(NA),0.0,1188.0,0.1999999999999993
