American Colleges and Universities with Aid for International Students - 2004,,,,,
COLLEGE,STATE,COST OF ATTENDANCE,NUMBER of INTER'L STDS,NUMBER AIDED,AVERAGE AWARD
Tri-State University,IN,25622.0,35.0,24.0,5260.0
University of Sioux Falls,SD,21490.0,6.0,4.0,5250.0
Goshen College,IN,24410.0,13.0,8.0,5245.0
University of Central Florida,FL,21128.0,200.0,191.0,5240.0
Morningside College,IO,24610.0,19.0,19.0,5237.0
Parsons School of Design,NY,44248.0,733.0,362.0,5223.0
Aquinas College,MI,21969.0,2.0,7.0,5214.0
East Texas Baptist University,TX,16527.0,28.0,25.0,5196.0
William Penn University,IO,23300.0,17.0,17.0,5165.0
University of Maine-Augusta,ME,18073.0,3.0,3.0,5089.0
Plymouth State University,NH,20518.0,11.0,5.0,5055.0
Hawaii Pacific University,HI,21938.0,990.0,154.0,5052.0
St. Leo University,FL,24203.0,50.0,16.0,5033.0
Art Center College of Design,CA,28898.0,239.0,39.0,5025.0
Tennessee Wesleyan College,TN,18740.0,,27.0,5021.0
Lenoir-Rhyne College,NC,24965.0,4.0,1.0,5000.0
Monroe College,NY,19150.0,44.0,30.0,5000.0
Ohio Northern University,OH,33375.0,12.0,2.0,5000.0
Oregon State University,OR,27378.0,296.0,15.0,5000.0
Gwyneld-Mercy College,PA,26550.0,37.0,12.0,5000.0
