"PSB - PS Business Parks, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income (Continuing Operations),41.45,46.567,43.821,43.389,46.326,46.564,59.674,62.937,68.666,84.75,92.021,96.394,99.563,94.395,116.144,116.144,,9.4,10.2,10.7,11.05,9.471,11.512,17.831,-5.55,11.465,12.83,12.849,6.677,10.268,12.085,11.161,9.926,20.347,22.064,11.284,7.485,11.571,11.396,9.825,14.454,14.135,15.291,15.142,15.106,15.859,15.466,14.736,16.876,22.22,19.584,20.236,6.626,19.658,20.771,21.814,22.507,21.532,21.976,23.313,25.2,22.654,26.394,23.456,24.037,24.537,25.145,27.884,21.971,21.906,23.331,23.626,25.532,24.989,26.476,26.847,37.832
Net Income (Discontinued Operations),0.0,4.614,6.049,14.041,2.77,15.579,15.62,1.643,0.0,0.597,2.318,5.628,3.077,0.977,0.0,0.945,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.434,1.387,2.683,3.486,-3.841,4.107,0.56,3.121,0.412,0.895,1.52,12.07,2.958,1.214,10.377,1.071,0.458,1.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,1.664,0.297,0.19,5.187,0.096,0.103,0.095,0.136,0.162,2.742,0.063,-0.061,0.024,0.069,0.945,0.0,0.0,0.0,0.0
Net Income,41.255,51.181,49.87,57.43,49.096,62.143,75.294,64.58,68.666,70.044,77.178,85.325,94.088,89.079,103.192,103.19200000000001,,9.4,10.2,10.7,10.855,10.743,11.512,11.471,17.455,11.465,12.83,12.849,12.726,16.702,13.472,13.844,13.412,9.731,16.915,11.844,10.606,11.983,12.291,11.345,26.524,17.093,16.505,25.519,16.177,16.317,16.651,14.736,16.876,18.591,16.538,17.023,16.514,16.558,17.38,18.152,17.954,16.784,-3.055,19.531,21.281,22.946,21.989,19.723,20.665,27.062,21.845,25.93,19.249,20.697,22.706,22.138,23.538,22.423,23.863,24.151,32.755
Preferred dividends,3.406,5.088,8.854,15.412,15.784,33.02,43.011,47.933,-50.937,46.63,17.44,46.214,41.799,69.136,59.216,59.216,,0.0,0.0,0.0,0.0,1.272,0.0,1.272,1.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.928,3.924,0.0,0.0,7.825,7.085,8.498,9.612,9.769,10.733,11.255,11.254,11.255,12.256,11.258,13.164,12.668,12.757,12.756,-89.118,12.756,12.757,12.756,0.0,0.0,-11.155,0.0,0.0,11.155,12.723,10.08,12.256,10.45,10.449,10.45,10.45,17.186,21.264,16.936,13.75,13.85,15.122,15.122,15.122
EPS (Basic),1.6,1.98,1.84,1.95,1.56,1.34,1.48,0.78,0.83,1.15,2.7,1.59,2.13,0.82,1.77,1.7600000000000002,,0.4,0.4,0.4,0.416,0.4,0.44,0.44,0.701,0.44,0.48,0.45,0.458,0.61,0.44,0.46,0.44,0.27,0.61,0.36,0.312,0.19,0.24,0.13,0.775,0.34,0.26,0.65,0.227,0.24,0.21,0.16,0.174,0.28,0.18,0.2,0.177,0.19,0.23,0.26,0.469,1.61,0.42,0.39,0.095,0.48,0.38,0.39,-1.043,0.67,0.46,0.63,0.364,0.14,0.06,0.21,0.402,0.35,0.36,0.37,0.68
EPS (Diluted),1.6,1.97,1.83,1.93,1.54,1.33,1.47,0.77,0.82,1.13,2.68,1.58,2.12,0.81,1.77,1.758,,0.4,0.4,0.4,0.409,0.4,0.44,0.44,0.698,0.44,0.48,0.45,0.456,0.6,0.44,0.46,0.437,0.27,0.6,0.36,0.31,0.19,0.23,0.13,0.766,0.33,0.26,0.65,0.225,0.23,0.2,0.16,0.171,0.27,0.17,0.2,0.175,0.18,0.22,0.26,0.465,1.6,0.42,0.39,0.094,0.48,0.37,0.39,-1.043,0.67,0.46,0.63,0.363,0.14,0.06,0.21,0.4,0.35,0.36,0.37,0.678
Shares Outstanding (Diluted),23.709,23.365,22.435,21.743,21.565,21.96,22.018,21.646,21.634,20.664,22.128,24.687,24.599,24.323,24.833,25.976,,23.5,25.5,26.75,18.197,23.643,23.428,23.216,23.182,23.097,22.679,22.295,21.685,21.736,21.799,21.772,21.683,21.52,21.478,21.617,21.718,21.778,22.016,21.977,22.083,22.012,22.029,22.03,21.922,21.708,21.585,21.599,21.694,21.69,21.681,21.616,21.526,20.629,20.686,20.69,20.634,20.541,20.652,22.709,24.579,24.564,24.669,24.74,24.759,24.792,24.807,24.612,24.182,24.241,24.324,24.35,24.365,24.411,24.47,24.472,25.976
Cash And Cash Equivalents,74.22,0.0,0.0,0.0,0.0,0.0,0.0,67.017,35.041,55.015,208.229,5.066,4.98,12.883,31.481,31.481,,0.0,0.0,0.0,74.22,41.572,48.853,56.613,0.0,49.544,24.054,66.291,0.0,84.098,0.704,4.625,0.0,37.782,24.611,34.017,0.0,5.114,27.631,3.103,0.0,61.661,149.15,205.526,0.0,137.631,114.376,92.8,67.017,66.374,72.437,56.725,35.041,26.943,38.309,52.068,55.015,5.093,21.998,203.204,208.229,169.282,43.696,19.326,5.066,4.548,2.936,3.761,4.98,6.056,3.036,159.792,12.883,8.056,18.762,17.983,31.481
Marketable Securities,0.0,6.065,0.0,5.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.065,5.696,8.605,8.657,0.0,5.865,5.784,5.378,5.278,5.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cash, Cash Equivalents, Marketable Securities",74.22,0.0,0.0,0.0,0.0,0.0,0.0,67.017,35.041,55.015,208.229,5.066,4.98,12.883,31.481,31.481,,0.0,0.0,0.0,74.22,41.572,48.853,56.613,0.0,49.544,24.054,66.291,0.0,84.098,0.704,4.625,0.0,37.782,24.611,34.017,0.0,5.114,27.631,3.103,0.0,61.661,149.15,205.526,0.0,137.631,114.376,92.8,67.017,66.374,72.437,56.725,35.041,26.943,38.309,52.068,55.015,5.093,21.998,203.204,208.229,169.282,43.696,19.326,5.066,4.548,2.936,3.761,4.98,6.056,3.036,159.792,12.883,8.056,18.762,17.983,31.481
Accounts Receivable,6.264,0.0,0.0,0.0,0.0,0.0,0.0,23.534,24.167,23.688,23.909,25.404,3.198,4.754,5.248,5.248,,0.0,0.0,0.0,6.264,6.266,7.914,7.71,0.0,8.554,9.076,9.382,0.0,11.725,13.203,13.289,0.0,14.245,13.005,13.713,0.0,17.939,17.617,16.992,0.0,19.574,20.729,20.9,0.0,22.524,21.919,23.456,23.534,25.337,23.716,23.992,24.167,25.596,23.564,23.898,0.0,0.0,0.0,23.93,23.909,3.289,2.458,25.397,25.404,4.536,3.214,3.301,3.198,4.109,5.415,4.418,4.754,6.263,4.806,4.581,5.248
"Inventories, Raw Materials & Components",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Work In Process",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Inventories Adjustments",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Finished Goods",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Current Assets,-80.484,0.0,0.0,0.0,0.0,0.0,0.0,-90.55099999999999,-59.208,-23.688,0.0,-8.881784197001252e-16,0.0,25.329000000000004,25.903,25.903,,0.0,0.0,0.0,-80.484,-47.838,-56.767,-64.323,0.0,-58.098,-33.129999999999995,-75.673,0.0,-95.823,-13.907,-17.914,0.0,-52.026999999999994,-37.616,-47.730000000000004,0.0,-23.053,-45.248000000000005,-20.095000000000002,0.0,-81.235,-169.87900000000002,-226.42600000000002,0.0,-160.155,-136.29500000000002,-116.256,-90.55099999999999,-91.711,-96.15299999999999,-80.717,-59.208,-52.539,-61.873,-75.966,0.0,0.0,0.0,-2.842170943040401e-14,0.0,0.0,7.105427357601002e-15,0.0,-8.881784197001252e-16,0.0,4.440892098500626e-16,0.0,0.0,-8.881784197001252e-16,4.440892098500626e-16,0.0,25.329000000000004,25.935000000000002,26.194000000000003,26.548999999999996,25.903
Total Current Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.015,232.138,30.47,8.178,42.966,62.632,62.632,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.015,5.093,21.998,227.134,232.138,172.571,46.154,44.723,30.47,9.084,6.15,7.062,8.178,10.165,8.451,164.21,42.966,40.254,49.762,49.113,62.632
Land And Improvements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.849,501.578,500.538,571.68,779.402,793.352,827.092,827.092,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.849,0.0,494.849,494.849,501.578,502.718,501.678,501.678,500.538,505.91,514.36,524.245,571.68,571.68,575.954,577.35,779.402,779.762,779.402,798.975,793.352,809.673,787.425,792.275,827.092
Buildings And Improvements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.012,1528.044,1782.613,2155.772,2235.448,2346.958,2346.958,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.012,1521.785,1527.091,0.0,1528.044,1584.044,1649.153,1681.663,1782.613,1788.504,1806.582,1818.525,2155.772,2166.902,2178.33,2211.22,2235.448,2232.179,2243.149,2268.966,2346.958
"Machinery, Furniture, Equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Construction In Progress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.829,23.99,23.99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.829,0.0,22.301,22.459,23.99
"Gross Property, Plant and Equipment",853.252,864.711,0.0,1089.534,0.0,1303.536,1232.272,0.0,1978.898,2016.225,2032.842,2354.293,2935.174,3035.629,3198.04,3198.04,,722.3,764.1,779.1,853.252,887.484,888.158,905.069,864.711,953.323,1049.749,1055.222,0.0,1265.861,1272.343,1272.627,1089.534,1267.628,1313.956,1323.939,0.0,1572.368,1611.434,1567.08,1303.536,1590.077,1532.288,1540.598,1232.272,1660.342,1725.574,1734.302,0.0,1925.895,1935.745,1974.282,1978.898,1995.823,2005.936,2014.267,2016.225,2024.503,2028.769,2034.886,2032.842,2089.954,2163.513,2205.908,2354.293,2360.184,2389.222,2395.875,2935.174,2946.664,2958.927,3011.396,3035.629,3041.852,3052.875,3083.7,3198.04
Accumulated Depreciation,-50.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-539.857,-633.971,-707.209,-776.84,-845.7,-942.639,-1035.387,-1035.387,,0.0,0.0,0.0,-50.976,-59.277,-66.104,-75.003,0.0,-93.411,-102.375,-113.224,0.0,-135.511,-149.748,-162.177,0.0,-183.367,-196.323,-211.63,0.0,-249.871,-268.229,-278.843,0.0,-314.47,-317.258,-336.606,0.0,-375.787,-396.738,-418.948,0.0,-462.976,-487.892,-513.177,-539.857,-565.304,-589.657,-613.642,-633.971,-659.565,-679.991,-697.879,-707.209,-723.617,-740.725,-758.456,-776.84,-795.547,-809.81,-828.146,-845.7,-871.833,-893.883,-917.728,-942.639,-966.049,-988.256,-1011.683,-1035.387
"Property, Plant and Equipment",802.276,864.711,0.0,1089.534,0.0,1303.536,1232.272,0.0,1439.041,1382.254,1325.633,1577.453,2089.474,2092.99,2162.653,2162.653,,722.3,764.1,779.1,802.276,828.207,822.054,830.066,864.711,859.912,947.374,941.998,0.0,1130.35,1122.595,1110.45,1089.534,1084.261,1117.633,1112.309,0.0,1322.497,1343.205,1288.237,1303.536,1275.607,1215.03,1203.992,1232.272,1284.555,1328.836,1315.354,0.0,1462.919,1447.853,1461.105,1439.041,1430.519,1416.279,1400.625,1382.254,1364.938,1348.778,1337.007,1325.633,1366.337,1422.788,1447.452,1577.453,1564.637,1579.412,1567.729,2089.474,2074.831,2065.044,2093.668,2092.99,2075.803,2064.619,2072.017,2162.653
Intangible Assets,1.282,0.981,0.679,0.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.5,1.4,1.4,1.282,1.207,1.132,1.056,0.981,0.905,0.83,0.755,0.679,0.604,0.528,0.453,0.378,0.302,0.227,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long Term Assets,100.18299999999999,65.06399999999996,1169.2759999999998,66.88999999999987,1359.369,63.23199999999997,231.52200000000016,1463.599,77.54200000000014,32.05400000000019,7.050999999999846,13.134000000000043,40.966999999999985,15.861000000000224,13.274000000000406,13.274000000000406,,5.800000000000068,19.100000000000023,125.89999999999998,100.18299999999999,68.01400000000001,83.1350000000001,92.39599999999996,65.06399999999996,64.43499999999995,42.85799999999995,85.75199999999995,1169.2759999999998,105.32600000000002,23.279999999999973,27.232999999999947,66.88999999999987,60.047000000000025,39.9699999999998,49.86699999999996,1359.369,26.229000000000042,49.881000000000085,70.40899999999988,63.23199999999997,89.92100000000005,229.02999999999997,236.29099999999994,231.52200000000016,168.46000000000004,147.13400000000001,127.23399999999992,1463.599,99.33199999999988,105.71499999999992,88.846,77.54200000000014,59.17100000000005,69.02199999999993,84.98000000000002,32.05400000000019,29.849999999999984,29.681000000000086,7.179999999999865,7.050999999999846,28.85000000000005,32.79199999999991,13.141000000000034,13.134000000000043,32.505000000000166,33.726999999999954,36.90599999999985,40.966999999999985,36.994999999999855,39.884000000000036,42.93100000000007,15.861000000000224,10.633999999999922,11.899000000000058,14.895000000000266,13.274000000000406
Total Assets,903.741,930.756,1169.955,1156.802,1359.369,1366.768,1463.794,1463.599,1516.583,1469.323,1564.822,1621.057,2138.619,2151.817,2238.559,2238.559,,729.6,784.6,906.4,903.741,897.428,906.321,923.518,930.756,925.252,991.062,1028.505,1169.955,1236.28,1146.403,1138.136,1156.802,1144.61,1157.83,1162.327,1359.369,1348.726,1393.086,1358.646,1366.768,1365.528,1444.06,1440.283,1463.794,1453.015,1475.97,1442.588,1463.599,1562.251,1553.568,1549.951,1516.583,1489.69,1485.301,1485.605,1469.323,1399.881,1400.457,1571.321,1564.822,1567.758,1501.734,1505.316,1621.057,1606.226,1619.289,1611.697,2138.619,2121.991,2113.379,2300.809,2151.817,2126.691,2126.28,2136.025,2238.559
Accounts Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Tax Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Accrued Expenses,21.195,0.0,0.0,0.0,0.0,0.0,0.0,43.129,51.058,46.428,46.298,53.421,60.94,69.454,73.919,73.919,,0.0,0.0,0.0,21.195,22.468,26.602,27.016,0.0,25.512,32.414,35.202,0.0,40.833,36.852,33.309,0.0,33.214,36.689,36.479,0.0,37.585,39.639,41.672,0.0,37.326,36.28,37.947,0.0,41.433,43.634,45.357,43.129,46.021,43.974,46.688,51.058,49.209,0.0,0.0,46.428,48.373,48.793,50.727,46.298,45.643,49.937,54.726,53.421,51.773,51.553,55.63,60.94,65.194,68.348,73.656,69.454,66.154,65.095,75.114,73.919
Accounts Payable & Accrued Expenses,21.195,0.0,0.0,0.0,0.0,0.0,0.0,43.129,51.058,46.428,46.298,53.421,60.94,69.454,73.919,73.919,,0.0,0.0,0.0,21.195,22.468,26.602,27.016,0.0,25.512,32.414,35.202,0.0,40.833,36.852,33.309,0.0,33.214,36.689,36.479,0.0,37.585,39.639,41.672,0.0,37.326,36.28,37.947,0.0,41.433,43.634,45.357,43.129,46.021,43.974,46.688,51.058,49.209,0.0,0.0,46.428,48.373,48.793,50.727,46.298,45.643,49.937,54.726,53.421,51.773,51.553,55.63,60.94,65.194,68.348,73.656,69.454,66.154,65.095,75.114,73.919
Current Portion of Long-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.308,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.037,59.666,59.308,0.0,0.0,53.196,0.0,0.0,0.0,51.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Current Liabilities,-21.195,0.0,0.0,0.0,0.0,0.0,0.0,-43.129,-51.058,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-21.195,-22.468,-26.602,-27.016,0.0,-25.512,-32.414,-35.202,0.0,-40.833,-36.852,-33.309,0.0,-33.214,-36.689,-36.479,0.0,-37.585,-39.639,-41.672,0.0,-37.326,-36.28,-37.947,0.0,-41.433,-43.634,-45.357,-43.129,-46.021,-43.974,-46.688,-51.058,-49.209,-60.037,-59.666,7.105427357601002e-15,0.0,0.0,-53.196,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Current Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.736,46.298,53.421,60.94,69.454,73.919,73.919,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.736,48.373,48.793,50.727,46.298,45.643,49.937,106.59,53.421,51.773,51.553,55.63,60.94,65.194,68.348,73.656,69.454,66.154,65.095,75.114,73.919
Long-Term Debt,37.066,30.971,165.145,70.279,0.0,11.367,25.893,67.048,60.725,0.0,52.887,144.511,717.084,468.102,250.0,250.0,,67.6,46.1,45.8,37.066,31.552,31.362,31.168,30.971,30.769,30.563,30.354,165.145,178.14,87.932,77.72,70.279,70.137,69.992,69.844,0.0,80.54,19.384,41.468,11.367,11.265,11.161,11.055,25.893,25.726,43.497,43.267,67.048,61.716,61.392,61.064,60.725,60.381,0.0,59.666,0.0,53.84,53.519,53.196,52.887,52.544,52.207,51.864,144.511,169.512,181.684,193.85,717.084,637.874,521.662,481.448,468.102,340.0,340.0,340.0,250.0
Capital Lease Obligation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PensionAndRetirementBenefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeferredTaxAndRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
