#,,,
# station 3,,,
# time 20150330 03:38:13.451 UTC,,,
# unix 1427686693.000451,,,
# tag 1273,,,
# prf 532.0,,,
# len 1400,,,
# maxamp 4537.667237,,,
# snr 15.658653,,,
# peak 560,,,
# infl 544.23,,,
# freq 29850000,,,
# gate 67,,,
# chans 1,,,
# vel 25.25,,,
# idc ,347,,
# qdc ,698,,
# phase +0.00,,,
#,,,
# pulse     i0     q0   amp0   phs0,,,
      0   1085   ,121   1092   ,6.4,
    713  ,1505    533   1597 +160.5,,
    714   ,788   ,679   1040 ,139.2
    715  ,1768   ,378   1808 ,167.9
    716   ,802   ,871   1184 ,132.6
    717  ,1210     24   1210 +178.9,,
    718   ,467    313    562 +146.2,,
    719  ,1808   ,965   2049 ,151.9
    720  ,1463   ,602   1582 ,157.6
    721  ,2132     ,7   2132 ,179.8
    722   ,929   ,174    945 ,169.4
    723  ,1808    129   1813 +175.9,,
    724  ,1286   ,829   1530 ,147.2
    725   ,689   ,638    939 ,137.2
    726  ,1286    686   1458 +151.9,,
    727   ,157   ,684    702 ,102.9
    728  ,1315    583   1438 +156.1,,
    729  ,1105   ,235   1130 ,168.0
    730  ,1331    291   1362 +167.7,,
    731  ,1148   ,988   1515 ,139.3
    732   ,537   ,250    592 ,155.0
    733   ,932    349    995 +159.5,,
    734  ,1090   ,653   1271 ,149.1
    735   ,358   ,614    711 ,120.2
    736   ,758    280    808 +159.7,,
    737  ,1109   ,513   1222 ,155.2
    738   ,526    ,22    526 ,177.6
    739  ,1434    619   1562 +156.7,,
    740   ,596   ,639    874 ,133.0
    741   ,408   ,686    798 ,120.7
    742   ,204   ,710    739 ,106.0
    743  ,1425    ,76   1427 ,176.9
    744    147   ,101    178  ,34.5,
    745  ,1405   ,108   1409 ,175.6
    746  ,1165   ,219   1185 ,169.4
    747   ,277    137    309 +153.7,,
    748   ,314   ,106    331 ,161.3
    749   ,602    ,63    605 ,174.0
    750    168   ,102    197  ,31.3,
    751   ,559    246    611 +156.2,,
    752   ,906   ,329    964 ,160.0
    753   ,668    378    768 +150.5,,
    754     95    221    241  +66.7,,,
    755   ,999    727   1236 +144.0,,
    756   ,236   ,262    353 ,132.0
    757  ,1185    864   1467 +143.9,,
    758   ,567   ,384    685 ,145.9
    759  ,1084   ,223   1107 ,168.4
    760   ,446    727    853 +121.5,,
    761  ,1213     67   1215 +176.8,,
    762    ,75    337    345 +102.5,,
    763   ,447     57    451 +172.7,,
    764    427   ,594    732  ,54.3,
    765   ,855   ,621   1057 ,144.0
    766   ,402   ,922   1006 ,113.6
    767    ,60    229    237 +104.7,,
    768   ,144     39    149 +164.8,,
    769   1220   ,598   1359  ,26.1,
    770   ,969    758   1230 +142.0,,
    771    373    443    579  +49.9,,,
    772    223   ,306    379  ,53.9,
    773   ,383   ,549    669 ,124.9
    774   ,295    559    632 +117.8,,
    775    ,39     49     63 +128.5,,
    776   ,397    399    563 +134.9,,
    777    226     30    228   +7.6,,,
    778   ,599    542    808 +137.9,,
    779  ,1412    160   1421 +173.5,,
    780     73    541    546  +82.3,,,
    781    ,30    372    373  +94.6,,
    782   ,388    730    827 +118.0,,
    783   ,356   ,233    425 ,146.8
    784    ,75   ,869    872  ,94.9
    785   ,843   ,112    850 ,172.4
    786   ,811    544    977 +146.1,,
    787   ,159    ,27    161 ,170.4
    788   ,590    112    601 +169.3,,
    789     96    598    606  +80.9,,,
    790   1033    226   1057  +12.3,,,
    791    100    832    838  +83.1,,,
    792   ,731    638    970 +138.9,,
    793    ,79   1116   1119  +94.0,,
    794     94   ,223    242  ,67.1,
    795   ,164    497    523 +108.3,,
    796     72   ,664    668  ,83.8,
    797   1106    548   1234  +26.4,,,
    798    233   1134   1158  +78.4,,,
    799    493    ,91    501  ,10.5,
    800   ,501    772    920 +123.0,,
    801   ,809    626   1023 +142.3,,
    802    254   ,143    291  ,29.4,
    803    697    ,46    699   ,3.8,
    804     71    865    868  +85.3,,,
    805    ,75    284    294 +104.8,,
    806    836   ,683   1080  ,39.2,
    807   ,614   ,146    631 ,166.6
    808   1070   ,486   1175  ,24.4,
    809   ,189    125    227 +146.5,,
    810    401    637    753  +57.8,,,
    811     75    504    510  +81.5,,,
    812   ,106    506    517 +101.8,,
    813    471    669    818  +54.9,,,
    814    115    426    441  +74.9,,,
    815   ,656   ,212    689 ,162.1
    816   ,235    728    765 +107.9,,
    817     54   ,275    280  ,78.9,
    818    361    148    390  +22.3,,,
    819   ,269    ,40    272 ,171.5
    820   ,224     16    225 +175.9,,
    821   ,425     40    427 +174.6,,
    822   ,103   ,216    239 ,115.5
    823   ,811    215    839 +165.2,,
    824    466    212    512  +24.5,,,
    825   ,580    536    790 +137.3,,
    826   ,348   ,728    807 ,115.5
    827    ,19    888    888  +91.2,,
    828    397   1652   1699  +76.5,,,
    829    262    366    450  +54.4,,,
    830    887    239    919  +15.1,,,
    831    481    518    707  +47.1,,,
    832    443    134    463  +16.8,,,
    833    ,58   ,392    396  ,98.4
    834   ,143    174    225 +129.4,,
    835    710   ,350    792  ,26.2,
    836   ,450   ,165    479 ,159.9
    837   ,160    225    276 +125.4,,
    838    606    645    885  +46.8,,,
    839    900    ,33    901   ,2.1,
    840    382    319    498  +39.9,,,
    841    362   ,403    542  ,48.1,
    842     ,5    ,41     41  ,97.0
    843   ,589     34    590 +176.7,,
    844    123  ,1028   1035  ,83.2,
    845    125    444    461  +74.3,,,
    846    ,71    ,54     89 ,142.7
    847   ,834   ,402    926 ,154.3
    848    417    ,92    427  ,12.4,
    849     12   ,222    222  ,86.9,
    850    ,26    889    889  +91.7,,
    851   ,947    ,16    947 ,179.0
    852  ,1742   ,601   1843 ,161.0
    853    214   ,615    651  ,70.8,
    854   ,343   ,302    457 ,138.6
    855    423   ,566    707  ,53.2,
    856      2   ,345    345  ,89.7,
    857   ,829   ,728   1103 ,138.7
    858   ,124    357    378 +109.2,,
    859   ,330   1290   1332 +104.3,,
    860    580    ,19    580   ,1.9,
    861    528    628    820  +49.9,,,
    862   ,735    321    802 +156.4,,
    863    135    339    365  +68.3,,,
    864    ,73    288    297 +104.2,,
    865    242   ,266    360  ,47.7,
    866   ,365    718    805 +116.9,,
    867   ,982    699   1205 +144.6,,
    868   ,619   ,678    918 ,132.4
    869    457   ,335    567  ,36.2,
    870     66   ,625    628  ,84.0,
    871     80    200    215  +68.2,,,
    872   ,379    233    445 +148.4,,
    873   ,146   ,478    500 ,107.0
    874    519    540    749  +46.1,,,
    875  ,1039    420   1121 +158.0,,
    876   ,560     25    561 +177.4,,
    877   ,113   ,348    366 ,108.0
    878   ,104   ,410    423 ,104.2
    879    296     57    301  +10.9,,,
    880    ,62    739    742  +94.8,,
    881    156   ,292    331  ,61.9,
    882   ,268    319    417 +130.0,,
    883    ,75    404    411 +100.5,,
    884   ,221    158    272 +144.4,,
    885    273    ,36    275   ,7.5,
    886    530   ,434    685  ,39.3,
    887   ,238   1169   1193 +101.5,,
    888    ,47     76     89 +121.7,,
    889   ,575   ,167    599 ,163.8
    890   ,397    ,28    398 ,176.0
    891    560    553    787  +44.6,,,
    892    546     ,4    546   ,0.4,
    893     86   1604   1606  +86.9,,,
    894    142    169    221  +50.0,,,
    895   ,640   ,675    930 ,133.5
    896    594  ,1307   1436  ,65.6,
    897     13    117    118  +83.7,,,
    898     ,7     59     59  +96.8,,
    899    392   ,342    520  ,41.1,
    900    156   ,217    267  ,54.3,
    901   ,132   ,402    423 ,108.2
    902   ,401      3    401 +179.6,,
    903    556  ,1105   1237  ,63.3,
    904   ,645    984   1177 +123.2,,
    905    310    ,67    317  ,12.2,
    906   ,739   ,560    927 ,142.8
    907    851   ,729   1121  ,40.6,
    908    407   1216   1282  +71.5,,,
    909   ,403    473    621 +130.4,,
    910   ,165    703    722 +103.2,,
    911    675    202    705  +16.7,,,
    912   ,132    551    567 +103.5,,
    913   ,127    400    420 +107.6,,
    914   ,400    351    532 +138.7,,
    915   ,654    398    766 +148.7,,
    916   ,435    209    483 +154.3,,
    917    ,45    517    519  +95.0,,
    918   ,279    628    687 +114.0,,
    919   ,327    660    737 +116.4,,
    920    353    206    409  +30.3,,,
    921   ,530     82    536 +171.2,,
    922    477   ,402    624  ,40.1,
    923   ,384    351    520 +137.6,,
    924   ,222     37    225 +170.5,,
    925    221    159    272  +35.7,,,
    926    381   ,319    497  ,39.9,
    927     ,8   ,248    248  ,91.8
    928    229    765    799  +73.3,,,
    929   ,156    447    473 +109.2,,
    930    ,89   ,528    535  ,99.6
    931   ,862    333    924 +158.9,,
    932    755    941   1206  +51.3,,,
    933   ,787   ,309    845 ,158.6
    934   ,176   ,470    502 ,110.5
    935    496   ,250    555  ,26.7,
    936    521   ,433    677  ,39.7,
    937    823   1010   1303  +50.8,,,
    938   ,218   ,192    290 ,138.6
    939   ,349   ,506    615 ,124.6
    940    962    ,54    964   ,3.2,
    941   ,808   ,158    823 ,168.9
    942   ,722   ,441    846 ,148.6
    943   ,400   ,730    832 ,118.7
    944    398   ,704    809  ,60.5,
    945  ,1224   ,220   1244 ,169.8
    946    752  ,1193   1410  ,57.8,
    947   ,399   ,142    424 ,160.4
    948     77     ,6     77   ,4.5,
    949    281  ,1096   1131  ,75.6,
    950   ,167   ,195    257 ,130.6
    951     44    571    573  +85.6,,,
    952  ,1073   ,967   1444 ,138.0
    953   ,121    996   1003  +96.9,,
    954   ,407    746    850 +118.6,,
    955  ,1167   ,589   1307 ,153.2
    956   ,204    ,96    225 ,154.8
    957    168     35    172  +11.8,,,
    958   1104    450   1192  +22.2,,,
    959    506    209    547  +22.4,,,
    960   ,327   ,177    372 ,151.6
    961    629   ,348    719  ,29.0,
    962   ,732   ,479    875 ,146.8
    963   ,140    456    477 +107.1,,
    964    694    ,40    695   ,3.3,
    965    269    641    695  +67.2,,,
    966   ,404    112    419 +164.5,,
    967   ,100    ,11    101 ,173.7
    968    874    558   1037  +32.6,,,
    969     19    455    455  +87.6,,,
    970   ,597    426    733 +144.5,,
    971   ,194    ,77    209 ,158.4
    972    596   ,605    849  ,45.4,
    973    322   ,264    416  ,39.3,
    974     87     30     92  +19.0,,,
    975     59   ,366    371  ,80.8,
    976   ,441    ,71    447 ,170.9
    977    414    256    487  +31.7,,,
    978    197    194    276  +44.6,,,
    979    110   ,601    611  ,79.6,
    980    ,19    405    405  +92.7,,
    981    153   ,284    323  ,61.7,
    982    409    ,72    415  ,10.0,
    983   ,485    297    569 +148.5,,
    984     17    481    481  +88.0,,,
    985    200   ,654    684  ,73.0,
    986    384    899    978  +66.9,,,
    987    265   ,378    462  ,55.0,
    988   1023   ,172   1037   ,9.5,
    989    108    229    253  +64.8,,,
    990    174   ,294    342  ,59.4,
    991     39    ,22     45  ,29.4,
    992    254    ,29    256   ,6.5,
    993    764  ,1064   1310  ,54.3,
    994    239    143    279  +30.9,,,
    995     99   ,236    256  ,67.2,
    996    120    ,68    138  ,29.5,
    997   1350   ,138   1357   ,5.8,
    998    182   ,106    211  ,30.2,
    999   ,203   ,875    898 ,103.1
   1000     ,3  ,1015   1015  ,90.2
   1001    415    922   1011  +65.8,,,
   1002   ,337    510    611 +123.5,,
   1003    495    655    821  +52.9,,,
   1004   ,127    255    285 +116.5,,
   1005   ,342   ,148    373 ,156.6
   1006   ,228   ,352    419 ,122.9
   1007    ,78   1013   1016  +94.4,,
   1008    767    266    812  +19.1,,,
   1009    308   ,246    394  ,38.6,
   1010   ,730    102    737 +172.0,,
   1011    545     42    547   +4.4,,,
   1012     88    914    918  +84.5,,,
   1013   ,444    594    742 +126.8,,
   1014   ,327   ,168    368 ,152.8
   1015   ,585   1527   1635 +111.0,,
   1016   ,481   ,166    509 ,161.0
   1017    421    760    869  +61.0,,,
   1018   ,965    680   1181 +144.8,,
   1019   ,863   ,354    933 ,157.7
   1020   ,297    ,96    312 ,162.1
   1021    461   ,267    533  ,30.1,
   1022    ,37    ,84     92 ,113.8
   1023  ,1202    729   1406 +148.8,,
   1024   ,348   ,191    397 ,151.2
   1025   ,487   ,363    607 ,143.3
   1026    307    139    337  +24.4,,,
   1027    141    ,83    164  ,30.5,
   1028   ,131   ,385    407 ,108.8
   1029   ,231   ,243    335 ,133.5
   1030   ,523   ,158    546 ,163.2
   1031   ,320      4    320 +179.3,,
   1032    ,97    405    416 +103.5,,
   1033     72   ,590    594  ,83.0,
   1034   ,320    ,48    324 ,171.5
   1035   ,126     98    160 +142.1,,
   1036     12    475    475  +88.6,,,
   1037   ,438   ,363    569 ,140.3
   1038     ,2    293    293  +90.4,,
   1039   ,504   ,107    515 ,168.0
   1040   ,609   ,463    765 ,142.8
   1041    656   ,233    696  ,19.6,
   1042   ,154   ,390    419 ,111.5
   1043    272   ,115    295  ,22.9,
   1044   ,289   ,502    579 ,119.9
   1045   ,264   ,121    290 ,155.4
   1046    308  ,1085   1128  ,74.2,
   1047   ,216   1121   1142 +100.9,,
   1048     19   1234   1234  +89.1,,,
   1049    ,78    217    231 +109.8,,
   1050   ,953    592   1122 +148.2,,
   1051   ,342    ,37    344 ,173.8
   1052   ,797    ,82    801 ,174.1
   1053   ,546   ,255    603 ,155.0
   1054  ,1078    852   1374 +141.7,,
   1055     12     93     94  +82.6,,,
   1056   ,394    919   1000 +113.2,,
   1057    144    350    378  +67.6,,,
   1058    ,68   ,792    795  ,94.9
   1059    529    444    691  +40.0,,,
   1060   ,215   ,550    591 ,111.4
   1061   ,292   ,467    551 ,122.0
   1062   ,620   ,150    638 ,166.4
   1063   ,681    775   1032 +131.3,,
   1064    ,10    165    165  +93.5,,
   1065   ,523    787    945 +123.6,,
   1066    526    569    775  +47.2,,,
   1067   ,205    ,71    217 ,160.9
   1068   ,316    ,74    325 ,166.8
   1069     42  ,1060   1061  ,87.7,
   1070    199   1005   1025  +78.8,,,
   1071    626   ,847   1053  ,53.5,
   1072   ,342   ,263    431 ,142.4
   1073    317    591    671  +61.8,,,
   1074   ,760    584    958 +142.5,,
   1075   ,844   ,175    862 ,168.3
   1076     28    342    343  +85.3,,,
   1077    555     ,8    555   ,0.8,
   1078    ,54   ,396    400  ,97.8
   1079    ,12    290    290  +92.4,,
   1080    963    435   1057  +24.3,,,
   1081    117   ,670    680  ,80.1,
   1082      2     52     52  +87.8,,,
   1083    161     98    188  +31.3,,,
   1084   ,815    172    833 +168.1,,
   1085   ,117  ,1100   1106  ,96.1
   1086    266  ,1139   1170  ,76.9,
   1087   ,173   ,199    264 ,131.0
   1088    419    622    750  +56.0,,,
   1089   ,519     ,3    519 ,179.7
   1090    595    446    744  +36.9,,,
   1091    618    ,51    620   ,4.7,
   1092    687    417    804  +31.3,,,
   1093    ,60     21     64 +160.7,,
   1094   ,571    159    593 +164.4,,
   1095   ,329   ,288    437 ,138.8
   1096  ,1183      4   1183 +179.8,,
   1097   ,505   1077   1190 +115.1,,
   1098    ,37    437    439  +94.8,,
   1099    169   1186   1198  +81.9,,,
   1100   ,785   ,504    933 ,147.3
   1101    820    ,18    820   ,1.3,
   1102   ,199   ,144    246 ,144.1
   1103   ,128    440    458 +106.2,,
   1104   ,537     ,4    537 ,179.6
   1105    319    440    543  +54.1,,,
   1106    821    ,72    824   ,5.0,
   1107   ,574    234    620 +157.8,,
   1108   ,197  ,1615   1627  ,97.0
   1109   ,397   ,397    561 ,135.0
   1110    419    ,81    427  ,10.9,
   1111   ,785    147    799 +169.4,,
   1112    447   ,723    850  ,58.3,
   1113    146   ,657    673  ,77.5,
   1114   ,668    297    731 +156.0,,
   1115   ,749     58    751 +175.6,,
   1116   ,165   ,305    347 ,118.4
   1117    ,86    541    548  +99.0,,
   1118    167   ,475    504  ,70.6,
   1119    355    ,64    361  ,10.2,
   1120   ,583    612    845 +133.6,,
   1121    463    ,16    463   ,2.0,
   1122   ,821    493    958 +149.0,,
   1123    ,68    499    504  +97.8,,
   1124   ,607   1030   1196 +120.5,,
   1125     17    412    412  +87.6,,,
   1126    784   ,530    946  ,34.1,
   1127    580     79    585   +7.8,,,
   1128  ,1014    833   1312 +140.6,,
   1129    541   ,407    677  ,37.0,
   1130   ,405   ,194    449 ,154.4
   1131    509    721    883  +54.8,,,
   1132     28   ,644    645  ,87.5,
   1133   ,641    289    703 +155.7,,
   1134    173    100    200  +30.0,,,
   1135    132    229    264  +60.0,,,
   1136   ,516    ,97    525 ,169.4
   1137   ,437    260    508 +149.2,,
   1138   ,245    402    471 +121.4,,
   1139    ,93   ,700    706  ,97.6
   1140    169   ,492    520  ,71.0,
   1141   ,248     44    252 +169.9,,
   1142   1489  ,1111   1858  ,36.7,
   1143   ,141   ,151    207 ,133.0
   1144   ,134    352    377 +110.8,,
   1145   ,908  ,1054   1391 ,130.7
   1146    939    ,91    943   ,5.5,
   1147  ,1006    ,11   1006 ,179.4
   1148     ,9    ,83     83  ,96.2
   1149    ,31   ,139    142 ,102.6
   1150    ,77     29     82 +159.4,,
   1151    329    ,89    341  ,15.1,
   1152    994   ,104    999   ,6.0,
   1153   ,857   ,593   1042 ,145.3
   1154    422   ,488    645  ,49.1,
   1155   ,239    ,82    253 ,161.1
   1156   ,269    342    435 +128.2,,
   1157    349    380    516  +47.4,,,
   1158    318    220    387  +34.7,,,
   1159    298     68    306  +12.9,,,
   1160    338     53    342   +8.9,,,
   1161   ,236    217    321 +137.4,,
   1162    946    232    974  +13.8,,,
   1163     78    414    421  +79.3,,,
   1164    459    765    892  +59.0,,,
   1165    277    151    315  +28.6,,,
   1166   ,307    772    831 +111.7,,
   1167   ,520    936   1071 +119.1,,
   1168   ,323    189    374 +149.7,,
   1169    472    ,18    472   ,2.2,
   1170    131    591    605  +77.5,,,
   1171     20   ,303    304  ,86.2,
   1172   ,235    966    994 +103.7,,
   1173    763   ,711   1043  ,43.0,
   1174    ,53    125    136 +113.0,,
   1175   ,666   ,116    676 ,170.1
   1176   1052   ,576   1199  ,28.7,
   1177    235   ,342    415  ,55.5,
   1178   ,476   ,486    680 ,134.4
   1179    ,66   ,111    129 ,120.7
   1180   ,227    469    521 +115.8,,
   1181    324   ,972   1025  ,71.6,
   1182    134   ,503    521  ,75.1,
   1183     41   ,620    621  ,86.2,
   1184   ,246   ,407    476 ,121.1
   1185   ,132   ,983    992  ,97.6
   1186   ,254   ,607    658 ,112.7
   1187    ,71   ,293    301 ,103.6
   1188   ,469   ,882    999 ,118.0
   1189    235     51    240  +12.2,,,
   1190   ,115    655    665 +100.0,,
   1191     76    ,95    122  ,51.3,
   1192   ,248     20    249 +175.4,,
   1193   ,396    577    700 +124.5,,
   1194   ,109    420    434 +104.5,,
   1195   ,622   ,589    857 ,136.6
   1196    392    623    736  +57.8,,,
   1197    160   ,693    711  ,77.0,
   1198    349    642    731  +61.5,,,
   1199   ,325   ,313    451 ,136.1
   1200    108     ,3    108   ,1.6,
   1201   1256    458   1337  +20.0,,,
   1202    175   ,997   1012  ,80.0,
   1203   ,122   1284   1290  +95.4,,
   1204    705    834   1092  +49.8,,,
   1205    375   ,674    771  ,60.9,
   1206    161   ,190    249  ,49.7,
   1207   ,335    566    658 +120.6,,
   1208   ,232   ,214    316 ,137.3
   1209     23   ,103    106  ,77.4,
   1210    198   ,117    230  ,30.6,
   1211    571    948   1107  +58.9,,,
   1212   ,228  ,1182   1204 ,100.9
   1213    ,38   ,926    927  ,92.3
   1214    259   ,331    420  ,52.0,
   1215    111     69    131  +31.9,,,
   1216     81    ,63    103  ,37.9,
   1217    405   ,182    444  ,24.2,
   1218    178   ,709    731  ,75.9,
   1219   ,318    225    390 +144.7,,
   1220   ,756     59    758 +175.5,,
   1221   ,630    925   1119 +124.3,,
   1222    430   ,104    442  ,13.6,
   1223   ,239    732    770 +108.1,,
   1224   ,411    558    693 +126.4,,
   1225   ,518   ,881   1022 ,120.5
   1226   ,322   ,754    820 ,113.1
   1227   ,460   ,462    652 ,134.9
   1228    562    661    868  +49.6,,,
   1229   ,475    948   1060 +116.6,,
   1230   ,392    241    460 +148.4,,
   1231   ,404   ,234    467 ,149.9
   1232   ,143  ,1005   1015  ,98.1
   1233   ,545    716    900 +127.3,,
   1234    313   ,142    344  ,24.4,
   1235   ,192    188    269 +135.6,,
   1236    216    169    274  +38.0,,,
   1237    778     46    779   +3.4,,,
   1238    550    451    711  +39.4,,,
   1239    ,40    769    770  +93.0,,
   1240   ,251    ,87    266 ,160.9
   1241    657   ,535    847  ,39.2,
   1242     14    422    422  +88.1,,,
   1243    613   ,391    727  ,32.5,
   1244    165   ,377    412  ,66.4,
   1245   ,168    227    282 +126.5,,
   1246    585   ,994   1153  ,59.5,
   1247    240    745    783  +72.1,,,
   1248    ,36    129    134 +105.6,,
   1249    785   ,393    878  ,26.6,
   1250   1330   ,695   1501  ,27.6,
   1251   ,500   ,577    763 ,130.9
   1252    387    ,19    387   ,2.8,
   1253      8   ,504    504  ,89.1,
   1254    220   ,157    270  ,35.5,
   1255    197     12    197   +3.5,,,
   1256   ,259   ,599    653 ,113.4
   1257    ,22   ,810    810  ,91.6
   1258    362   ,444    573  ,50.8,
   1259   1068   ,147   1078   ,7.8,
   1260   ,762    166    780 +167.7,,
   1261    565    ,60    568   ,6.1,
   1262    564   ,477    739  ,40.2,
   1263    528    287    601  +28.5,,,
   1264    ,19    337    338  +93.2,,
   1265    ,94    664    671  +98.1,,
   1266    434    454    628  +46.3,,,
   1267    597    738    949  +51.0,,,
   1268   ,148    312    345 +115.4,,
   1269   ,744    279    795 +159.4,,
   1270    814   ,503    957  ,31.7,
   1271    262    383    464  +55.6,,,
   1272   ,467   ,327    570 ,145.0
   1273    ,93     95    133 +134.4,,
   1274   ,741   ,288    795 ,158.8
   1275    326   ,492    590  ,56.5,
   1276   ,648    132    661 +168.5,,
   1277    ,38   ,233    236  ,99.3
   1278    315   ,451    550  ,55.1,
   1279    336    626    710  +61.8,,,
   1280   ,314   ,115    334 ,159.9
   1281    337   ,206    395  ,31.4,
   1282    563   1574   1672  +70.3,,,
   1283    428    647    776  +56.5,,,
   1284   ,409    460    616 +131.6,,
   1285    373    ,77    381  ,11.7,
   1286   ,385    166    419 +156.7,,
   1287    677    530    860  +38.1,,,
   1288   ,312   ,448    546 ,124.9
   1289   ,173   ,201    265 ,130.7
   1290    219   ,200    297  ,42.4,
   1291   ,362   ,553    661 ,123.2
   1292   ,521   1038   1161 +116.7,,
   1293    535   ,208    574  ,21.2,
   1294   ,165    335    373 +116.2,,
   1295   ,333    334    472 +134.9,,
   1296   ,406    879    968 +114.8,,
   1297   ,329   ,426    538 ,127.7
   1298    860     23    860   +1.5,,,
   1299    ,89   ,246    262 ,109.9
   1300    ,20     15     25 +143.1,,
   1301   ,170    357    395 +115.5,,
   1302   ,746     ,4    746 ,179.7
   1303    327    461    565  +54.7,,,
   1304   ,841    351    911 +157.3,,
   1305   ,798    483    933 +148.8,,
   1306   ,109   ,107    153 ,135.5
   1307   ,113    868    875  +97.4,,
   1308   ,279    150    317 +151.7,,
   1309  ,1123    143   1132 +172.7,,
   1310    226    187    293  +39.6,,,
   1311    445   ,401    599  ,42.0,
   1312    148   ,171    226  ,49.1,
   1313    444   ,353    567  ,38.5,
   1314    751    ,89    756   ,6.8,
   1315    292    319    432  +47.5,,,
   1316     24    ,34     42  ,54.8,
   1317   ,296   1141   1179 +104.5,,
   1318   ,129   1616   1621  +94.6,,
   1319   ,306   ,619    691 ,116.3
   1320    ,63    270    277 +103.1,,
   1321   ,766    640    998 +140.1,,
   1322   ,104    835    841  +97.1,,
   1323     71    629    633  +83.6,,,
   1324    167    371    407  +65.8,,,
   1325    476   ,764    900  ,58.1,
   1326    763     ,4    763   ,0.3,
   1327   1040   ,201   1059  ,10.9,
   1328   ,326     38    328 +173.4,,
   1329     80    748    752  +83.9,,,
   1330   ,262     53    267 +168.6,,
   1331    282   ,497    571  ,60.4,
   1332    255    178    311  +34.9,,,
   1333   ,164    ,32    167 ,169.0
   1334     58   ,257    263  ,77.3,
   1335   ,470   ,384    607 ,140.8
   1336   1017   ,261   1050  ,14.4,
   1337    348   ,218    411  ,32.1,
   1338    240   1046   1073  +77.1,,,
   1339    205    184    275  +41.9,,,
   1340    990    420   1075  +23.0,,,
   1341   ,909   ,276    950 ,163.1
   1342     84    199    216  +67.1,,,
   1343   ,540   ,729    907 ,126.5
   1344    ,46   ,276    280  ,99.5
   1345  ,1001   ,712   1228 ,144.6
   1346   ,483    712    860 +124.2,,
   1347   ,242    ,27    244 ,173.6
   1348    153   ,475    499  ,72.1,
   1349   ,570   ,154    590 ,164.9
   1350   ,821     ,1    821 ,179.9
   1351   ,342   ,393    521 ,131.0
   1352    371     69    377  +10.5,,,
   1353   1216    ,51   1217   ,2.4,
   1354   ,589   ,436    733 ,143.5
   1355   ,380    472    606 +128.8,,
   1356    361   ,192    409  ,28.0,
   1357   ,860   ,756   1145 ,138.7
   1358    314    581    660  +61.6,,,
   1359    271  ,1052   1086  ,75.6,
   1360   ,414   ,386    566 ,137.0
   1361     73    ,22     76  ,16.8,
   1362      2   ,684    684  ,89.8,
   1363    ,42   ,419    421  ,95.7
   1364     16   ,886    886  ,89.0,
   1365    149   ,359    389  ,67.5,
   1366    379   ,662    763  ,60.2,
   1367   ,177    611    636 +106.2,,
   1368     20     99    101  +78.6,,,
   1369    165   ,183    246  ,48.0,
   1370  ,1295    ,78   1297 ,176.6
   1371  ,1042   ,154   1053 ,171.6
   1372  ,1297    162   1307 +172.9,,
   1373   ,102     69    123 +145.9,,
   1374    281   ,688    743  ,67.8,
   1375    505  ,1080   1192  ,64.9,
   1376    799    451    917  +29.4,,,
   1377    386    818    904  +64.7,,,
   1378     25     62     67  +68.0,,,
   1379   1060    365   1121  +19.0,,,
   1380    824    205    849  +14.0,,,
   1381   ,104    613    622  +99.6,,
   1382   ,692    111    701 +170.9,,
   1383   ,106    ,84    135 ,141.6
   1384   ,409    440    601 +132.9,,
   1385   ,221    299    372 +126.5,,
   1386    774    504    924  +33.1,,,
   1387      3   ,274    274  ,89.4,
   1388   ,620    861   1061 +125.8,,
   1389   ,626    438    764 +145.0,,
   1390   ,229    367    433 +122.0,,
   1391   ,359   1144   1199 +107.4,,
   1392   ,668   ,431    795 ,147.2
   1393    549   ,264    609  ,25.7,
   1394     58     74     94  +51.9,,,
   1395    164   ,698    717  ,76.8,
   1396     96   ,643    650  ,81.5,
   1397    406   ,352    537  ,40.9,
   1398    ,96     90    132 +136.8,,
   1399   1027    116   1034   +6.4,,,
