NAICS Code,NAICS Sector,Type of Operation or Tax Status,Number of Establishments,"Sales, Shipments, Receipts, Revenue, or Business Done ($1,000)","Annual Payroll ($1,000)",Number of Paid Employees for Pay Period Including March 12
62199,All other ambulatory health care services,All establishments,3,D,D,e
62199,All other ambulatory health care services,Establishments subject to federal income tax,3,D,D,e
621991,Blood and organ banks,All establishments,3,D,D,e
621991,Blood and organ banks,Establishments subject to federal income tax,3,D,D,e
622,Hospitals,All establishments,4,503865,233241,4492
622,Hospitals,Establishments exempt from federal income tax,4,503865,233241,4492
6221,General medical and surgical hospitals,All establishments,2,D,D,h
6221,General medical and surgical hospitals,Establishments exempt from federal income tax,2,D,D,h
62211,General medical and surgical hospitals,All establishments,2,D,D,h
62211,General medical and surgical hospitals,Establishments exempt from federal income tax,2,D,D,h
622110,General medical and surgical hospitals,All establishments,2,D,D,h
622110,General medical and surgical hospitals,Establishments exempt from federal income tax,2,D,D,h
6223,Specialty (except psychiatric and substance abuse) hospitals,All establishments,2,D,D,f
6223,Specialty (except psychiatric and substance abuse) hospitals,Establishments exempt from federal income tax,2,D,D,f
62231,Specialty (except psychiatric and substance abuse) hospitals,All establishments,2,D,D,f
62231,Specialty (except psychiatric and substance abuse) hospitals,Establishments exempt from federal income tax,2,D,D,f
622310,Specialty (except psychiatric and substance abuse) hospitals,All establishments,2,D,D,f
622310,Specialty (except psychiatric and substance abuse) hospitals,Establishments exempt from federal income tax,2,D,D,f
623,Nursing and residential care facilities,All establishments,28,59951,29843,1033
623,Nursing and residential care facilities,Establishments subject to federal income tax,4,D,D,c
623,Nursing and residential care facilities,Establishments exempt from federal income tax,24,D,D,f
6231,Nursing care facilities,All establishments,4,D,D,e
6231,Nursing care facilities,Establishments exempt from federal income tax,3,D,D,e
62311,Nursing care facilities,All establishments,4,D,D,e
62311,Nursing care facilities,Establishments exempt from federal income tax,3,D,D,e
623110,Nursing care facilities,All establishments,4,D,D,e
623110,Nursing care facilities,Establishments exempt from federal income tax,3,D,D,e
6232,"Residential mental retardation, mental health and substance abuse facilities",All establishments,19,D,D,e
6232,"Residential mental retardation, mental health and substance abuse facilities",Establishments exempt from federal income tax,18,D,D,e
62321,Residential mental retardation facilities,All establishments,5,D,D,c
62321,Residential mental retardation facilities,Establishments exempt from federal income tax,4,D,D,c
623210,Residential mental retardation facilities,All establishments,5,D,D,c
623210,Residential mental retardation facilities,Establishments exempt from federal income tax,4,D,D,c
62322,Residential mental health and substance abuse facilities,All establishments,14,D,D,b
62322,Residential mental health and substance abuse facilities,Establishments exempt from federal income tax,14,D,D,b
623220,Residential mental health and substance abuse facilities,All establishments,14,D,D,b
623220,Residential mental health and substance abuse facilities,Establishments exempt from federal income tax,14,D,D,b
6233,Community care facilities for the elderly,All establishments,5,15612,5394,211
6233,Community care facilities for the elderly,Establishments subject to federal income tax,2,D,D,c
6233,Community care facilities for the elderly,Establishments exempt from federal income tax,3,D,D,c
62331,Community care facilities for the elderly,All establishments,5,15612,5394,211
62331,Community care facilities for the elderly,Establishments subject to federal income tax,2,D,D,c
62331,Community care facilities for the elderly,Establishments exempt from federal income tax,3,D,D,c
623312,Homes for the elderly,All establishments,4,D,D,c
623312,Homes for the elderly,Establishments subject to federal income tax,2,D,D,c
623312,Homes for the elderly,Establishments exempt from federal income tax,2,D,D,b
624,Social assistance,All establishments,93,109946,44494,1872
624,Social assistance,Establishments subject to federal income tax,11,11291,4704,347
624,Social assistance,Establishments exempt from federal income tax,82,98655,39790,1525
6241,Individual and family services,All establishments,40,D,D,f
6241,Individual and family services,Establishments exempt from federal income tax,38,39371,18526,867
62411,Child and youth services,All establishments,10,D,D,c
62411,Child and youth services,Establishments exempt from federal income tax,9,D,D,c
624110,Child and youth services,All establishments,10,D,D,c
624110,Child and youth services,Establishments exempt from federal income tax,9,D,D,c
62412,Services for the elderly and persons with disabilities,All establishments,6,6079,4107,263
62412,Services for the elderly and persons with disabilities,Establishments exempt from federal income tax,6,6079,4107,263
624120,Services for the elderly and persons with disabilities,All establishments,6,6079,4107,263
624120,Services for the elderly and persons with disabilities,Establishments exempt from federal income tax,6,6079,4107,263
62419,Other individual and family services,All establishments,24,27680,11650,427
62419,Other individual and family services,Establishments exempt from federal income tax,23,D,D,e
624190,Other individual and family services,All establishments,24,27680,11650,427
624190,Other individual and family services,Establishments exempt from federal income tax,23,D,D,e
6242,"Community food and housing, and emergency and other relief services",All establishments,14,38092,10434,270
6242,"Community food and housing, and emergency and other relief services",Establishments exempt from federal income tax,14,38092,10434,270
62422,Community housing services,All establishments,9,D,D,c
62422,Community housing services,Establishments exempt from federal income tax,9,D,D,c
624229,Other community housing services,All establishments,5,12426,4737,102
624229,Other community housing services,Establishments exempt from federal income tax,5,12426,4737,102
62423,Emergency and other relief services,All establishments,3,D,D,c
62423,Emergency and other relief services,Establishments exempt from federal income tax,3,D,D,c
624230,Emergency and other relief services,All establishments,3,D,D,c
624230,Emergency and other relief services,Establishments exempt from federal income tax,3,D,D,c
6243,Vocational rehabilitation services,All establishments,4,D,D,a
6243,Vocational rehabilitation services,Establishments exempt from federal income tax,4,D,D,a
62431,Vocational rehabilitation services,All establishments,4,D,D,a
62431,Vocational rehabilitation services,Establishments exempt from federal income tax,4,D,D,a
624310,Vocational rehabilitation services,All establishments,4,D,D,a
624310,Vocational rehabilitation services,Establishments exempt from federal income tax,4,D,D,a
6244,Child day care services,All establishments,35,26665,14541,712
6244,Child day care services,Establishments subject to federal income tax,9,D,D,e
6244,Child day care services,Establishments exempt from federal income tax,26,D,D,e
62441,Child day care services,All establishments,35,26665,14541,712
62441,Child day care services,Establishments subject to federal income tax,9,D,D,e
62441,Child day care services,Establishments exempt from federal income tax,26,D,D,e
624410,Child day care services,All establishments,35,26665,14541,712
624410,Child day care services,Establishments subject to federal income tax,9,D,D,e
624410,Child day care services,Establishments exempt from federal income tax,26,D,D,e
71,"Arts, entertainment, and recreation",All establishments,68,147428,23513,760
71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,50,133421,20668,651
71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,18,14007,2845,109
711,"Performing arts, spectator sports, and related industries",All establishments,46,122137,14983,318
711,"Performing arts, spectator sports, and related industries",Establishments subject to federal income tax,32,109133,12477,224
711,"Performing arts, spectator sports, and related industries",Establishments exempt from federal income tax,14,13004,2506,94
7111,Performing arts companies,All establishments,17,26955,5392,105
7111,Performing arts companies,Establishments subject to federal income tax,7,D,D,b
7111,Performing arts companies,Establishments exempt from federal income tax,10,D,D,b
71111,Theater companies and dinner theaters,All establishments,4,D,D,b
71111,Theater companies and dinner theaters,Establishments exempt from federal income tax,4,D,D,b
711110,Theater companies and dinner theaters,All establishments,4,D,D,b
711110,Theater companies and dinner theaters,Establishments exempt from federal income tax,4,D,D,b
7111102,Theater companies,All establishments,4,D,D,b
7111102,Theater companies,Establishments exempt from federal income tax,4,D,D,b
71113,Musical groups and artists,All establishments,12,20332,4398,55
71113,Musical groups and artists,Establishments subject to federal income tax,7,D,D,b
71113,Musical groups and artists,Establishments exempt from federal income tax,5,D,D,a
711130,Musical groups and artists,All establishments,12,20332,4398,55
711130,Musical groups and artists,Establishments subject to federal income tax,7,D,D,b
711130,Musical groups and artists,Establishments exempt from federal income tax,5,D,D,a
7111309,Other music groups and artists,All establishments,9,D,D,b
7111309,Other music groups and artists,Establishments subject to federal income tax,7,D,D,b
7113,"Promoters of performing arts, sports, and similar events",All establishments,11,D,D,c
7113,"Promoters of performing arts, sports, and similar events",Establishments subject to federal income tax,7,D,D,c
71131,"Promoters of performing arts, sports, and similar events with facilities",All establishments,8,D,D,c
71131,"Promoters of performing arts, sports, and similar events with facilities",Establishments subject to federal income tax,5,D,D,c
711310,"Promoters of performing arts, sports, and similar events with facilities",All establishments,8,D,D,c
711310,"Promoters of performing arts, sports, and similar events with facilities",Establishments subject to federal income tax,5,D,D,c
7114,"Agents and managers for artists, athletes, entertainers, and other public figures",All establishments,6,D,D,b
7114,"Agents and managers for artists, athletes, entertainers, and other public figures",Establishments subject to federal income tax,6,D,D,b
71141,"Agents and managers for artists, athletes, entertainers, and other public figures",All establishments,6,D,D,b
71141,"Agents and managers for artists, athletes, entertainers, and other public figures",Establishments subject to federal income tax,6,D,D,b
711410,"Agents and managers for artists, athletes, entertainers, and other public figures",All establishments,6,D,D,b
711410,"Agents and managers for artists, athletes, entertainers, and other public figures",Establishments subject to federal income tax,6,D,D,b
7115,"Independent artists, writers, and performers",All establishments,12,9632,1093,37
7115,"Independent artists, writers, and performers",Establishments subject to federal income tax,12,9632,1093,37
71151,"Independent artists, writers, and performers",All establishments,12,9632,1093,37
71151,"Independent artists, writers, and performers",Establishments subject to federal income tax,12,9632,1093,37
711510,"Independent artists, writers, and performers",All establishments,12,9632,1093,37
711510,"Independent artists, writers, and performers",Establishments subject to federal income tax,12,9632,1093,37
713,"Amusement, gambling, and recreation industries",All establishments,20,D,D,e
713,"Amusement, gambling, and recreation industries",Establishments subject to federal income tax,18,24288,8191,427
7139,Other amusement and recreation industries,All establishments,20,D,D,e
7139,Other amusement and recreation industries,Establishments subject to federal income tax,18,24288,8191,427
71394,Fitness and recreational sports centers,All establishments,14,21667,7228,410
71394,Fitness and recreational sports centers,Establishments subject to federal income tax,14,21667,7228,410
713940,Fitness and recreational sports centers,All establishments,14,21667,7228,410
713940,Fitness and recreational sports centers,Establishments subject to federal income tax,14,21667,7228,410
7139409,Other fitness and recreational sports centers,All establishments,13,D,D,e
7139409,Other fitness and recreational sports centers,Establishments subject to federal income tax,13,D,D,e
72,Accommodation and food services,Total,398,594920,172798,8044
721,Accommodation,Total,22,246555,66165,1942
7211,Traveler accommodation,Total,20,D,D,g
72111,Hotels (except casino hotels) and motels,Total,14,241971,64944,1890
721110,Hotels (except casino hotels) and motels,Total,14,241971,64944,1890
72119,Other traveler accommodation,Total,6,D,D,b
7213,Rooming and boarding houses,Total,2,D,D,a
72131,Rooming and boarding houses,Total,2,D,D,a
721310,Rooming and boarding houses,Total,2,D,D,a
722,Food services and drinking places,Total,376,348365,106633,6102
7221,Full-service restaurants,Total,166,201257,67129,3720
72211,Full-service restaurants,Total,166,201257,67129,3720
722110,Full-service restaurants,Total,166,201257,67129,3720
7222,Limited-service eating places,Total,141,92754,23101,1602
72221,Limited-service eating places,Total,141,92754,23101,1602
722211,Limited-service restaurants,Total,87,D,D,f
722213,Snack and nonalcoholic beverage bars,Total,53,48850,11850,842
7223,Special food services,Total,53,43960,13545,517
72231,Food service contractors,Total,46,39806,12243,459
722310,Food service contractors,Total,46,39806,12243,459
72232,Caterers,Total,6,D,D,b
722320,Caterers,Total,6,D,D,b
7224,Drinking places (alcoholic beverages),Total,16,10394,2858,263
72241,Drinking places (alcoholic beverages),Total,16,10394,2858,263
722410,Drinking places (alcoholic beverages),Total,16,10394,2858,263
81,Other services (except public administration),All establishments,262,313544,76735,1953
81,Other services (except public administration),Establishments subject to federal income tax,147,103960,29384,1114
81,Other services (except public administration),Establishments exempt from federal income tax,115,209584,47351,839
811,Repair and maintenance,All establishments,39,26259,7609,227
811,Repair and maintenance,Establishments subject to federal income tax,39,26259,7609,227
8111,Automotive repair and maintenance,All establishments,32,22938,6595,197
8111,Automotive repair and maintenance,Establishments subject to federal income tax,32,22938,6595,197
81111,Automotive mechanical and electrical repair and maintenance,All establishments,19,11327,3063,98
81111,Automotive mechanical and electrical repair and maintenance,Establishments subject to federal income tax,19,11327,3063,98
811111,General automotive repair,All establishments,18,D,D,b
811111,General automotive repair,Establishments subject to federal income tax,18,D,D,b
81112,"Automotive body, paint, interior, and glass repair",All establishments,9,D,D,b
81112,"Automotive body, paint, interior, and glass repair",Establishments subject to federal income tax,9,D,D,b
811121,"Automotive body, paint, and interior repair and maintenance",All establishments,7,7672,2441,51
811121,"Automotive body, paint, and interior repair and maintenance",Establishments subject to federal income tax,7,7672,2441,51
8111211,Paint or body repair,All establishments,7,7672,2441,51
8111211,Paint or body repair,Establishments subject to federal income tax,7,7672,2441,51
81119,Other automotive repair and maintenance,All establishments,4,D,D,b
81119,Other automotive repair and maintenance,Establishments subject to federal income tax,4,D,D,b
8114,Personal and household goods repair and maintenance,All establishments,3,D,D,a
8114,Personal and household goods repair and maintenance,Establishments subject to federal income tax,3,D,D,a
812,Personal and laundry services,All establishments,108,77701,21775,887
812,Personal and laundry services,Establishments subject to federal income tax,108,77701,21775,887
8121,Personal care services,All establishments,47,21947,10005,438
8121,Personal care services,Establishments subject to federal income tax,47,21947,10005,438
81211,"Hair, nail, and skin care services",All establishments,40,19279,9488,395
81211,"Hair, nail, and skin care services",Establishments subject to federal income tax,40,19279,9488,395
812111,Barber shops,All establishments,5,D,D,b
812111,Barber shops,Establishments subject to federal income tax,5,D,D,b
812112,Beauty salons,All establishments,34,17731,8830,374
812112,Beauty salons,Establishments subject to federal income tax,34,17731,8830,374
81219,Other personal care services,All establishments,7,2668,517,43
81219,Other personal care services,Establishments subject to federal income tax,7,2668,517,43
8122,Death care services,All establishments,5,D,D,a
8122,Death care services,Establishments subject to federal income tax,5,D,D,a
81221,Funeral homes and funeral services,All establishments,5,D,D,a
81221,Funeral homes and funeral services,Establishments subject to federal income tax,5,D,D,a
812210,Funeral homes and funeral services,All establishments,5,D,D,a
812210,Funeral homes and funeral services,Establishments subject to federal income tax,5,D,D,a
8123,Drycleaning and laundry services,All establishments,22,D,D,b
8123,Drycleaning and laundry services,Establishments subject to federal income tax,22,D,D,b
81232,Drycleaning and laundry services (except coin-operated),All establishments,19,D,D,b
81232,Drycleaning and laundry services (except coin-operated),Establishments subject to federal income tax,19,D,D,b
812320,Drycleaning and laundry services (except coin-operated),All establishments,19,D,D,b
812320,Drycleaning and laundry services (except coin-operated),Establishments subject to federal income tax,19,D,D,b
8123202,Drycleaning plants,All establishments,11,2843,571,27
8123202,Drycleaning plants,Establishments subject to federal income tax,11,2843,571,27
8123203,Garment pressing and agents for laundries,All establishments,8,D,D,b
8123203,Garment pressing and agents for laundries,Establishments subject to federal income tax,8,D,D,b
8129,Other personal services,All establishments,34,D,D,e
8129,Other personal services,Establishments subject to federal income tax,34,D,D,e
81293,Parking lots and garages,All establishments,28,30213,5416,277
81293,Parking lots and garages,Establishments subject to federal income tax,28,30213,5416,277
812930,Parking lots and garages,All establishments,28,30213,5416,277
812930,Parking lots and garages,Establishments subject to federal income tax,28,30213,5416,277
81299,All other personal services,All establishments,4,D,D,b
81299,All other personal services,Establishments subject to federal income tax,4,D,D,b
812990,All other personal services,All establishments,4,D,D,b
812990,All other personal services,Establishments subject to federal income tax,4,D,D,b
8129902,Dating services,All establishments,1,D,D,b
8129902,Dating services,Establishments subject to federal income tax,1,D,D,b
813,"Religious, grantmaking, civic, professional, and similar organizations",All establishments,115,209584,47351,839
813,"Religious, grantmaking, civic, professional, and similar organizations",Establishments exempt from federal income tax,115,209584,47351,839
