Home School DBN,Home School Name,Home School Address,City,Zip Code,Summer School Site 1,Summer School Site Address,City,Zip Code,Summer School Site 2,Summer School Site Address,City,Zip Code
04M050,P.S. 050 Vito Marcantonio,433 EAST 100 STREET,MANHATTAN,10029,M101,141 EAST 111 STREET,MANHATTAN,10029,M057,176 EAST 115 STREET,MANHATTAN,10029
04M057,James Weldon Johnson,176 EAST 115 STREET,MANHATTAN,10029,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M072,The Lexington Academy,131 EAST 104 STREET,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M083,P.S. 083 Luis Munoz Rivera,219 EAST 109 STREET,MANHATTAN,10029,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M096,P.S. 096 Joseph Lanzetta,216 EAST 120 STREET,MANHATTAN,10035,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M102,P.S. 102 Jacques Cartier,315 EAST 113 STREET,MANHATTAN,10029,M101,141 EAST 111 STREET,MANHATTAN,10029,,,,
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,1615 MADISON AVENUE,MANHATTAN,10029,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M112,P.S. 112 Jose Celso Barbosa,535 EAST 119 STREET,MANHATTAN,10035,M112,535 EAST 119 STREET,MANHATTAN,10035,,,,
04M146,P.S. 146 Ann M. Short,421 EAST 106 STREET,MANHATTAN,10029,M146,421 EAST 106 STREET,MANHATTAN,10029,,,,
04M155,P.S. 155 William Paca,319 EAST 117 STREET,MANHATTAN,10035,M146,421 EAST 106 STREET,MANHATTAN,10029,,,,
04M171,P.S. 171 Patrick Henry,19 EAST 103 STREET,MANHATTAN,10029,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M182,The Bilingual Bicultural School,219 EAST 109 STREET,MANHATTAN,10029,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M206,P.S. 206 Jose Celso Barbosa,508 EAST 120 STREET,MANHATTAN,10035,M206,508 EAST 120 STREET,MANHATTAN,10035,,,,
04M224,M.S. 224 Manhattan East School for Arts & Academics,410 EAST 100 STREET,MANHATTAN,10029,M117,240 EAST 109 STREET,MANHATTAN,10029,,,,
04M372,ESPERANZA PREPARATORY ACADEMY,240 EAST 109 STREET,MANHATTAN,10029,M117,240 EAST 109 STREET,MANHATTAN,10029,M435,260 PLEASANT AVENUE,MANHATTAN,10029
04M375,Mosaic Preparatory Academy,141 EAST 111 STREET,MANHATTAN,10029,M101,141 EAST 111 STREET,MANHATTAN,10029,,,,
04M377,Renaissance School of the Arts,319 EAST 117 STREET,MANHATTAN,10035,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M381,Global Neighborhood Secondary School,240 EAST 109 STREET,MANHATTAN,10029,M117,240 EAST 109 STREET,MANHATTAN,10029,,,,
04M406,Global Technology Preparatory,160 EAST 120 STREET,MANHATTAN,10035,M057,176 EAST 115 STREET,MANHATTAN,10029,,,,
04M409,Coalition School for Social Change,2351 1ST AVENUE,MANHATTAN,10035,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M435,Manhattan Center for Science and Mathematics,260 PLEASANT AVENUE,MANHATTAN,10029,M435,260 PLEASANT AVENUE,MANHATTAN,10029,,,,
04M495,Park East High School,230 EAST 105 STREET,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M497,Central Park East I,1573 MADISON AVENUE,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M555,Central Park East High School,1573 MADISON AVENUE,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M610,Young Women's Leadership School,105 EAST 106 STREET,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M635,Academy of Environmental Science Secondary High School,410 EAST 100 STREET,MANHATTAN,10029,M645,320 EAST 96 STREET,MANHATTAN,10128,,,,
04M680,"Heritage School, The",1680 LEXINGTON AVENUE,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
04M825,Isaac Newton Middle School for Math & Science,260 PLEASANT AVENUE,MANHATTAN,10029,M117,240 EAST 109 STREET,MANHATTAN,10029,,,,
04M964,Central Park East II,19 EAST 103 STREET,MANHATTAN,10029,M013,1573 MADISON AVENUE,MANHATTAN,10029,,,,
05M030,P.S. 030 Hernandez/Hughes,144-176 EAST 128 STREET,MANHATTAN,10035,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M036,P.S. 036 Margaret Douglas,123 MORNINGSIDE DRIVE,MANHATTAN,10027,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M046,P.S. 046 Arthur Tappan,2987 FREDERICK DGLS BLVD,MANHATTAN,10039,M046,2987 FREDERICK DGLS BLVD,MANHATTAN,10039,,,,
05M092,P.S. 092 Mary McLeod Bethune,222 WEST 134 STREET,MANHATTAN,10030,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M123,P.S. 123 Mahalia Jackson,301 WEST 140 STREET,MANHATTAN,10030,M161,499 WEST 133 STREET,MANHATTAN,10027,,,,
05M125,P.S. 125 Ralph Bunche,425 WEST 123 STREET,MANHATTAN,10027,M161,499 WEST 133 STREET,MANHATTAN,10027,,,,
05M129,P.S. 129 John H. Finley,425 WEST 130 STREET,MANHATTAN,10027,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M133,P.S. 133 Fred R Moore,2121 5 AVENUE,MANHATTAN,10037,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M148,Eagle Academy for Young Men of Harlem,6 EDGECOMBE AVENUE,MANHATTAN,10030,M540,443 WEST 135 STREET,MANHATTAN,10031,,,,
05M154,P.S. 154 Harriet Tubman,250 WEST 127 STREET,MANHATTAN,10027,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M157,The Urban Assembly School for Global Commerce,2005 MADISON AVENUE,MANHATTAN,10035,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
05M161,P.S. 161 Pedro Albizu Campos,499 WEST 133 STREET,MANHATTAN,10027,M161,499 WEST 133 STREET,MANHATTAN,10027,,,,
05M175,P.S. 175 Henry H Garnet,175 WEST 134 STREET,MANHATTAN,10030,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M194,P.S. 194 Countee Cullen,244 WEST 144 STREET,MANHATTAN,10030,M028,475 WEST 155 STREET,MANHATTAN,10032,,,,
05M197,P.S. 197 John B. Russwurm,2230 5 AVENUE,MANHATTAN,10037,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M200,P.S. 200- The James Mccune Smith School,2589 7 AVENUE,MANHATTAN,10039,M010,2581 7TH AVENUE,MANHATTAN,10039,,,,
05M285,Harlem Renaissance High School,22 EAST 128 STREET,MANHATTAN,10035,M506,140 WEST 102 STREET,MANHATTAN,10025,,,,
05M302,KAPPA IV,6 EDGECOMBE AVENUE,MANHATTAN,10030,M540,443 WEST 135 STREET,MANHATTAN,10031,,,,
05M304,Mott Hall High School,6 EDGECOMBE AVENUE,MANHATTAN,10030,M540,443 WEST 135 STREET,MANHATTAN,10031,,,,
05M318,Thurgood Marshall Academy Lower School,276 WEST 151ST STREET,MANHATTAN,10039,M154,250 WEST 127 STREET,MANHATTAN,10027,,,,
05M362,Columbia Secondary School,425 WEST 123 STREET,MANHATTAN,10027,M490,122 AMSTERDAM AVENUE,MANHATTAN,10023,,,,
05M367,Academy for Social Action: A College Board School,509 WEST 129 STREET,MANHATTAN,10027,M970,200-214 WEST 135TH STREET,MANHATTAN,10030,,,,
05M369,Urban Assembly School for the Performing Arts,509 WEST 129 STREET,MANHATTAN,10027,X460,244 EAST 163 STREET,BRONX,10451,,,,
05M410,The Urban Assembly Institute for New Technologies,509 WEST 129 STREET,MANHATTAN,10027,M161,499 WEST 133 STREET,MANHATTAN,10027,,,,
05M469,Choir Academy of Harlem,2005 MADISON AVENUE,MANHATTAN,10035,M540,443 WEST 135 STREET,MANHATTAN,10031,,,,
05M499,Frederick Douglass Academy,2581 7TH AVENUE,MANHATTAN,10039,M010,2581 7TH AVENUE,MANHATTAN,10039,,,,
05M514,New Design Middle School,625 WEST 133 STREET,MANHATTAN,10027,M195,625 WEST 133 STREET,MANHATTAN,10027,,,,
05M670,Thurgood Marshall Academy for Learning and Social Change,200-214 WEST 135TH STREET,MANHATTAN,10030,M970,200-214 WEST 135TH STREET,MANHATTAN,10030,,,,
05M685,Bread & Roses Integrated Arts High School,6 EDGECOMBE AVENUE,MANHATTAN,10030,M970,200-214 WEST 135TH STREET,MANHATTAN,10030,,,,
05M692,"High School for Mathematics, Science and Engineering at City College",240 CONVENT AVE,MANHATTAN,10031,M540,443 WEST 135 STREET,MANHATTAN,10031,,,,
06M004,P.S. 004 Duke Ellington,500 WEST 160 STREET,MANHATTAN,10032,M028,475 WEST 155 STREET,MANHATTAN,10032,,,,
06M005,P.S. 005 Ellen Lurie,3703 TENTH AVENUE,MANHATTAN,10034,M005,3703 TENTH AVENUE,MANHATTAN,10034,,,,
06M008,P.S. 008 Luis Belliard,465 WEST 167 STREET,MANHATTAN,10032,M128,560 WEST 169 STREET,MANHATTAN,10032,,,,
06M018,P.S. 018 Park Terrace,4124 9 AVENUE,MANHATTAN,10034,M005,3703 TENTH AVENUE,MANHATTAN,10034,M218,4600 BROADWAY,MANHATTAN,10040
06M028,P.S. 028 Wright Brothers,475 WEST 155 STREET,MANHATTAN,10032,M028,475 WEST 155 STREET,MANHATTAN,10032,,,,
06M048,P.S. 048 P.O. Michael J. Buczek,4360-78 BROADWAY,MANHATTAN,10033,M048,4360-78 BROADWAY,MANHATTAN,10033,,,,
06M052,J.H.S. 052 Inwood,650 ACADEMY STREET,MANHATTAN,10034,M218,4600 BROADWAY,MANHATTAN,10040,,,,
06M098,P.S. 098 Shorac Kappock,512 WEST 212 STREET,MANHATTAN,10034,M005,3703 TENTH AVENUE,MANHATTAN,10034,,,,
06M115,P.S. 115 Alexander Humboldt,586 WEST 177 STREET,MANHATTAN,10033,M048,4360-78 BROADWAY,MANHATTAN,10033,,,,
06M128,P.S. 128 Audubon,560 WEST 169 STREET,MANHATTAN,10032,M128,560 WEST 169 STREET,MANHATTAN,10032,,,,
06M132,P.S. 132 Juan Pablo Duarte,185 WADSWORTH AVENUE,MANHATTAN,10033,M048,4360-78 BROADWAY,MANHATTAN,10033,,,,
06M143,J.H.S. 143 Eleanor Roosevelt,511 WEST 182ND STREET,MANHATTAN,10033,M143,511 WEST 182ND STREET,MANHATTAN,10033,,,,
06M152,P.S. 152 Dyckman Valley,93 NAGLE AVENUE,MANHATTAN,10040,M048,4360-78 BROADWAY,MANHATTAN,10033,,,,
06M153,P.S. 153 Adam Clayton Powell,1750 AMSTERDAM AVENUE,MANHATTAN,10031,M028,475 WEST 155 STREET,MANHATTAN,10032,,,,
06M173,P.S. 173,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,M173,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,,,,
06M178,Professor Juan Bosch Public School,12-18 ELLWOOD STREET,MANHATTAN,10040,M048,4360-78 BROADWAY,MANHATTAN,10033,,,,
06M187,P.S./I.S. 187 Hudson Cliffs,349 CABRINI BOULEVARD,MANHATTAN,10040,M048,4360-78 BROADWAY,MANHATTAN,10033,M143,511 WEST 182ND STREET,MANHATTAN,10033
06M189,P.S. 189,2580 AMSTERDAM AVENUE,MANHATTAN,10040,M048,4360-78 BROADWAY,MANHATTAN,10033,,,,
06M192,P.S. 192 Jacob H. Schiff,500 WEST 138 STREET,MANHATTAN,10031,M161,499 WEST 133 STREET,MANHATTAN,10027,,,,
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,501-503 WEST 152 STREET,MANHATTAN,10031,M028,475 WEST 155 STREET,MANHATTAN,10032,M143,511 WEST 182ND STREET,MANHATTAN,10033
06M218,I.S. 218 Salome Urena,4600 BROADWAY,MANHATTAN,10040,M218,4600 BROADWAY,MANHATTAN,10040,,,,
06M223,The Mott Hall School,71-111 CONVENT AVE,MANHATTAN,10027,M143,511 WEST 182ND STREET,MANHATTAN,10033,,,,
06M278,Paula Hedbavny School,421 W 219TH ST,MANHATTAN,10034,M005,3703 TENTH AVENUE,MANHATTAN,10034,M218,4600 BROADWAY,MANHATTAN,10040
06M293,City College Academy of the Arts,4600 BROADWAY,MANHATTAN,10040,M218,4600 BROADWAY,MANHATTAN,10040,,,,
06M311,Amistad Dual Language School,4862 BROADWAY,MANHATTAN,10034,M005,3703 TENTH AVENUE,MANHATTAN,10034,M143,511 WEST 182ND STREET,MANHATTAN,10033
06M314,Muscota,4862 BROADWAY,MANHATTAN,10034,M005,3703 TENTH AVENUE,MANHATTAN,10034,,,,
06M319,M.S. 319 - Maria Teresa,21 JUMEL PLACE,MANHATTAN,10032,M090,21 JUMEL PLACE,MANHATTAN,10032,,,,
06M322,Middle School 322,4600 BROADWAY,MANHATTAN,10040,M218,4600 BROADWAY,MANHATTAN,10040,,,,
06M324,M.S. 324 - Patria Mirabal,21 JUMEL PLACE,MANHATTAN,10032,M090,21 JUMEL PLACE,MANHATTAN,10032,,,,
06M325,P.S. 325,500 WEST 138 STREET,MANHATTAN,10031,M028,475 WEST 155 STREET,MANHATTAN,10032,,,,
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,401 WEST 164 STREET,MANHATTAN,10032,M090,21 JUMEL PLACE,MANHATTAN,10032,,,,
06M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,401 WEST 164 STREET,MANHATTAN,10032,M090,21 JUMEL PLACE,MANHATTAN,10032,,,,
06M346,Community Health Academy of the Heights,504 WEST 158TH STREET,MANHATTAN,10032,M814,504 WEST 158TH STREET,MANHATTAN,10032,,,,
06M348,Washington Heights Expeditionary Learning School,511 WEST 182ND STREET,MANHATTAN,10033,M143,511 WEST 182ND STREET,MANHATTAN,10033,M814,504 WEST 158TH STREET,MANHATTAN,10032
06M349,Harbor Heights,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,M173,306 FORT WASHINGTON AVENUE,MANHATTAN,10033,,,,
06M366,Washington Heights Academy,202 SHERMAN AVE,MANHATTAN,10034,M005,3703 TENTH AVENUE,MANHATTAN,10034,M048,4360-78 BROADWAY,MANHATTAN,10033
06M368,Hamilton Heights School,1750 AMSTERDAM AVENUE,MANHATTAN,10031,M028,475 WEST 155 STREET,MANHATTAN,10032,,,,
06M423,High School for Excellence and Innovation,650 ACADEMY STREET,MANHATTAN,10034,M218,4600 BROADWAY,MANHATTAN,10040,,,,
06M457,George Washington Yabc,549 AUDUBON AVENUE,MANHATTAN,10040,M465,549 AUDUBON AVENUE,MANHATTAN,10040,,,,
06M462,The College Academy,549 AUDUBON AVENUE,MANHATTAN,10040,M465,549 AUDUBON AVENUE,MANHATTAN,10040,,,,
06M463,High School for Media and Communications,549 AUDUBON AVENUE,MANHATTAN,10040,M465,549 AUDUBON AVENUE,MANHATTAN,10040,,,,
06M467,High School for Law and Public Service,549 AUDUBON AVENUE,MANHATTAN,10040,M465,549 AUDUBON AVENUE,MANHATTAN,10040,,,,
06M468,High School for Health Careers and Sciences,549 AUDUBON AVENUE,MANHATTAN,10040,M465,549 AUDUBON AVENUE,MANHATTAN,10040,,,,
06M528,I.S. 528 Bea Fuller Rodgers School,180 WADSWORTH AVENUE,MANHATTAN,10033,M143,511 WEST 182ND STREET,MANHATTAN,10033,,,,
06M540,A. Philip Randolph Campus High School,443 WEST 135 STREET,MANHATTAN,10031,M540,443 WEST 135 STREET,MANHATTAN,10031,,,,
06M552,Gregorio Luperon High School for Science and Mathematics,501 WEST 165TH,MANHATTAN,10032,M465,549 AUDUBON AVENUE,MANHATTAN,10040,,,,
07X001,P.S. 001 Courtlandt School,335 EAST 152 STREET,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451,,,,
07X005,PS 5 Port Morris,564 JACKSON AVENUE,BRONX,10455,X005,564 JACKSON AVENUE,BRONX,10455,,,,
07X018,P.S. 018 John Peter Zenger,502 MORRIS AVENUE,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451,,,,
07X025,P.S. 025 Bilingual School,811 EAST 149 STREET,BRONX,10455,X005,564 JACKSON AVENUE,BRONX,10455,,,,
07X029,P.S./M.S. 029 Melrose School,758 COURTLANDT AVENUE,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451,,,,
07X030,P.S. 030 Wilton,510 EAST 141 STREET,BRONX,10454,X040,468 EAST 140 STREET,BRONX,10454,,,,
07X031,P.S./M.S. 031 The William Lloyd Garrison,250 EAST 156 STREET,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451,,,,
07X043,P.S. 043 Jonas Bronck,165 BROWN PLACE,BRONX,10454,X040,468 EAST 140 STREET,BRONX,10454,,,,
07X049,P.S. 049 Willis Avenue,383 EAST 139 STREET,BRONX,10454,X040,468 EAST 140 STREET,BRONX,10454,,,,
07X065,P.S. 065 Mother Hale Academy,677 EAST 141 STREET,BRONX,10454,X040,468 EAST 140 STREET,BRONX,10454,,,,
07X151,J.H.S. 151 Lou Gehrig,250 EAST 156 STREET,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451,,,,
07X154,P.S. 154 Jonathan D. Hyatt,333 EAST 135 STREET,BRONX,10454,X154,333 EAST 135 STREET,BRONX,10454,,,,
07X157,P.S. 157 Grove Hill,757 CAULDWELL AVENUE,BRONX,10456,X157,757 CAULDWELL AVENUE,BRONX,10456,,,,
07X161,P.S. 161 Ponce De Leon,628 TINTON AVENUE,BRONX,10455,X005,564 JACKSON AVENUE,BRONX,10455,,,,
07X162,J.H.S. 162 Lola Rodriguez De Tio,600 SAINT ANN'S AVENUE,BRONX,10455,X162,600 SAINT ANN'S AVENUE,BRONX,10455,,,,
07X179,P.S. 179,468 EAST 140 STREET,BRONX,10454,X040,468 EAST 140 STREET,BRONX,10454,,,,
07X203,M.S. 203,339 MORRIS AVENUE,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451,,,,
07X221,South Bronx Preparatory: A College Board School,360 EAST 145 STREET,BRONX,10454,X149,360 EAST 145 STREET,BRONX,10454,,,,
07X223,M.S. 223 The Laboratory School of Finance and Technology,360 EAST 145 STREET,BRONX,10454,X149,360 EAST 145 STREET,BRONX,10454,,,,
07X224,P.S. / I.S. 224,345 BROOK AVENUE,BRONX,10454,X149,360 EAST 145 STREET,BRONX,10454,,,,
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",455 SOUTHERN BLVD,BRONX,10455,X650,900 TINTON AVENUE,BRONX,10456,,,,
07X277,P.S. 277,519 ST ANNS AVENUE,BRONX,10455,X040,468 EAST 140 STREET,BRONX,10454,,,,
07X296,South Bronx Academy for Applied Media,778 FOREST AVENUE,BRONX,10456,X184,778 FOREST AVENUE,BRONX,10456,,,,
07X298,Academy of Public Relations,778 FOREST AVENUE,BRONX,10456,X184,778 FOREST AVENUE,BRONX,10456,X149,360 EAST 145 STREET,BRONX,10454
07X321,Crotona Academy High School,639 ST. ANNS AVENUE,BRONX,10455,X184,778 FOREST AVENUE,BRONX,10456,,,,
07X334,International Community High School,345 BROOK AVENUE,BRONX,10454,X139,345 BROOK AVENUE,BRONX,10454,,,,
07X343,Academy of Applied Mathematics and Technology,345 BROOK AVENUE,BRONX,10454,X149,360 EAST 145 STREET,BRONX,10454,,,,
07X369,Young Leaders Elementary School,468 EAST 140 STREET,BRONX,10454,X040,468 EAST 140 STREET,BRONX,10454,,,,
07X379,Jill Chaifetz Transfer High School,778 FOREST AVENUE,BRONX,10456,X184,778 FOREST AVENUE,BRONX,10456,,,,
07X381,Bronx Haven High School,333 EAST 151 STREET,BRONX,10451,X600,333 EAST 151 STREET,BRONX,10451,,,,
07X385,Performance School,750 CONCOURSE VILLAGE WEST,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451,,,,
07X427,Community School for Social Justice,350 GERARD AVENUE,BRONX,10451,X884,350 GERARD AVENUE,BRONX,10451,,,,
07X456,Alfred E. Smith Campus YABC,333 EAST 151 STREET,BRONX,10451,X600,333 EAST 151 STREET,BRONX,10451,,,,
07X473,Mott Haven Village Preparatory High School,701 ST. ANNS AVENUE,BRONX,10455,X470,701 ST. ANNS AVENUE,BRONX,10455,,,,
07X495,University Heights Secondary School,701 ST. ANNS AVENUE,BRONX,10455,X470,701 ST. ANNS AVENUE,BRONX,10455,,,,
07X500,Hostos-Lincoln Academy of Science,600 SAINT ANN'S AVENUE,BRONX,10455,X884,350 GERARD AVENUE,BRONX,10451,X151,250 EAST 156 STREET,BRONX,10451
07X520,Foreign Language Academy of Global Studies,470 JACKSON AVENUE,BRONX,10455,X158,800 HOME STREET,BRONX,10456,,,,
07X522,Bronx Design and Construction Academy,333 EAST 151 STREET,BRONX,10451,X600,333 EAST 151 STREET,BRONX,10451,,,,
07X527,Bronx Leadership Academy II High School,730 CONCOURSE VILLAGE WEST,BRONX,10451,X790,730 CONCOURSE VILLAGE WEST,BRONX,10451,,,,
07X547,New Explorers High School,730 CONCOURSE VILLAGE WEST,BRONX,10451,X790,730 CONCOURSE VILLAGE WEST,BRONX,10451,,,,
07X548,Urban Assembly School for Careers in Sports,730 CONCOURSE VILLAGE WEST,BRONX,10451,X790,730 CONCOURSE VILLAGE WEST,BRONX,10451,,,,
07X551,The Urban Assembly Bronx Academy of Letters,339 MORRIS AVENUE,BRONX,10451,X460,244 EAST 163 STREET,BRONX,10451,,,,
07X557,Mott Haven Community High School,455 SOUTHERN BLVD,BRONX,10455,X650,900 TINTON AVENUE,BRONX,10456,,,,
07X600,Alfred E. Smith Career and Technical Education High School,333 EAST 151 STREET,BRONX,10451,X600,333 EAST 151 STREET,BRONX,10451,,,,
07X655,Samuel Gompers Career and Technical Education High School,455 SOUTHERN BLVD,BRONX,10455,X650,900 TINTON AVENUE,BRONX,10456,,,,
07X670,Health Opportunities High School,350 GERARD AVENUE,BRONX,10451,X884,350 GERARD AVENUE,BRONX,10451,,,,
08X014,P.S. X014 Senator John Calandra,3041 BRUCKNER BOULEVARD,BRONX,10461,X071,3040 ROBERTS AVENUE,BRONX,10461,,,,
08X036,P.S. 036 Unionport,1070 CASTLE HILL AVENUE,BRONX,10472,X036,1070 CASTLE HILL AVENUE,BRONX,10472,,,,
08X048,P.S. 048 Joseph R. Drake,1290 SPOFFORD AVENUE,BRONX,10474,X074,730 BRYANT AVENUE,BRONX,10474,X075,984 FAILE STREET,BRONX,10459
08X062,P.S. 062 Inocensio Casanova,660 FOX STREET,BRONX,10455,X075,984 FAILE STREET,BRONX,10459,,,,
08X069,P.S. 069 Journey Prep School,560 THIERIOT AVENUE,BRONX,10473,X869,560 THERIOT AVENUE,BRONX,10473,,,,
08X071,P.S. 071 Rose E. Scala,3040 ROBERTS AVENUE,BRONX,10461,X071,3040 ROBERTS AVENUE,BRONX,10461,,,,
08X072,P.S. 072 Dr. William Dorney,2951 DEWEY AVENUE,BRONX,10465,X072,2951 DEWEY AVENUE,BRONX,10465,,,,
08X075,P.S. 75 School of Research and Discovery,984 FAILE STREET,BRONX,10459,X075,984 FAILE STREET,BRONX,10459,,,,
08X093,P.S. 093 Albert G. Oliver,1535 STORY AVENUE,BRONX,10473,X075,984 FAILE STREET,BRONX,10459,,,,
08X100,P.S. 100 Isaac Clason,800 TAYLOR AVENUE,BRONX,10473,X100,800 TAYLOR AVENUE,BRONX,10473,,,,
08X101,M.S. X101 Edward R. Byrne,2750 LAFAYETTE AVENUE,BRONX,10465,X101,2750 LAFAYETTE AVENUE,BRONX,10465,,,,
08X107,P.S. 107,1695 SEWARD AVENUE,BRONX,10473,X100,800 TAYLOR AVENUE,BRONX,10473,,,,
08X119,P.S. 119,1075 PUGSLEY AVENUE,BRONX,10472,X036,1070 CASTLE HILL AVENUE,BRONX,10472,,,,
08X123,J.H.S. 123 James M. Kieran,1025 MORRISON AVENUE,BRONX,10472,X131,885 BOLTON AVENUE,BRONX,10473,,,,
08X125,J.H.S. 125 Henry Hudson,1111 PUGSLEY AVENUE,BRONX,10472,X131,885 BOLTON AVENUE,BRONX,10473,,,,
08X130,P.S. 130 Abram Stevens Hewitt,750 PROSPECT AVENUE,BRONX,10455,X075,984 FAILE STREET,BRONX,10459,,,,
08X131,J.H.S. 131 Albert Einstein,885 BOLTON AVENUE,BRONX,10473,X131,885 BOLTON AVENUE,BRONX,10473,,,,
08X138,P.S. 138 Samuel Randall,2060 LAFAYETTE AVENUE,BRONX,10473,X100,800 TAYLOR AVENUE,BRONX,10473,,,,
08X140,P.S. X140 The Eagle School,916 EAGLE AVENUE,BRONX,10456,X157,757 CAULDWELL AVENUE,BRONX,10456,,,,
08X146,P.S. 146 Edward Collins,968 CAULDWELL AVENUE,BRONX,10456,X157,757 CAULDWELL AVENUE,BRONX,10456,,,,
08X152,P.S. 152 Evergreen,1007 EVERGREEN AVENUE,BRONX,10472,X075,984 FAILE STREET,BRONX,10459,,,,
08X182,P.S. 182,601 STICKBALL BOULEVARD,BRONX,10473,X100,800 TAYLOR AVENUE,BRONX,10473,,,,
08X269,Bronx Studio School for Writers and Artists,928 SIMPSON STREET,BRONX,10459,X973,1716 SOUTHERN BOULEVARD,BRONX,10460,,,,
08X282,Women's Academy of Excellence,456 WHITE PLAINS ROAD,BRONX,10473,X174,456 WHITE PLAINS ROAD,BRONX,10473,,,,
08X293,Renaissance High School for Musical Theater & Technology,3000 EAST TREMONT AVENUE,BRONX,10461,X405,3000 EAST TREMONT AVENUE,BRONX,10461,,,,
08X295,Gateway School for Environmental Research and Technology,1980 LAFAYETTE AVENUE,BRONX,10473,X450,1980 LAFAYETTE AVENUE,BRONX,10473,,,,
08X301,M.S. 301 Paul L. Dunbar,890 CAULDWELL AVENUE,BRONX,10456,X650,900 TINTON AVENUE,BRONX,10456,,,,
08X302,M.S. 302 Luisa Dessus Cruz,681 KELLY STREET,BRONX,10455,X116,977 FOX STREET,BRONX,10459,,,,
08X304,P.S. 304 Early Childhood School,2750 LAFAYETTE AVENUE,BRONX,10465,X072,2951 DEWEY AVENUE,BRONX,10465,,,,
08X305,Pablo Neruda Academy,1980 LAFAYETTE AVENUE,BRONX,10473,X450,1980 LAFAYETTE AVENUE,BRONX,10473,,,,
08X312,Millennium Art Academy,1980 LAFAYETTE AVENUE,BRONX,10473,X450,1980 LAFAYETTE AVENUE,BRONX,10473,,,,
08X320,Pelham Lab High School,3000 EAST TREMONT AVENUE,BRONX,10461,X405,3000 EAST TREMONT AVENUE,BRONX,10461,,,,
08X332,Holcombe L. Rucker School of Community Research,965 LONGWOOD AVENUE,BRONX,10459,X973,1716 SOUTHERN BOULEVARD,BRONX,10460,,,,
08X333,P.S. 333 - The Museum School,888 REV J A POLITE AVE,BRONX,10459,X075,984 FAILE STREET,BRONX,10459,,,,
08X335,The Academy of the Arts,888 REV J A POLITE AVE,BRONX,10459,X075,984 FAILE STREET,BRONX,10459,,,,
08X337,The School for Inquiry and Social Justice,1025 MORRISON AVENUE,BRONX,10472,X075,984 FAILE STREET,BRONX,10459,X123,1025 MORRISON AVENUE,BRONX,10472
08X348,Schuylerville Preparatory High School,3000 EAST TREMONT AVENUE,BRONX,10461,X405,3000 EAST TREMONT AVENUE,BRONX,10461,,,,
08X349,Bronx River High School,3000 EAST TREMONT AVENUE,BRONX,10461,X405,3000 EAST TREMONT AVENUE,BRONX,10461,,,,
08X366,Urban Assembly Academy of Civic Engagement,650 HOLLYWOOD AVENUE,BRONX,10465,X072,2951 DEWEY AVENUE,BRONX,10465,,,,
08X367,"Archimedes Academy for Math, Science and Technology Applications",456 WHITE PLAINS ROAD,BRONX,10473,X174,456 WHITE PLAINS ROAD,BRONX,10473,,,,
