Fiscal Period,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec00,Dec01,Dec02,Dec03,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Accounts Receivable,0.0,0.0,239.213,0.0,363.688,399.093,307.543,263.176,130.653,119.347,119.202,138.872,157.465,150.297,150.297,,0.0,0.0,0.0,0.0,0.0,521.435,363.688,499.423,509.505,526.466,399.093,480.466,469.121,435.052,307.543,377.695,405.798,371.222,263.176,280.948,295.081,244.478,130.653,156.79,160.785,168.656,119.347,183.942,201.569,166.641,119.202,169.924,205.735,184.737,138.872,197.95,202.114,191.74,157.465,218.861,232.994,207.927,150.297
"Inventories, Raw Materials & Components",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Work In Process",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Inventories Adjustments",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Finished Goods",0.0,0.0,0.0,0.0,500.231,473.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,502.707,500.231,0.0,486.133,418.864,473.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Other",0.0,0.0,309.55,0.0,0.0,0.0,410.686,335.887,189.482,173.185,188.25,185.577,230.059,223.58,223.58,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.913,0.0,0.0,0.0,501.152,532.161,471.229,410.686,465.55,470.222,424.522,335.887,351.212,315.368,260.977,189.482,178.097,162.579,173.123,173.185,198.799,226.158,195.569,188.25,220.312,212.654,203.777,185.577,250.56,235.63,220.252,230.059,319.654,318.437,259.722,223.58
Total Inventories,0.0,0.0,309.55,0.0,500.231,473.068,410.686,335.887,189.482,173.185,188.25,185.577,230.059,223.58,223.58,,0.0,0.0,0.0,0.0,0.0,502.707,500.231,517.913,486.133,418.864,473.068,501.152,532.161,471.229,410.686,465.55,470.222,424.522,335.887,351.212,315.368,260.977,189.482,178.097,162.579,173.123,173.185,198.799,226.158,195.569,188.25,220.312,212.654,203.777,185.577,250.56,235.63,220.252,230.059,319.654,318.437,259.722,223.58
Other Current Assets,0.0,0.0,18.855999999999995,0.0,40.325000000000045,51.58699999999998,53.972000000000065,65.42999999999996,45.98999999999998,44.970000000000006,22.911000000000026,27.140999999999988,19.42700000000001,22.814000000000014,22.814000000000014,,0.0,0.0,0.0,0.0,0.0,38.34600000000013,40.325000000000045,42.39199999999995,50.069999999999936,48.56199999999995,51.58699999999998,47.48899999999989,52.23600000000006,55.108000000000075,53.972000000000065,52.69300000000004,49.819000000000045,51.762,65.42999999999996,53.717,53.261999999999944,48.97699999999999,45.98999999999998,36.08700000000002,48.96499999999997,34.93400000000001,44.970000000000006,18.88799999999997,22.442000000000032,22.755000000000045,22.911000000000026,18.71199999999997,62.96099999999999,24.757999999999996,27.140999999999988,21.441000000000006,27.396999999999974,45.138,19.42700000000001,23.304000000000055,27.342999999999957,29.696000000000026,22.814000000000014
Total Current Assets,0.0,0.0,567.774,0.0,919.816,948.068,799.243,680.252,516.478,366.959,344.66,356.488,412.139,401.725,401.725,,0.0,0.0,0.0,0.0,0.0,1085.593,919.816,1078.434,1072.905,1022.212,948.068,1056.541,1080.664,985.571,799.243,916.2,950.595,872.506,680.252,702.833,693.502,625.53,516.478,431.004,425.34,402.211,366.959,415.008,468.99,397.886,344.66,415.099,487.459,419.162,356.488,475.815,470.292,465.004,412.139,567.104,587.16,504.214,401.725
Land And Improvements,0.0,0.0,0.0,0.0,55.573,56.521,56.985,57.295,53.426,52.621,52.54,49.562,43.12,41.176,41.176,,0.0,0.0,0.0,0.0,0.0,55.753,55.573,55.573,55.916,56.496,56.521,56.461,56.534,56.979,56.985,57.483,57.172,57.141,57.295,57.348,57.362,53.467,53.426,53.438,52.961,52.719,52.621,52.704,52.515,52.563,52.54,52.506,51.968,51.93,49.562,49.409,42.808,43.058,43.12,43.149,41.048,41.053,41.176
Buildings And Improvements,0.0,0.0,0.0,0.0,93.133,93.381,95.814,98.42,96.159,96.145,96.72,95.652,94.07,90.082,90.082,,0.0,0.0,0.0,0.0,0.0,92.614,93.133,93.133,94.083,93.381,93.381,93.472,93.72,95.291,95.814,95.814,96.763,97.156,98.42,98.502,98.55,96.179,96.159,96.392,96.784,95.968,96.145,96.509,96.056,96.027,96.72,96.832,97.691,97.825,95.652,95.647,94.332,94.07,94.07,94.098,90.287,90.386,90.082
"Machinery, Furniture, Equipment",0.0,0.0,0.0,0.0,41.063,54.2,61.955,67.217,70.491,69.767,70.86,75.508,78.674,73.004,73.004,,0.0,0.0,0.0,0.0,0.0,36.409,41.063,46.752,50.356,52.408,54.2,56.16,57.177,61.362,61.955,64.404,66.732,66.462,67.217,69.714,67.922,68.259,70.491,70.264,70.187,68.906,69.767,71.165,71.357,71.328,70.86,71.861,74.495,75.928,75.508,75.636,76.072,75.715,78.674,78.946,78.66,78.145,73.004
Construction In Progress,0.0,0.0,0.0,0.0,5.089,2.35,2.025,4.212,2.035,0.791,2.028,0.741,1.173,3.028,3.028,,0.0,0.0,0.0,0.0,0.0,1.678,5.089,1.414,0.088,1.92,2.35,0.834,1.314,1.506,2.025,3.949,4.515,5.485,4.212,1.227,1.36,2.201,2.035,1.66,1.015,1.15,0.791,0.564,1.137,2.225,2.028,1.247,1.027,0.282,0.741,1.199,1.215,1.036,1.173,1.21,1.834,2.415,3.028
"Gross Property, Plant and Equipment",0.0,0.0,511.026,0.0,194.858,206.452,216.779,227.144,222.111,219.324,222.148,221.463,217.037,207.29,207.29,,0.0,0.0,0.0,0.0,0.0,186.454,194.858,196.872,200.443,204.205,206.452,206.927,208.745,215.138,216.779,221.65,225.182,226.244,227.144,227.061,225.194,220.106,222.111,221.754,220.947,218.743,219.324,220.942,221.065,222.143,222.148,222.446,225.181,225.965,221.463,221.891,214.427,213.879,217.037,217.403,211.829,211.999,207.29
Accumulated Depreciation,0.0,0.0,-293.899,0.0,-7.88,-22.403,-38.53,-54.702,-69.336,-82.141,-92.517,-98.335,-101.684,-96.171,-96.171,,0.0,0.0,0.0,0.0,0.0,-4.859,-7.88,-11.267,-14.794,-18.479,-22.403,-26.472,-30.468,-34.605,-38.53,-42.304,-46.544,-50.47,-54.702,-58.309,-60.954,-64.87,-69.336,-73.505,-76.776,-78.866,-82.141,-85.008,-88.175,-90.742,-92.517,-94.319,-95.985,-98.214,-98.335,-100.356,-102.267,-102.413,-101.684,-103.565,-102.986,-104.348,-96.171
"Property, Plant and Equipment",0.0,0.0,217.127,0.0,186.978,184.049,178.249,172.442,152.775,137.183,129.631,123.128,115.353,111.119,111.119,,0.0,0.0,0.0,0.0,0.0,181.595,186.978,185.605,185.649,185.726,184.049,180.455,178.277,180.533,178.249,179.346,178.638,175.774,172.442,168.752,164.24,155.236,152.775,148.249,144.171,139.877,137.183,135.934,132.89,131.401,129.631,128.127,129.196,127.751,123.128,121.535,112.16,111.466,115.353,113.838,108.843,107.651,111.119
Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long Term Assets,832.586,823.012,0.04799999999988813,816.644,30.2679999999998,25.52300000000014,26.86999999999989,30.742000000000075,59.92500000000007,42.70400000000001,50.72800000000001,24.299000000000035,17.24399999999997,17.40199999999993,17.40199999999993,,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,30.2679999999998,29.74700000000007,27.953000000000202,27.382000000000062,25.52300000000014,24.368000000000166,27.402000000000044,28.412000000000035,26.86999999999989,26.33400000000006,23.237999999999943,24.98199999999997,30.742000000000075,35.99300000000005,22.06000000000006,25.579000000000065,59.92500000000007,42.35699999999997,41.22199999999998,42.436999999999955,42.70400000000001,38.8060000000001,42.16700000000003,49.46600000000001,50.72800000000001,56.39300000000003,18.613,24.390000000000043,24.299000000000035,27.025000000000034,28.204000000000008,18.951000000000022,17.24399999999997,18.64199999999994,18.297000000000025,17.39500000000004,17.40199999999993
Total Assets,832.586,823.012,784.949,816.644,1137.062,1157.64,1004.362,883.436,729.178,546.846,525.019,503.915,544.736,530.246,530.246,,0.0,0.0,0.0,0.0,0.0,1293.328,1137.062,1293.786,1286.507,1235.32,1157.64,1261.364,1286.343,1194.516,1004.362,1121.88,1152.471,1073.262,883.436,907.578,879.802,806.345,729.178,621.61,610.733,584.525,546.846,589.748,644.047,578.753,525.019,599.619,635.268,571.303,503.915,624.375,610.656,595.421,544.736,699.584,714.3,629.26,530.246
Accounts Payable,0.0,0.0,92.51,0.0,270.271,327.004,195.815,164.717,78.367,64.618,62.827,70.228,77.85,60.363,60.363,,0.0,0.0,0.0,0.0,0.0,330.862,270.271,338.358,335.147,325.335,327.004,352.902,313.869,252.451,195.815,233.941,260.318,224.787,164.717,173.918,176.6,128.842,78.367,100.275,104.998,108.537,64.618,85.938,103.478,80.689,62.827,94.91,95.322,89.468,70.228,115.526,78.85,81.576,77.85,143.197,127.767,109.52,60.363
Total Tax Payable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Accrued Expenses,0.0,0.0,3.790999999999997,0.0,18.291999999999973,13.493999999999971,8.574000000000012,10.371999999999986,11.551999999999992,4.879000000000005,4.594000000000008,4.496000000000009,6.170000000000002,4.173000000000002,4.173000000000002,,0.0,0.0,0.0,0.0,0.0,21.823999999999955,18.291999999999973,9.302999999999997,8.540999999999997,12.076999999999998,13.493999999999971,10.65500000000003,10.401999999999987,12.679000000000002,8.574000000000012,9.49799999999999,10.30600000000004,10.905000000000001,10.371999999999986,8.268,11.503000000000014,12.245999999999981,11.551999999999992,4.030999999999992,5.465999999999994,5.24499999999999,4.879000000000005,5.180999999999997,6.228000000000009,5.200000000000003,4.594000000000008,4.501000000000005,5.402000000000001,4.3729999999999905,4.496000000000009,5.4410000000000025,6.510000000000005,5.799000000000007,6.170000000000002,4.509999999999991,5.241000000000014,4.677999999999997,4.173000000000002
Accounts Payable & Accrued Expenses,0.0,0.0,96.301,0.0,288.563,340.498,204.389,175.089,89.919,69.497,67.421,74.724,84.02,64.536,64.536,,0.0,0.0,0.0,0.0,0.0,352.686,288.563,347.661,343.688,337.412,340.498,363.557,324.271,265.13,204.389,243.439,270.624,235.692,175.089,182.186,188.103,141.088,89.919,104.306,110.464,113.782,69.497,91.119,109.706,85.889,67.421,99.411,100.724,93.841,74.724,120.967,85.36,87.375,84.02,147.707,133.008,114.198,64.536
Current Portion of Long-Term Debt,0.0,0.0,33.053,0.0,126.136,62.392,59.984,37.152,84.715,27.232,24.279,31.41,44.33,28.518,28.518,,0.0,0.0,0.0,0.0,0.0,237.034,126.136,191.804,167.088,107.89,62.392,125.339,185.72,139.577,59.984,138.884,138.379,137.493,37.152,62.224,48.103,21.702,84.715,31.184,39.387,20.016,27.232,37.185,74.135,38.362,24.279,37.631,180.305,66.351,31.41,70.761,91.198,101.397,44.33,96.785,141.108,81.32,28.518
Other Current Liabilities,0.0,0.0,4.503,0.0,13.142000000000053,15.194999999999993,14.632999999999953,19.279999999999973,21.316999999999993,22.507999999999996,16.792,16.939999999999998,11.385999999999996,13.771999999999991,13.771999999999991,,0.0,0.0,0.0,0.0,0.0,69.64400000000006,13.142000000000053,13.091000000000065,13.246000000000095,14.642000000000053,15.194999999999993,14.164999999999964,11.529999999999916,14.896999999999991,14.632999999999953,16.135000000000076,16.644000000000005,16.113,19.279999999999973,26.693000000000012,28.335999999999956,29.412000000000006,21.316999999999993,25.617000000000004,25.882000000000005,26.696000000000012,22.507999999999996,23.057999999999993,19.625000000000014,22.471000000000018,16.792,13.899000000000001,14.937999999999974,21.114999999999995,16.939999999999998,12.596999999999994,12.753000000000014,12.225999999999985,11.385999999999996,12.248999999999995,16.316000000000003,15.861000000000004,13.771999999999991
Total Current Liabilities,0.0,0.0,133.857,0.0,427.841,418.085,279.006,231.521,195.951,119.237,108.492,123.074,139.736,106.826,106.826,,0.0,0.0,0.0,0.0,0.0,659.364,427.841,552.556,524.022,459.944,418.085,503.061,521.521,419.604,279.006,398.458,425.647,389.298,231.521,271.103,264.542,192.202,195.951,161.107,175.733,160.494,119.237,151.362,203.466,146.722,108.492,150.941,295.967,181.307,123.074,204.325,189.311,200.998,139.736,256.741,290.432,211.379,106.826
Long-Term Debt,0.0,0.0,0.0,0.0,558.0,540.85,522.719,478.535,384.87,341.669,381.679,328.695,368.446,388.995,388.995,,0.0,0.0,0.0,0.0,0.0,493.596,558.0,574.0,590.0,590.0,540.85,550.0,550.0,561.5,522.719,522.719,522.719,480.853,478.535,475.877,451.0,451.0,384.87,369.87,341.669,341.669,341.669,366.334,373.333,379.976,381.679,424.178,323.072,329.351,328.695,378.014,381.672,350.615,368.446,380.039,381.579,377.014,388.995
Capital Lease Obligation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PensionAndRetirementBenefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeferredTaxAndRevenue,0.0,0.0,4.726,0.0,0.74,1.911,1.101,0.0,0.0,0.0,0.192,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.856,0.74,0.667,0.762,0.85,1.911,0.971,1.309,1.241,1.101,1.513,1.87,0.516,0.0,0.0,0.0,0.0,0.0,0.578,0.578,0.578,0.0,0.0,0.0,0.0,0.192,0.107,0.107,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long-Term Liabilities,161.701,179.083,2.1949999999999923,179.571,8.989000000000042,12.942000000000009,12.136999999999944,18.557000000000045,45.505000000000024,35.12000000000003,33.66500000000004,43.772000000000006,57.14599999999996,40.32300000000001,40.32300000000001,,0.0,0.0,0.0,0.0,0.0,104.91100000000006,8.989000000000042,11.048999999999895,11.798000000000059,13.564999999999907,12.942000000000009,14.637000000000118,13.644999999999952,14.814999999999984,12.136999999999944,13.047999999999979,10.841999999999931,14.46799999999998,18.557000000000045,19.81600000000003,13.01600000000002,13.883000000000038,45.505000000000024,44.954999999999984,44.04900000000001,42.754999999999995,35.12000000000003,34.785,32.87999999999994,30.676999999999992,33.66500000000004,34.400999999999954,35.51399999999998,27.84500000000002,43.772000000000006,44.36999999999995,45.15199999999996,45.377999999999986,57.14599999999996,57.168000000000006,57.13399999999996,57.14199999999997,40.32300000000001
Total Liabilities,161.701,179.083,140.778,179.571,995.57,973.788,814.963,728.613,626.326,496.026,524.028,495.541,565.328,536.144,536.144,,0.0,0.0,0.0,0.0,0.0,1259.727,995.57,1138.272,1126.582,1064.359,973.788,1068.669,1086.475,997.16,814.963,935.738,961.078,885.135,728.613,766.796,728.558,657.085,626.326,576.51,562.029,545.496,496.026,552.481,609.679,557.375,524.028,609.627,654.66,538.543,495.541,626.709,616.135,596.991,565.328,693.948,729.145,645.535,536.144
Common Stock,0.0,0.0,0.0,0.0,0.295,0.303,0.309,0.0,0.0,0.322,0.327,0.62,0.637,0.866,0.866,,0.0,0.0,0.0,0.0,0.0,0.2,0.295,0.302,0.302,0.302,0.303,0.306,0.308,0.311,0.309,0.312,0.312,0.312,0.0,0.322,0.324,0.324,0.0,0.0,0.323,0.323,0.322,0.0,0.0,0.0,0.327,0.332,0.332,0.618,0.62,0.637,0.637,0.637,0.637,0.867,0.866,0.866,0.866
Preferred Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained Earnings,0.0,0.0,0.0,0.0,20.68,50.18,50.612,7.004,-24.699,-86.162,-139.405,-177.972,-201.002,-241.621,-241.621,,0.0,0.0,0.0,0.0,0.0,27.739,20.68,25.323,29.303,39.426,50.18,56.144,61.905,60.34,50.612,46.547,48.073,45.058,7.004,-3.587,3.012,0.418,-24.699,-85.352,-84.724,-98.187,-86.162,-100.901,-104.308,-119.16,-139.405,-151.737,-161.518,-167.72,-177.972,-188.994,-192.7,-189.632,-201.002,-213.651,-235.957,-239.163,-241.621
Accumulated other comprehensive income (loss),0.0,0.0,0.0,0.0,-0.789,1.023,0.412,5.426,-16.92,-8.375,-7.358,-21.9,-30.042,-16.293,-16.293,,0.0,0.0,0.0,0.0,0.0,0.555,-0.789,-0.844,-0.981,-0.508,1.023,0.996,1.757,-0.361,0.412,0.059,2.537,1.363,5.426,2.045,5.207,4.819,-16.92,-13.767,-10.851,-7.569,-8.375,-7.649,-8.067,-7.116,-7.358,-6.827,-6.773,-7.376,-21.9,-21.765,-21.873,-21.689,-30.042,-29.433,-29.437,-28.908,-16.293
Additional Paid-In Capital,0.0,0.0,0.0,0.0,121.306,132.346,138.066,142.081,144.148,145.035,147.427,207.626,209.815,251.15,251.15,,0.0,0.0,0.0,0.0,0.0,5.107,121.306,130.733,131.301,131.741,132.346,135.249,135.898,137.066,138.066,139.224,140.471,141.394,142.081,142.002,142.701,143.699,144.148,143.893,143.956,144.462,145.035,145.49,146.416,147.327,147.427,148.224,148.567,207.238,207.626,207.788,208.457,209.114,209.815,247.853,249.683,250.93,251.15
Treasury Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Equity,670.885,643.929,644.1709999999999,637.073,141.49199999999985,183.8520000000001,189.399,154.82299999999998,102.85199999999998,50.81999999999999,0.9909999999999854,8.374000000000024,-20.591999999999985,-5.898000000000025,-5.898000000000025,,0.0,0.0,0.0,0.0,0.0,33.600999999999885,141.49199999999985,155.51400000000012,159.92499999999995,170.961,183.8520000000001,192.69499999999994,199.86800000000017,197.3560000000001,189.399,186.14200000000005,191.39300000000003,188.12699999999995,154.82299999999998,140.78199999999993,151.24400000000003,149.26,102.85199999999998,45.10000000000002,48.70399999999995,39.028999999999996,50.81999999999999,37.26700000000005,34.36800000000005,21.378000000000043,0.9909999999999854,-10.007999999999925,-19.39199999999994,32.75999999999999,8.374000000000024,-2.3339999999999463,-5.479000000000042,-1.5699999999999363,-20.591999999999985,5.635999999999967,-14.845000000000027,-16.274999999999977,-5.898000000000025
Net Income,0.0,0.0,27.84,56.153,25.906,44.603,15.832,-27.945,-31.703,-61.463,-53.243,-38.567,-23.027,-40.618,-40.618,,0.0,0.0,27.84,56.153,0.0,31.711,-5.805,8.418,7.751,13.896,14.538,9.795,9.61,2.292,-5.865,-0.189,5.434,0.89,-34.08,-10.591,6.599,-2.594,-25.117,-60.653,0.628,-13.463,12.025,-14.739,-3.407,0.0,-49.836,-12.326,-9.781,-6.208,-10.252,-11.019,-3.706,3.068,-11.37,-12.649,-22.306,-3.206,-2.457
Cumulative Effect Of Accounting Change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Foreign Currency Exchange Gain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,0.0,0.0,27.84,56.153,25.906,44.603,15.832,-27.945,-31.703,-61.463,-53.243,-38.567,-23.027,-40.618,-40.618,,0.0,0.0,27.84,56.153,0.0,31.711,-5.805,8.418,7.751,13.896,14.538,9.795,9.61,2.292,-5.865,-0.189,5.434,0.89,-34.08,-10.591,6.599,-2.594,-25.117,-60.653,0.628,-13.463,12.025,-14.739,-3.407,0.0,-49.836,-12.326,-9.781,-6.208,-35.973,-11.019,-3.706,3.068,-11.37,-12.649,-22.306,-3.206,-2.457
"Depreciation, Depletion and Amortization",0.0,0.0,21.757,19.476,12.455,22.399,23.352,20.924,20.519,16.984,13.365,10.562,8.565,9.117,9.117,,0.0,0.0,21.757,19.476,0.0,7.452,5.003,5.248,5.445,5.804,5.902,5.808,5.707,5.826,6.011,6.006,5.943,5.714,3.261,5.576,5.71,5.548,3.685,5.03,4.241,3.882,3.831,3.744,3.434,3.111,3.076,2.938,2.623,2.559,2.442,2.26,2.187,2.106,2.012,2.173,2.229,2.145,2.57
Change In Receivables,0.0,0.0,32.967,-53.654,221.529,-30.609,94.113,44.367,132.523,11.306,0.145,-19.67,-18.593,7.168,7.168000000000006,,0.0,0.0,32.967,-53.654,0.0,63.782,157.747,-135.735,-10.082,-12.584,127.792,-81.373,11.345,36.632,127.509,-70.152,-28.103,34.576,108.046,-17.772,-14.133,50.603,113.825,-26.137,-3.995,-7.871,49.309,-64.595,-17.627,34.928,47.439,-50.722,-35.811,20.998,45.865,-59.078,-4.164,10.374,34.275,-61.396,-14.133,25.067,57.63
Change In Inventory,0.0,0.0,-10.741,3.391,-13.08,36.889,66.504,74.799,146.405,16.297,-15.065,2.673,-44.482,6.479,6.479000000000006,,0.0,0.0,-10.741,3.391,0.0,-15.556,2.476,-17.682,31.78,77.878,-55.087,-28.084,-31.009,65.054,60.543,-54.864,-4.672,45.7,88.635,-15.325,35.844,54.391,71.495,11.385,15.518,-10.544,-0.062,-25.614,-27.359,30.589,7.319,-32.062,7.658,8.877,18.2,-64.983,14.93,15.378,-9.807,-89.595,1.217,58.715,36.142
Change In Prepaid Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Change In Payables And Accrued Expense,0.0,0.0,-13.782,17.683,-97.694,56.605,-131.594,-31.098,-86.35,-13.749,-1.791,5.973,9.05,-17.585,-17.584999999999994,,0.0,0.0,-13.782,17.683,0.0,-37.103,-60.591,68.087,-3.211,-10.391,2.12,25.898,-39.631,-61.226,-56.635,38.126,26.377,-35.531,-60.07,9.201,2.682,-47.758,-50.475,21.908,4.723,3.539,-43.919,21.32,17.54,-22.789,-17.862,32.083,0.412,-5.854,-20.668,46.726,-36.676,2.726,-3.726,64.084,-14.269,-18.247,-49.153
Change In Working Capital,0.0,0.0,0.274,-20.652,99.395,56.133,19.719,81.139,201.334,2.09,-2.267,-12.431,-54.025,-3.938,-3.9380000000000024,,0.0,0.0,0.274,-20.652,0.0,16.78,82.615,-94.849,10.56,61.346,79.076,-81.813,-66.921,40.735,127.718,-83.836,1.666,39.28,124.029,-13.499,38.868,63.736,112.229,2.779,17.685,-5.16,-13.214,-46.144,-33.948,43.921,33.904,-45.489,-32.666,22.66,43.064,-77.335,-25.91,28.478,20.742,-86.907,-27.185,65.535,44.619
