Title,URL,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,TOTAL
Scheduling with temporal and logical constraints,http://digitalcommons.uri.edu/dissertations/AAI9908232,0,0,0,0,0,0,0,0,0,0,0,0,0
Studies of grief: Narratives of incarcerated women who experienced the death of a significant person while in prison,http://digitalcommons.uri.edu/dissertations/AAI9999535,0,0,0,0,0,0,0,0,0,0,0,0,0
Analysis of small and large perturbations of matrix subspaces,http://digitalcommons.uri.edu/dissertations/AAI9601857,0,0,0,0,0,0,0,0,0,0,0,0,0
The effects of small-scale turbulence on the physiology of marine dinoflagellates,http://digitalcommons.uri.edu/dissertations/AAI9988237,0,0,0,0,0,0,0,0,0,0,0,0,0
A Mounted Strengthening and Stretching Program to Prevent Musculoskeletal Injury In Equestrians,http://digitalcommons.uri.edu/srhonorsprog/124,0,0,0,0,0,0,0,0,0,0,0,0,0
The effects of ISO 9000 registration efforts on Total Quality Management practices and business performance,http://digitalcommons.uri.edu/dissertations/AAI9988221,0,0,0,0,0,0,0,0,0,0,0,0,0
Development of an acoustic data storage tag for long range fish tracking in the ocean,http://digitalcommons.uri.edu/dissertations/AAI3115637,0,0,0,0,0,0,0,0,0,0,0,0,0
Acquisitions Department - Monograph Statistics 1989-1990,http://digitalcommons.uri.edu/lib_mac_rpts/8,0,0,0,0,0,0,0,0,0,0,0,0,0
The experimental analysis of the political economics of fisheries governance,http://digitalcommons.uri.edu/dissertations/AAI3188837,0,0,0,0,0,0,0,0,0,0,0,0,0
Factors related to HIV risk: Predictors of risky sexual behavior and attitudes toward microbicide use,http://digitalcommons.uri.edu/dissertations/AAI9908231,0,0,0,0,0,0,0,0,0,0,0,0,0
Validity studies on the Family Functioning Scale: Family of Origin version,http://digitalcommons.uri.edu/dissertations/AAI9202980,0,0,0,0,0,0,0,0,0,0,0,0,0
Development of a Muslim Religiosity Scale,http://digitalcommons.uri.edu/dissertations/AAI9805228,0,0,0,0,0,0,0,0,0,0,0,0,0
Graph coloring algorithms for TDMA scheduling in wireless sensor networks,http://digitalcommons.uri.edu/dissertations/AAI3298376,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer-aided design and manufacture of minimum-weight structures,http://digitalcommons.uri.edu/dissertations/AAI3039085,0,0,0,0,0,0,0,0,0,0,0,0,0
"METABOLISM, ENERGETICS AND THERMOREGULATION DURING BROODING OF SNAKES OF THE GENUS PYTHON (REPTILIA, BOIDAE)",http://digitalcommons.uri.edu/dissertations/AAI6910075,0,0,0,0,0,0,0,0,0,0,0,0,0
Managed chaos: An ethnographic study of special education teacher practice,http://digitalcommons.uri.edu/dissertations/AAI3298368,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghosts at the table: Historiography and nonfiction narrative as rhetorical constructs of the Mexican Counter-Revolution of 1913,http://digitalcommons.uri.edu/dissertations/AAI3053121,0,0,0,0,0,0,0,0,0,0,0,0,0
Holistic grading of essays written by native and non-native writers by instructors and independent raters: A comparative study,http://digitalcommons.uri.edu/dissertations/AAI3053122,0,0,0,0,0,0,0,0,0,0,0,0,0
"Postmodernism & Paradise Lost: Reconsidering Knowledge, Politics and Literature",http://digitalcommons.uri.edu/srhonorsprog/130,0,0,0,0,0,0,0,0,0,0,0,0,0
"Self-esteem, depression, substance usage, and locus of control in sexually abused adolescents",http://digitalcommons.uri.edu/dissertations/AAI9723573,0,0,0,0,0,0,0,0,0,0,0,0,0
"A BIOECONOMIC SPATIAL CONDITIONAL PREDICTIVE TRADE MODEL IN FISHERIES: THE HAKE FISHERY (CHILE, PERU, ARGENTINA, URUGUAY, SOUTH AFRICA)",http://digitalcommons.uri.edu/dissertations/AAI8401414,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gain flattened, wideband erbium doped fiber amplifiers",http://digitalcommons.uri.edu/dissertations/AAI9621470,0,0,0,0,0,0,0,0,0,0,0,0,0
Functional silane based polymers for sensing and separations,http://digitalcommons.uri.edu/dissertations/AAI3248243,0,0,0,0,0,0,0,0,0,0,0,0,0
Volcaniclastic sedimentation from the Iceland hotspot,http://digitalcommons.uri.edu/dissertations/AAI9805240,0,0,0,0,0,0,0,0,0,0,0,0,0
Are IQ discrepancies between SES groups primarily the result of Verbal Scale differences?,http://digitalcommons.uri.edu/dissertations/AAI9988224,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chafee Interview: WEAN  ""Press Conference"" (Bakst/McKenna) (31:18)",http://digitalcommons.uri.edu/chafee_audio/16,0,0,0,0,0,0,0,0,0,0,0,0,0
Statistically interacting quantum gases in D dimensions,http://digitalcommons.uri.edu/dissertations/AAI3346853,0,0,0,0,0,0,0,0,0,0,0,0,0
Multivariate analysis in vibration modal parameter identification,http://digitalcommons.uri.edu/dissertations/AAI3248248,0,0,0,0,0,0,0,0,0,0,0,0,0
Maltreating caregivers: An application of the transtheoretical model of change,http://digitalcommons.uri.edu/dissertations/AAI9955100,0,0,0,0,0,0,0,0,0,0,0,0,0
Interactive self-modeling mixture analysis using principal component approach,http://digitalcommons.uri.edu/dissertations/AAI9989442,0,0,0,0,0,0,0,0,0,0,0,0,0
Retinoid homeostasis of an oviparous fish,http://digitalcommons.uri.edu/dissertations/AAI9988228,0,0,0,0,0,0,0,0,0,0,0,0,0
Student Interest in Genetic Testing for Type 2 Diabetes Mellitus,http://digitalcommons.uri.edu/srhonorsprog/155,0,0,0,0,0,0,0,0,0,0,0,0,0
Library Web Site Statistics 2004-2005,http://digitalcommons.uri.edu/ts_rpts/31,0,0,0,0,0,0,0,0,0,0,0,0,0
Study of nucleophilicity of an enol tosylate fragment of alpha-formylglycine (alpha-FGly-OTs),http://digitalcommons.uri.edu/dissertations/AAI3292101,0,0,0,0,0,0,0,0,0,0,0,0,0
Seasonal and low-frequency variability in the meridional heat flux at 36 degrees N in the North Atlantic,http://digitalcommons.uri.edu/dissertations/AAI9831118,0,0,0,0,0,0,0,0,0,0,0,0,0
Examining the structural and philosophical positions of community-based organization practitioners,http://digitalcommons.uri.edu/dissertations/AAI3025556,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspects of bacterial community ecology within the American oyster (Crassostrea virginica), and surveillance of post-harvest Vibrio vulnificus occurrence",http://digitalcommons.uri.edu/dissertations/AAI3188062,0,0,0,0,0,0,0,0,0,0,0,0,0
Numerical simulation of wetting hydrodynamics for pure liquids and surfactant solutions,http://digitalcommons.uri.edu/dissertations/AAI9702097,0,0,0,0,0,0,0,0,0,0,0,0,0
Isolation of marine metabolites from Symbiodinium species of dinoflagellates,http://digitalcommons.uri.edu/dissertations/AAI3135901,0,0,0,0,0,0,0,0,0,0,0,0,0
Program Quality Review - College of Business Administration (1999),http://digitalcommons.uri.edu/lib_cd_rpts/54,0,0,0,0,0,0,0,0,0,0,0,0,0
Efficient FPGA realizations based on AND/XOR expressions,http://digitalcommons.uri.edu/dissertations/AAI3063772,0,0,0,0,0,0,0,0,0,0,0,0,0
The nature of infant relinquishment as described by two voices: The relinquishing mother and the obstetrical nurse,http://digitalcommons.uri.edu/dissertations/AAI3053109,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacterioplankton seasonal dynamics in Narragansett Bay,http://digitalcommons.uri.edu/dissertations/AAI3112130,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaptation of closed form regularization parameters with prior information to the radial basis function neural network for high frequency financial time series,http://digitalcommons.uri.edu/dissertations/AAI3025550,0,0,0,0,0,0,0,0,0,0,0,0,0
Staff approaches during episodes of fear in children,http://digitalcommons.uri.edu/dissertations/AAI9332433,0,0,0,0,0,0,0,0,0,0,0,0,0
Development of culturally tailored measures for Hispanics at-risk for HIV,http://digitalcommons.uri.edu/dissertations/AAI3112116,0,0,0,0,0,0,0,0,0,0,0,0,0
"""The Freiris of Berwik"": A critical edition",http://digitalcommons.uri.edu/dissertations/AAI9805249,0,0,0,0,0,0,0,0,0,0,0,0,0
On some nonautonomous difference equations of the Max type,http://digitalcommons.uri.edu/dissertations/AAI9988098,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardiac patients' definition of the situation in the emergency room, coronary care unit, and progressive coronary care unit",http://digitalcommons.uri.edu/dissertations/AAI9239550,0,0,0,0,0,0,0,0,0,0,0,0,0
Older lesbian perspectives on advance care planning for the end of life,http://digitalcommons.uri.edu/dissertations/AAI3160037,0,0,0,0,0,0,0,0,0,0,0,0,0
Dissolved oxygen dynamics in a shallow stream system,http://digitalcommons.uri.edu/dissertations/AAI3186915,0,0,0,0,0,0,0,0,0,0,0,0,0
Interannual and seasonal phytoplankton variability in Massachusetts Bay from remote and in situ measurements,http://digitalcommons.uri.edu/dissertations/AAI3248231,0,0,0,0,0,0,0,0,0,0,0,0,0
The father's role in self-concept development,http://digitalcommons.uri.edu/dissertations/AAI9812222,0,0,0,0,0,0,0,0,0,0,0,0,0
Phonological representations of adult poor readers: An investigation of specificity and stability,http://digitalcommons.uri.edu/dissertations/AAI9945197,0,0,0,0,0,0,0,0,0,0,0,0,0
Self-disclosure and self-management in young adults with early-onset adult type 2 diabetes,http://digitalcommons.uri.edu/dissertations/AAI3276977,0,0,0,0,0,0,0,0,0,0,0,0,0
Enhancing micro-organism images by estimating image background,http://digitalcommons.uri.edu/dissertations/AAI3025562,0,0,0,0,0,0,0,0,0,0,0,0,0
The Learning Network Model of School Psychological Services: A heuristic framework for a formative program evaluation and organizational development plan,http://digitalcommons.uri.edu/dissertations/AAI9945234,0,0,0,0,0,0,0,0,0,0,0,0,0
Street Theater,http://digitalcommons.uri.edu/dissertations/AAI3025541,0,0,0,0,0,0,0,0,0,0,0,0,0
Library Web Server Statistics 1997-1998,http://digitalcommons.uri.edu/ts_rpts/24,0,0,0,0,0,0,0,0,0,0,0,0,0
Mina Loy: The feminine inscription of modernism,http://digitalcommons.uri.edu/dissertations/AAI9106525,0,0,0,0,0,0,0,0,0,0,0,0,0
A concurrent validation of the Violence Sensitivity Scale,http://digitalcommons.uri.edu/dissertations/AAI3346847,0,0,0,0,0,0,0,0,0,0,0,0,0
"Habitat utilization, diet, and foraging behavior of two species of Caribbean moray eels, Gymnothorax moringa and Gymnothorax vicinus",http://digitalcommons.uri.edu/dissertations/AAI9318353,0,0,0,0,0,0,0,0,0,0,0,0,0
On the boundedness character of third-order rational difference equations,http://digitalcommons.uri.edu/dissertations/AAI3225327,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN INVESTIGATION OF THE EFFECT OF HOLOCAUST SURVIVOR PARENTS ON THEIR CHILDREN (CONCENTRATION CAMP, ADOLESCENCE)",http://digitalcommons.uri.edu/dissertations/AAI8600679,0,0,0,0,0,0,0,0,0,0,0,0,0
GABAB receptors in the ventral tegmental area regulate morphine-induced motor sensitization and accumbal fos expression in C57BL/6 mice,http://digitalcommons.uri.edu/dissertations/AAI3053112,0,0,0,0,0,0,0,0,0,0,0,0,0
"Development of a numerical model for shallow marine ecosystems with application to Greenwich Bay, Rhode Island",http://digitalcommons.uri.edu/dissertations/AAI3053096,0,0,0,0,0,0,0,0,0,0,0,0,0
One health care organization: A study in workplace motivation and organizational culture,http://digitalcommons.uri.edu/dissertations/AAI9702114,0,0,0,0,0,0,0,0,0,0,0,0,0
Making maternal-child home visits: A field research investigation,http://digitalcommons.uri.edu/dissertations/AAI9702104,0,0,0,0,0,0,0,0,0,0,0,0,0
French Fashion Industry:  The Introduction of a Fashion  Brand to the French Market,http://digitalcommons.uri.edu/srhonorsprog/152,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonreflective boundary conditions for Schrodinger's equation,http://digitalcommons.uri.edu/dissertations/AAI9007242,0,0,0,0,0,0,0,0,0,0,0,0,0
Application of asymmetric biocatalysis to organic chemistry,http://digitalcommons.uri.edu/dissertations/AAI9239576,0,0,0,0,0,0,0,0,0,0,0,0,0
New classes of higher order time-frequency representations,http://digitalcommons.uri.edu/dissertations/AAI9988226,0,0,0,0,0,0,0,0,0,0,0,0,0
"Public Policy Forum: Windfall Profit Tax, Chafee Interview (23:18)",http://digitalcommons.uri.edu/chafee_audio/7,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Defining a new normal"": An exploration of psychosocial adjustment in young adult survivors of adolescent cancer",http://digitalcommons.uri.edu/dissertations/AAI3225326,0,0,0,0,0,0,0,0,0,0,0,0,0
Determination of chlorophyll a concentrations and phytoplankton primary production in New England estuarine waters using ocean color remote sensing from low-flying aircraft,http://digitalcommons.uri.edu/dissertations/AAI3145421,0,0,0,0,0,0,0,0,0,0,0,0,0
Factors influencing the adoption of electronic business in the purchasing activities within a business organization using an extended technology acceptance model,http://digitalcommons.uri.edu/dissertations/AAI3115010,0,0,0,0,0,0,0,0,0,0,0,0,0
Synthesis and characterization of novel phosphorus containing polymers,http://digitalcommons.uri.edu/dissertations/AAI3145420,0,0,0,0,0,0,0,0,0,0,0,0,0
Demand-based configuration of modular product architecture,http://digitalcommons.uri.edu/dissertations/AAI3063768,0,0,0,0,0,0,0,0,0,0,0,0,0
Creativity in the time of accountability: Lessons from three middle schools,http://digitalcommons.uri.edu/dissertations/AAI3103703,0,0,0,0,0,0,0,0,0,0,0,0,0
Microbiologically influenced corrosion and titanate conversion coatings on aluminum alloy 2024-T3,http://digitalcommons.uri.edu/dissertations/AAI3225314,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gas flow and heat transfer in microchannels: An experimental investigation of compressibility, rarefaction, and surface roughness",http://digitalcommons.uri.edu/dissertations/AAI3115639,0,0,0,0,0,0,0,0,0,0,0,0,0
Economics of aquifer protection in a stochastic environment,http://digitalcommons.uri.edu/dissertations/AAI9707171,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluation of structural modeling fit indices under misspecification conditions,http://digitalcommons.uri.edu/dissertations/AAI9702100,0,0,0,0,0,0,0,0,0,0,0,0,0
Infrared spectral measurement of space shuttle glow,http://digitalcommons.uri.edu/dissertations/AAI9300220,0,0,0,0,0,0,0,0,0,0,0,0,0
What's wrong and who cares? Reader reaction to error,http://digitalcommons.uri.edu/dissertations/AAI3248240,0,0,0,0,0,0,0,0,0,0,0,0,0
An Investigation of Cardiac Dynamics and Substrate Metabolism in an Animal Heart Failure Model,http://digitalcommons.uri.edu/srhonorsprog/133,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychopathy and compliance correlates for male delinquents in a community program,http://digitalcommons.uri.edu/dissertations/AAI3188847,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAT AND MOMENTUM TRANSPORT IN DILUTE POLYETHYLENE OXIDE SOLUTIONS,http://digitalcommons.uri.edu/dissertations/AAI6909840,0,0,0,0,0,0,0,0,0,0,0,0,0
Examining the effectiveness of a school-based mental health center's services,http://digitalcommons.uri.edu/dissertations/AAI3276999,0,0,0,0,0,0,0,0,0,0,0,0,0
Suicide assessment by psychiatric mental health nurses: A phenomenographic study,http://digitalcommons.uri.edu/dissertations/AAI3135890,0,0,0,0,0,0,0,0,0,0,0,0,0
Studies of inter-polymer complexes of conducting polymers,http://digitalcommons.uri.edu/dissertations/AAI3077999,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfactory glutamate reception in Atlantic salmon (Salmo salar),http://digitalcommons.uri.edu/dissertations/AAI9702080,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatigue crack growth bridging mechanisms in titanium metal-matrix composites,http://digitalcommons.uri.edu/dissertations/AAI9805254,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance analysis of subspace methods in state-space system identification,http://digitalcommons.uri.edu/dissertations/AAI9920535,0,0,0,0,0,0,0,0,0,0,0,0,0
Mystical discourse as ideological resistance in Wordsworth and Whitman: A transatlantic bridge,http://digitalcommons.uri.edu/dissertations/AAI3103714,0,0,0,0,0,0,0,0,0,0,0,0,0
The influence of individual differences in preferences for sources of motivation in the resolution of intrapersonal conflict,http://digitalcommons.uri.edu/dissertations/AAI9955094,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monetizing mobile factors involved in development of mobile commerce: Korea, China, Japan",http://digitalcommons.uri.edu/dissertations/AAI3346851,0,0,0,0,0,0,0,0,0,0,0,0,0
"Digging up roots in ""Gardens of Eden"": Michelene Wandor's feminist midrash",http://digitalcommons.uri.edu/dissertations/AAI3077996,0,0,0,0,0,0,0,0,0,0,0,0,0
Development of materials for the rapid manufacture of die cast tooling,http://digitalcommons.uri.edu/dissertations/AAI3039078,0,0,0,0,0,0,0,0,0,0,0,0,0
An investigation of the relationship of self-determination to exercise behavior in Icelandic women,http://digitalcommons.uri.edu/dissertations/AAI9805245,0,0,0,0,0,0,0,0,0,0,0,0,0
"Department of Technical Services, Annual Report 1998/1999",http://digitalcommons.uri.edu/ts_rpts/7,0,0,0,0,0,0,0,0,0,0,0,0,0
Antihypertensive pharmacotherapy: Does prescribing follow national guideline recommendations?,http://digitalcommons.uri.edu/dissertations/AAI9960033,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea surface temperature trends from satellite and in situ data,http://digitalcommons.uri.edu/dissertations/AAI9831101,0,0,0,0,0,0,0,0,0,0,0,0,0
Effect of grid non-orthogonality on the solution of shallow water equations using boundary-fitted grids,http://digitalcommons.uri.edu/dissertations/AAI3025580,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonviolence training program evaluation,http://digitalcommons.uri.edu/dissertations/AAI3025568,0,0,0,0,0,0,0,0,0,0,0,0,0
THE EFFECTS OF MARGINAL DEFICIENCIES OF ASCORBIC ACID AND ALPHA-TOCOPHEROL ON THE NATURAL RESISTENCE AND IMMUNE RESPONSE OF RAINBOW TROUT (SALMO GAIRDNERI),http://digitalcommons.uri.edu/dissertations/AAI8326473,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIPPER-BASED POSITION/FORCE SENSOR DESIGN AND ROBOT HAND MOTION CONTROL DURING ASSEMBLY (EMPLOYMENT, PLATE THEORY, MATING ANALYSIS, CONTROL ALGORITHMS, PART)",http://digitalcommons.uri.edu/dissertations/AAI8609888,0,0,0,0,0,0,0,0,0,0,0,0,0
Development and evaluation of liposome process methods and in-vitro drug release rate technique,http://digitalcommons.uri.edu/dissertations/AAI9805256,0,0,0,0,0,0,0,0,0,0,0,0,0
Restructuring school:  Improving K--8 science teaching and learning in schools through systematic professional development,http://digitalcommons.uri.edu/dissertations/AAI3186921,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inter-polymer complexes of conducting polymers: Synthesis, characterization and applications",http://digitalcommons.uri.edu/dissertations/AAI3186923,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter-gyre exchange: A process study,http://digitalcommons.uri.edu/dissertations/AAI9831103,0,0,0,0,0,0,0,0,0,0,0,0,0
Telemetric assessment of stereotypical motor movements in children with Autism Spectrum Disorder,http://digitalcommons.uri.edu/dissertations/AAI3314456,0,0,0,0,0,0,0,0,0,0,0,0,0
"ReWrighting Afro-American manhood: Negotiations of discursive space in the fiction of James Baldwin, Alice Walker, ohn Edgar Wideman, and Ernest Gaines",http://digitalcommons.uri.edu/dissertations/AAI9601832,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute confusion in the elderly hospitalized patient: An exploration of experienced nursing care,http://digitalcommons.uri.edu/dissertations/AAI9902556,0,0,0,0,0,0,0,0,0,0,0,0,0
"THEATRE OF DISCORD: THE DISSONANCE OF LANGUAGE AND LIGHT IN SELECTED PLAYS OF SAMUEL BECKETT, EDWARD ALBEE AND HAROLD PINTER",http://digitalcommons.uri.edu/dissertations/AAI8008376,0,0,0,0,0,0,0,0,0,0,0,0,0
A descriptive study of beta2-agonist use in asthma patients based on a nationally representative sample,http://digitalcommons.uri.edu/dissertations/AAI3188067,0,0,0,0,0,0,0,0,0,0,0,0,0
"Technical Services Department Statistics, 2005-2006",http://digitalcommons.uri.edu/ts_rpts/16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exposure, affective responses and sexual arousal to sexually explicit materials",http://digitalcommons.uri.edu/dissertations/AAI9707386,0,0,0,0,0,0,0,0,0,0,0,0,0
A mechanistic study to identify physically stable amorphous solid dispersion,http://digitalcommons.uri.edu/dissertations/AAI3147810,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrozooplankton and micronekton in the Arabian Sea oxygen minimum zone,http://digitalcommons.uri.edu/dissertations/AAI3135914,0,0,0,0,0,0,0,0,0,0,0,0,0
Preschool teachers' sense of teaching efficacy: Scale development and correlates,http://digitalcommons.uri.edu/dissertations/AAI3147806,0,0,0,0,0,0,0,0,0,0,0,0,0
Unified high-temperature behavior of thin-gauge superalloys,http://digitalcommons.uri.edu/dissertations/AAI9945199,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parents' descriptions of ideal home nursing care for their technology dependent child, themselves, and their families",http://digitalcommons.uri.edu/dissertations/AAI3135909,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluating a parent training program: Scale analysis and the effects of Systematic Training for Effective Parenting (STEP) on child and parent behavior,http://digitalcommons.uri.edu/dissertations/AAI3225316,0,0,0,0,0,0,0,0,0,0,0,0,0
Destruction of TNT and RDX residues and devices,http://digitalcommons.uri.edu/dissertations/AAI3188852,0,0,0,0,0,0,0,0,0,0,0,0,0
Study of liquid surfaces and interfaces using neutron reflection,http://digitalcommons.uri.edu/dissertations/AAI9723561,0,0,0,0,0,0,0,0,0,0,0,0,0
The representation of women in contemporary Bangladeshi literature: A new challenge in the postcolonial field,http://digitalcommons.uri.edu/dissertations/AAI9831107,0,0,0,0,0,0,0,0,0,0,0,0,0
Webbed text: A new tool for teachers of rhetoric and composition,http://digitalcommons.uri.edu/dissertations/AAI9955102,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevalence and risk factors associated with substance use and abuse by Rhode Island health care professionals,http://digitalcommons.uri.edu/dissertations/AAI3103707,0,0,0,0,0,0,0,0,0,0,0,0,0
Container transportation service demand simulation model for United States coastal container ports,http://digitalcommons.uri.edu/dissertations/AAI3063773,0,0,0,0,0,0,0,0,0,0,0,0,0
"Categorizing Humans, Animals, and Machines in Mary Shelley’s Frankenstein",http://digitalcommons.uri.edu/srhonorsprog/129,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial underground radio and the sixties: An oral history and narrative,http://digitalcommons.uri.edu/dissertations/AAI9902567,0,0,0,0,0,0,0,0,0,0,0,0,0
Computerized behavioral observation: Implications for improving accuracy and reducing bias,http://digitalcommons.uri.edu/dissertations/AAI3103725,0,0,0,0,0,0,0,0,0,0,0,0,0
Texture modification of the soft-fleshed giant grenadier (Albatrossia pectoralis),http://digitalcommons.uri.edu/dissertations/AAI9702102,0,0,0,0,0,0,0,0,0,0,0,0,0
How subject characteristics influence attention task performance: A structural modeling approach,http://digitalcommons.uri.edu/dissertations/AAI9945215,0,0,0,0,0,0,0,0,0,0,0,0,0
Leftist literature and the ideology of eugenics during the American Depression,http://digitalcommons.uri.edu/dissertations/AAI3053107,0,0,0,0,0,0,0,0,0,0,0,0,0
Modeling and control of hysteresis in piezoceramic actuators,http://digitalcommons.uri.edu/dissertations/AAI9702095,0,0,0,0,0,0,0,0,0,0,0,0,0
Community-based and collaborative management of coral reefs and coastal resources in Palau,http://digitalcommons.uri.edu/dissertations/AAI3284827,0,0,0,0,0,0,0,0,0,0,0,0,0
An Analysis Of Sea Shipping As Global And Regional Industry,http://digitalcommons.uri.edu/srhonorsprog/6,0,0,0,0,0,0,0,0,0,0,0,0,0
The virtual eelgrass meadow: A simulation of Zostera marina L. linking physiology to population level processes,http://digitalcommons.uri.edu/dissertations/AAI3248228,0,0,0,0,0,0,0,0,0,0,0,0,0
Involuntary switching behavior in restricted decision environments: Consumer responses to stockouts,http://digitalcommons.uri.edu/dissertations/AAI3328726,0,0,0,0,0,0,0,0,0,0,0,0,0
The analysis of nucleotides by capillary electrophoresis with sodium carbonate buffers,http://digitalcommons.uri.edu/dissertations/AAI9902563,0,0,0,0,0,0,0,0,0,0,0,0,0
Borderline personality disorder subtypes among hospitalized female adolescents,http://digitalcommons.uri.edu/dissertations/AAI9921547,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boundedness, periodicity, and stability of some difference equations",http://digitalcommons.uri.edu/dissertations/AAI9908234,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sediment transport in a dynamic, tidally-influenced coastal embayment exemplified by Pleasant Bay and Chatham Harbor, Cape Cod, Massachusetts",http://digitalcommons.uri.edu/dissertations/AAI3328718,0,0,0,0,0,0,0,0,0,0,0,0,0
Piety and intolerance: A rhetorical inquiry into the constituting of Christian fundamentalist identity,http://digitalcommons.uri.edu/dissertations/AAI3025536,0,0,0,0,0,0,0,0,0,0,0,0,0
Enhancing driving safety through proper message design on variable message signs,http://digitalcommons.uri.edu/dissertations/AAI3206259,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighting for Another Country’s Democracy: An Analysis of Democratic Aid and Military Intervention Through the Vietnam and Iraq War,http://digitalcommons.uri.edu/srhonorsprog/117,0,0,0,0,0,0,0,0,0,0,0,0,0
Reflection functions derived from impulse response estimates as applied to musical instrument tone synthesis,http://digitalcommons.uri.edu/dissertations/AAI8901712,0,0,0,0,0,0,0,0,0,0,0,0,0
Conductive polymer coatings for CE,http://digitalcommons.uri.edu/dissertations/AAI3053118,0,0,0,0,0,0,0,0,0,0,0,0,0
Extensions and application of the modified large-sample approach for constructing confidence intervals on functions of variance components,http://digitalcommons.uri.edu/dissertations/AAI3115629,0,0,0,0,0,0,0,0,0,0,0,0,0
Collection Development Update #62,http://digitalcommons.uri.edu/lib_cd_rpts/44,0,0,0,0,0,0,0,0,0,0,0,0,0
The short-run and long-run performance of Singapore initial public offerings,http://digitalcommons.uri.edu/dissertations/AAI3053108,0,0,0,0,0,0,0,0,0,0,0,0,0
Examples of population pharmacokinetic modeling in drug development using NONMEM,http://digitalcommons.uri.edu/dissertations/AAI3112119,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puerto Rican family functioning, acculturation and attitudes toward family counseling",http://digitalcommons.uri.edu/dissertations/AAI9945232,0,0,0,0,0,0,0,0,0,0,0,0,0
Incremental validity: Impact on decision making in schools,http://digitalcommons.uri.edu/dissertations/AAI3276991,0,0,0,0,0,0,0,0,0,0,0,0,0
Decision making in spectroscopy,http://digitalcommons.uri.edu/dissertations/AAI3276987,0,0,0,0,0,0,0,0,0,0,0,0,0
"""A certain something"": Reclaiming Grace Sartwell Mason",http://digitalcommons.uri.edu/dissertations/AAI9920544,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bronte sisters' quarrel: A social discourse within the Bronte novels,http://digitalcommons.uri.edu/dissertations/AAI9239586,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigation of the release of carbamazepine from polyvinyl pyrrolidone matrices processed using near-critical and super critical carbon dioxide,http://digitalcommons.uri.edu/dissertations/AAI3346860,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecological determinants of Lyme disease in an endemic community,http://digitalcommons.uri.edu/dissertations/AAI3160034,0,0,0,0,0,0,0,0,0,0,0,0,0
Individual versus multidisciplinary team decision-making,http://digitalcommons.uri.edu/dissertations/AAI9507055,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabrication and characterization of particulate polymer nanocomposites,http://digitalcommons.uri.edu/dissertations/AAI3284823,0,0,0,0,0,0,0,0,0,0,0,0,0
Violence desistance among battering men: Existing interventions and the application of the transtheoretical model of change,http://digitalcommons.uri.edu/dissertations/AAI9902569,0,0,0,0,0,0,0,0,0,0,0,0,0
Essays on United States-based global government bond funds,http://digitalcommons.uri.edu/dissertations/AAI3112125,0,0,0,0,0,0,0,0,0,0,0,0,0
"Self-organization, hierarchy, and task structure in workgroups: An empirical study of complexity theory",http://digitalcommons.uri.edu/dissertations/AAI3103718,0,0,0,0,0,0,0,0,0,0,0,0,0
