Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec97,Dec98,Dec99,Dec00,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Preferred dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS (Basic),-0.024,0.0,0.0,-0.055,-0.18,-0.26,-0.45,-0.47,-0.46,-0.48,-0.41,-0.46,-0.2,-0.28,-0.25,-0.246,,0.0,0.0,0.0,0.0,0.0,-0.011,-0.011,-0.011,-0.021,-0.045,-0.045,-0.045,-0.042,-0.17,-0.02,-0.04,-0.027,-0.11,-0.1,-0.11,-0.135,-0.08,-0.12,-0.11,-0.153,-0.14,-0.09,-0.09,-0.15,-0.08,-0.11,-0.14,-0.145,-0.13,-0.08,-0.1,-0.094,-0.15,-0.05,-0.12,-0.142,0.05,-0.06,-0.1,-0.087,-0.05,-0.08,-0.09,-0.062,-0.07,-0.06,-0.06,-0.056
EPS (Diluted),-0.024,0.0,0.0,-0.055,-0.18,-0.26,-0.45,-0.47,-0.46,-0.48,-0.41,-0.46,-0.2,-0.28,-0.25,-0.246,,0.0,0.0,0.0,0.0,0.0,-0.011,-0.011,-0.011,-0.021,-0.045,-0.045,-0.045,-0.042,-0.17,-0.02,-0.04,-0.027,-0.11,-0.1,-0.11,-0.135,-0.08,-0.12,-0.11,-0.153,-0.14,-0.09,-0.09,-0.15,-0.08,-0.11,-0.14,-0.145,-0.13,-0.08,-0.1,-0.094,-0.15,-0.05,-0.12,-0.142,0.05,-0.06,-0.1,-0.087,-0.05,-0.08,-0.09,-0.062,-0.07,-0.06,-0.06,-0.056
Shares Outstanding (Diluted),4.91,4.947,4.947,5.472,7.235,9.745,11.461,12.782,18.016,22.668,22.857,23.115,27.7,28.946,29.0,29.0,,0.0,0.0,4.68,4.95,4.95,5.472,5.472,5.472,5.472,7.087,7.087,7.087,7.678,9.442,10.48,10.578,9.913,10.664,10.929,11.221,13.024,12.599,12.826,12.849,12.85,12.849,18.009,19.736,21.293,22.416,22.746,22.751,22.757,22.757,22.838,22.89,22.943,23.063,23.1,23.1,23.196,26.003,28.613,28.739,28.751,28.849,28.849,28.996,29.0,29.0,29.0,29.0,29.0
Cash And Cash Equivalents,0.02,0.03,0.034,0.263,0.283,2.425,4.648,0.744,29.743,15.448,6.09,4.867,17.122,10.246,4.145,4.145,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.0,0.0,0.0,0.283,5.981,5.962,2.69,2.425,1.799,1.498,0.344,4.648,4.565,3.793,2.121,0.744,0.617,30.267,26.286,29.743,27.177,24.703,18.168,15.448,13.313,10.908,7.711,6.09,4.476,2.544,0.874,4.867,21.233,20.464,18.9,17.122,16.007,13.906,11.792,10.246,8.627,6.909,5.438,4.145
Marketable Securities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,5.0,1.52,1.559,1.559,1.559,1.559,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,6.42,5.0,5.0,5.0,0.0,0.0,1.52,1.52,1.52,1.559,1.559,1.559,1.559,1.559,1.559,1.559,1.559,1.559,1.559
"Cash, Cash Equivalents, Marketable Securities",0.02,0.03,0.034,0.263,0.283,2.425,4.648,0.744,29.743,21.868,11.09,6.387,18.681,11.805,5.704,5.704,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.0,0.0,0.0,0.283,5.981,5.962,2.69,2.425,1.799,1.498,0.344,4.648,4.565,3.793,2.121,0.744,0.617,30.267,26.286,29.743,27.177,24.703,18.168,21.868,13.313,17.328,12.711,11.09,9.476,2.544,0.874,6.387,22.753,21.984,20.459,18.681,17.566,15.465,13.352,11.805,10.186,8.468,6.997,5.704
Accounts Receivable,0.0,0.002,0.003,0.001,0.016,0.052,0.101,0.064,0.081,0.123,0.065,0.033,0.014,0.008,0.007,0.007,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.016,0.025,0.019,0.012,0.052,0.092,0.121,0.06,0.101,0.103,0.132,0.021,0.064,0.03,0.059,0.051,0.081,0.049,0.077,0.05,0.123,0.138,0.205,0.029,0.065,0.086,0.044,0.044,0.033,0.026,0.038,0.009,0.014,0.008,0.012,0.005,0.008,0.004,0.006,0.004,0.007
"Inventories, Raw Materials & Components",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Work In Process",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Inventories Adjustments",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Finished Goods",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Inventories, Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Current Assets,0.019,0.0010000000000000009,-6.938893903907228e-18,0.0010000000000000009,0.007000000000000006,0.028000000000000025,0.031000000000000583,0.010000000000000009,0.13100000000000023,0.1479999999999997,0.16900000000000048,0.17499999999999982,0.20700000000000074,0.2510000000000012,0.23800000000000043,0.23800000000000043,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000000000009,0.0,0.0,0.0,0.007000000000000006,0.013999999999999346,0.0680000000000005,0.04300000000000015,0.028000000000000025,0.016999999999999904,0.062000000000000055,0.03300000000000003,0.031000000000000583,0.01499999999999968,0.06199999999999983,0.14500000000000002,0.010000000000000009,0.031000000000000028,0.5470000000000006,0.41499999999999915,0.13100000000000023,0.10600000000000165,0.20199999999999818,5.504999999999999,0.1479999999999997,6.531999999999998,0.19400000000000261,0.17999999999999972,0.16900000000000048,0.1059999999999981,5.214,6.73,0.17499999999999982,0.11199999999999832,0.19499999999999673,0.2530000000000001,0.20700000000000074,0.1720000000000006,0.32899999999999885,0.2749999999999986,0.2510000000000012,0.22100000000000009,0.22199999999999953,0.2820000000000009,0.23800000000000043
Land And Improvements,0.0,0.0,0.0,0.0,0.504,0.504,0.504,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buildings And Improvements,0.011,0.011,0.011,0.011,0.013,0.013,0.04,0.173,0.784,0.836,0.836,0.836,0.836,0.836,0.836,0.836,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.04,0.04,0.04,0.078,0.173,0.266,0.601,0.795,0.784,0.784,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836
"Machinery, Furniture, Equipment",0.055,0.055,0.055,0.057,0.079,0.132,0.267,0.482,5.96,6.782,6.77,6.78,6.78,6.795,6.764,6.764,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.079,0.09,0.1,0.1,0.132,0.14,0.163,0.213,0.267,0.272,0.276,0.358,0.482,0.624,0.719,2.588,5.96,6.731,8.371,8.401,6.782,8.411,8.411,8.411,6.77,6.777,6.78,6.786,6.78,6.78,6.78,6.78,6.78,6.785,6.784,6.795,6.795,6.795,6.795,6.795,6.764
Construction In Progress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.774,3.092,3.471,1.861,1.921,0.0,2.02,2.032,2.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gross Property, Plant and Equipment",0.426,0.426,0.066,0.068,0.597,0.649,0.811,1.159,9.836,7.618,7.607,7.617,7.617,7.631,7.6,7.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.597,0.607,0.618,0.618,0.649,0.657,0.68,0.731,0.811,0.817,0.82,0.94,1.159,1.394,2.294,5.66,9.836,10.985,11.068,11.159,7.618,11.267,11.279,11.28,7.607,7.613,7.617,7.623,7.617,7.617,7.617,7.617,7.617,7.621,7.621,7.631,7.631,7.631,7.631,7.631,7.6
Accumulated Depreciation,-0.062,-0.063,-0.064,-0.065,-0.067,-0.079,-0.101,-0.156,-0.429,-1.41,-2.418,-3.43,-4.439,-5.393,-6.295,-6.295,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.065,0.0,0.0,0.0,-0.067,-0.069,-0.072,-0.075,-0.079,-0.083,-0.088,-0.095,-0.101,-0.113,-0.124,-0.141,-0.156,-0.185,-0.215,-0.298,-0.429,-0.662,-0.919,-1.196,-1.41,-1.751,-2.029,-2.306,-2.418,-2.658,-2.929,-3.185,-3.43,-3.685,-3.939,-4.19,-4.439,-4.678,-4.923,-5.154,-5.393,-5.628,-5.86,-6.093,-6.295
"Property, Plant and Equipment",0.364,0.363,0.002,0.003,0.53,0.571,0.709,1.003,9.408,6.208,5.189,4.186,3.178,2.239,1.306,1.306,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.53,0.538,0.545,0.543,0.571,0.575,0.592,0.636,0.709,0.704,0.696,0.799,1.003,1.21,2.079,5.363,9.408,10.323,10.149,9.963,6.208,9.516,9.25,8.974,5.189,4.956,4.687,4.437,4.186,3.932,3.678,3.427,3.178,2.943,2.698,2.477,2.239,2.004,1.771,1.538,1.306
Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long Term Assets,0.0010000000000000356,0.0020000000000000295,0.36100000000000004,0.383,1.0539999999999998,4.059,4.184,4.509,2.793999999999997,1.387000000000004,3.9640000000000004,4.958000000000001,1.2499999999999964,1.2049999999999983,1.205000000000001,1.205000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383,0.0,0.0,0.0,1.0539999999999998,1.0499999999999998,1.0409999999999995,4.064,4.059,4.061999999999999,4.074000000000001,4.172,4.184,4.247,4.263,4.412999999999999,4.509,2.7809999999999997,2.7499999999999964,2.8140000000000036,2.793999999999997,2.743000000000002,2.7659999999999982,4.375999999999998,1.387000000000004,1.5139999999999993,1.634999999999998,3.258000000000001,3.9640000000000004,4.283000000000001,3.7779999999999987,3.026,4.958000000000001,1.2890000000000015,1.286999999999999,1.2579999999999991,1.2499999999999964,1.2010000000000005,1.1989999999999998,1.2080000000000002,1.2049999999999983,1.2040000000000006,1.2129999999999992,1.2089999999999987,1.205000000000001
Total Assets,0.404,0.398,0.4,0.651,1.89,7.135,9.673,6.33,42.157,29.734,20.477,15.739,23.33,15.508,8.46,8.46,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651,0.0,0.0,0.0,1.89,7.608,7.635,7.352,7.135,6.545,6.347,5.245,9.673,9.634,8.946,7.499,6.33,4.669,35.702,34.929,42.157,40.398,37.897,38.062,29.734,31.013,28.612,25.152,20.477,18.907,16.267,15.111,15.739,28.112,27.182,25.406,23.33,21.89,19.703,17.317,15.508,13.619,11.68,10.03,8.46
Accounts Payable,0.003,0.001,0.003,0.043,0.027,0.018,0.131,0.302,1.949,0.586,0.546,0.603,0.371,0.495,0.381,0.381,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.027,0.199,0.025,0.026,0.018,0.01,0.129,0.025,0.131,0.011,0.051,0.047,0.302,0.322,0.928,1.662,1.949,0.831,0.439,1.037,0.586,0.799,0.38,0.296,0.546,0.521,0.589,0.415,0.603,0.528,0.447,0.45,0.371,0.346,0.527,0.498,0.495,0.424,0.381,0.438,0.381
Other Accrued Expenses,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.020562075079397e-17,2.7755575615628914e-17,-9.367506770274758e-17,1.734723475976807e-17,0.017000000000000015,0.018000000000000016,0.02400000000000002,0.02400000000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.020562075079397e-17,0.0,0.0,0.0,2.7755575615628914e-17,-8.326672684688674e-17,-2.0816681711721685e-17,4.163336342344337e-17,-9.367506770274758e-17,3.469446951953614e-17,4.85722573273506e-17,4.163336342344337e-17,1.734723475976807e-17,0.0009999999999999454,-6.938893903907228e-18,0.000999999999999987,0.017000000000000015,3.469446951953614e-17,-0.0010000000000000703,0.0010000000000000356,0.018000000000000016,0.09900000000000003,0.025000000000000022,0.02300000000000002,0.02400000000000002
Accounts Payable & Accrued Expenses,0.004,0.001,0.003,0.043,0.027,0.018,0.131,0.302,1.972,0.62,0.564,0.623,0.388,0.513,0.405,0.405,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.027,0.199,0.025,0.026,0.018,0.01,0.129,0.025,0.131,0.011,0.051,0.047,0.302,0.322,0.928,1.662,1.972,0.831,0.439,1.037,0.62,0.833,0.417,0.341,0.564,0.559,0.647,0.464,0.623,0.592,0.505,0.499,0.388,0.388,0.571,0.539,0.513,0.523,0.406,0.461,0.405
Current Portion of Long-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.815,1.815,1.815,1.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Current Liabilities,0.0,0.0,0.001,0.0030000000000000027,0.082,0.077,0.04000000000000001,0.006000000000000005,0.0,1.1102230246251565e-16,1.0180000000000002,2.077,0.358,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030000000000000027,0.0,0.0,0.0,0.082,0.07900000000000001,0.07500000000000001,0.085,0.077,0.082,0.04200000000000001,0.034999999999999996,0.04000000000000001,0.008,0.023,0.006999999999999999,0.006000000000000005,0.007000000000000006,0.015999999999999903,0.015000000000000124,0.0,0.017000000000000015,0.025000000000000022,0.018000000000000238,1.1102230246251565e-16,0.0800000000000003,0.029000000000000192,0.065,1.0180000000000002,1.303,0.258,0.0,2.077,0.749,0.379,0.252,0.358,0.020999999999999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-Term Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Lease Obligation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PensionAndRetirementBenefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeferredTaxAndRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Long-Term Liabilities,0.0,0.0,0.0,0.0,0.08,0.020000000000000004,0.0,0.0,0.0,0.3759999999999999,0.395,0.4139999999999997,0.43599999999999994,0.45699999999999996,0.479,0.479,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.065,0.04999999999999999,0.03499999999999999,0.020000000000000004,0.0050000000000000044,0.01999999999999999,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32500000000000007,0.36799999999999994,0.3719999999999999,0.3759999999999999,1.0499999999999998,0.3959999999999999,1.318,0.395,0.3999999999999999,0.405,1.443,0.4139999999999997,0.41900000000000004,0.42499999999999993,0.43000000000000005,0.43599999999999994,0.44,0.44599999999999995,0.45099999999999996,0.45699999999999996,0.46199999999999997,0.46799999999999997,0.47300000000000003,0.479
Common Stock,0.072,0.072,0.049,0.062,0.087,0.106,0.125,0.128,0.022,0.023,0.023,0.023,0.029,0.029,0.029,0.029,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.087,0.102,0.106,0.106,0.106,0.107,0.111,0.113,0.125,0.128,0.128,0.128,0.128,0.013,0.02,0.02,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
Preferred Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained Earnings,-1.036,-1.039,-1.039,-1.288,-2.616,-5.132,-10.342,-16.325,-24.658,-38.471,-47.851,-58.521,-64.106,-72.306,-79.687,-79.687,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.288,0.0,0.0,0.0,-2.616,-4.178,-4.417,-4.868,-5.132,-6.28,-7.398,-8.578,-10.342,-11.397,-12.914,-14.353,-16.325,-18.171,-19.735,-21.474,-24.658,-26.464,-29.049,-32.135,-38.471,-37.959,-39.899,-42.194,-47.851,-51.278,-52.463,-55.237,-58.521,-57.234,-58.842,-61.608,-64.106,-65.466,-67.82,-70.519,-72.306,-74.453,-76.288,-78.073,-79.687
Accumulated other comprehensive income (loss),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Additional Paid-In Capital,1.362,1.362,1.362,1.828,4.186,12.033,19.705,22.153,64.7,66.996,66.909,69.228,86.224,86.806,87.23,87.23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.828,0.0,0.0,0.0,4.186,11.302,11.781,11.95,12.033,12.606,13.43,13.628,19.705,20.849,21.619,21.637,22.153,22.269,54.275,54.504,64.7,65.597,65.999,66.691,66.996,66.721,66.876,66.887,66.909,68.161,68.164,68.456,69.228,83.517,84.648,85.794,86.224,86.473,86.473,86.806,86.806,87.055,87.055,87.133,87.23
Treasury Stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total Equity,0.399,0.397,0.396,0.605,1.701,7.02,9.502,6.023,40.185,26.923,18.5,12.625,22.149,14.538,7.576,7.576,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,0.0,0.0,0.0,1.701,7.265,7.485,7.206,7.02,6.449,6.156,5.165,9.502,9.616,8.873,7.445,6.023,4.341,34.757,33.251,40.185,39.225,37.065,34.82,26.923,27.235,25.571,23.429,18.5,16.645,14.957,13.204,12.625,26.352,25.874,24.224,22.149,21.041,18.686,16.328,14.538,12.634,10.806,9.096,7.576
Net Income,-0.117,-0.004,0.0,-0.249,-1.276,-2.516,-5.21,-5.984,-8.333,-10.768,-9.38,-10.67,-5.585,-8.199,-7.381,-7.380999999999999,,-0.004,-0.153,-0.117,-0.004,0.0,0.0,0.0,0.0,-0.249,0.0,0.0,0.0,-1.276,-1.562,-0.239,-0.451,-0.264,-1.148,-1.119,-1.18,-1.764,-1.055,-1.516,-1.439,-1.972,-1.845,-1.564,-1.739,-3.184,-1.805,-2.585,-3.086,-3.292,-2.994,-1.941,-2.295,-2.151,-3.426,-1.185,-2.774,-3.284,1.286,-1.607,-2.766,-2.499,-1.36,-2.354,-2.699,-1.787,-2.147,-1.836,-1.784,-1.614
Cumulative Effect Of Accounting Change,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
