PAYMENT DATE,BUSINESS UNIT,PAYMENT TYPE,PAYEE,PAYMENT AMOUNT
2013-05-17 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF GRAND PRAIRIE,320
2013-05-17 00:00:00,General Fund,CARROLLTON'S OTHER CITIES BOND,CITY OF WILMER,484.1
2013-05-17 00:00:00,General Fund,DCEHD HEALTH & SAFETY INSPECTIONS,DALLAS CO. HEALTH & H.S. DEPT,1050
2013-05-17 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,43
2013-05-17 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,25
2013-05-17 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,19
2013-05-17 00:00:00,General Fund,PARK CLEARING,ONE-TIME VENDOR,145
2013-05-17 00:00:00,General Fund,AMBULANCE FEE - CARROLLTON,"EMERGICON, LLC",-3702.57
2013-05-17 00:00:00,City Council L4,NATURAL GAS,ATMOS ENERGY CORPORATION,18.17
2013-05-17 00:00:00,City Mgr Office AF L4,NATURAL GAS,ATMOS ENERGY CORPORATION,11.87
2013-05-17 00:00:00,City Mgr Office AF L4,TRAVEL MEALS & LODGING,EMPLOYEE,14
2013-05-17 00:00:00,City Mgr Office AF L4,TRAVEL MEALS & LODGING,EMPLOYEE,35
2013-05-17 00:00:00,City Mgr Office AF L4,TRAVEL MEALS & LODGING,PETTY CASH - CITY HALL,14
2013-05-17 00:00:00,Resolution Center L4,OTHER PROFESSIONAL SERVICES,DMX MUSIC INC,44.92
2013-05-17 00:00:00,Organizational Development L4,POSTAGE & COURIERS,UNITED PARCEL SERVICES,3.5
2013-05-17 00:00:00,Organizational Development L4,NATURAL GAS,ATMOS ENERGY CORPORATION,1.92
2013-05-17 00:00:00,Dispatch,OTHER PROFESSIONAL SERVICES,DENCO AREA 9-1-1 DISTRICT,465
2013-05-17 00:00:00,Dispatch,NATURAL GAS,ATMOS ENERGY CORPORATION,24.53
2013-05-17 00:00:00,Non-Departmental GF L4,CENTENNIAL EVENTS,BRAVO PRODUCTIONS,12368.75
2013-05-17 00:00:00,Non-Departmental GF L4,CENTENNIAL EVENTS,"DIMACO, LTD",162.87
2013-05-17 00:00:00,City Atty Office L4,NATURAL GAS,ATMOS ENERGY CORPORATION,6.71
2013-05-17 00:00:00,City Atty Office L4,CONF. & TRAINING,EMPLOYEE,843.29
2013-05-17 00:00:00,Human Resources L4,POSTAGE & COURIERS,UNITED PARCEL SERVICES,10.53
2013-05-17 00:00:00,Human Resources L4,NATURAL GAS,ATMOS ENERGY CORPORATION,10.8
2013-05-17 00:00:00,Muni Court Operations L4,CREDIT CARD FEES,"VANTIV HOLDING, LLC",2812.42
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,METROCREST SOCIAL SERVICE CTR,54
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,METROCREST SOCIAL SERVICE CTR,48
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,JURY DUTY,ONE-TIME VENDOR,6
2013-05-17 00:00:00,Muni Court Operations L4,NATURAL GAS,ATMOS ENERGY CORPORATION,153.62
2013-05-17 00:00:00,Muni Court Judicial L4,OTHER PROFESSIONAL SERVICES,LAW OFFICE OF DANA D. HUFFMAN,2925
2013-05-17 00:00:00,Risk Admin L4,NATURAL GAS,ATMOS ENERGY CORPORATION,0.94
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,2
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,14965.41
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,10210.06
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,485.15
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,3772.63
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,616.12
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,1.2
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,1379.47
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,3977.13
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,60
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,TAYLOR OLSON ADKINS SRALLA,8532.47
2013-05-17 00:00:00,Risk Claims L4,LEGAL & LITIGATION EXP,VERIZON SOUTHWEST INC,1000
2013-05-17 00:00:00,Risk Claims L4,GENERAL LIABILITY CLAIMS,TEXAS MUNICIPAL LEAGUE WORKERS,80662.35
2013-05-17 00:00:00,Risk Claims L4,GENERAL LIABILITY CLAIMS,TEXAS MUNICIPAL LEAGUE WORKERS,0.6
2013-05-17 00:00:00,Accounting L4,NATURAL GAS,ATMOS ENERGY CORPORATION,5.72
2013-05-17 00:00:00,UCS and Rev Collection L4,POSTAGE & COURIERS,FEDERAL EXPRESS CORPORATION,23.68
2013-05-17 00:00:00,UCS and Rev Collection L4,POSTAGE & COURIERS,FEDERAL EXPRESS CORPORATION,17.76
2013-05-17 00:00:00,UCS and Rev Collection L4,OTHER PROFESSIONAL SERVICES,LOOMIS FARGO & CO,558.79
2013-05-17 00:00:00,UCS and Rev Collection L4,OTHER PROFESSIONAL SERVICES,"EMERGICON, LLC",6178.23
2013-05-17 00:00:00,UCS and Rev Collection L4,OTHER PROFESSIONAL SERVICES,"CSG SYSTEMS, INC.",1164.5
2013-05-17 00:00:00,UCS and Rev Collection L4,OTHER PROFESSIONAL SERVICES,"CSG SYSTEMS, INC.",-1164.5
2013-05-17 00:00:00,UCS and Rev Collection L4,CREDIT CARD FEES,"VANTIV HOLDING, LLC",4459.96
2013-05-17 00:00:00,UCS and Rev Collection L4,NATURAL GAS,ATMOS ENERGY CORPORATION,21
2013-05-17 00:00:00,Purchasing L4,NATURAL GAS,ATMOS ENERGY CORPORATION,6.6
2013-05-17 00:00:00,General Services L4,OTHER OPER. SUPPLIES,SPECIALTY COFFEES DALLAS LLC,230.8
2013-05-17 00:00:00,General Services L4,OTHER OPER. SUPPLIES,"WESTERN-BRW PAPER CO., INC",345
2013-05-17 00:00:00,General Services L4,OTHER OPER. SUPPLIES,PETTY CASH - CITY HALL,1.65
2013-05-17 00:00:00,General Services L4,NATURAL GAS,ATMOS ENERGY CORPORATION,7.78
2013-05-17 00:00:00,Finance Admin L4,FOOD (NON-TRAVEL),PETTY CASH - CITY HALL,6.59
2013-05-17 00:00:00,Finance Admin L4,NATURAL GAS,ATMOS ENERGY CORPORATION,4.22
2013-05-17 00:00:00,Budget MA L4,NATURAL GAS,ATMOS ENERGY CORPORATION,4.65
2013-05-17 00:00:00,Information Technology L4,CREDIT CARD FEES,"VANTIV HOLDING, LLC",52.65
2013-05-17 00:00:00,Information Technology L4,NATURAL GAS,ATMOS ENERGY CORPORATION,123.73
2013-05-17 00:00:00,Facility Services L4,R/M SUP.-STRUCTURES,W W GRAINGER INC,137.87
2013-05-17 00:00:00,Facility Services L4,OTHER PROFESSIONAL SERVICES,OJS SYSTEMS,21621.95
2013-05-17 00:00:00,Facility Services L4,NATURAL GAS,ATMOS ENERGY CORPORATION,42.41
2013-05-17 00:00:00,Facility Services L4,NATURAL GAS,ATMOS ENERGY CORPORATION,0
2013-05-17 00:00:00,Marketing Services L4,PRINTING & PHOTO.,"CSG SYSTEMS, INC.",1164.5
2013-05-17 00:00:00,Marketing Services L4,NATURAL GAS,ATMOS ENERGY CORPORATION,5.0200000000000005
2013-05-17 00:00:00,Police Management Services,CREDIT CARD FEES,"VANTIV HOLDING, LLC",73.27
2013-05-17 00:00:00,Police Management Services,NATURAL GAS,ATMOS ENERGY CORPORATION,201.29
2013-05-17 00:00:00,Police Operations L4,MILEAGE REIMBURSEMENT,EMPLOYEE,83.06
2013-05-17 00:00:00,Police Operations L4,MILEAGE REIMBURSEMENT,EMPLOYEE,20.91
2013-05-17 00:00:00,Fire Operations L4,POSTAGE & COURIERS,UNITED PARCEL SERVICES,3.5
2013-05-17 00:00:00,Fire Operations L4,UNIFORMS & CLOTHING,KMC UNIFORMS INC.,630
2013-05-17 00:00:00,Fire Operations L4,UNIFORMS & CLOTHING,CASCO INDUSTRIES INC,35
2013-05-17 00:00:00,Fire Operations L4,UNIFORMS & CLOTHING,CASCO INDUSTRIES INC,19960
2013-05-17 00:00:00,Fire Operations L4,UNIFORMS & CLOTHING,"NORTHERN IMPORTS, INC.",125
2013-05-17 00:00:00,Fire Operations L4,JANITORIAL SUPPLIES,ARROW MAGNOLIA INT'L INC,845.15
2013-05-17 00:00:00,Fire Operations L4,SMALL EQUIPMENT,METRO FIRE APPARATUS SPEC.,9035
2013-05-17 00:00:00,Fire Operations L4,GASOLINE & FUELS ALLOC,PETTY CASH - CITY HALL,9.86
2013-05-17 00:00:00,Fire Operations L4,AMBULANCE SUPPLIES,BOUND TREE MEDICAL LLC,113.04
2013-05-17 00:00:00,Fire Operations L4,AMBULANCE SUPPLIES,BOUND TREE MEDICAL LLC,45.12
2013-05-17 00:00:00,Fire Operations L4,AMBULANCE SUPPLIES,BOUND TREE MEDICAL LLC,127.03
2013-05-17 00:00:00,Fire Operations L4,AMBULANCE SUPPLIES,BOUND TREE MEDICAL LLC,111.33
2013-05-17 00:00:00,Fire Operations L4,AMBULANCE SUPPLIES,BOUND TREE MEDICAL LLC,377.39
2013-05-17 00:00:00,Fire Operations L4,OTHER OPER. SUPPLIES,METRO FIRE APPARATUS SPEC.,59.34
2013-05-17 00:00:00,Fire Operations L4,OTHER OPER. SUPPLIES,PETTY CASH - CITY HALL,38.35
2013-05-17 00:00:00,Fire Operations L4,R/M SUP.-OTHER EQUIP.,TRACE ANALYTICS INC,692
2013-05-17 00:00:00,Fire Operations L4,MEDICAL SERVICE-PHYSICAL EXAMS,WILLOWBEND DIAGNOSTIC IMAGING,57
2013-05-17 00:00:00,Fire Operations L4,MILEAGE REIMBURSEMENT,PETTY CASH - CITY HALL,22.06
2013-05-17 00:00:00,Fire Operations L4,NATURAL GAS,ATMOS ENERGY CORPORATION,1050.67
2013-05-17 00:00:00,Fire Operations L4,EQUIPMENT,CASCO INDUSTRIES INC,1975
2013-05-17 00:00:00,Fire Support Services,NATURAL GAS,ATMOS ENERGY CORPORATION,14.51
2013-05-17 00:00:00,Environmental Services L4,UNIFORMS & CLOTHING,"NORTHERN IMPORTS, INC.",125
2013-05-17 00:00:00,Environmental Services L4,UNIFORMS & CLOTHING,"SCHELL, VRISTA AND ROSE INC",125
2013-05-17 00:00:00,Environmental Services L4,UNIFORMS & CLOTHING,"NORTHERN IMPORTS, INC.",125
2013-05-17 00:00:00,Environmental Services L4,UNIFORMS & CLOTHING,"NORTHERN IMPORTS, INC.",-125
2013-05-17 00:00:00,Environmental Services L4,UNIFORMS & CLOTHING,"SCHELL, VRISTA AND ROSE INC",-125
2013-05-17 00:00:00,Environmental Services L4,UNIFORMS & CLOTHING,"NORTHERN IMPORTS, INC.",-125
2013-05-17 00:00:00,Environmental Services L4,OTHER OPER. SUPPLIES,PETTY CASH - CITY HALL,10
2013-05-17 00:00:00,Environmental Services L4,OTHER PROFESSIONAL SERVICES,"VILLARREAL, ROY",550
2013-05-17 00:00:00,Environmental Services L4,OTHER PROFESSIONAL SERVICES,JBA LAND MANAGEMENT LLC,375
2013-05-17 00:00:00,Environmental Services L4,MEMBERSHIP DUES-CERTIF. FEES,PETTY CASH - CITY HALL,30
2013-05-17 00:00:00,Environmental Services L4,FILING FEES,PETTY CASH - CITY HALL,108
2013-05-17 00:00:00,Environmental Services L4,NATURAL GAS,ATMOS ENERGY CORPORATION,27.9
2013-05-17 00:00:00,Environmental Services L4,CONF. & TRAINING,PETTY CASH - CITY HALL,85
2013-05-17 00:00:00,Animal Control L4,OTHER OPER. SUPPLIES,BUTLER SCHEIN ANIMAL,280.5
2013-05-17 00:00:00,Animal Control L4,OTHER OPER. SUPPLIES,PAWS DEPOT,271.61
2013-05-17 00:00:00,Animal Control L4,OTHER OPER. SUPPLIES,"AIR-TITE PRODUCTS CO, INC",85.4
2013-05-17 00:00:00,Animal Control L4,OTHER PROFESSIONAL SERVICES,"VANTIV HOLDING, LLC",134.32
2013-05-17 00:00:00,Animal Control L4,"WIRELESS, CELL PHONE",AT&T MOBILITY NATIONAL,171.22
2013-05-17 00:00:00,Animal Control L4,NATURAL GAS,ATMOS ENERGY CORPORATION,0
2013-05-17 00:00:00,Parks Donations Fund-wide FL4,SENIOR CITIZENS ON TOUR PAY.,SAM'S CLUB DIRECT,23.9
2013-05-17 00:00:00,Library L4,POSTAGE & COURIERS,FEDERAL EXPRESS CORPORATION,4.99
2013-05-17 00:00:00,Library L4,OTHER PROFESSIONAL SERVICES,"CAMPBELL, SUSAN O",293.77
2013-05-17 00:00:00,Library L4,OTHER PROFESSIONAL SERVICES,"RUDER, NANCY",225
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,46.48
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,574.19
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,20.8
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,23.99
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,"BAKER & TAYLOR, INC.",221.8
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,"BAKER & TAYLOR, INC.",207.89
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,209.21
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,23.24
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,27.99
2013-05-17 00:00:00,Library L4,SUBSCRIPTIONS & PUBLICATIONS,GALE GROUP INC,27.99
2013-05-17 00:00:00,Library L4,CREDIT CARD FEES,"VANTIV HOLDING, LLC",263.82
2013-05-17 00:00:00,Library L4,NATURAL GAS,ATMOS ENERGY CORPORATION,347.4
2013-05-17 00:00:00,Library L4,CONF. & TRAINING,EMPLOYEE,25
2013-05-17 00:00:00,Library L4,TRAVEL MEALS & LODGING,EMPLOYEE,61.82
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,972.81
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,556.3100000000001
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,841.73
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,980.53
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,681
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,1991.81
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,347.8
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,843.64
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,MIDWEST TAPE LLC,33.68
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,598.51
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,MIDWEST TAPE LLC,30.39
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,70.34
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,1626.5
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,BRODART CO,855.08
2013-05-17 00:00:00,Library L4,LIB. BOOKS & FILMS,MIDWEST TAPE LLC,42.18
2013-05-17 00:00:00,Library Donations L4,OTHER PROFESSIONAL SERVICES,"CLAUDER, MARGARET",250
2013-05-17 00:00:00,Leisure Services L4,CREDIT CARD FEES,"VANTIV HOLDING, LLC",1272.49
2013-05-17 00:00:00,Leisure Services L4,NATURAL GAS,ATMOS ENERGY CORPORATION,0
2013-05-17 00:00:00,Tennis Center L4,CREDIT CARD FEES,"VANTIV HOLDING, LLC",50.38
2013-05-17 00:00:00,Rosemeade Rec Center,CREDIT CARD FEES,"VANTIV HOLDING, LLC",1147.26
2013-05-17 00:00:00,Rosemeade Rec Center,NATURAL GAS,ATMOS ENERGY CORPORATION,117.14
2013-05-17 00:00:00,Crosby Rec Center,CREDIT CARD FEES,"VANTIV HOLDING, LLC",243.38
2013-05-17 00:00:00,Crosby Rec Center,NATURAL GAS,ATMOS ENERGY CORPORATION,148.03
2013-05-17 00:00:00,Senior Center,OTHER OPER. SUPPLIES,SAM'S CLUB DIRECT,88.14
2013-05-17 00:00:00,Senior Center,CREDIT CARD FEES,"VANTIV HOLDING, LLC",339.66
2013-05-17 00:00:00,Senior Center,NATURAL GAS,ATMOS ENERGY CORPORATION,179.38
2013-05-17 00:00:00,Perry Museum,NATURAL GAS,ATMOS ENERGY CORPORATION,68.86
2013-05-17 00:00:00,Parks Mntc Contract Svcs L4,LANDSCAPE MATERIALS,SOUTHWEST NURSERY & SUPPLY,2039.5
2013-05-17 00:00:00,Parks Mntc Contract Svcs L4,LANDSCAPE MATERIALS,SOUTHWEST NURSERY & SUPPLY,142.5
2013-05-17 00:00:00,Parks Mntc Contract Svcs L4,LANDSCAPE MATERIALS,SOUTHWEST NURSERY & SUPPLY,864
2013-05-17 00:00:00,Parks Mntc Contract Svcs L4,LANDSCAPE MATERIALS,SOUTHWEST NURSERY & SUPPLY,360
2013-05-17 00:00:00,Parks Mntc Contract Svcs L4,OTHER PROFESSIONAL SERVICES,"VMC LANDSCAPE SERVICES, LP",20993
2013-05-17 00:00:00,Parks Mntc Contract Svcs L4,OTHER PROFESSIONAL SERVICES,"DAVIS, JEFF",3390
2013-05-17 00:00:00,Parks Mntc Contract Svcs L4,OTHER PROFESSIONAL SERVICES,"ELITE TREE SERVICE, LLC",966
2013-05-17 00:00:00,Parks Mntc Non-Cntrct Svcs L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",18.53
2013-05-17 00:00:00,Parks Mntc Non-Cntrct Svcs L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",26.56
2013-05-17 00:00:00,Parks Mntc Non-Cntrct Svcs L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",-26.56
2013-05-17 00:00:00,Parks Mntc Non-Cntrct Svcs L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",-18.53
2013-05-17 00:00:00,Parks Mntc Non-Cntrct Svcs L4,OTHER PROFESSIONAL SERVICES,AAA ENVIRONMENTAL CLEANING,300
2013-05-17 00:00:00,Parks Mntc Non-Cntrct Svcs L4,MILEAGE REIMBURSEMENT,EMPLOYEE,22.6
2013-05-17 00:00:00,Athletics L4,LANDSCAPE MATERIALS,TRINITY TURF NURSERY INC,224.75
2013-05-17 00:00:00,Athletics L4,CHEMICALS,WINFIELD SOLUTIONS LLC,5202.400000000001
2013-05-17 00:00:00,Athletics L4,CHEMICALS,BWI COMPANIES INC,266.55
2013-05-17 00:00:00,Athletics L4,IRRIGATION SUPPLIES,LONGHORN INC,70.02
2013-05-17 00:00:00,Athletics L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",18.53
2013-05-17 00:00:00,Athletics L4,IRRIGATION SUPPLIES,"HORIZON DISTRIBUTORS, INC.",26.56
2013-05-17 00:00:00,Athletics L4,OTHER OPER. SUPPLIES,VOICE RETRIEVAL & INFORMATION,94.5
2013-05-17 00:00:00,Athletics L4,OTHER OPER. SUPPLIES,SPORTSGRAFX INC.,1648.5
2013-05-17 00:00:00,Athletics L4,R/M SUP.-STRUCTURES,PIONEER MFG,5162
2013-05-17 00:00:00,Athletics L4,R/M SUP.-STRUCTURES,"RECREONICS, INC.",1817.42
2013-05-17 00:00:00,Athletics L4,OTHER PROFESSIONAL SERVICES,"CHESHIER, TERRY",4674
2013-05-17 00:00:00,Athletics L4,CREDIT CARD FEES,"VANTIV HOLDING, LLC",568.49
2013-05-17 00:00:00,Athletics L4,R/M SVCS.-STRUCTURES,"JOHN DEERE LANDSCAPES, INC",495
2013-05-17 00:00:00,Athletics L4,R/M SVCS.-STRUCTURES,"DAKTRONICS, INC.",1001.25
2013-05-17 00:00:00,Athletics L4,R/M SVCS.-STRUCTURES,A-ALL PEST TERMITE,130
2013-05-17 00:00:00,Sr Center Donations L4,FOOD (NON-TRAVEL),SAM'S CLUB DIRECT,47.35
2013-05-17 00:00:00,Sr Center Donations L4,OTHER PROFESSIONAL SERVICES,"LOGAN, TYRONE",75
2013-05-17 00:00:00,Sr Center Donations L4,PRINTING & PHOTO.,SENIOR ADULT SERVICES,250
2013-05-17 00:00:00,Public Works Admin  L4,OFFICE SUPPLIES,TRIBARSON ENTERPRISES INC,7
2013-05-17 00:00:00,Public Works Admin  L4,NATURAL GAS,ATMOS ENERGY CORPORATION,82.52
2013-05-17 00:00:00,Public Works Admin  L4,CONF. & TRAINING,AMERICAN PUBLIC WORKS ASSOC,270
2013-05-17 00:00:00,Streets  L4,CHEMICALS,B-GREENER INDUSTRIAL CLEANERS,1265
2013-05-17 00:00:00,Streets  L4,ASPHALT,"AUSTIN ASPHALT, LP",1956.14
2013-05-17 00:00:00,Streets  L4,CONCRETE,REDI-MIX LLC,4498
2013-05-17 00:00:00,Streets  L4,CONCRETE,REDI-MIX LLC,129.75
2013-05-17 00:00:00,Streets  L4,"WIRELESS, PAGER",AMERICAN MESSAGING SER. LLC,44.5
2013-05-17 00:00:00,Drainage  L4,CONCRETE,REDI-MIX LLC,216.25
2013-05-17 00:00:00,Drainage  L4,"WIRELESS, PAGER",AMERICAN MESSAGING SER. LLC,12
2013-05-17 00:00:00,Traffic Operations  L4,"WIRELESS, CELL PHONE",VERIZON WIRELESS,39.99
2013-05-17 00:00:00,Traffic Operations  L4,"WIRELESS, PAGER",AMERICAN MESSAGING SER. LLC,53
2013-05-17 00:00:00,Traffic Operations  L4,ELECTRICITY,COSERV ELECTRIC,4869.4800000000005
2013-05-17 00:00:00,Utility Pumping,OTHER PROFESSIONAL SERVICES,"ELITE TREE SERVICE, LLC",966
2013-05-17 00:00:00,Utility Pumping,OTHER PROFESSIONAL SERVICES,"ELITE TREE SERVICE, LLC",-966
2013-05-17 00:00:00,Utility Pumping,CITY WATER PURCHASES,CITY OF DALLAS,869801.76
2013-05-17 00:00:00,Utility Pumping,"WIRELESS, PAGER",AMERICAN MESSAGING SER. LLC,27
2013-05-17 00:00:00,Utility Pumping,NATURAL GAS,ATMOS ENERGY CORPORATION,73.74
2013-05-17 00:00:00,Water Distribution,UNIFORMS & CLOTHING,"NORTHERN IMPORTS, INC.",125
2013-05-17 00:00:00,Water Distribution,R/M SUP.-WTR. & SEW.,ACT PIPE AND SUPPLY INC,1620.68
2013-05-17 00:00:00,Water Distribution,R/M SUP.-WTR. & SEW.,ACT PIPE AND SUPPLY INC,-1620.68
2013-05-17 00:00:00,Water Distribution,"WIRELESS, CELL PHONE",VERIZON WIRELESS,39.99
2013-05-17 00:00:00,Water Distribution,"WIRELESS, PAGER",AMERICAN MESSAGING SER. LLC,39.5
2013-05-17 00:00:00,Water Distribution,CONF. & TRAINING,NORTH CENTRAL TEXAS REGION,200
2013-05-17 00:00:00,Wastewater,"WIRELESS, PAGER",AMERICAN MESSAGING SER. LLC,108.21
2013-05-17 00:00:00,Wastewater,ELECTRICITY,COSERV ELECTRIC,243.45
2013-05-17 00:00:00,Utility Replacement Program,R/M SUP.-WTR. & SEW.,ACT PIPE AND SUPPLY INC,1620.68
2013-05-17 00:00:00,Planning L4,NATURAL GAS,ATMOS ENERGY CORPORATION,4.46
2013-05-17 00:00:00,UD TOD L4,POSTAGE & COURIERS,AMERICAN EXPRESS INC,4.6000000000000005
2013-05-17 00:00:00,UD TOD L4,FOOD (NON-TRAVEL),AMERICAN EXPRESS INC,29.25
2013-05-17 00:00:00,UD TOD L4,MEMBERSHIP DUES-CERTIF. FEES,AMERICAN EXPRESS INC,625
2013-05-17 00:00:00,UD TOD L4,PRINTING & PHOTO.,AMERICAN EXPRESS INC,50.3
2013-05-17 00:00:00,UD TOD L4,ADVERTISING-GENERAL,AMERICAN EXPRESS INC,198.93
2013-05-17 00:00:00,UD TOD L4,NATURAL GAS,ATMOS ENERGY CORPORATION,1.42
2013-05-17 00:00:00,UD TOD L4,CONF. & TRAINING,AMERICAN EXPRESS INC,930.89
2013-05-17 00:00:00,UD TOD L4,TRAVEL MEALS & LODGING,AMERICAN EXPRESS INC,883.33
2013-05-17 00:00:00,Urban Desgn Spec Cap Proj FL4,RETAINAGE PAYABLE,ESTRADA CONCRETE CO LLC,-260.14
2013-05-17 00:00:00,Economic Development L4,FOOD (NON-TRAVEL),AMERICAN EXPRESS INC,169.16
2013-05-17 00:00:00,Economic Development L4,OTHER PROFESSIONAL SERVICES,"COSTAR REALTY INFORMATION, INC",2610
2013-05-17 00:00:00,Economic Development L4,ADVERTISING-GENERAL,EVERGREEN ALLIANCE GOLF LP,870.71
2013-05-17 00:00:00,Economic Development L4,ADVERTISING-GENERAL,AMERICAN EXPRESS INC,93.74
2013-05-17 00:00:00,Economic Development L4,"WIRELESS, CELL PHONE",AMERICAN EXPRESS INC,290.43
2013-05-17 00:00:00,Economic Development L4,NATURAL GAS,ATMOS ENERGY CORPORATION,6.31
2013-05-17 00:00:00,Economic Development L4,TRAVEL MEALS & LODGING,AMERICAN EXPRESS INC,3943.46
2013-05-17 00:00:00,Traffic Engineering L4,MILEAGE REIMBURSEMENT,EMPLOYEE,187.88
2013-05-17 00:00:00,Traffic Engineering L4,MILEAGE REIMBURSEMENT,EMPLOYEE,113.88
