IRN,DISTRICT,COUNTY,COUNTY NUMBER,DISTRICT TYPE,CALCULATED OPPORTUNITY GRANT,CAPPED OPPORTUNITY GRANT,CALCULATED TARGETED ASSISTANCE,CAPPED TARGETED ASSISTANCE,CALCULATED K-3 LITERACY FUNDING,CAPPED K-3 LITERACY FUNDING,CALCULATED ECONOMIC DISADVANTAGED FUNDING,CAPPED ECONOMIC DISADVANTAGED FUNDING,CALCULATED LIMITED ENGLISH PROFICIENCY FUNDING,CAPPED LIMITED ENGLISH PROFICIENCY FUNDING,CALCULATED GIFTED EDUCATION FUNDING,CAPPED GIFTED EDUCATION FUNDING,CALCULATED TRANSPORTATION FUNDING,CAPPED TRANSPORTATION FUNDING,CALCULATED SPECIAL EDUCATION ADDITIONAL FUNDING,CAPPED SPECIAL EDUCATION ADDITIONAL FUNDING,CALCULATED CAREER TECH EDUCATION FUNDING,CAPPED CAREER TECH EDUCATION FUNDING,CALCULATED FUNDING BEFORE GUARANTEE,CAPPED FUNDING BEFORE GUARANTEE,TRANSITIONAL GUARANTEE BASE,TRANSITIONAL GUARANTEE,TOTAL CALCULATED STATE FUNDING,PRESCHOOL SPECIAL EDUCATION FUNDING,SPECIAL EDUCATION TRANSPORTATION FUNDING,TOTAL ADDITIONAL AID ITEMS,EDUCATION SERVICE CENTER TRANSFER,OPEN ENROLLMENT ADJUSTMENT,COMMUNITY SCHOOL TRANSFER,STEM SCHOOL TRANSFER,SCHOLARSHIP TRANSFER,OTHER ADJUSTMENTS,TOTAL TRANSFERS & ADJUSTMENTS,NET STATE FOUNDATION FUNDING,STATEWIDE TOTAL ADM,STATEWIDE FORMULA ADM,STATEWIDE ECONOMIC DISADVANTAGED RATIO,STATEWIDE MEDIAN INCOME,STATEWIDE 3 YEAR AVERAGE VALUATION,STATEWIDE 3 YEAR AVERAGE ADJUSTED VALUATION,STATEWIDE 3 YEAR FEDERAL GROSS INCOME,ADJUSTED TOTAL ADM,TOTAL ADM,TUITION KINDERGARTEN ADM,JOINTURE JVS ADM,FORMULA ADM,CATEGORY 1 SPECIAL EDUCATION ADM,CATEGORY 2 SPECIAL EDUCATION ADM,CATEGORY 3 SPECIAL EDUCATION ADM,CATEGORY 4 SPECIAL EDUCATION ADM,CATEGORY 5 SPECIAL EDUCATION ADM,CATEGORY 6 SPECIAL EDUCATION ADM,CATEGORY 1 CAREER TECH FTE,CATEGORY 2 CAREER TECH FTE,CATEGORY 3 CAREER TECH FTE,CATEGORY 4 CAREER TECH FTE,CATEGORY 5 CAREER TECH FTE,CATEGORY 1 LEP ADM,CATEGORY 2 LEP ADM,CATEGORY 3 LEP ADM,K-3 FORMULA ADM,K-3 E-SCHOOL FORMULA ADM,PRESCHOOL AUTISM SCHOLARSHIP ADM,BRICK & MORTAR & STEM SCHOOL ADM,E-SCHOOL FORMULA ADM,NET FORMULA ADM,JON PETERSON SCHOLARSHIP ADM,AUTISM SCHOLARSHIP ADM,EDCHOICE SCHOLARSHIP ADM,ECONOMIC DISADVANTAGED ADM,ECONOMIC DISADVANTAGED RATIO,3 YEAR AVERAGE FEDERAL GROSS INCOME,3 YEAR AVERAGE TOTAL REAL VALUATION,3 YEAR AVERAGE AGRICULTURAL REAL VALUATION,3 YEAR AVERAGE ADJSUTED TOTAL VALUATION,3 YEAR AVERAGE TOTAL VALUATION,EXEMPT PROPERTY VALUATION,POTENTIAL PROPERTY VALUATION,MEDIAN INCOME TY11,STATE SHARE INDEX,ECONIMC DISADVANTAGED INDEX,INCOMING OPEN ENROLLMENT ADM,OUTGOING OPEN ENROLLMENT ADM,RESIDENT COMMUNITY SCHOOL ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 1 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 2 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 3 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 4 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 5 ADM,RESIDENT SPECIAL ED PRESCHOOL CATEGORY 6 ADM
44933,Upper Arlington City SD,Franklin,25,1,1619753.92,1619753.92,0,0,137604.71,137604.71,31.1,31.1,4134.38,4134.38,278684.15,278684.15,605043.45,605043.45,209176.78,209176.78,5274.1,5274.1,2859702.59,2859702.59,3407946.07,548243.48,3407946.07,224396.77,129701.86,354098.63,-219421.75,-5745,-312252.07,-107740.05,-444979.5,-162750.16,-1252888.53,2509156.17,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,5638.83,5638.83,0,0,5638.83,62,412.66,32.8,1,30.5,69.62,1.54,6.26,3.26,0.14,43.44,23,31.5,17,1491.65,0,0,28.57,23.69,5576.59,7,10.12,0,94.78,0.016808451,2018504012,1570039763,0,1587490803,1587490803,93016740,1680507543,60889,0.05,0.00130657,0,1,51.88,28,24,1,0,2,0
44941,Urbana City SD,Champaign,11,1,7250935.73,6519452.71,1280334.2,1151172.57,112271.09,100945.05,338115.37,304005.89,0,0,103246.9,92831.23,326397.86,293470.46,1308979.37,1308979.37,71612.78,71612.78,10791893.3,9842470.06,9263501.22,0,9842470.06,469926.68,95764.9,565691.58,-2162786.05,-566062.64,-1176429.84,-6913.78,-55000,-17440.91,-3984633.22,6423528.42,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2255.8,2255.8,0,40.52,2223.38,51.8,241.83,21.98,0,31.4,24,16.83,0,5.18,6.31,15.8,0,0,0,720.99,5.55,1,77.75,87.62,2076.44,1,1,0,1133.61,0.502531253,271172474,245646593,14911497,256001830,256001830,26698740,282700570,27276,0.56740746,1.167894213,82.4,186.34,163.97,22,63,0,0,1,4
44958,Vandalia-Butler City SD,Montgomery,57,1,5607838.34,2682833.23,0,0,93548.13,44754.15,146486.87,70080.45,6458.07,3089.59,148645.45,71113.13,450468.41,215507.57,770073.99,770073.99,17068.26,17068.26,7240587.52,3874520.37,3646607.42,0,3874520.37,210743.91,78042.39,288786.3,-20694.25,-212877,-759568.7,-35800,-89995,97414.4,-1021520.55,3141786.12,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3155.97,3155.97,0,83.6,3089.09,32.5,342.1,24.8,3,19.3,20.5,0.28,0,11.05,0.13,22.24,0,13.5,7,761.7,16.29,0,49.75,69.62,2978.65,2.5,1,0,1069.71,0.338948089,678209451,592430830,7448090,604185766,604185766,102113960,706299727,34764,0.315991129,0.531304792,0,37.8,110.68,26,17,0,0,1,2
44966,Van Wert City SD,Van Wert,81,1,8436576.41,6296372.98,1987908.19,1483612.64,125442.59,93620.12,413935.06,308927.39,2117.54,1580.36,107726.65,80398.39,257920.99,192491.2,1240266.23,1240266.23,30307.59,30307.59,12602201.25,9727576.9,9155366.5,0,9727576.9,356994.64,46395.44,403390.08,-12545.59,-1410468.51,-556545.55,0,-7196,-41875.02,-2028630.67,8102336.31,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2314.12,2314.12,0,103.48,2231.33,75,185.92,11.86,0,19.72,25.72,7.75,0.79,0,0,2.64,0,6.86,0,759.5,14,0,38.16,37.21,2164.5,1,0,0,1223.55,0.528732304,252701968,213995607,21943447,222040660,222040660,44382000,266422660,27849,0.658131089,1.292852694,137.28,390.19,69.24,29,40,1,0,1,0
44974,Wadsworth City SD,Medina,52,1,13303980.58,11436572.9,1511335.34,1299197.38,201728.58,173413.03,65226.11,56070.67,4354.37,3743.17,235572,202506.03,977081.87,839934.18,1358811.25,1358811.25,216055.26,216055.26,17874145.36,15586303.87,14669462.48,0,15586303.87,237982.57,40605.88,278588.45,-30650.3,-303398,-450044.56,0,-186688,257392.93,-713387.93,15151504.39,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4786.87,4786.87,0,0.58,4786.4,113,262.99,20,6,21.44,41.97,43.4,36.44,5.24,10.8,21.82,1,4,4,1382.4,5.2,0,2.71,65.47,4703.89,13,2,0,1075.9,0.224760647,699317507,611151143,14133850,627387910,627387910,51358250,678746160,37720,0.483818621,0.23362424,29.37,79.05,66.28,17,26,0,0,2,2
44982,Wapakoneta City SD,Auglaize,6,1,11228712.82,9318270.76,2362698.95,1960711.7,171585.94,142392.48,295120.09,244908.65,3709.21,3078.13,155293.1,128871.69,955073.85,792578.53,1522663.03,1522663.03,107305.76,107305.76,16802162.75,14220780.73,13384264.21,0,14220780.73,251090.9,42818.43,293909.33,-1520010.19,-827720.02,-351925.99,0,-35000,-58618.49,-2793274.69,11721415.37,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3232.3,3232.3,0,89.6,3160.62,40.5,282,19.72,3,23,29.86,28.03,0,0,0.78,23.06,0,0,8,1055.22,4.32,1,0.79,44.1,3115.92,0,1,0,1364.16,0.422040033,390687188,327551680,44634850,335086626,335086626,37241820,372328447,31398,0.618201809,0.823729559,128.4,262.46,47.83,27,15,0,0,2,3
44990,Warren City SD,Trumbull,78,1,30572365.85,24838931.54,8360604.18,6792685.78,378325.2,307375.42,5824761.99,4732406.55,13684.95,11118.52,271490.6,220576.2,1752239.89,1423630.96,5758050.18,5758050.18,148794.52,148794.52,53080317.36,44233569.67,41631594.99,0,44233569.67,284827.96,335943.91,620771.87,-821253.77,-1612411.54,-6905103.78,0,-861408,-181089.38,-10381266.47,34473075.07,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,6220.54,6220.54,0,120.52,6124.12,120.82,644.77,77.79,7,85.76,72.47,0,0,69.9,0,28.2,0,14,0,1990.3,46.29,0.46,502.88,250.06,5325.9,1,2.46,168,5728.01,0.920821987,479628204,323853413,303473,343462460,343462460,89778920,433241380,21523,0.868885807,3.921287774,133.1,416.8,691.38,13,24,0,0,4,3
45005,Warrensville Heights City SD,Cuyahoga,18,1,4519602.6,4519602.6,354394.82,354394.82,97945.46,97945.46,344831.56,344831.56,0,0,82800.9,82800.9,273706.87,273706.87,838987.83,838987.83,25862.67,25862.67,6538132.71,6538132.71,10285520.96,3747388.25,10285520.96,32075.55,82862.75,114938.3,-10772.26,-271060,-3331324.26,0,-785882,-112364.85,-4511403.37,5889055.89,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2130.18,2130.18,0,0,2130.18,18,256.54,56.5,2,13.54,20.5,2.23,10.45,5.06,0,0.05,0,0,0,750.07,8.98,0,446.4,84.61,1553.76,4,0,153.01,1103.99,0.518261368,220635605,393323967,0,404320186,404320186,112367070,516687257,25218,0.369312421,1.242152816,0,47,495.32,2,5,0,0,0,0
45013,Washington Court House City,Fayette,24,1,9385158.7,7343015.47,2091583.88,1636470.23,143373.24,112176.25,810473.04,634119.92,13751.72,10759.44,114221.65,89367.85,675974.27,528887.12,1995199.54,1995199.54,565.69,565.69,15230301.73,12350561.51,11624057.88,0,12350561.51,201524.92,70418.02,271942.94,-14353.63,-428382,-372807.76,0,0,-158244.05,-973787.44,11648717.01,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,2413.21,2413.21,0,83.59,2346.33,39.36,261.59,27.29,4.89,46.05,30.19,0,0,0,0.5,0,7,6.89,2,832.99,4.39,0,0,53.17,2293.16,0,0,0,1572.97,0.65181646,216528153,209189670,386680,213770160,213770160,34894380,248664540,24040,0.696245649,1.964843663,148.89,225.65,52.36,17,8,0,0,2,5
45021,Wellston City SD,Jackson,40,1,7113880.41,5675824.49,2655175.31,2118437.22,92279.05,73625.03,1595512.54,1272983.05,0,0,75734.8,60425.17,712974.8,568848.45,1125488.55,1125488.55,17011.94,17011.94,13388057.4,10912643.9,10270723.67,0,10912643.9,123031.76,30353.06,153384.82,-9689.81,-379023.18,-359484.29,0,0,-13381.92,-761579.2,10304449.52,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1588.75,1588.75,0,72.23,1530.96,42.87,178.09,5.8,1.87,20,9.87,0,0,0,0,14.76,0,0,0,502.2,9,0,0,52.8,1478.16,0,0,0,1494.74,0.940827695,126056953,97995083,11742830,106166460,106166460,24164750,130331210,28132,0.808821493,4.093525879,63.4,131.18,49.52,12,2,0,0,4,1
45039,Wellsville Local SD,Columbiana,15,3,4054667.87,3597558.59,1439109.29,1276869.07,49679.15,44078.49,445875.77,395609.27,0,0,48482.1,43016.39,139751.62,123996.5,609301.82,609301.82,13749.65,13749.65,6800617.27,6104179.78,5745110.4,0,6104179.78,78333.16,0,78333.16,-238981.46,6307.44,-253390.74,0,-17500,-1612.45,-505177.21,5677335.73,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,829.18,829.18,0,15.94,816.42,28,79.29,6,0,15.5,2,0.66,0.53,0,0,7.1,0,0,0,259,3,0,0,42.28,774.14,0,0,0,635.87,0.76686606,69258433,43485053,3204870,46489733,46489733,10360000,56849733,25574,0.864473367,2.719671112,84,80.4,39.54,4,8,0,0,0,1
45047,Westerville City SD,Franklin,25,1,31955000.32,23012398.59,491121.12,353680.96,518751.8,373579.19,763536.59,549861,512789.23,369285.24,700496.1,504462.39,3106314.71,2237013.03,5048715.75,5048715.75,82864.83,82864.83,43179590.45,32531860.98,30618222.09,0,32531860.98,737191.65,378192.26,1115383.91,-3590345.13,-1174350.02,-5398332.38,-263025.67,-1012259,-504087.29,-11942399.49,21704845.4,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,14669.7,14669.7,0,0.6,14669.22,241.7,1120.72,171.84,6,101.9,219.4,7.26,36.4,5.66,0,0,135.62,854.02,256.23,3928.72,38.79,12.23,457.2,228.78,14063.63,31.5,14.64,0,5125.24,0.349375925,2836591888,2315512507,1317733,2355551903,2355551903,255468860,2611020763,41738,0.378860949,0.564499165,0.5,169.97,662.11,47,74,6,0,8,11
45054,West Carrollton City SD,Montgomery,57,1,13432679.53,9904277.29,1798950.23,1326414.58,216539.51,159660.43,302552.86,223080.39,104147.2,76790.54,180482.3,133074.47,1138694.4,839590.13,2124268.23,2124268.23,8075.16,8075.16,19306389.42,14795231.22,13924923.5,0,14795231.22,294779.22,112281.26,407060.48,-1048911.04,579842.1,-1409596.21,-58438.18,-82066,-848.33,-2020017.66,13182274.04,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3899.82,3899.82,0,84.2,3832.46,92.8,392.56,31.11,1,24.5,46.82,0.56,0,5.27,0.35,0,22.08,122.3,0,1351.16,16.65,0,127.25,112.25,3620.95,2,1.82,0,1569.91,0.402559605,498276747,403084353,133353,410400606,410400606,57572450,467973057,28345,0.610091522,0.749441504,109.6,7.9,219.4,35,13,0,1,2,4
45062,Westlake City SD,Cuyahoga,18,1,1116098.39,962201.08,0,0,86967.77,74975.9,25955.64,22376.65,11767.5,10144.89,189622.3,163475.54,1164710.3,1004109.96,165832.29,165832.29,1744.88,1744.88,2762699.07,2404861.19,2263398.77,0,2404861.19,186761.74,235326.1,422087.84,-25130.63,-23333.35,-583842.86,0,-125974,-169144.15,-927424.99,1899524.04,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3884.46,3946.86,124.8,0,3884.46,65.5,342.7,17.5,3,20.5,56.34,2.31,4.84,0,0.33,0,27.5,137.8,52.1,947.74,5,1,43.92,47.3,3800.58,3,1.64,0,695.04,0.176099482,1611651499,1347006730,0,1367265246,1367265246,114127880,1481393127,45967,0.05,0.143414648,0,3.83,91.93,3,35,2,0,1,4
45070,Whitehall City SD,Franklin,25,1,16917346.69,11385393.33,4794164.21,3226477.9,235572.22,158540.37,1699058.53,1143468.3,414233,278779.27,162177.5,109145.64,483860.92,325638.94,2560464.9,2560464.9,41393.36,41393.36,27308271.33,19229302.01,18098166.6,0,19229302.01,281729.58,149755.08,431484.66,-19198.14,-399189.5,-2940012.55,-12443.05,-364033,-173492.99,-3908369.23,15752417.44,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3692.24,3692.24,0,53.42,3649.5,61.8,253.57,50.85,1.5,22,51.89,2.19,0,11.05,0,13.83,114.3,246.59,87.8,1285.43,24.46,1.51,294.58,146.85,3212.5,1,3.01,66.71,2689.02,0.728289602,256815284,237419773,0,248353713,248353713,38054230,286407943,23368,0.806546097,2.452932361,0,68.6,402.69,1,28,2,3,1,5
45088,Wickliffe City SD,Lake,43,1,2482216.65,1008888.13,0,0,51054.86,20751.07,93435.38,37976.48,1385.65,563.19,74371.7,30228.11,294363.99,119643.2,440241.21,440241.21,28984.79,28984.79,3466054.23,1687276.18,1588024.64,0,1687276.18,58896.73,71306.11,130202.84,-9480.77,-68940,-312737.19,0,-108040,-337367.97,-836565.93,980913.09,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1480.34,1480.34,0,0,1480.34,17,122.57,14.8,2,15.8,24.33,8.37,9.91,4.4,1.56,0.04,0,4,0.33,418.83,2,0,10.01,29.8,1437.03,5,1,0,551.88,0.372806247,275306824,299909727,0,307641040,307641040,24647610,332288650,31924,0.291869139,0.642752414,0,12,39.79,1,12,0,0,0,0
45096,Willard City SD,Huron,39,1,6003117.04,5697403.62,1353094.71,1284187.31,86219.26,81828.48,509995.42,484023.51,141062.12,133878.42,83904.65,79631.74,437591.79,415307.09,612079.18,612079.18,39082.43,39082.43,9266146.6,8827421.78,8308161.67,0,8827421.78,86534.89,23966.8,110501.69,-325810.93,-459570.95,-583738.8,0,-43176,-3387.09,-1415683.77,7522239.7,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1811.63,1811.63,0,65.87,1758.93,64.8,126.96,8.8,3,10,6.8,8.36,0,0,0,16.98,26.8,156.8,27.8,549.49,11.49,0,34.23,53.07,1674.18,6,0,0,1117.79,0.617007888,197899309,189954113,25448683,196258176,196258176,22210520,218468697,27122,0.594070821,1.760592252,23.09,100.4,90.95,8,6,0,0,1,1
45104,Willoughby-Eastlake City SD,Lake,43,1,14532095.21,7615404.63,0,0,306057.86,160386.68,640912.32,335863.93,38297.12,20069.24,408842.15,214249.78,2045571.5,1071962.06,2512830.68,2512830.68,132680.97,132680.97,20617287.81,12063447.97,11353833.39,0,12063447.97,437500.46,551299.56,988800.02,-52308.36,-108150,-1378017.33,0,-199994.99,-80258.65,-1818729.33,11233518.66,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,8360.43,8360.93,1,0,8360.43,147.6,739.65,130.82,3,24,148.76,40.97,45.93,4.4,5.35,0.52,14.2,65.58,42,2494.71,22.91,0,39.32,140.32,8173.66,12.96,4,0,3335.31,0.398916149,1587256620,1596970327,2694843,1680648470,1680648470,101500870,1782149340,32976,0.302558659,0.735936918,0,18.8,176.2,14,71,2,0,3,3
45112,Wilmington City SD,Clinton,14,1,8839713.94,5422336.81,1510312.71,926435.43,144348.28,88544.15,582651.35,357402.05,16229.89,9955.52,156509.25,96003.77,971401.16,595863.66,986750.52,986750.52,71937.53,71937.53,13279854.63,8555229.44,8051980.65,0,8555229.44,192706.72,36877.16,229583.88,-20287.09,-797070.37,-1073315.02,0,-17500,-5295.36,-1913467.84,6871345.48,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3334.61,3334.61,0,98.44,3255.85,37,195.24,18,2,18,32.8,22.17,0,5.67,0,21.96,3,21.86,7,1013.71,18.71,0,9.32,126.26,3121.6,0,1,0,1757.97,0.527189087,405731024,420784287,60831037,459456326,459456326,61200540,520656867,29095,0.472589197,1.28531678,100.66,240.53,142.5,24,16,0,0,0,1
45120,Wooster City SD,Wayne,85,1,9198125.38,5044209.89,284001.67,155745.22,165169.11,90577.98,531329.27,291378.54,10237.42,5614.15,184820.45,101354.69,997738.99,547155.5,1499187.47,1499187.47,25736.15,25736.15,12896345.91,7760959.59,7304432.56,0,7760959.59,263889.11,151940.73,415829.84,-23894,-693628.34,-777894.4,0,-65020,-22036.61,-1582473.35,6594316.08,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3936.89,3936.89,0,155.99,3812.09,76.8,324.34,49.75,7,29,49,1.46,0,13.44,0,20.22,6,11,4,1208.86,16.3,0,9.62,103,3701.87,0,0,0,1898.49,0.482230898,678168022,603556327,14218130,622121623,622121623,151139690,773261313,29983,0.41999696,1.075443059,90.45,218.55,111.3,30,28,0,0,0,0
45138,Worthington City SD,Franklin,25,1,14423434.58,10298131.7,0,0,349820.37,249766.88,180949.47,129195.41,146039.52,104270.19,459876.7,328345.56,2207977.25,1576465.05,2082251.09,2082251.09,44389.86,44389.86,19894738.84,14812815.74,13941473.64,0,14812815.74,547735.41,193516.88,741252.29,-59302.04,-134837,-1551051.98,-139491.4,-1176196.97,-591802.84,-3652682.23,11901385.8,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,9391.34,9391.34,0,0,9391.34,109,728.3,53.73,3.5,31.83,155.29,12.32,14.13,3.42,7.48,13.69,79,328.9,77.4,2946.91,17.08,4.77,76.33,109.74,9214.07,1.88,13.17,0,2357.46,0.25102488,2112329530,1764934110,105823,1802822506,1802822506,143103320,1945925827,46421,0.267196376,0.291414321,0,22.7,183.51,23,74,0,3,8,7
45146,Wyoming City SD,Hamilton,31,1,4569995.46,4569995.46,0,0,60296.31,60296.31,630.06,630.06,2682.45,2682.45,92176.75,92176.75,167322.69,167322.69,383805.01,383805.01,2889.73,2889.73,5279798.46,5279798.46,5109463.17,0,5279798.46,8643.02,4304.99,12948.01,-12280.45,-30071.5,-54486.4,0,-70211,-456.27,-167505.62,5125240.85,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1876.59,1917.89,82.6,21.54,1859.35,7,90.78,11.66,1,8.5,11.5,0,0,0,0,4.74,2,1,2.86,434.3,2,0,1.12,5.45,1848.56,4.5,0,0,123.38,0.064331114,455222646,278168487,0,281559800,281559800,13373090,294932890,64147,0.427823452,0.019139011,0,5,8.12,2,0,0,0,0,0
45153,Xenia Community City SD,Greene,29,1,12702795.88,12371171.01,1418194.26,1381170.25,202920.41,197622.88,1044326.01,1017062.37,12493.73,12167.57,216738.25,211079.98,1258631.04,1225772.66,2367176.72,2367176.72,83966.67,83966.67,19307242.97,18867190.11,17757355.39,0,18867190.11,556422.97,240118.53,796541.5,-2026758.81,-1206217.05,-2395544.47,-376962.41,-105000,-35449.76,-6145932.5,13517799.11,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4828.01,4828.01,0,227.94,4645.65,90.6,321.7,58.9,4,80.06,69.52,19.81,2.78,7.95,0.59,34.29,8,8,7,1422.73,28.03,0,148.49,180.19,4353.09,0,1,0,2736.11,0.566715893,697304065,639272280,63734993,659853410,659853410,138614390,798467800,28955,0.475951609,1.485279334,27.46,239.47,332.06,40,62,3,0,5,2
45161,Youngstown City SD,Mahoning,50,1,51229999.79,47730001.95,13185863.64,12285014.64,639763.64,596055.43,7410517.76,6904236.36,285459.96,265957.53,375295.9,349655.94,3195003.45,2976723.04,9741678,9741678,716125.03,716125.03,86779707.17,81565447.92,76767480.41,0,81565447.92,625267.82,700487.44,1325755.26,-343889.17,-7607120.9,-22298289.59,0,-5252515,13935.9,-35487878.76,47403324.42,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,10013.18,10013.18,0,0,10013.18,178.74,1013.22,197.31,9.5,144.89,101.98,82.75,59.58,51.35,2.52,7.65,77.2,170.78,17,3287.13,44.08,4.28,2429.4,331.38,6979.11,47.5,23.84,813.58,8510.66,0.849945771,681988795,482611910,4061650,511661593,533676856,260169030,793845887,19854,0.890177687,3.340871631,17.8,1326.52,2596.86,38,60,1,0,6,2
45179,Zanesville City SD,Muskingum,60,1,18038599.18,13890072.04,4162118.32,3204912.02,256456.52,197476.51,2370509.53,1825338.42,1857.64,1430.42,203854.55,156971.96,997101.59,767787.61,3251724.22,3251724.22,31492.29,31492.29,29313713.84,23327205.49,21955016.93,0,23327205.49,331601.92,4314.35,335916.27,-1079951.22,-3858927.45,-3005375.24,0,-367964,-14820.15,-8327038.06,15336083.7,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,4518.45,4518.45,0,101.92,4436.91,126.1,594.22,47.6,8,31.45,44.46,1.89,1.11,0,0,20.95,1,1,0,1486.04,16.03,0,297.74,93.55,4048.59,6.5,0.96,64,3412.18,0.755166041,378103452,374630813,1490417,390279826,390279826,142374730,532654557,21971,0.707672234,2.637316537,172.6,860.51,373.34,25,29,0,0,0,5
45187,Ada Ex Vill SD,Hardin,33,2,3117676.68,2889250.3,637814.55,591083.07,40336.8,37381.4,43180.6,40016.84,14799.58,13715.24,50951.45,47218.33,155325.5,143945.09,381602.55,381602.55,22216.91,22216.91,4463904.62,4166429.73,3921345.62,0,4166429.73,80167.45,8676.86,88844.31,-149907.73,248544.54,-181844.85,0,0,-19246.63,-102454.67,4152819.37,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,887.21,887.21,0,26.14,866.29,14,62,1,0,3,12,7.06,0,0,0,0.24,12,5,0,249.99,4.49,0,4.47,26.34,836.59,0,0,0,306.22,0.345149401,107957219,87521843,15397883,90563133,90563133,35650170,126213303,30105,0.626437489,0.550923886,94.6,50.32,25.81,4,6,0,1,0,2
45195,Amherst Ex Vill SD,Lorain,47,2,9608128.94,9608128.94,631025.64,631025.64,122449.03,122449.03,37386.25,37386.25,20916.23,20916.23,185910.15,185910.15,638821.5,638821.5,1436362.33,1436362.33,33073.23,33073.23,12714073.3,12714073.3,14627884.02,1913810.72,14627884.02,217198.51,105323.02,322521.53,-25397.13,-189266.65,-658430.63,0,-137716,-50153.82,-1060964.23,13889441.32,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,3901.83,3922.83,42,117.25,3808.03,34,397.64,25,5,20.5,43.99,0.8,0.22,4.73,0,43.1,13,25,0,880.09,11.03,0,29.15,63.25,3720.91,2,0,0,782.95,0.199588053,617698047,551577750,2115457,563367670,563367670,67919460,631287130,37625,0.43918594,0.184224097,173.59,204.88,88.28,16,29,0,0,1,0
45203,Barnesville Ex Vill SD,Belmont,7,2,3315392.37,3315392.37,617319.99,617319.99,57080.91,57080.91,105981.93,105981.93,590.12,590.12,60260.8,60260.8,390541.38,390541.38,410523.29,410523.29,24956.11,24956.11,4982646.9,4982646.9,5892291.79,909644.89,5892291.79,47577.17,3335.31,50912.48,-156583.65,564052.07,-99647.46,0,0,-1137.75,306683.21,6249887.48,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1155.7,1155.7,0,69.42,1100.16,43,78.84,18.88,3,3.88,5.88,8.9,0.68,0,0,0.06,0,1,0,378.6,2,0,2,16.72,1081.94,0,0,0,488.71,0.422869257,137780359,107155950,20386710,140728813,140728813,21696640,162425453,29641,0.524552607,0.826969666,136.81,34.4,16.13,4,6,0,0,0,0
45211,Bluffton Ex Vill SD,Allen,2,2,2844433.75,2844433.75,391263.46,391263.46,42950.62,42950.62,15390.7,15390.7,748.77,748.77,56389.3,56389.3,239916.37,239916.37,239461.01,239461.01,1355.27,1355.27,3831909.25,3831909.25,3683006.7,0,3831909.25,68121.53,1062.4,69183.93,-299522.37,442540.11,-62792.85,0,-50950,-5023.56,24251.33,3925344.51,1722124.96,1690595.48,0.465008962,32180,242082979402,242082979402,265792223824,1028.53,1028.53,0,45.83,991.86,20.5,56.1,1,0,4.5,6.2,0.5,0,0,0.14,0,1,0,0,290.36,0.93,0,0,10.96,979.06,0.5,1.34,0,236.83,0.230260663,146565151,122743307,18122067,130362200,130362200,27435040,157797240,35828,0.499177973,0.245197962,118.33,34.74,10.93,11,2,0,0,0,1
